我就喜欢！！！！！！！
热乎的
给我辣醒了
让他恰
辣辣辣辣辣辣
大爷还是这么有活力
mc
打call！
MC大爷
66666
已经三连
全体起立
全体起立！
草原上的麦当劳
我就不起立了  蹲着不方便  怕弄一裤子
励志
m记打钱
全体起立！！！
辣辣辣辣辣，学废了
拉啦啦啦啦
6666666
我起立了，你赔我裤子
有那味道了 想吃辣的了 哈哈哈 
真赞
有这么好玩的，草原rock新歌
我不躺平
辣辣辣这就是我此刻的心情。
只一眼我就喜欢啦。
有点喜欢了。
辣辣辣嘎嘎嘎
来吧，一起辣
辣辣辣
辣辣辣辣辣辣
厉害！！！！
听着，所谓杀手（）
辣起来
完蛋这个歌好上脑啊
我就躺着就行了
还挺好听
大爷好
我已经忘记了当时谢霆锋唱这首歌的感觉了
死线笑死
赶紧三连
一键三连！！！
爱辣爱啦
恋爱循环哈哈哈哈哈
忘力宏
全体起立！
牛逼呀
你大爷还是你大爷
AKA草原悍匪
666
啦啦啦啦啦啦啦辣辣辣辣辣辣辣辣辣
腾飞
？？？
奖励哥手势哈哈哈
耶耶耶！！！
哈哈哈哈
开头见
我舅也喜欢
一口气把蒙古给统治了
哈哈哈
挣钱，唱歌，以挣，军心！
老妖怪
上头
大爷彻底放飞自我了
决不躺平
手里的麦腊鸡腿堡有点烫嘴了
666666
哈哈哈哈哈哈哈哈哈哈
大爷酷毙了
太辣了
我觉得肯德基更适合腾大爷
就喜欢腾老师这一本正经瞎唱的劲儿
全体起立
辣辣辣辣
麦当劳厉害
起立起立
辣辣辣辣辣
孜然味
帅
好辣好辣好辣
听着比原唱辣十倍！
果然辣
刷起来666
吓得我赶紧翻了个身。。
真是吓着我了！！！
这句歌词真给我整破防了
我竟然没听出来原唱这是什么歌 谁唱的哈哈
呦吼！
呦吼
呦吼
啊哈哈哈前排！爱了爱了
躺平族自杀吧
最后好像听出来是麦当劳
哈哈哈哈
666
三连了 哈哈哈
牛皮
太上头了
倒来倒去听~越听越饿~
66666
扎心了大爷
啦啦啦啦啦啦啦啦啦
hard rock！
封面差点看成林俊杰
