马嘉祺马嘉祺马嘉祺马嘉祺马嘉祺马嘉祺马嘉祺马嘉祺马嘉祺马嘉祺
宋亚轩！
小熊复读机上线
啊啊啊啊啊啊
包场了好吧
芜，马嘉祺好帅
嘿嘿
刘耀文啊啊啊啊啊啊啊妈妈来看你了
张真源张真源张真源张真源张真源张真源张真源
《表情包大户马先生》
张真源
我今天偏要在这里看
！
翔哥：我这不是担心你吗
时长感人，啊啊啊啊啊！
张哥鲨我！
马哥：快乐星球的居民不兴玩儿这个，简单来说就是，惜命(goutou)！
怎么只有两个人
刘耀文刘耀文刘耀文刘耀文刘耀文
宋亚轩宋亚轩宋亚轩
贺峻霖好帅
《救命的人》
马嘉祺，你好帅阿
期待
终于等到了。
好的 第一次这么早
好帅
这是一群有压迫感的男人
张哥，加油！ 张哥，加油！
严浩翔好瘦啊
我不要彩礼！
有人
马嘉祺好帅呀
《我今儿偏要在这儿看》
来得早没有弹幕不习惯
守在这了
！
严浩翔你不热吗
严浩翔复读机再次上线
来喽来喽
家人们我是第2个进来的
刘耀文刘耀文刘耀文刘耀文刘耀文
严浩翔严浩翔严浩翔严浩翔严浩翔严浩翔严浩翔严浩翔严浩翔严浩翔严浩翔
九敏，没有弹幕
迅速马上！
嗨～
好想笑
空屏终于轮到我了
惜命贺峻霖
张真源好帅
翔哥
卡点来
神tm破例哈哈哈哈哈哈
成人
哈哈哈哈哈哈
帅到我了
就是说第一迈！！！
宋亚轩
2000+的人在观看
惜命男团实锤
小熊牌复读机
小贺真的我笑死
太可爱了吧
两人在看？
严浩翔好帅！
宋亚轩宋亚轩宋亚轩
文轩又挨在一起
贴心马哥，结果自己还没穿
这个准时
真惜命
耀文哈哈哈哈哈哈哈
终于等到了
破例使用哈哈哈
虎狼之詞
有啊
是谁疯了？是我疯了！戏影认识了！
惜命，小马
卡个前面
小圆圆
马嘉祺帅到我的心巴上了
怎么人还没来啊
《你要再紧一点吗》
《救命的人》《打好关系》
《惜命小霖》
啦啦啦
张真源的腹肌！！！
太可爱了！我的霖宝
哎呦喂
严浩翔开始紧箍咒了
哈哈哈哈
《破例使用》哈哈哈哈哈哈哈
丁哥果然还是好爱Tina贺
刘耀文
我去
这个熊好吵啊哈哈哈哈哈
终于看到了翔霖穿救生衣
张真源
还要再紧一点吗哈哈哈哈
刘耀文妈妈来看你了！
《打我》
我来证明你们开弹幕了
救生衣上写的是山河勇士哈哈哈哈哈哈哈哈
弹幕弹幕弹幕弹幕弹幕弹幕
帅哥帅哥
马嘉祺马嘉祺马嘉祺马嘉祺马嘉祺
就再来一遍呗！
咱就是说 刚在隔壁看完
霖霖
小熊太可爱了
严浩翔帅呆了
关于浩翔的执着
张哥好帅
好可爱啊耀文刚刚
有人但不多
人类的本质是复读机
《主要是怕S》
《主要是怕“死”》
终于等到你
小马&小贺：帅且自知
兔兔耳朵红了！
小熊复读机上线了
TNT
翔麟翔麟
《我今个儿偏在这儿看》
要再紧一点吗 复读机
有
哈哈哈哈哈哈哈主要是怕死贺儿太逗了
马嘉祺
《鸭迫感》
老六行为
浩翔不热吗
小刘：噢成人
要
左一酱新BGM：还要再紧一点吗
笑死，怕死。
什么鬼
独占这个屏幕
《怕死》
《要丢下相机保护我》
在座的各位都是爆米花
严浩翔哈哈哈哈
霖霖
第一 哈哈哈哈哈
有
《惜命》
好帅
承包空屏幕
又见面了
复读机
有的有的
可怜的贺老师。
后退一步的动作。。。
贺峻霖是最棒的小朋友
《破 例 使 用》
其实如果救生衣厚的话可能会把你带下水（bushi）
全员惜命
马嘉祺
严浩翔你复读机吗哈哈哈哈
有人有人
那就可以吃席啦～（bushi）
头一次见弹幕这么少
有
有
我靠我靠我靠
浩担心
教练：《是不是可以吃席了啊》
哈哈哈哈哈哈
帅！！
严浩翔妈妈爱你
哈哈哈哈好小好好笑
哈哈哈
空屏
哈哈哈哈哈严浩翔
霖霖！
有
来早了？
好帅呀！张真源  发带不错哦小伙儿
有人
哈哈哈
轩轩好帅
为什么刚刚的站位是三大势
《破例使用》
救命翔哥这句话说了几遍哈哈哈哈哈哈哈哈哈哈哈
翔哥好像有长高了
贺儿跟我一样不是害怕而是惜命
有
复读机上线
2.1碗
太有压迫感了
有人
小熊笑死我了
好可爱啊小贺
我弹幕呢，承包空屏
有人
有
复读机熊
张张宝贝
世界难解之谜
哈哈哈严浩翔!
贺峻霖惜命第一人
有啊
惜命的小贺
刘耀文 《成人》
占领控
这只熊有亿点点吵
我去，宋亚轩挂眼镜也好帅
我寻思着 严浩翔今天这身也没黄色啊？？？
人类的本质是复读机
人类的本质是复读机
什么虎狼之词
好可爱啊啊啊表情包
刚好好
有人吗
贺峻霖：我服了你这个老六
官方别舞cp！！
刘耀文
刘耀文好帅
他们又认识了
耀文宝贝
现在好少人
张真源你是不是等不及了
惜命贺儿
漏漏漏哟包头  嘴巴里动的是居  猫里猫里猫里猫里   嘴巴里动的是居  漏漏漏哟包头嘴巴里动的是居 猫里猫里猫里猫里 嘴巴里动的是居 栓Q
复读机小熊
《救命的人》
哈哈哈哈哈哈哈哈哈
弹幕怎么这么少
贺：谢邀，还活着
我以为我没开弹幕
贺峻霖——惜命
都好帅
高中生：真是背书包的日子！
张哥这么热还要穿内搭吗？
有人打7
小贺对自己有非常清晰的认识（bushi）
哈喽 浩翔宝贝
张哥好像穿反了
轩轩腿怎么那么细呀
严浩翔严浩翔
哈哈惜命小贺
居敏，小张张好搞笑
《再紧一点》
都好帅啊
来看贺峻霖啦
《山河勇士》
张真源帅
贴心的鑫鑫
yao翔: 你要再紧一点吗～
翔哥能有什么坏心思呢，只不过想和霖霖多呆一会
贺峻霖
香香子你说话有点机车
好香你是有多担心霖霖的安全啊
严浩翔楼草
官方哎家人们
还要在紧一点吗还要在紧一点吗还要在紧一点吗还要在紧一点吗还要在紧一点吗还要在紧一点吗翔霖！
好香不熱嗎？
张哥穿反了吧
贺儿:师傅别念了
贺帅哥
阿祺好帅
哈哈哈哈
 我刚才一个人
我怕死
马嘉祺
傻乎乎的张哥
翔哥哈哈哈
严好香这个小波浪精又开始了～
张张你把发带焊到你头上吧，好帅啊
把霖霖换在怀里
嘉祺看起来呆呆的
熊有亿点“烦”
时代少年团
严浩翔人间复读机
《大 叽 居》
小熊复读机
亚轩已经穿上了
《我和我的冤种兄弟们》
好像个喇叭
队友情
贺儿真惜命哈哈哈
翔霖又认识了
哈哈哈破例
呆呆的祺祺
贺儿：我真的酸Q了
贺儿：可太压迫了
阿祺好帅
时代少年团
兄弟们，第一第一
翔霖认识了
《压迫感》
对不起霖霖看成山河男士了（doge
小贺儿被吵得没有耳朵
阿祺好帅
张真源发带重出江湖
桌子上有虫子哈哈哈哈
兔兔好可爱
翔哥：怎么又是虫子
哈哈贺儿我和你一样惜命
张哥穿反了
有人回个话
张哥好帅
马哥要不你回头帮帮丁儿
张哥:你礼貌吗？
惜命小贺
热心市民·严浩翔
可怜张哥
《主要是怕死》
轩轩这眼神酷酷的
好秀
浩翔好帅啊！！！
翔霖认识了终于认识了呜呜呜呜呜 我留下了激动的泪水啊！！！！
新概念压迫感
哦莫哦莫张哥！
《关于贺儿怕死这件事》
哈哈哈哈哈哈好可爱的崽崽们
哈哈哈哈哈哈
轩轩真棒
贺峻霖
翔哥这身好帅
张哥穿反了
耀文好帅
《山河勇士》
马嘉祺给妈妈穿上
别念了，师父别念了
各帮各家
丁程鑫好帅
刘耀文刘耀文刘耀文刘耀文刘耀文刘耀文刘耀文刘耀文刘耀文刘耀文
丁程鑫
芽芽反应慢慢，好可爱，妈妈爱你
你们俩认识了？
把小细腰勒出来吧！！！
翔哥：要再紧一点嘛*n
《惜命男团》
复读机上线
张哥腹肌
大家好你们也才看吗？
嗯~各家情感稳定
帅且自知
弹幕好少，有点不习惯
惜命
这可是救命恩人哈哈哈哈嘉祺你怎么这么可爱
眼不够用了
哈哈哈
张哥衣服危险
反了吧真源
爹爸大型复婚现场
小马好忙啊哈哈哈
很好，都感情稳定
没事，文哥虽然年龄没到，身型到了哈哈哈哈哈
严浩翔:好来吧
复读机严浩翔
霖 你咋这么帅啊
翔哥不热吗
轩给文穿
《主要是怕死》
文哥:我是成人
张哥是成年人了可以露一点了
文轩
笨蛋真源哈哈哈哈哈
张哥是不是穿反了
怎么自带波浪号呢哈哈哈哈哈哈哈哈
有点…不适应空瓶哈哈哈哈哈哈，姐妹们多发点弹幕
谁五分钟就看完了卧槽
文轩，祺鑫，翔霖咋都在互帮呀，这集全程磕
啊啊啊，我要疯了
丁哥要吃醋了马哥
文轩文轩文轩
《肺都要给我捏爆了》
穿的时候就笑到我了，怎么还给穿反了呀？张哥
《山河勇士》
八点十分记得看花少！
能能能
这个熊有点吵啊
《压迫感》
我开了个假弹幕
栓Q
张哥 斯哈斯哈
马嘉祺真有你的哈哈哈哈哈哈
哈哈哈哈哈哈哈严浩翔
张哥好可爱啊
张真源张真源张真源张真源张真源
妖娆的张哥
惜命贺儿
“没穿反吧？”“没穿反！”
准时
没有弹幕好不习惯
张哥像是小乌龟背了壳哈哈哈哈好可爱
有人
《主要是怕死》
跟马哥同款穿衣服方式
翔霖鲨疯了！！！
这衣服贵吗？翔哥
