刚刚！！！！
当你看到这个弹幕代表你不是第一了
好耶
刚刚
谁看到我谁？就不是第一了！
刚刚
我还以为怎么凉呢原来是刚刚发的
《100》
神tm看不见字幕
好炫酷！
当加入到特别关注里面就更新了
你要给我看这个我可就不忙了（doge
爷关更！
你这是船还是车
爷爷你关注的uo主更新了！！！
MC音效好评
会发出汽车声音的屑船
蟹黄堡的秘方
上号（错乱）
一播放137个赞，b站特色
爷爷，你关注的UP主更新了
那我想卖了宝藏，我可以把身边陪伴我的人卖了吗（）
堵船了
好怪的喇叭（）
开船按汽车喇叭的屑(
第一个看完(虽然长按加速)
盗贼之海
白头神探名场面
452个人！！！！！！！
100吨，是直接断了吧（悲）
又
《随便》
心灵鸡汤图
MC音效好评
终于啊有生之年等到了……
白头神探经典桥段
顺便
奶奶奶奶你关注up主更新了
mc音效好评
《随便》
笑到了…自曝身份
船↑长↓∽∽~
小心嘎子
蟹黄堡配方！！
哇！好智慧的眼神！
大声密谋
人型炮弹（）
我知道，我知道蟹黄堡秘方。
把船长放在箱子里
480人？
美味蟹堡秘方
蟹黄堡秘方（确信）
神tm回合制游戏
泪目
船长走了那谁开船？
极限拉扯wow
船长~！
后面的门好臭(?)
MC好评
看到我你就不是第一了
烫嘴
哈哈盗贼之海
船—————
MC好评
硬核登船
大制作！
随便
居然有特效！
海岛小鬼加农炮（bushi
船长！！！！！！！
更了！！！！
船————长————
《随便》
《随便》
《随便》
绿?
《随便》
mc开箱音效好评（doge）
船长是狼！他什么时候搬的甘油？工程你怎么盯的船长！（不是）
《随便》
《随便》
哈哈哈幽灵船（绿幕）
难得这么早
你是谁?为什么在我的关注里?
"这个船是后期弄出来的,up是只有一个人吗"
作品越来越有意义了…啊不，本来就很有意义
船————长———————
《随便》
大声密谋
homo特有的对枪
他不是能看到字幕吗？还要你叫那么多遍。
《 s 随  b便 》
有枪为什么不直接崩了他(
好家伙还是回合制
你关注的阿婆主更新了！
大人时代变了
绿幕没扣干净（误
我趣，这个“让开”帅炸了
蟹老板~嗯，不对船长~
主题升华
雷姆了！nn
随（s）便（b）
绿屏？
好家伙，这是用发条为动力的汽船吗（doge）
mc开箱音效好评！
这点绿布没抠干净诶
？！
1000+的人别躲了
升华了！！！
*经费百万级别的打斗场面
绿幕都没扣干净！
为什么有枪不用啊（bushi）
蟹黄堡秘方
小鬼加农炮
什么贼海
*机智的船员利用地形和海盗周旋
点明主旨
所以你一开始就想炸船了对么！！？？
他真的，我太感动了
没扣干净
热射病警告
好耶！！！
能力越大，责任越大
不错
首尾呼应
哇牛的来
泪目
蟹黄堡秘方
船长！！！
盗贼之海
我还以为要分给对面
泪目
啊？我还以为你们是海盗。
想摸鱼对吧。
又被打劫了(dige
万年一更
绿幕
图 穷 匕 见
是你！！！
救生船太久没用长苔藓了（）
泪目
泪目
意味着角色突破有着落了（不是）
dio：哥们你也是逃票下来的？
船长是狼啊！甘油炸船，你们怎么不修啊！导航你控的铁呢（不是）
升华主题
有一说一画的很细节
这个发饰（？）看着像猫耳
c这时长
全境封锁是吧hhhhh
巜儒雅随和》
蟹老板：我的秘方！
泪目
制作精良！
他真的，我哭死
阿道克船长（bushi）
汽船（确信）
不错的物理引擎
盗贼之海
爷爷的爷爷你关注的up更新了！
不是在水里面，为什么会有走路的音效啊？
好耶！
泪目
过程更难（doge）
最美不过夕～阳红
这船多久没打扫啊？都绿了(狗头)
我一定会回来的~
泪目
懂了，是船长骗走了大副的1000金币（doge
绿幕（笑哭
哇
！！！！！！比  博   燃 ！！！！！！
《失落古人宝库》（误
100吨，是直接断了吧（悲）
盗贼之海的bgm
MC好评！
Dio ：我以为有人陪了……
泪目
船长有钱到一定程度了
枪：那我走？
所以大副是被沉海了吗（doge）？
堵船的笑死我了
泪目了
好耶
可恶为什么只能投两个币
*经费百万级别的打斗场面
诶 ！是大航海时代吗 ？！好耶 ！
14
船——长——
比较好奇这群海盗靠什么活到现在（doge）
阿道克船长（
走，上海盗船
这画风好像饥荒海滩
船长！！
好熟悉的话
绿幕哈哈哈哈哈哈
来了
二维世界和三维世界乱串（doge）
很棒这次
美味蟹堡！
18分钟
咔嚓！
2000+诶！
哈哈哈哈哈哈哈哈哈哈这绿色
爷爷你关注的UP主更新了
憎 恶 之 西
造型指导：阿尼亚
附魔了抢夺V的刀（doge）
泪目
宝藏就是要闪闪亮亮的啦！
哇我的生日耶
随便
金色...啊不，鸡汤传说！
然后中间难，最后结尾难
升华主题！
现在点赞数炸4
泰——坦——尼——克——号——
三连了
等等，你俩是怎么在海上行走的
好棒
《虚晃一枪……》
这绘画量真大
《用藏宝图找宝箱，宝箱里有藏宝图》
必须投个币
快！去炸船！
日记是6月30号的所以这个早该在几天天就更了。
船——长——
爷关更！
所以箱子里的灯泡呢？
有没有一种可能，他们也有100吨的储备
你们懂什么，这是船上长青苔了[doge]
爷爷你关注的UP主更新了
意味着我们被黑市盯上了
明明像阿尼亚（doge
三体人（bushi）
袜这个摇摆好舒服a、
兄弟萌，爷青回
我就知道
刚刚
船长
好耶ヾ(✿ﾟ▽ﾟ)ノ
1000+
升华主旨...
纸————片———————
hhhc绿幕
半小时还能看
论UP有几只手
这这这二维生物进化了？（三维人的惶恐
爷爷，你关注的up主更新了！
咱就是说，你可真XX的有礼貌
金色鸡汤
《随便》
希望の花~~~
好耶
习惯就好hhhhhhhhhhhhhhhhhhhhh
船————长———————
投币再看，养成习惯
爷爷你关注的UP主更新了
我刚学完诺曼底斯遇难记
船长 你竟然是光头
船——长——
喘绿了23333
绿幕没扣干净啊喂（
盗贼之海的手风琴bgm吗，我超爱
泪目
德普干回老本行
船长不用枪是因为怕伤到队友啊。
daisuke（？
（浴霸不能）
有枪不用来打人
泪目
37分钟1000+wc
头发炸没了？
大声密谋
震刀
我刚砍了千子你给我说这个
营 销 号 现 状
这里是防止又被船长看见字幕所以换掉的（doge）
有生之年！！！！
咋了这是？船里安全通道的灯映船沿上了？
太爷爷，你关注的up主更新了
这不开灵界逃跑（
泪目
刺客信条4黑旗
泪目
嘿嘿 没死呢还
想起了愚人号……555
泪目
好像柯南里他爸留下的藏宝啊！
然后有两位船员是内奸
一小时!!!(
这个小人的头发穿过脖子啦啊喂
minecraft
《突破次元壁》
主角好像阿尼亚
船长一一一一一一！！！！！
dio！
电灯泡，别问我怎么知道的（doge）
好短
真实物理引擎（doge）
喘~长！
MC音效好评
冰霜行者（doge）
dio！！！
船————长————
爷爷，你关注的up主更新了！！！
爷关更
明明有枪却非得炸船的屑船长(
《海 盗 小 鬼 炮》
独角兽号的诅咒
卧槽
随便
潘妮新妙具
你甚至不愿意叫我一声，船长（用嘴）
如果于勒叔叔竟在这条船上。。
猫：你礼貌吗
明明有枪却非得炸船的屑船长(
嗒嗒～好可爱啊
船长!!!!。。。你的字好丑哇
你这箱子到底从哪儿来的
这次做的好好耶
直接明抢得了
明明可以直接抢，还非要温馨提示，太厚道辣
有生之年
蟹煲秘方
一小时热乎
盗贼之海
一小时热乎
一小时热乎
更新啦
睡吧
大——帆——船——
哭，都给爷哭
磕……？
小人耳朵耷拉下来好可爱
盗贼之海
《随便》
好家伙这句“随便”不看弹幕还真没懂
盗贼之海诶
