爱糖糖
好看
弹幕捏
唐诗逸绝配糖十一
阿兰和糖糖求求把她两绑起来
我弹幕呢？
弹幕没啦？
弹幕呢？
看着呢，先观赏一遍
弹幕？
弹幕没了
本来盖背景的用弹幕喃
唐小将军好飒
帅呀
弹幕呢
弹幕
为可飒可柔的糖糖打call
小唐将军太帅了
糖糖太仙气了
糖糖真的好美~
庄州梦蝶
破碎感
唐诗逸最配糖狮逸了
我以为我忘记开弹幕了…
小唐将军好cool飒
身韵好美
骑qi?ji?
这是，云梦吗
为啥之前那么多弹幕没了？
两千多条弹幕都没了？
这个编舞真的不行！没有让糖糖发挥她的演技和技巧！
编舞还是要佟导，这个没有糖糖的发挥空间
两个女孩子！哈哈哈哈我磕到了
弹幕呢
我的小将军好帅啊
卡点狂魔
糖糖好美啊
糖糖跳到我心巴上
糖真的好帅啊
糖糖，站起来
弹幕怎么回事
555
看起来是二阶熔断套？
糖糖好帅！！
我哇啊啊啊啊啊  这个旋转跳跃 为什么没有全身
弹幕呢
弹幕消失
这刀看着就很沉
zan起来
我奶我自己
苗刀吗！？
陌刀
我的少年将军
好帅，听说这刀很重
啊啊啊我糖好美！！！
快谢谢云梦姐姐奶人！
战损小唐将军太帅了
弹幕怎么没有了
糖糖
我们糖糖怎么可能没有弹幕!
唐将军来娶我!
太飒了
非常好看的唐诗逸
美人姐姐，贴贴
我糖必须排面
昨天真的是个好日子啊 懂得都懂、
是真刀因为
帅死了
弹幕去哪了
糖糖好帅！！！
陌刀
双厨狂喜
唐诗逸唐诗逸
好帅、
呜呜呜，我的糖好美
弹幕呢？
不可能就这么点吧！！！弹幕
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞英姿飒爽宛若仙人
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
唐诗逸能歌善舞人美心善天资超群
弹幕呢
弹幕去哪了
  阿兰和糖糖请合作一万次！！！
看多了蛮好看的了，糖糖太帅了～
绝世舞姬唐诗逸
是云梦！
正好我玩一梦江湖玩的就是云梦，糖糖跳舞穿的也是云梦校服，开心
好稳
参见唐将军
唐老师太帅了
唐诗逸一舞动九州
美！
转刀好帅阿阿阿
好美好美
浪姐糖糖
谁玩云梦谁激动awsl
两种不同的糖糖
感觉场景有点拥挤
糖糖太帅了
挥刀的动作太飒了
奶妈蚌埠住了
自己奶自己
堂堂表演力好强呀
这个布景真不如逆水寒
看着苗刀叫唐刀……
关梦嗑！！！！
每天一遍
这歌不太行
我居然想嗑糖糖和她自己
麻了
！！！
阿兰？
好有感觉！！
我救我自己
来看仙女跳舞咯！
素问弟子既视感
糖糖
奶妈！！！快救一下！！
唐诗逸唐诗逸唐诗逸唐诗逸唐诗逸唐诗逸
哇！！！这段见真功夫
唐老师英姿勃发，爱了爱了
全靠唐老师撑场子
好家伙
快给糖糖挂花！！快给糖糖锁头奶！！
好美的转圈
云梦
111
先投币后看，糖糖新舞惯例
啊啊啊这个眼神
糖糖
水仙
可以配个洛城造型的薛之谦
又来看首席了
播放量终于过百万了。
我糖厉害了
我糖绝绝子
重剑花木兰
云梦师姐
妈呀不知道为啥看哭了
他跳舞真的好绝
狼烟起，关山聚，一如当年我们喊的，若有战，召必回
狼烟起，关山聚，一如当年我们喊的，若有战，召必回
harry
小唐将军
再看一遍
老公倒我怀里
太好看了吧
断眉真好看
想看纯云梦弟子的版本，剪一块太串戏了，情绪容易断
再看一遍唐诗逸的少年侠气
英姿飒爽唐诗逸！！！！
我要疯了啊啊啊啊啊
糖糖演绎得真好
这刀的架势就感觉很侠气
糖老师真的少年侠气潇洒自如！！！！
糖老师帅劈叉了！！！！
家人们又来抢老婆了
再来一遍
听说这刀好重！！
糖老师演绎得好好不愧是舞剧一级演员
中国舞天花板太帅了！！！
无语怎么跳的这么美！！
美的享受！！！，
糖糖太美了！！！！
这个女人和他自己好配
美
嗑死我了嗑死我了嗑死我了
浪姐舞蹈水平太低了看不过瘾
为什么只能投两币
弹幕水军嘛
帅死了
太美了
能不能出个练习室版
美女阿
糖糖，么么哒！
自己奶自己
阿兰！！！
啊啊啊啊老婆老婆
舞者牛逼！
苍劲有力！
水仙好香啊～～～
奶奶奶 奶起起来了！
奶妈妈嫁到，统统闪开
好有感染力啊！
她？绝对演绎？！她？一梦江湖？！！！
看她跳舞真的很享受
真刀啊？！
这刀比我人还高就离谱！
看她跳舞真的很享受
woc！！！！
唐诗逸！！！！
她是谁？跳得好好啊！！！
灵动飘逸
女舞者跳得吼吼看啊！！
布景确实好拉啊糊糊
啊啊啊啊啊啊糖糖
不愧是网易
绝了绝了
英气！
关梦磕到了
才发现这是三阶熔断校服吗
麻烦砍我
唐将军娶我啊啊啊啊
这个装扮真的好帅啊
这一段剑舞反复观看
糖糖的脖子好美呀！啊啊啊谁懂
糖糖去浪姐简直自降身价
飒
我靠？！！！太帅了吧！！！！
古代的长剑剑体很长
美绝！
这里真的好怕刀戳到糖
糖糖好帅好帅好帅好帅好帅
啊啊啊啊啊
说什么帝王无能，明明是美人倾城
太帅了！！！
人没了
这个刀转得真的太帅了嘤嘤嘤
好帅，想和小将军联姻
我懒声音这么有辨识度
小糖将军
这刀转的好帅！！！！
恭迎首席！！！
t唐诗逸啊啊啊啊啊
双开小号奶自己
！啊啊啊啊啊
太帅了
如沐春风
苗刀吗？好长！
水仙！爱了
布景太low
肩是真的好看
转圈这里踩点绝了
这个脖颈，好好看
神组合歌舞超棒
白嫖失败
双厨狂喜
跳了两次逆水寒终于轮到糊糊了！！！！！
很漂亮
囍囍囍囍囍囍囍囍囍囍囍囍囍囍囍囍囍囍囍囍囍
囍囍囍囍囍囍囍
再看亿遍糖
我老公啊啊啊啊
想看糖老师把十八般兵器都耍一遍
长刀帅啊
快跑，云梦要拿刀砍我了，我再也不躲奶了
这个倒地好利落
啊啊啊啊如沐春风
哇
唐诗逸yyds
太帅了糖糖
唐诗逸我爱你
唐诗逸我老婆
唐诗逸啊啊啊啊啊啊
啊啊啊啊啊啊啊啊，糖糖的新作品
好喜欢这一段
糖糖
姐姐是在我的心上舞蹈
呜呜呜谁疯了我不说
好酷好飒好爱
唐诗逸唐诗逸绝美唐诗逸
表情眼神太绝了  糖糖完全可以去演影视剧
不亏是国家一级演员
唐刀
力量
营业就行
太美了
三厨狂喜
让他吐血
不给她说话
你们没有疯只是移民了傻呀？
阿兰唱的动人心弦
阿兰阿兰
神级组合，阿兰唱的太好听
帅
啊这个长刀太帅了
感谢河南卫视
再来亿遍
云梦呢！快奶人！
糖糖！！！
水仙？？？！！！
浪二浪三梦幻联动，兰兰糖糖双厨狂喜！
好像她最近接了不少广告
奶妈怎么不奶人哈哈哈哈哈哈哈
网易 不愧是你
双厨狂喜hh
妈咪又来拉我了哈哈哈哈哈哈哈
再来亿遍
好美！
我觉得可以舞枪
楚留香真有你的
双厨狂喜呜呜呜呜
唐诗逸太牛了
再来逸遍
仙女姐姐我永远爱你呜呜呜呜
不够看啊，再来逸遍
好有力量感
又来害中国人了
怎么会有糖糖这么又美又柔又A的人呐
妈妈奶我！！！！！
关山同袍下的光影效果好帅！！跪求同款特效！！
奶妈：还好我的拉人小莲花还没用！
这背景太出戏了
跳得好好看
糖糖绝美
就是歌难听
唐诗意你真的好棒。
配
糖糖好会跳
就这
我是刀
我就是自己的力量与信仰
糖糖这舞绝了
太爱了！
开头见
好看！
唐!诗!逸!
吾乃万人往
好家伙
唱的好听，舞的美
那是针绣吗
好美
好厉害又好漂亮的姐姐
好美
演技也好
恭迎首席
让我醉死在舞蹈里
赞爆
动作真干净
这刀给我拿着转几圈我可能会砍到自己
太短了哇
出来俩糖糖
布景配不上糖糖
老婆快奶老婆
呜呜呜直接转我心巴上了
她把这件衣服穿的好美
仙女下凡啊！
嗨老婆
网易你太会请人了吧
双厨狂喜！！！
双厨狂喜！！
这里我断魂代入了！！！！
前面说重复的 有看后面的舞刀吗？绝了！
这里的控腿！
