爷爷早！
好看好看！
好可爱
感觉看懂了，但又没完全懂
喜欢
好可爱
真·豆豆眼
鳞片质感太好了吧
喜欢！
好厉害！
好难啊这一步！
喜欢！
谢谢爷爷
谢谢爷爷
细节杠杠的
喜欢喜欢
好看！
爷爷小心手啊！
好耶！！！！！！！！
好酷！
喜欢
谢谢爷爷，我很喜欢
喜欢!
乖！！
我太喜欢啦！
好可爱！！
谢谢爷爷呀
好厉害啊
谢谢爷爷
乖！
好乖~~~
喜欢！
～
好牛
哇
晚安
喜欢！
赞
喜欢！谢谢爷爷
太精细了
喜欢！
爷爷好棒
好精细
好厉害！！
喜欢！
谢谢你爷爷我喜欢你那条小金鱼。
爷爷真厉害
细节做得也太好了
好可爱呀！
羡慕住了……
手也太巧了吧呜呜呜呜呜
爷爷好厉害啊
我想学，但是我的手不合作
谢谢爷爷～好喜欢～～我还看到后面好多编制品 好厉害
太厉害了
乖！喜欢！
那还用说当然喜欢了！
我来答！乖滴很~~
可爱
哇!!!!!
谢谢爷爷!!!好喜欢！
喜欢！谢谢爷爷
希望这些手艺能传承下去呀
我爷爷也会手工，我也好想他
小金鱼啊啊啊啊我好喜欢
谢谢爷爷(●'◡'●)
喜欢~~~
谢谢爷爷
好喜欢！
谢谢爷爷！
好厉害啊
喜欢！！！！
谢谢爷爷
谢谢爷爷！
喜欢，谢谢爷爷
好精致！！！！
喜欢！
喜欢！
喜欢
我感觉我学不会
哇哦！他叫我小朋友啊 ！爷爷好可爱啊！
好可爱的爷爷！
爷爷手好巧！！
爷爷用剪刀的时候要小心手呀
好可爱哇
乖！！好可爱哇
喜欢――
谢谢爷爷！
谢谢爷爷！！
喜欢！！！谢谢爷爷！！！
超级喜欢！谢谢爷爷！
喜欢！好幸福啊
喜欢
哇好厉害
小时候我也会编几种简单的样式
谢谢爷爷，很喜欢
好耶！
乖！谢谢爷爷
喜欢呀！
好看
好喜欢爷爷！
好喜欢！！！谢谢爷爷
喜欢！！！
谢谢爷爷 喜欢！！！！！
好厉害！！！
喜欢，爷爷做的真好！
乖！大喜欢！！
好厉害啊
好精致啊！
喜欢！！
谢谢爷爷
真的好棒！
活灵活现！
豆豆！
谢谢爷爷，超级喜欢的
乖！
左手食指上是有个泡吗？
好可爱哈哈哈
喜欢 太喜欢了
喜欢呀
哇爷爷编得好好！
喜欢！谢谢爷爷！
喜欢
喜欢
好厉害！！！！！
小金鱼
哇塞
哇谢谢爷爷
喜欢！
好棒
喜欢捏
可爱捏
哈哈哈
哇，手好巧
好可爱！！
哇，好像真的
乖，好喜欢
喜欢！！！
爷爷太厉害了
乖（超大声）
应该申请非遗
乖好乖的
喜欢
真的厉害啊！
喜欢
很厉害
爷爷！
爷爷辛苦了
爷爷好棒ヾ ^_^♪
这速度放给你看！你也妄想能学会！
哎呀太可爱了
喜欢哦
