给小员工加薪！
搭建十小时，排队100分钟，游玩1分钟
阿瓦达警告
新鲜出炉的
这到底需要几个肝……众筹给up主买多几个肝备用吧
纵享丝滑！！！
请出示绿码
13分钟。
来了来了
这工程量。。。不给投币说不过去了
每日掉帽（1/1）
行程卡，蚌埠了我
这太丝滑了吧
这个肝上长了一个人。
掉帽小人：笑个der啊笑
全球德芙失踪案
丝滑
神仙（确信）
声音好清脆听起来好爽
太丝滑了吧！！
动画看完，按例三连，催更泰坦尼克号
动画看完，按例三连，顺带催更泰坦尼克
每日掉帽（3/1）
哇！好酷！！
好看不火系列
行程卡草
好酷哦
等他破产了撅我(喜)
太舒服了
太牛了
牛！
肝上长了个人
哇，有人用魔法唉
哈哈哈哈哈行程卡
我有点怀疑up主的乐高小人就是活的
好酷啊
呵呵哈哈哈 行程卡 笑死
好看不火系列
这是肝上长了个人啊
芜湖~  我最爱的包工头！
每一帧都值得仔细观看啊呜呜呜
太丝滑了吧
4小时，还能热热
允许在麻瓜面前使用魔法
丝滑
丝滑区阿婆主
牛啊
味对了
太酷了
？
小点点音效
魔法（确信）
太强了
掉帽子（1/1）
警察这里有人用魔法！
加薪！加薪！给他们加薪
拍了多少照片啊？
恭喜你发现宝藏作品
wow！！！厉害！！
太丝滑了 up主牛
三连提醒
loop＝ufo
禁止在麻瓜面前使用魔法！
爽！
喵斯拉！
牛逼啊
牛皮
日常丢帽
太丝滑了
这段绝了，做的太好了
太丝滑了
好牛
我也想要这种长大的乐高，都会自己拼的这种
吱吱吱
吱
吱
吱
为什么不火
火
这比自己拼还麻烦好多，剪辑出来更麻烦
确实厉害。拍这个工作量好大
好厉害
有没有给他们高温补贴呀
好细节呀 小人还低头看
助力10w
承包空屏
好厉害啊
吱
牛逼
原力搭乐高
太牛了
好酷
好可爱
百万制作
注入灵魂
火钳刘明
肝帝啊
昨天刚在店里看到
肝
必须点赞
我买都是的假乐高，无良商家欺我读书太少
再看的39人吱一声
up牛
精美
等我有钱了，一定要买自己会拼的乐高，呜呜
169个小老板不说话
好丝滑
吱
在快手跟抖音里面根本没有流量
吱吱吱
卧槽
天，这在哪买的
有才，这种形式眼前一亮，必火
好
德芙:知道了，别说了
绷不住了 前天新增1例无症状 完蛋了
动作好流畅
宝藏up
喜欢这种风格
哈哈哈哈哈
我要这币有何用
太牛了！给我火！
这要用多久时间拍摄。。。
牛哇
上帝之手
买点糖撒肝上
优雅永不过时
你币有了
吱
什么时候准备拼个枪？
请出示行程卡！
全球德芙消失案
好强
这肝上是长了个人吗？
还有剧情？
诶！阿瓦达啃大瓜
吱
只因
以德芙人
这得拍多少张照片啊
吱
怎会如此丝滑
厉害啊
500个人出来吧
哦，啊啊   啊！
这套过山车价格1699
你是一个成熟的乐高了
吱
我好奇我家德芙怎么没了
哈哈哈哈哈
？
看的697人吱一声
行程卡哈哈哈哈哈哈哈哈哈哈
肝上长了个人
空瓶是我的啦
牛批
哈哈，好可爱
吃了多少德芙啊？
头呢？！
以德芙人
牛啊
吱
吱
吱
吱
不投币都过意不去的程度
没系安全带
肝帝
阿瓦达啃大瓜(幻听)
日常摔倒
吱
长按为up主加速
这后期工作量可怕至极 还有细致的配音
果断关注
呱
哪里有这种会自己拼积木的小人（doge）
牛逼
火钳刘明
小时候玩了不少的乐高
太肝了
德芙失窃案
不是你的
每日掉帽子（2/2）
不给你投币真的对不起我自己的良心
承包空瓶
太强了！！！
很帅！！！
太强了
好可爱啊
工作量巨大
原力无处不在【doge】
这个厉害
拍的真好
吱
三连了
这为啥不火啊
妈妈，这肝上长了个人(doge)
无敌细节
太会拍了！
这可真够肝的
好帅！
蒙版用的太好了丝滑剪辑抠图
三连了
太棒了这俩小人
再来一遍
魔法，是魔法
好棒的定格！
终于出长视频啦
300人说句话
芜湖~
做的太有趣了！
好顺滑
好厉害啊
5:02
7月18 5点03
阿瓦达啃大瓜（幻听*2）
吱
吱
吱
吱
原力与我同在（doge）
活了给我点赞
哇哦
太帅了
火了给我点赞
拼积木比做题还麻烦
吱
我的空瓶
必须有币
这是真用心
听到了小黄人的声音
这个好像是最新款乐高，刚出的
哈哈太肝了，作者直接开摆
吱
必须关注
吃了多少德芙
在看的三百多人打聲招呼吧
在看的三百多人打聲招呼吧
他，会魔法吗？
织
又是没有德芙的一天 
我到啦
乐高是真的卷
了不起的视频
太强啦！
二十万粉丝的时候请赞我​
太强了
经典
乐高人也是活的！
很难不相信这俩乐高小人是活的
年轻的up主，愿原力与你同在！
乐高：出个价吧  这广告我买了！
太酷了
必须赞
好厉害
不，不是你的！
现在关注以后就是老粉了
惊了 高能全程高能
它俩闲着的时间在玩石头剪刀布吧
笑死我了
绝 对 音 感
你值得我的币哈哈哈哈哈
这么丝滑的吗
