救命，这里剪辑好棒
致敬，永远的黑豹
思念妮妮
但复联永存于我们心中
转场我没了
老爷子
对上了
感觉外国的演员演电影就跟真的是那个人一样
唐老大！
剪的真棒 ，呼应上了
卧槽牛逼
哭了
家人侠
漫威细节狂魔
后来美队穿越回来的时候变老了
蝙超主题曲
泪目
美队就没穿越回来，他是直接在另一头生活到了那天然后去那个地方等他们的
好看不火系列
火钳刘明
12月小蜘蛛3见
你在北美？
555
他们缔结了一个宇宙!
这里居然也有致敬
你赢了，我投了
漫威真的细节怪
他不是一个人!
史蒂夫并没有穿越回来而是在过去生活到现在从新来到那个地方
幻视真惨
后来美队穿越了就没有回来了
哇，催泪弹
人呢
哭了
一闪而过的范迪塞尔
小罗伯特唐尼c位
老爷子
哭了哭了
格鲁特
吧唧
天马行空的想象力
全TM是致敬
黑豹不在了
喵！！！！
黑豹陪老爷子去了
牛逼
巴基
妮妮好像是汉堡王的终身会员
第一个十年。
才发现美队是左撇子
真行啊，这个。
垃圾幻视
不管荧幕内外，都是物是人非啊
该查六级成绩了
我以为要亲一个了
真的假的！！！
出现了，家人侠
这也有致敬？！
应该还有一个黄蜂女叫队长cap的
妇联集结
可惜，有些人不在了。
接得好
斯坦李老爷子！！！！
不是穿越回来，他是没选择回来，直接在过去活到4的结局，所以变老了
放开我
破防了
你别说了哈哈哈哈
assemble！
猎鹰:奇异博士求求你了一定要把传送门开在左边
BGM是什么
这里有点膈应 zz正确的味道太浓了
我靠！这个我才注意到
一个视频，鸡皮疙瘩掉了N次
无限手套都在手上了，一群人还把它朝量子空间送，不理解
斯坦李老爷子
mcu
四级挂了
路过一个光头
小蜘蛛道德绑架
妇仇者联盟
直接到手
问：谁是摄像师？
承包吧唧（欧耶）
I.M格鲁特
泪崩泪崩！
《美国队长1》
彩蛋无限啊
时间好快，那一年我是少年
神呼应
你们想想什么时候开始拍的啊
80
卧槽！！
卧槽。那么多致敬
哭了
WANKANDA forever！
不是才两年吗
老爷子
妇联
神特么左撇子。。。盾牌全是戴左手的傻孩子
瓦坎达Foever
555cheeseburger 
泪目了
当时差点哭出来
斯坦李
打不过你，膈应你
老爷子！！！
这段好燃
这么快?
众神归位
这个年代不会还有人不知道烟鬼吧？
蟑螂妹也来凑热闹啊
梦开始的地方
妈妈宝贝
就两年多点，没有三年
这三连给的心甘情愿
三年过得这么快啊
这场景是最逗 也是最华丽的。整个电影院都沸腾了
越大能力 责任越大
能力越大 责任越大
昨天刚刷完
我直接吃饭泪崩
已经两年没在影院看漫威电影啦！
细节怪
想念老爷子
雷欧！！！！
致敬x
致敬x2
光
致敬x4
美队过了自己想要的生活，大家大可不必难过
致敬xX
哦鼠标垫
暂停识人
三连留不住了
2020年的，我说怎么可能这么快
已经三年了吗？
美队去找自己的爱人了就没回来
这是妇仇者联盟
两年
泪目
八鸡
米谢儿
WANKANDA forever！
鹿仔
头盔打开，头发都吗动一下
你三连有了
我币没了
骗子呜呜呜你没有回来陪他到最后
宛如昨日
这不是致敬，而是面对昔日未见的好友的激动
黑豹没注意就算了，on your left注意不到也太路人粉了
呜呜呜这一幕没有寡姐
能力越大责任就越大
当时刚上大学不久现在急用毕业了
老爷子！！！
原来已经四年了啊……
I love you three thousand times
少了个黑豹
666
老爷子
你站在这不要动
我他吗爆哭 cheeseburger
19年到21年是两年好吧，也就两年零几个月
美国队长已经走了三年了
雷欧！！！！
泪目 满满的回忆 已三连！
全明星阵容
骗子
