来啦
不愧是学生会会长
来辽
？？？
颜值真的高
月亮姐姐没有变啊！
舒曼的梦幻曲
新老婆哦吼
为什么没有小鹿姐姐？？？
这是绿泡泡吗
6666
月亮姐姐一直都是姐姐
想快点告诉你，我有你送的蜡笔~
哪吒表示很淦
宝莲灯
礼貌哪吒∶你吗
2倍速正常
冰冰冰冰冰冰冰冰
也是00后的回忆啊……
好好看啊
头皮发麻
月亮姐姐！
冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰冰
宝莲灯
冰冰颜值真的高啊
童年男神绿泡泡！
刚强老师帅呀！
后面有大头儿子小头爸爸哈哈哈哈
好感动啊
凡凡
阿凡提，时代的眼泪
舒曼？
请不要忘记80后，我们也是看过的
童难回，想哭了
爷童回！
想哭
月亮姐姐c了全场！
泪目
绝了
啊……
太爱月亮姐姐了！
爷青回
啊啊啊啊啊 爷童回
宝莲灯犯规了！
黑猫警长呢
泪目了
马凡舒，18年世界杯的时候主持过豪门盛宴
月亮姐姐
泪目
爷青回
大风车已经转起来了
哈哈哈哈哈哈哈哈
爷青回
小鲤鱼历险记
哈哈哈哈哈哈哈哈
马凡舒在央视好多年了吧
看来海尔有赞助啊
强哥
哈哈哈哈哈哈哈官方吐槽绝了
爷童回
还有delta
我的童年啊
泪目
泪目
刚强老师还练过钢琴啊
卧槽！冰！
个个都是人才
串联得真好
记者自然可以升级成主持
内裤兄弟
海尔兄弟
都给你玩会了属于是
就一个没看过QAQ
在想你的三百六十五天！
月亮姐姐好厉害啊
月亮姐姐的耳环也是月亮！
月亮姐姐好厉害
邋遢大王！！
小老婆
66666爷青回
好像彭昱畅啊
哪吒:你很幽默吗
都是回忆
真的是爷的童年啊
我都是22‘
没有最喜欢的黑猫警长
泪目
啊 海尔兄弟
哈哈哈哈哈
肖邦
呜呜呜(┯_┯)爷的童年
爷青回
刚强老师好儒雅！
冰冰
为童年献上硬币！！！！！
可恶，眼睛里进沙子了呢T^T
央视玩起来真没别的台什么事！
666666
物理没学好
哈哈哈哈哈
爷童回
泪目
零零后也都看过
大屏幕的字我直接破防
DNA动了
她冲我比心了你们看见没
哈哈官方吐槽
月亮姐姐！！！
宝莲灯！！！
《三个和尚》
凡凡！
爷青回
都看过
不愧是娶了我高中女神的男人
woc
突然想看春晚了怎么回事
月亮姐姐唱歌太好听了
爷童回
提前感谢
童年啊
啊啊啊啊啊宝莲灯！
月亮
月亮姐姐
月亮姐姐
哈哈哈哈
姐青回
小糊涂神
海阳
币不要了
