怎么没弹幕
明侦永远是本命！！
不怎么好看，看了亿遍而已
嘿嘿我老公小白
啊！是我最爱的一集！
没人嘛
居然讲明侦了！！！！我最爱的综艺！！！！！
除了鬼鬼，全新的脑瓜，哈哈哈
最爱撒撒
撒撒撒撒撒撒
我们是头号玩家！
有谢娜，算了
密      室     之     王
弹幕是被清了吗
这集吹爆
小白牛掰
这弹幕怎么回事
我没开弹幕吗
白白白！！！
这一案我看得有点懵
哈哈哈
弹幕呢
这集小白帅炸！！！！！！！！！！
《低调》
这是另外的价钱！！
我也看了好多遍，超爱超爱
哈哈哈哈恰
我侦排面
这是为数不多片片说过的我看过的
表白白敬亭
白bra
措
哈哈哈哈哈哈笑死
皮笑肉不笑肉笑皮不笑？
弹幕好少
一部日剧的故事
哈哈哈哈哈
他就是个沙雕哈哈哈
这期 小白真的赛高
我也是我也是！
终于来了
双厨狂喜 
白白
小白：我给大家表演一个自己爆自己
白白高能
喜欢小白！
超喜欢小白！
啊这，难道是恰饭嘛
真的是密室杀手白
密室之王
最后是何老师靠照片的站位破解了小白的身份
喻初原是我对白敬亭最大的误解
果然
别ky！别ky
啊啊啊啊啊 我的白白！！！！
这个还是没看懂
措不及防
狗头侦探
排面！
哈哈哈哈哈哈哈up私心
来啦来啦
……
哈哈哈哈哈哈哈哈哈哈哈
脑洞X2
白白白
哇塞，片片高产似那啥
哦吼！白白
哈哈哈哈白白
小白笑死了哈哈哈哈
像人狼游戏？
名场面
柯南里有一个类似的
果然
猝不及防
朋友游戏
这期好像有蒲熠星
小白这期高能
刘昊然!
土三油还是算了
这个剧本是一个日剧吧
朕的弹幕大军呢
超爱
张若昀胸好大（狗头）
白白！
这个弹幕怎么回事
哈哈哈哈哈哈哈哈
猝不及防
让他恰！！！
三连了
另外的价钱！
第一眼看成了白嫖
谢娜第一轮搜证直接猜出来凶手真的秀
白白真的是密室之王
白白真的牛
？？？？？？？？？
这是另外的价钱！
弹丸论破3啊
但是这几季小白好少，有人说下一季小白不参与了QAQ
恰饭哈哈哈
朋友游戏
出现了！凶手自己说自己的手法
我爱何老师
小白真的牛
小白特别有梗
小白是吃道具狂魔道具组都快吃垮了
已经搞不清你是真白鸽还是恰饭
小白帅死了
我也我也
坚强！
皮笑肉不笑
9月底，四季度播
白bra
猝不及防
有大老师太想看了
猝不及防，果不其然
这已经二搜了
我爱明侦
现在广告都这么高质量嘛
来了来了，饭来了
好的，不算
皮笑肉不笑
这是另外的价钱！
这期白敬亭真的绝了
白白太聪明了！！
你币有了！！
我破我自己
我也是通过明侦粉上的
正片开始
我也是诶
我就猜到了
蓉妹
猝不及防
还是没看明白，什么要换门牌？不管在哪个屋子里杀的人，不都是密室么
不要夸我白了，这是另外的价钱（狗头）
小白赛高
我有一个脑洞，哈哈哈
因为每次破密室，撒撒每次都投他
海上钢琴师那个真的绝了
好好看
那一段高能
不愧是片片
密室终结者上线！
白白太聪明啦！
这是另外的价钱
红红火火恍恍惚惚
谢娜在里面就是累赘 
表白撒撒
猝不及防
齐岱泽警告
小白超厉害
丁敏
哈哈哈哈哈哈哈哈哈
对对对我也是
之后还可以吃火锅
小白毕竟是个演员啦，要认真演戏的
这期牛逼
来了来了！！！
好帅
张若昀这期逻辑怪
俺也是 现在是我老公
我太爱了
我叫老公了老公啊啊啊啊啊
我也是
明侦必须排面
我白
最爱明侦
是的
我太喜欢他了
我就知道
这期真的好多梗
猝不及防
让他恰
好多剧没播
恰吧哈哈哈哈哈哈我喜欢
白白！！！！
朋友游戏
难怪这期没有他
啊啊啊啊啊
玉兰油就算了
双厨狂喜！
玉兰油大可不必
柯南有过
恰饭猝不及防
弹丸论破？？？？？
到这都忘不了之前有一集，狼衣服还是羊衣服来着的一集，那个皮套给我种诡异感。
我也是！
？？？？？？？？？？？？？？
不会是恰饭视频吧
白敬亭nb！！
吹爆
这是另外的价钱
我也是！
我白优秀得！！
我在前面唱跳，你在后面后面上吊
密室终结者不加糖！
猝不及防
哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
我破我自己
我也是！！！！！！！！
猝不及防
看上去是几何问题 实际上是函数问题
这是另外的价钱！
我有一个脑洞
名场面！
猝不及防！
哈哈哈哈哈哈
可他就是凶手
这一集我因为谢娜没看
这个白白超牛逼，好吧我吹的但是还是不错的
大肝肝
为爱情鼓掌
