空间来的！
神仙太太！
这是看了几遍啊
这个牙，好戳我XP
妈耶好蛊
这里是猴哥扔的签子吧
再来亿遍
久久真的很温柔
宝藏再来一遍
宝藏！
太还原啦
好帅呜呜呜
芜湖
杨戬太帅了
沃趣好帅
我考耳朵喷血了
太厉害惹
才反应过来是杨戬
杨戬！
这么丝滑？！
清源妙道真君哎
太喜欢这种的啦！
直接先三连再观摩
真的好帅
太牛了啊！嗨！老婆！
我也就看了十几遍吧
心动的感觉
一帅二帅三是帅
手势还原得太帅了！！
真的好帅
牛牛牛
太帅了
卡瓦
老婆
又帅又可爱！！
老公
老公
卡密！！！
神迹
好帅呜呜呜呜呜呜
有股卖药郎的感觉
他是我的神！
牛人啊
已三连
笑的好开心^_^
杨戬，结婚！
这可是我老公啊！！！！！！！！！！！！！
我靠太帅了
任何人不看杨戬我都会伤心！！
都！去！看！
受不了了一天不看戬哥就难受
开心点哦～
假发片安上了！
天呐太还原了吧
喜欢喜欢！！！
啊啊啊啊卡哇伊
杨戬！！妈妈爱你！！！
好可爱
蛊死人了！
这部电影的音乐真的很有意思
真的很帅诶
帅哥长在了我的心巴上
妈咪真的好会画
我靠，宝藏啊啊啊啊终于有人画了啊啊啊啊舅舅
‘
好帅好帅啊啊啊啊啊啊帅晕过去了
好帅
太酷了吧
今年遇到心软的神了
+
好帅啊啊啊啊
太太太厉害了！！！还有，都给我去电影院看杨戬！！
啊啊啊啊啊啊老婆————————————————————————
画得太棒了！
太厉害了
和电影兼职一模一样，又更潇洒！电影里面的这些画面也很好看
太帅了
呜呜呜呜呜
神太怨流
都去影院看杨戬！巨好看
二郎！！！
老婆你好好看呜呜呜
卡密！！！
靠这个笑！！
啊啊啊啊啊啊啊啊我的老婆！！
孤独又灿烂的天神
古风舅舅yyds！！！！
为舅舅疯狂打电话٩(๑❛ᴗ❛๑)۶
杨戬真的真的很好看
没人能对戬哥say no！！
出了电影院就开始发疯了呜呜呜真的太帅了
太牛了！！！！！！！！！
帅疯了戬哥
老公老公老公老公
这种又颓又欲的慵懒性感大美人舅。。哦。。
太帅了吧
哮天犬很可爱，可惜一开始被营销号故意用来喷杨戬
音乐好有趣啊！
别闹
这个币我不给您给谁去啊！！！！！！！！！！！
温柔强大的戬子哥！
再来亿遍
杨戬你好帅！
老公
恭喜宝藏发现了我！
我要当舅妈！
bgm好像剧里杨戬吹的口琴声啊
好帅好帅好帅好帅
好可爱呜呜呜
真的有点像杨戬呀
老婆啊啊啊啊
好可爱
太喜欢他的一些小表情了我晕死
老公！
怎么说，我感觉画的比原版好看[脱单doge][脱单doge]​
剧里和这里都很好，不比较
哮天犬真的很可爱
他带头巾真的帅
再看一遍
好帅
厉害
都给我去看电影！！！！
每一帧都是壁纸
我被可爱的直接返祖
我命中注定的外敷啊啊啊
老婆好漂亮www
舅舅很温柔的！电影里一点都不吊儿郎当！快去看电影！
画的太棒了！
太优秀了！好有神韵
太帅了
这里是孙猴子扔的筷子吧，对应电影彩蛋
这是动画吧，太牛了呜呜呜
我去！我直呼老婆
又帅又可爱
老婆！！！！！！！
他可是战神哪
啊！好可爱！
这玩意叫动画吧
wc195个人出来！
老公老公老公老公老公老公老公老公老公老公老公老公老公
老婆好可爱老婆我爱你
小虎牙小虎牙
从空间看到b站
太可爱了！
太绝了吧！
啊啊啊，我就是啸天，我不管谁都别跟我抢。
好喜这种
天知道我有多喜欢他的手和虎牙
我老婆怎么在这
这个体型差！！（脑补）
好厉害！
老婆老婆！
卡密！！！
伸懒腰绝了
不能不投币了，太流畅了吧
