耶
进度条
11
辛苦啦
抓药环节
前排！！！先膜拜
哈哈哈哈哈哈
四分钟 哈哈哈
战术挠头
太厉害了
每日挠头（1/1）
太牛了我天
哈哈哈哈 我刚想说去看这个UP
开始抓药
太牛逼了
我先来，战术挠头
开始抓药
太强了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我准备讲这个
战术挠头
好可爱
战术挠头
太多
哦吼，，梦幻联动
太肝了
这家伙不会是乐高设计师吧
开始抓药
佩服佩服
我的世界（狗头）
肝帝再世
抓药配方！
高端的食材往往只需要最简单的烹饪
承包空屏
战术挠头
牛
洗脑的海绵
开始抓药
开始抓药
战术挠头（1/1）
好想买一个
好可爱
牛壁
20分钟！！！
potplayer好评
你币有了家有儿女的转场嘛这是
是乐高工程师？
爷爷你关注的UP主更新了
战术挠头
攒点弹幕再来看
BGM满分!
这家伙不会是乐高设计师吧\
双开门？摄像机镜像？
天呐，是看了那么多视频还会惊叹的程度
强
量产！
祖传抓药
祖传抓药
你还知道回来啊？？
战术挠头
长按屏幕为up猪加速
丝滑
窝巢赛克辛苦了
厉害了
来咯来咯
这豪华的大house啊
我愿称之为 乐高の神
赛克你是我滴神！
退钱
爷关更
哈哈
费肝の小曲
哇哦
卧槽刚想说已经有别的up做的非常非常详细了
厚礼蟹
长按屏幕为up主加速
终于回来了
太牛了
厉害了
动画组：我只是随便画画
擦！大哥！你是我的神！牛逼呀这个人
哈哈哈哈
炫丽阿
重新高兴下也不错
经典环节，开始抓药
漂亮这背景
比客栈还肝呀
爷关更
签名那个说量产的老哥，你看到这还想拼吗（doge）
看起来不大的菠萝好恐怖啊
摆夜市的小料碗都没你多
太厉害了
船长帽子上的骷髅头没了
梦幻联动
？？？
万丈高楼平地起
好牛啊
想看
人才
你币有了三连推荐
都给我点关注！！！
下次搞个时间短点的吧
加油加油
买不起的样子
哇哦
你还知道回来？？
战术挠头
米奇妙妙屋！
这次更猛
我知道了！有没有一种可能性，赛克其实只是想看海绵宝宝。
人才
乐高大师没你我都没看
太帅了
失踪人口回归
哈哈哈哈哈
丝滑
战歌起！
《5S的重要性》
纳米房子，小子
祖传抓药
十几天不得看吐了
任意门
《真·战歌起》
太强了
脑袋瓜子真灵光
强迫症舒适✓
手指头已经开始疼了
为什么没有冰水了
锅炉爷爷上线
"要真有这个乐高的话,估计得卖1000多"
要这三连有何用
工程量巨大
求大佬图纸
颗粒数这么夸张么
血亏两个币
太强了
失踪人口回归
哇哦
哇哦
投2个都嫌少
2倍速爽
终于更新了
爷爷，你关注的up更新啦
梦幻联动
白嫖失败
必须3连
真不客易啊！！
壕无人性
厉害
看到这么多我直接就起了
祖传抓药
抓头
你直接去lego上班吧 面试都不用了
有没有一种可能，就是海绵宝宝他有好几个菠萝
离谱！
失踪人口回归！！
赛克你终于更新啦！
有图纸就可以自己买积木拼 不用量产
我的天，这工作量
这么多？
太强了
真的佩服
联动啊
我的头像就是海绵宝宝
哈哈哈哈充分考虑了各种心理状态的变化
工作量太大了
白投币了
壕无人性
更了
这个三连，不要也罢
致死量
无影手
太厉害了
太强了
也就只有赛克是币比点赞多了吧
这一整个桌子，确实挺让我难以置信的
哇哦
丝滑
牛牛牛
张伟！
尼玛这是真的狠！我佩服的6体头地
《现实中》
我超
我记得乐高出了个简易版的菠萝屋
太牛比了
没有 骷髅头！
好肝
这是工作量最大的几期了
不看图纸真的牛皮
终于等到你，窝的海绵宝宝！哦不我的赛克！
这种人很难让我不给他三连啊
前面的...你少了一個0吧
三连妥妥
下次血书草原五班
建议量产，想买！！！
太肝了
梦幻联动
见过
海绵宝宝没有驾照哪有车库
离离原上普
好厉害呀，
助力每一个梦想。
助力每一个梦想。
助力每一个梦想。
助力每一个梦想。
助力每一个梦想。
助力每个梦想。
助力每个梦想。
？！！
居然真的是你
人
所以白投币了，不如白嫖了
竟恐怖如斯
船长帽子怎么回事
梦幻联动双厨狂喜
有了菠萝屋，没有海绵宝宝不行。
先投币再看
老婆好可爱
丝滑
妈呀
哇哦
太强了
币比赞多
人才
太强了
好家伙
进度条不对劲
up主太厉害了！
左旋，必须左旋
开始施法
太肝了
王的宝库
爷爷你关注的up主更新了
帽子上骷髅怎么和谐了
辛苦了
2倍速太丝滑了
好厉害
你币有了
然后你发现，尺寸不对
他真的我哭死 
加油加油
nb！！！！！！！！！！！！！！！
帅啊再看一遍！
这个速度好爽
淦！
实际上有一级展示过海绵宝宝有两个楼梯。
太强了
战术挠头
厚礼蟹
太厉害了
军火展示
愣着干嘛，三连啊
壕无人性
太帅了
肝上长了头
让我看看都2022年了还有哪些沙雕在刷野蜂飞舞
太强了md
想看无影手
无影手
粉丝先吃（bushi）
软件:ldd
一万多粒，实体化少说1000
可爱
丝滑肝帝
最爱的抓药环节
开始抓药
进度条
战术挠头
哈哈哈哈
手已经疼了
有游戏能知道构造
牛逼，佛山无影手
长按为up加速
又来了，s级秘法·佛山无影手
梦中情盒
币有了
他真的，我哭死
又抓药了
首页通知书
那章鱼哥的房子是不是快有了
《 现    实    中 》
行者武松
绝绝子！！！！！
行者悟空
武松悟空
丝滑
李逵打虎
开始抓药
太壮观了
我的天
nb
正片开始
一万块的乐高？？
手速和抓水母的海绵宝宝一样快诶～
想看
阿婆的家里一定没有猫吧
重新看那可太治愈了
哈哈哈哈哈哈哈
请分析作者加入这段蒙太奇的表达效果（
壕无人性
弹簧门喽
你是我唯一一个让我觉得白嫖是对不起你的
《中医抓药》
他家原来这么大啊
挖槽
人才
太牛了
壕无人性
牛
好家伙
丝滑
不用看图纸吗
帅啊
刚想说他
好家伙
这音乐欣赏不了
哈哈哈哈
投币比赞多系列
乐高都看哭了
为什么只能投两个币
omg
抓药开始
是谁住在深海的大菠萝里～
海绵宝宝！
首页通知书
欢迎来到币比赞多系列
太厉害了
2599
原来up在长沙
剩点零件拼个派大星得家呗
派大星：你说说你做我的不好吗
强的离谱
我愿称你为最强
你就是想看
听着就肝痛
乐高：明天来设计部工作
你币有了
这工作量，不好意思白嫖了，硬币走你
保留节目：抓中药
想看
喔，贝西
他真的 我哭死
你币有了
 你行你来设计！
这一步可以直接去看那个算面积的视频啊
我的天啊！！
爷关更
好吧，你币有了
牛逼
666
见过了 有UP都算出尺寸了 还有个UP微缩模型都做了。。。。。。。。
这也太辛苦了
专业
这程度要先去三连再来看才不愧疚
助力
看见这量白嫖失败了
我来啦，早嘛？
我是不是看过这个选题
居然这么复杂
马蜂乱飞
热乎的
你值得获得所有硬币
开始抓药。
海绵宝宝的豪华大别野
赛·抓药郎·克
555人唉
战术挠头
退 钱
叹为观止
首页通知书
我的老天爷
海绵宝宝的豪华菠萝别墅
我看过这个
最伟大的作品（
妈呀，太强了
分明就是看动画的时候顺便。。。
失踪人口
bgm是野蜂飞舞吗
战术挠头
很好奇每次都不用打印出图纸吗
专业
up主肝还好吗
白嫖失败
人才
你的指纹还在吗
那岂不是浪费了两个圆圆的硬币。
太强了
不白嫖了
太强了
无影手
辛苦了
xin ku le ya
每次听野蜂飞舞我都有种要窒息的赶脚
正片开始
长按为up主加速
你币有了
人才
没人？^O^霸占空屏
rg元祖，飞翼，红异端
壕无人性
不给你投俩币我都不好意思了
他为什么不用看图纸！
辛苦了，up
我去
正片开始
火钳刘明
专业
太厉害了海盗帽子上没骷髅头了
厚礼蟹 工作量巨大
自己弄的设计图，每天都看，都已经记在脑海里了
已经开始期待有人能盖出个菠萝屋了
太六了
牛
还损失了两个币
牛
赛克还是胶佬啊
军火展示
开始抓药
战术挠头
他为此甚至真的掏空了一个菠萝
帅啊
哇哦
好想自己拼拼看啊，能出教程吗
牛的阿
太牛了
我管你楼梯向哪边，直接来个双边。
你不会拼出整个比基堡吧
n
丝滑
这就证明海绵宝宝住的是别墅
这个声音怎么那么像麻辣香锅
有钱
三连了爆肝区up主
投币止损
哈哈哈哈哈哈哈
我小时候就想看海绵宝宝的家能被做出来终于终于我的愿望实现了。
没人吗？空屏是我哒！
时间过去得真快
UP主辛苦了，白嫖失败
太帅了
太强了。
人送外号闪电侠。
消失人口回归
太帅了
壕无人性
卧槽，牛啊
尼克伦敦：不好意思，我们随便画的
小鲁班：我有一个百万项目，有兴趣吗
太厉害了
你币有了
真的强
想看
哇哦
不给个硬币都对不起我自己
giao 批量生产吧 想买来拼
服了，必须一键三连
丝滑
太酷了！
派大星的房子
首页通知书
对
想看
首页通知书
天啊
好牛
海绵宝宝原来是个富豪
只因（幻听）
三连！
甚至卡点了
所以海绵宝宝的家是谁做的？感觉好牛逼
专业
已三连（闪闪）
咱就说有没有可能以后我们的房子也是像乐高一样搭起来的
太帅了
野蜂飞舞
这也太牛了
长沙！！！
梦中情屋
公开摸鱼
开始手术～
好的关注了！
装配式建筑
三连了再看的
好家伙币比赞多
太强了
首页通知书
战术挠头
抓药
长按为up加速
三连了，这也太肝了
丝滑
干脆点，直接用真菠萝吧（doge）
好可爱
建议批量生产
壕无人性
你币有了！！！
关于投币比点赞还多这件事
