我居然是第二个点赞的人
太短了
除了生孩子，什么都会了up
好牛啊！
漂亮
amazing
你不要剪，把素材发出来Doge
这个真篾刀？
柱子，你干~嘛~
太漂亮了
又是被up主惊艳到的一天
輮以为轮
热的！
大家中秋节快乐！
先赞再看
火折子再次出场
陀螺仪！
漂亮
等到了
给我火
不够看
我究竟哪一步没跟上
等等，发生了什么
哇！金 色 传 说！
强！！
好像蹴鞠
恬淡宁静，是个养生修行的好地方
中秋快乐
杨贵妃的银香囊也是这种原理吧！
D32钢
up一定要小心，别被竹子划伤或扎伤手啊
心灵手巧，好一个聪慧的人儿
昨天刚看过这个
木直中绳，輮以为轮
点赞投币再看
前面輮以为轮的站住，DNA动了
绣球
发生了什么
好厉害
发生什么事了?！
哇哦……
好漂亮
半小时，还新鲜的
D32钢
噜啦噜啦磊
好像地上的月亮
用心了，谢谢(*°∀°)=3
太厉害了
涨粉真慢。。。
陀螺仪
来得好早
葫芦娃
每日火折子
陀螺仪？
古代高科技了属于是
剑门
套圈惊喜！！
我没有眨眼…
绝了绝了
好像听到风铃声？
哇
你终于更新了
这才是真才
倒回来重新看的朋友们在哪里
大物dna动了
过剑们
中秋快乐
漂亮
点赞投币了。支持UP
明月寄相思
绝绝子
热的
BGM：Jannik-浮光（The History）
17w粉了，宝藏up
好好看呜呜
右下角，嘿嘿
这回好了，南抄县看不懂了
木直中绳，輮以为轮
古人的智慧啊yyds！！
輮以为轮
nb
中秋快乐
又是竹子受害的一天
日常霍霍竹子
先赞为敬
天气转凉 今天也是防han的一天【doge】
无情铁手
天冷防寒
烫手
练器宗内门弟子
神奇
陀螺仪
先点赞
过几个月就能当爷爷了
好看！
天啊，太厉害了
这里不用木锤么？
势如破竹
陀螺仪。。。。
想起了杨贵妃的葡萄花鸟纹银香囊
还以为要变装
輮以为轮，其曲中规
神奇
wow
中秋快乐！
中秋节快乐！
我偶像，！
中秋快乐
从马面裙而来
很好，可以滚铁环了
祝大家中秋节团团圆圆
中秋快乐吖
罗老师要中间那个
爷爷！爷爷！爷爷！
中秋快乐
月圆人圆，中秋快乐
藍雪花這個我也有
势如破竹！
初代陀螺仪
真的不能小看古人的智慧
好浪漫
好可爱哇哈哈
神奇
徒手掰开不会划伤吗？
好规整啊极度舒适
分筋错骨手
好想要呀
中秋节快乐！
角动量守恒
古人的智慧
中秋快乐
心灵手巧
木直中绳，輮以为轮
这个就是万象天平的原理吧
高端玩家的玩法
初期陀螺仪
中秋快乐！
真好看
中秋快乐
篾匠
中秋快乐！！
哇，好绝啊!
支持
这个花真的点睛之笔
董永是你么？
绝绝子
陀螺仪
看了几遍还没看懂我去
事情往不对劲的地方发展了。
他卡点一直都很可以的
霍建华（幻觉）
路人甲
来了
天冷放韩
右下角的LOGO好看的
哇哇哇，好看
太短了不够看
小哥也做滚灯啦？
三石天君
桂竹，好竹
好厉害啊
太灵巧了
感叹古人的智慧
服装有点意思了。
葡萄花鸟纹银香囊也是这样
常平架
哈哈哈哈好
为啥他什么都会
这不余杭滚灯吗？
中秋快乐朋友们
就是走马灯
李云龙同行
哪一步都没跟上
是猫猫！
中秋节快乐呀
能当足球踢吗？能当篮球打吗？
我也没眨眼
我寻思我也妹眨眼吧
银制镂空香薰球，，放大版
现实版穿越
浙江余杭这边是还有滚灯的，逢年过节都会表演
煣以为轮
万向仪好家伙
智慧
胡歌
？
做玩具不错
太惊艳了！一秒钟变铁粉
太惊艳了！一秒钟变铁粉
真手艺人
师傅，你是做什么工作的（认真）
防偷国不需要狗头
水平仪
17万粉了NB 之前关注的时候才一万多还是三万多 而且好长时间都没增长 现在突然十多万了
只要你做咱们传统文化手工艺，我就给你三连
这就是老祖宗说的势如破竹
一轮明月啊
好美，我好爱
四季防寒
学李子柒没问题啊，希望他不要被公司被刺才是真的
防韩保暖
陀飞轮
那如果垂直于刚才的方向滚会怎么样？
"这其实就是用重力来让蜡烛保持一个方向,没啥大秘密,称不上什么黑科技"
万向轴原理，还陀螺仪
纠缠之缘:)
这灯笼100块卖吗
中秋快乐
梦中情葫
妙啊
陀螺仪
帅.！
景色好美
明世隐是吧！好呀！
这个葫芦好可爱！！！
点赞呀！
蜡烛在自己的小房间里荡秋千！
篾匠
云台技术
最早的陀螺仪
谢谢，看懂了
輮以为轮
发球！
发生什么事了
哇
陀螺仪?
云卷云舒
这就做一个 晚上出去溜灯
中央电视台
套圈
火娃
？？？？什么情况晃两下就成球了？？。
这也没用角动量守恒啊，不就几个自由度吗
势如破竹的那个！我突然悟了！谢谢！
哦豁！輮以为轮！
最早的陀螺仪应该是点檀香的那个
中国
棒！
葡萄花鸟纹银香囊就是这样的？
好帅的头式
丝滑
移动的鬼火
防日防韩
古代就有云台了啊
好看好看
先天灵根，补天葫
厉害 势如破竹
刚刚侧脸有点像霍建华
大受震撼
CCTV
稳定器
正脸霍建华，侧脸王宝强
防偷国，，防偷国
蓝雪花
砍刀锈成这个鬼样子，也不知道用之前磨一磨
好好玩哦～！这个
势如破竹
小孩子可以追着它到处跑，好好玩哦～！
遛娃神器！
四季防韩
中秋佳节快乐
你好，结婚
鲁?
木直中绳，輮以为轮，其曲中规
古法
293人哇去
学到了！安排一个铜的！哈哈哈哈哈哈
这刀好快
这就是汗青吗（留取丹心照汗青）
汗青！！
中秋节最靓的仔
布鞋好评
各位中秋快乐
美
好绝
兄弟们，回来考古了！[笑][笑][笑][doge]
猜到了陀螺仪
我觉得这个衣服好好看啊，比长袖好看
用红纸，喜庆
陀飞轮
帅气
牛了隔壁
陀螺仪啊这是
最喜欢的一集
不够有美感
怎么说呢，真的是感觉之前白活了，都不知道原来自己的祖国之前这么会玩的（虽然我手不会但是就是莫名自豪/扶额
主要是靠线固定的
陀螺仪
正在观看的朋友你们好啊
套圈哈哈哈
解压神奇—竹子
把成龙放进去
陀螺仪
细心
中秋节快乐！
竹根还在，第二年可以再生
陀螺仪
确实无情铁手…
是小狸奴吗
逐渐迷失……
简单陀螺仪
势如破竹
月从灯火来
月从灯火来
up某些角度有点像年轻时候的星爷
月从灯火来
陀螺仪
木直中绳，輮以为轮
套圈？
今天在乡下过节，我让他们砍竹子，他们说很痒不砍
不止防韩还要防越
我馋了，我就是来看男人的！！！（不知道多大，不好意思喊哥哥）
灯火不灭，思念遍野。
心态平和最是难得
陀螺仪
火折子，讲究啊
被中香炉
彩彩彩
换蜡烛
这呢，来了来了
防韩偷盗
中秋快乐
乖孙子哈哈
陀螺仪？？
给它一jio
厉害
天冷防韩
？你怎么什么都会？
月为天上灯
韩国：在偷了在偷了
什么陀螺仪，像镂空香囊
我是多么羡慕你
说竹根还能长的一看就没在乡下呆过
太绝了，最强灯笼！
前期陀飞轮
灯笼吧
啊
哇
宋代这个样是有原因的
葫芦娃的爷爷年轻的时候
来场足球赛
卧槽，绝了
诶呦，好看
輮以为轮
灯笼吗
这是宋代的？？？？？！！！！！！！
爷爷～爷爷～
輮使之然也
怎么这么美
握草！好看！
咋一看，像美颜版的王宝强
木直中绳輮以为轮
偷国又开始琢磨了
这打扮好像杨戬
天冷防寒
赫敏:有点像时间转换器
王宝强（幻觉）
这就叫輮以为轮
韩国又要去申遗了
中秋快乐
是棉线，他加了棉线
前面的明明是孙耀威
是读作撸三担吗？
柔以为轮
陀螺仪
逐渐出神入化！
他在试图教会我
好神奇
牛逼
偷国棒子要来偷了！！！
手好看  结实又有力量感
棒子来袭
韩国长不了竹子吧
想到了唐葡萄花鸟纹银香囊
天冷防寒
哦豁
不用防，棒子没竹子
啥情况，我眼睛没跟上
来了
。
张小凡是你吗？
谁发的这么经典
这是个有文化的小伙子
牛逼
宋朝人牛逼
绝了
霍建华和王宝强哈哈哈哈
墨子：这是我的三体模型
天机仪
看up主视频有种很宁静的感觉，贴近车马都很慢的年代感了~
侧脸好像霍建华
祝三石中秋节快乐！
《破竹基本功》
wc  农
所以说是纸包得住火。还是包不住火呢？
加个配重是不是更好
记得防偷国啊
灯笼太赞了
bdy每集都最喜欢
陀螺仪啊
陀螺仪
妙啊
老祖宗的智慧啊，古代版陀螺仪
好厉害的手艺
木直中绳，輮以为轮
眼睛和大脑都没跟上啊
好帅气哦
哎哎哎
“輮以为轮”？
木直中绳，輮以为轮
纠缠之缘
輮以为轮
陀螺仪
这个UP主跟我一个同学好像
輮以为轮
三石，中秋快乐！
古法灯
不是像阿信吗，苏见信
中秋快乐啊！
绝了！老祖宗真厉害啊
不防风
申遗啊申遗
人月两团圆，诸事如意
防韩?篾这个字让他读读
剪花入竹柳，一人抱月归
好牛好美啊
穿这些衣服不碍事么
兄弟 你是怎么微笑着干活的
每日防韩
可以的 立转粉
哈哈
道友好身手
复古神器
这还真的是古代黑科技啊
男版李子柒
灯笼
和卜元鼎的原理一样
好怕他扎手
鲁班后裔
陀螺仪
央视台标既视感
古代陀螺仪
NB
这个逼格就起来了
篾匠扎手是常事
都是我们韩国的思密达
天冷防寒
操作啥时候进化的？
眼睛：学会了；眼珠：你滚
感谢太棒了
真怕下一秒就被棒子国抢去了
微云台
某棒:好想偷过来思密达。。
！！！！！
不是浑天仪吗
科幻区up主
好厉害！投币投币
毛竹陀螺仪
宝藏阿婆主
哎～
这是糨糊，过年时有些老人还专门早起熬煮这东西用来贴对联，小的时候不知道弄了一手后来干了手指都张不开
真的没人觉得他像杨戬吗
胡歌飘过
明明是易烊千玺你个假粉sei
没有人要来偷，慌什么
这手不是竹编该有
有猫猫！！！！
我记得宋代女子用香薰衣服也是如此
纠缠之缘（幻视）
明世隐哈哈哈
好美
中华上下五千年，大智慧
木直中绳，其曲中规，輮以为轮
穿的也很真实啊
好解压
哇，这氛围绝了
候风地动仪
天冷防朝《潮》
天冷防日
古法竹条
类似地球仪那种双轴吧
四季防韩！！
竹子是草，不是树。这玩意赶上雨季一天长好几米
打爆出战技
好神奇
好棒啊！
诶，我在。我在这里！
up做个移动水印在视频里吧
感觉穿越了
鲁班后裔
陀螺仪早期影像
究极奥秘，为什么up什么都会
湮灭宝珠
哇哇哇
厉害
和那个明代银熏香炉原理一样吗？陀螺仪熏香炉
点檀香那个好像是明代的
额....我刚才也妹眨眼啊
别忘了打水印
云台
日常防韩
这个应该是唐朝期间放香丸的镂空球演变来的吧…
我就想说他的头发好好
天凉防日韩
我怕拉到手
我抱月而归
阿婆主有点帅
手真巧
像宇文邕！！！！！！
好漂亮
我想起了央视的标志哈哈
蜡烛:心里慌得一匹
套圈
这个叫  mi   tiao
剩下的竹子；我没上车啊，喂，我还没上车啊
我也没错过哪一步骤啊 咋就连一起了
超级好看
感觉UP有点帅怎么回事
陀螺，妙啊
太美了这结构
防日
这样就可以晚上蹴鞠了
套圈
太厉害了
现在都喜欢占山为王
顶真
杨戬，是你！
渾天儀
物理模拟题！
重心在最低点体系最稳定，没有力矩和角动量关系不大吧
江南百景图
小心手啊
我靠
好像国家宝藏那个葡萄花鸟纹银香囊的原理呀
哇
厉害
香囊既视感
别乱刷啊，这跟陀螺仪没有半毛钱关系
6
啊猫猫！
陀螺仪
天冷防寒
四季防韩
果然这里也是猫猫教的据点
我觉得他像梁朝伟
防火防盗防棒子
防火防盗防棒子
这是内置了陀螺仪吗？
陀螺仪！
杨戳是你吗
卧槽卧槽卧槽卧槽卧槽
已经闻到竹子的清香了
竹子真的加速文明发展
纠缠之缘
陀螺仪
陀螺仪
这不杨戬吗？
好神奇
省流：抱明月而长终
輮以为轮
好绝
小时候我姥爷就给我做过。
龙胆风铃
会不会滚着滚着就变成孔明灯了？
抱明月而长终
好手艺
纠缠之缘！！！！
한국이 그것을 훔치지 않기를 바랍니다
月动球
这里这里
好厉害
惯性导航一样的原理
汗青
知道了这个叫气死风灯
这玩意容易被偷呀
宝藏UP主，值得一生典藏
葡萄花鸟纹银香囊
难道不像吴刚吗
这么漂亮的竹子熊猫一定喜欢doge
势如破竹
中秋快樂
因为他穿越了
陀螺仪
磊哥
宇宙真谛
四季防韩
柴禾有了
咦呀~绣花
紧固不是绣花
好治愈啊，声音、图像都是
蛐蛐笼子
蹴鞠开球
这不是陀螺仪，陀螺仪是依靠角动量守恒不改变方向，而这只是个万向轴，依靠重力不改变方向
古代工学
重力垂直向下
陀螺仪
不觉得，就觉得挺帅
好手力！
这手不错，挺漂亮
哦~鲁三石原来是鲁磊的意思啊~
有怕朵！！！
音乐好美！！！
大疆如影蜡烛稳定器
寒国人在观察呢
老看成星爷是咋回事
輮使之然也
木直中绳，輮以为轮
哎卧槽！
有种李子柒他哥李子6的感觉
有点东西
忍不住想打掉
382个包
哇！他抱着月亮看月亮！
唐葡萄花鸟纹银香囊也是这个原理吧
救命，就我一个人觉得他的手好看吗？
看的我和屏幕一起震动哈哈哈
给个提示，装蜡烛的座子加配重会更稳定。
这个手感觉不像是经常干活的手啊
不羁的风
钣金，折弯
浑天仪？
什么情况
发生了什么
(⊙o⊙)哇
势如破竹用错了吧
nb
哇，古人的智慧绝
哇
我的手工真的很解压
哪个孙子叫爷爷？
四季防韩
篾匠
篾匠
篾匠
万花筒写轮眼
篮球
聊斋
多边形建模
如琉璃般飘落！
蒙皮，上材质
对不起，原来不是《大鱼》
？？？
离谱
高配版王宝强  给我整乐了
像！怪不得看到杨戬的时候好眼熟
china
中央电视台
小心偷国
看成篮球了还有救吗
輮以为轮，其曲中规
别TM每个视频都刷什么防日防韩了
好美
天冷放韩
请得出受力分析
你们是不是对陀螺仪有什么误解？
和我外公破竹的手续一模一样
陀螺个屁，这是万向轴
？我也妹眨眼啊
重力竖直向下。。。
质量参变仪
哈哈，弹幕都在喊杨戬
我家这里不是这种竹子
好帅，截屏了，我的iPad壁纸就是这个了
三石中秋节快乐
先赞为敬
信（幻觉）
太棒了思密达~
和香囊一个原理
发生了什么！！
揉制
篾匠
首页刷进来以为是杨戬
哈哈哈哈建议打上国旗
等等，陀螺仪古代就有了╭(°A°`)╮
好神奇
陀螺仪
木直中绳輮以为轮
竹子是草
陀螺仪？
中国东西太多了，申遗每年有次数，太多了，根本申不完
泰克复制器（狗头）
BGM:浮光（The history）
是的 就你一个人
杨戬。。。。
那就陀螺仪了？
我天，太惊艳了，古人的智慧
篾刀生锈了
逐渐离谱
太好看啦
杨戬除了赏金猎人，还做手工？ 删减版吗？公映我刚看完
666
防韩防日防偷贼
爷爷在这里！
66666
应该晚上拍
申遗
杨戬是你吗
上次去砍竹子，手搞抽筋，半个月了，目前还在痛
我也觉得他的手好看
卧槽卧槽卧槽
破竹～是一项基本功（走错片场了
有点李子柒那味
古代有陀螺仪，用在银质熏香球上，放被子里熏香，但熏香是要点着的
我把封面看成坤哥了。（
天冷防韩！！！
好有意境啊
刘沉香
竹子仙人
想起痒痒挠
卧槽
我错过了什么？
浑天仪
注意防韩
看封面，以为又是小黑子树枝666
木直中绳，輮以为轮
加水印防寒哦
最好是移动水印
冷知识，全封住就灭了
好看
滚灯吧
东风吹战鼓擂，孟州空气熏死人。暗埋管偷排污，专心致志躲监督。
最早的云台发明自宋代哈哈哈
好漂亮
王宝强【高配】
木直中绳，輮以为轮，虽有槁暴，不复挺者，輮使之然也。
好好看
欧豪？胡歌？还是杨戬？
纠缠之缘……还有质变仪！（doge）
重锤而已
噜啦啦噜啦噜啦鲁磊（不是）
就是糊纸这一步有点糙笑死了
在申了在申了思密达
我也妹眨眼啊
好厉害
奉贤区非物质文化遗产，滚灯
篮球(幻视)
好厉害啊啊啊
感觉要打上厚码防偷
光影幢幢
好清脆的声音
唐代香薰球的技术
好帅
防韩取暖
儿童不掉食物碗
up好帅啊
好厉害
这个衣服
每日火折子（1/1）
陀螺仪。。。。
止步于此
好美
重文可不是假的
甘雨开大了？
好像浑天仪啊
古人智慧，真的有好多我们现在都没有赶上
9月入秋了，别忘了穿上中国国旗防韩
不像，像千里眼
别国是竹子泛滥成灾，我国是每年都竹笋不够吃，偶尔竹子林开花还要担心熊猫粮食问题！
绝了绝了
四季防韩
up牛逼
輮使之然也
时刻防韩
其曲中直，輮以为轮
杨戬，是钱雁秋演的杨戬吗？
等等，我错过了哪一步？
哇！！！
小伙儿长得挺帅 
四季防韩
这个和我游戏里的背饰好像啊
年轻版王宝强
防寒
就要防韩咋滴！？我知道你急你先别急！
好可爱的小葫芦
太好看了
这不杨戬嘛！
先辈们的古代智慧
牛逼啊
这个赚的太像浑天仪了吧
手已经痛了
汪藏海直呼内行
用绳！？这就不复古了吧
势如破竹
诶～
浮光！
升华了。
韩国人：这明明是我们发明的！
打上标签，每日防日韩
哇哦
