烦恼都
可以发弹幕啦
11111
激动
222222222
弹幕!
弹幕我来了
11
弹？幕
在弹幕还没太乱之前发一个，表白帅气美男子尊龙
可以发弹幕了嘛
弹幕！！！！！！！！！！！！！！！！！！！！
真的?
加油弹幕！
可以发了
00.0
尊龙
怎么有弹幕了？
1
。
我的
来了
哦，我的弹幕回来啦
弹幕有了！
UP我来为你组成弹幕大军！！！
表白尊龙！！！
弹幕弹幕
20190606！！！
这个BGM！！！！我太爱了！！！
。
评论来了
？？？
!!!!\
彈幕!!
弹幕
弹幕！！！！
？
弹幕来了
可以了！？
彩色弹幕我来填
6
小时候家里有这个电影的碟片
解说很棒
弹幕呢？
呃
！
？
我的弹幕啊 你终于来了
龙叔演得太好了
.
补个弹幕
来了
6.6
弹幕厕所
!
去去去
弹幕+1
可以发了
1111111
没人嘛
弹幕？？？
来了
6666
首批弹幕抵达现场！！
安徽
生不逢时啊
惊了，终于能发弹幕了
哈哈哈
？
有弹幕啦 还有朋友在吗
可以了
弹幕！终于回来了
弹了个幕
弹幕呢？
有弹幕嘛
1
活成一个符号
啊啊啊啊有弹幕了！！！！
来
能发弹幕了
666
看着好痛的样子
这是什么电影啊
电影:末代皇帝
测试弹幕······
。
尊龙可谓盛世美颜
能发弹幕了？
弹幕！
末代皇帝
...
这个BGM是什么
同问bgm
.....
！？  有弹幕了？
尊龙
k
弹幕回来了！！！！！！！！！！！！！！！！！！
这几天看b站好无聊
傀儡帝，还是太年轻了
末代皇帝
弹幕好了！？
可以发弹幕了？
。
能发弹幕了？
有人
能发了
有点泪目
z
哇我有弹幕了
弹幕弹幕搂起来
弹幕
？
有
啊弹幕
弹幕
。
uuu
啊
？
发发发发发发
233333
.
有人
1111
？
发了
皇帝？
..
万年的皇帝
aaa
弹幕我来了
彩色弹幕我也来了
末代皇帝 很好看
这个电影看的我都快抑郁了
这部真的美化了溥仪
大清完了
1
来了，，一切都回来了
早生200年多好
弹幕
弹幕？
有人
外国人能拍出如此
见证当下
11
BGM:Palace Memories
ruaaaaaa
能发了?
哦哦
他爹恭亲王载沣
...
来了老弟
早生两百年有屁用，两百年前康熙还在呢
来了老弟
真的吗
袁世凯晚清的军机大臣
?
弹幕!
。
尊龙
溥仪皇帝
换成谷歌终于能发弹幕了
跟我小时候一样
测试弹幕
咳咳
大清，亡了
咳咳
是弹幕啊
。。
牛逼
...
bgm真的给力
朕的大清？
强烈推荐这部电影
看完电影继续来看解说
太好看了这部电影，看完完全抑郁了
可以发了？？？
