没有弹幕吗
没有
是的
11123
222
？？？？
1
那这后面29分是广告吗?
终于可以发弹幕了
良心up主
啊，是弹幕
秀
1
hh
弹幕
哈哈哈哈哈哈哈
第一名
哈哈哈哈哈哈
11111
哦吼吼
B站的灵魂又回来了
弹幕回来了？
111
回来了
弹幕
弹幕！！！！！！
111
弹幕？？？
灵魂回来了
我是去中关村
=v=朋友叫我买败家之眼
。。。
弹幕回来了。
aa
来了老弟
我们来啦
回来补弹幕
。
弹幕来了？
弹幕！
可以发弹幕了?
666666
右下的数字在不停变唉！
可以发弹幕了?
弹幕好了？
苏宁线上还好吧，我好多数码产品都是苏宁买的，价格有时候比京东更便宜
弹幕回来了！！
有弹幕？
？
确实选择困难
1111
1
yeah
弹幕！
。
弹幕
弹幕我来了b
爷来啦
弹幕大军何在
表情好评
弹幕
弹幕？
弹幕
弹幕回来了？
来啦
噢噢噢哦哦，弹幕回来了
开始了？
弹幕？
这哪是15分钟，UP主你咋还骗人呢？
回来了啊
w.
不容易
？唉
好像没有毛病
1233
。
赞就完事了
分班可还行
反正我实体店被坑过一次，以后再也不会去了
你买个某牌子最贵的，肯定不会说它差
问计算机相关专业的同学233
我能发弹幕了?
哦哦哦？
骗子
、
666
弹幕回来啦
弹幕
回来啦
好像着逻辑没问题
1111
哈哈哈
大家好
大美目
突然想起来弹幕开了
弹幕
这哪是15分钟，up主你咋骗人呢
哈哈
。
麦本本实力躺枪
本视频不含任何防不胜防
、
弹幕来也
是的是的
。。
618是什么？
额红
？
弹幕来啦
？
回来了
233
测试
哩哩啦啦
啦啦啦
/Test
。
思考思考
test
啊啊啊
弹幕！！！！！！！！！！！！！！！！！
弹幕弹幕弹幕弹幕
44:12我去?
成都百脑汇
1111111
111
弹幕弹幕
hhhhhhhhhhhhhhhhhh
终于可以发了
千万不要买联想
优秀视屏，已投币
aaa
能发弹幕啦？？？
？？？？弹幕啊！
能发弹幕了哈哈哈
啊啊啊啊
神州路过
龟龟，棒棒哒
弹幕好了吗
这是给京东打广告吗
银灰?！
可以发弹幕了
哈哈哈
弹幕
真实
asdasd
盲猜拯救者y7000p
.
？？？？？？？？
好评！
弹幕弹幕
弹幕呢
哈哈哈
真棒
弹幕回归再看一遍
灵魂回来
外星人不推荐
外星人性价比不高
666
啊啊
?
？？？？
良心up粉了
良心up粉了
666
初一有教
弹幕冲啊
666
........
惠普rog枪神可以吗
....
实属铁憨憨
666
可以可以
空降空降
666
大一还是没有电脑
显卡？？？
111
.
京东上正品比较多吧，毕竟像拯救者这样的都是在京东首发的
感谢up
哈哈
hhhh
??
左下角进度牛逼
最近打算买恰好看见这个
Mac por
Mac Pro 够用了
神船
回来啦？
.
……
实体店全是坑
对比其他网购平台，京东是最最可靠的了
讲道理，至少有50的人都了解电脑
