人家的毕业典礼……
说出来不怕大家笑话，没上过大学真是我一生最大的遗憾。
哇，唱出了JJlin的味道阿！！！
欢迎回来
欢迎回来
这个好看！！
这声音爱了爱了
这个声音嗷嗷嗷嗷！！
牵牵手顺带见家长
我可以
前面faker那个你是认真的吗哈哈哈哈哈
终于轮到我当一次现场怪了
啊想哭
这个牛啊
这现场也太稳了吧
不说再见
这个小姐姐的美声  我滴妈
跪了
是你，骚态
好听
青科大的实名制羡慕
考研究生这个决定，将改变我一生
李哥
我可以惹
青岛大学算是不错的大学了
哇鸡皮疙瘩
我可以
好厉害
？？？
三个摄影师23333
石大加一
！！
我也弯了
我又弯了
所有的梦想，只要你努力就能实现，加油！
哈哈哈小姐姐
俺是青大大二滴 开学大三了
这算是文理恋么，自动狗头
确实好看
哈哈，小姐姐专业的
俩男生瞩目
这个听着好舒服
妈呀 主任
头皮发麻，好好听
承包屏幕
啊啊啊啊啊这个好好听
我想起里海事大学毕业典礼放这首歌开场。。。
绝了。。。这俩是一对吗？？
这个声音好好听！
？？？看我发现了什么
为这位姐姐留弹幕
这个估计是个校园名人
这是研究生
爱了
追光者
这才是毕业典礼才有的情况嘛，比拿胶带绑起来好多了
哇 这个烟嗓 我爱了
女声太厉害了
在现场的人来重温一下
在茫茫人海中找自己，哈哈哈哈哈
走路都这么稳嘛。。。
山科的前来捧场
不好听
是的，音乐学院的，我没有去，感到后悔哈哈哈哈哈
这个戴眼镜的好漂亮！
我最有把握的大学
研究生很正常有戒指啊 别人都毕业了
他毕业了吗？？？我这就去了！！
青理研一的学长站住！开学研一的路过！
怕是对好看有什么误解吧
感觉冥冥之中自有天意，前两天提前批就是填的青岛大学
5分25秒“起风了”
歌词花浪哈哈哈哈
明德博学，守正出奇
青大18级
明德博学守正出奇
12级国际商务
等起风了的算我一个
我们学校啥时候有这么好看的小哥哥了
山东理工大学前来捧场
好听
青岛海洋大学路过
前面那个大二别走
好听好听好听
感恩，热爱
起风了在哪
这个穿军装的肯定超热
18级经院留名
隔壁山大青岛路过
关闭弹幕保持心情
有点像阿马粽
隔壁山大青岛的毕业生路过
为什么我当年毕业的时候毕业典礼那么无聊
山大的实名羡慕∠( ᐛ 」∠)＿
高手在校园！
李哥还好
被彭于晏的女朋友安利过来！！慕了！！
在现场
起风了，眼泪也自由了
这是体育馆哈哈哈
鸡皮疙瘩起来了
气疯了。。。。
逐渐忘记标题
弟弟白头到老！
这个起风了改编的很好啊
吉他都不带插线的？
别人家的大学
刚刚我是看到了杨超越吗
好帅
好感人呐 别人家的大学
好棒
追光者
这个真好听
这个和声太好听了！！！！
好听
在现场
明年就是我了
好妹妹乐队，不说再见
好好听
好运来  你赢了
理工大的实名羡慕
山建大哭了
我的青春
青岛大学也有音乐系和师院音乐系的
财大NbB
隔壁学校
中外求索 德业竞进
如果置身其中应该会感动得哭出来吧
青大16级法院留名
我们学校唱这个歌的时候我哭死
前面，饭堂那个，西科大哦，歌单顺序基本都一样，还是现场唱的。
17届路过
山建大的等等我！！
15级青大经院前来捧场子!
音好高啊
青大16旅游管理毕业生前来报到
起风了？？？
军装帅！
好听
青理工路过
