没弹幕？
.
为什么没弹幕？？
233333
冲冲冲
对呀 为什么呢
我还以为我关了？
。
弹幕？
哈哈哈哈 这个是我最期待的 肌肉少女！！
弹幕呢
没人
你造重了么
哈哈哈
当场抓获
嗯
哈哈哈哈
2333
这个早晚被查水表能看几集是级级
杀戮天使真的好（女主）
学姐抖m学妹抖s
你妈平砍连击带顺劈
吹爆！！！！
这硬币我给了还不行吗哈哈哈哈哈哈
好中二啊哈哈
卧槽约定的梦幻岛
这动画好像和刃牙是同一个世界的
如果有第二季，剧情表现可能差强人意，但是第一季肯定是能爽到的
黄了的网站这么有钱！？
别提盾勇，这货比盾勇可爽太多了
穿越玩出高度了哈哈哈哈哈
前面求指路的带我一个！！！
7月就追你妈劈和满月了，一个亲子番一个百合番哈哈哈哈
是双穿么？牛批！
你妈增强萨动画化了啊
他的一拳超人还在继续做。
这个好
尼玛劈还行
可以啊
最後一部沒有看過！
拜託放過芳文吧，其他的那種輕改要多少有多少
很好看啊
哪里可以看啊啊啊？
后街女孩都PPT了啊！！！！
是双穿么？牛批！
暑假躺尸专用剧
起点的诸界穿越何止三千
蛋蛋好臭
黄了的网站这么有钱！？
7月就追你妈劈和满月了，一个亲子番一个百合番哈哈哈哈
叛逃首字母警告！
一袋米能扛几楼？
aaaaaaa
好硬核的亲子番哈哈哈哈哈
盾勇！
为了等身手办，我连FBI都能干掉
高玩
23期全体国安毕业生集体点了个踩
岂不美哉？
高分少女吹了
不
后街女孩前面就是一个人画的...jc你做个人吧
变态猥琐的少男们
漫画甚至出了三个衍生作品
投你妈 233333
这四个漫画都不错
这个超好看
行星与共好看的
又几开啊
芳文社干嘛不自己做
两个男人是没用未来的
吹爆高木        坐等霸权
看过哈哈哈哈
旋风游侠说的对啊
爽就完事了
这明明是硬核动漫
你住口！！！
盾之勇者？
哈哈哈
梦幻岛和鬼灭吹爆
碾压你妈。。。这句笑喷
你妈平砍带顺劈
还有知道punch line的啊
断手勇者成名录
盾勇既视感
