谢谢UP主，一定平平安安
必须三连，为韩红加油
韩红我真的佩服
那倒不至于，让我知道了之后我再也不在红十字会捐款了就是了
账户不接受转账
 再看看那些抬价卖口罩的 草
Air!!!
这才是我们应该崇拜的明星，顶韩红
鸟之诗。。。。
真的是舍己为人，我不信红十字的领导冲在第一线
暂时停捐了
兄弟上去吧
谢谢
我就奇怪了，3000多万能做这么多事，那些大公司有的捐了一亿，捐了几亿几千万的，那么多钱哪去了？
湖北红十字会
我也是
准备给韩红捐
这么多年了！慈善是门生意，红十字会里都是商人这么多年了！慈善是门生意，红十字会里都是商人
支持韩红老师
哈哈  没有中间商
好人一生平安
红十字差价太多
为什么没有蔡徐坤呀
好人有好报
看哭了
红十字会进来跪下
真明星
四字弟弟不错
air
请捐给韩红基金
韩红十字
雷佳是谁
韩红真侠义！我觉得她就是个女侠
韩红一直是标杆
致敬
红十字会 你让我们怎么相信你？？
这才叫明星
韩红加油
借您吉言
谢谢up
韩红！！女神！！
韩红搞不好要被盯上了
韩红加油
女神!
波澜哥来了吗？
韩红，撑你！
真正的慈善家，艺术家
当时路很黑 韩红是头车 结果万幸人没事
我要这硬币何用？
很高尚的心
捐！！！
抱走我易烊千
明星只信韩红，胡歌
吉利汽车一只给韩红团队提供车辆
支持韩红
瓜子物资哈哈哈
真天使
信任
用互联网思维的慈善VS传统红十字会的慈善
比某些流量明星好太多了
韩红红红火火
转粉了
真的不是人做的事
直接送达人力不要钱志愿者，油费呢，车呢，公益真的难，将心比心，红十字会就尼玛离谱
好人一生平安
也许以前不清楚，以后只要韩红的，无论什么，无条件支持
韩红才是中国红
好的
捐了500，相信她
真是一个善良的人
她的度可能就是全力以赴
加油  武汉    感谢韩红
对啊！红十字会不是一次两次了?  
谢谢up
韩红，爱你！你的爱是伟大的！
加油
一生平安！
死神不收
真的气炸了
侠之大者，为国为民。有你在，灾区的天亮了！
这个币我投给韩红
红十字会，脸呢
Air
已经在韩红爱心基金会那里尽自己的绵薄之力了
泪目
棒
我也听说了
我爱西藏悍匪
红十字为什么发给莆田系医院？良心呢？
air
