把
？
新鲜
我是第一个？？？
666
承包空屏
666
？
666
下次一定
妙啊
妙啊
下次一定
？？
6666666
来咯
666
厉害了
纸片人的生活，就是这么枯燥
30万播放量19个弹幕
弹幕呢？
哪有那么贵，最多八北
那我是第二个
下次一定
哈哈哈
妙啊
埃博拉口罩不是很管用哈哈哈哈哈哈哈
厉害了
呃，呃
灵魂画手
厉害了
劳力士按斤卖
？？？
没有弹幕？
下次也不一定
哈哈哈哈哈哈哈
下次也不一定
？？？
不得了
好活
下次一定
来了来了
哈哈哈
哈哈哈哈哈哈哈口罩瞪眼
来啦
skr
内八灵魂
枯燥
下次一定
有内味了
这个三赖子画的好传神啊
下次一定
待劳而沽
弹幕呢
鬼才
这个bgm好恐怖
画出灵魂
来了
我看着你这灵魂画技真想再给你画一个
不
弹幕好少诶
cv0
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
妙啊
下次也不一定
下次一定
哈哈哈哈哈哈
干的漂亮
哈哈哈哈哈
自己也不带的屑
下次一定
哈哈哈哈哈哈有内位
不是八北了吗
烧纸奥迪？？
哈哈哈哈哈哈哈果然
赖子哥哥
三癞子
不是八北吗？
抬头纹好评
好湿
哈哈哈哈
画师送到非洲
草
厉害了
下次一定
已经黏膜接触过了，被传染了，去医院或者自我隔离吧（ '▿ ' ）
这画的真的传神
酒肉？？？
酒肉朋友
酒肉瞪眼
哈哈哈
下次一定
弹幕
癞子
弹幕数量这么少？
承包空屏
一旦是我的的了
要素过多
画的漂亮
扇子小妹
劳力士按重量买厉害了！
瞪眼
一次也不一定
下次一定
下次也不一定
有内味了
下次一定
我来组成弹幕
津巴布韦哈哈哈哈哈
津巴布韦币哈哈哈哈哈
下次一定
哈哈哈哈哈
下次也不一定
？？？？？？
要素过多
下次一定
卧槽这咋还安排上虚拟形象了
这个表情太精髓了
卧槽
三赖子
？
结合时政
为什么我脑子里面会有真人情景？
下次一定
哈哈哈哈哈哈哈哈哈哈
号押韵
ohhhhhh
不是八北吗？
？？
慢人一步
下次一定
漫画可还行
为什么画风一直在变啊
哈哈哈哈哈哈哈哈哈
回家了要记得洗手哦
不能出去拍实景
内八瞩目
？？？？？
艺术家
三癞子，祖传800呢？
下次，也不一定
哈哈哈哈哈
枯燥枯燥
skr
在街边卖劳力士，惊了
不认识？那你不知道路
下次一定
哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈
埃博拉？？？？？
埃博拉病毒可以可以
日和的感觉
下次一定
开的应该是法拉利
刚果
危
大草原
下次一定
下次一定
下次一定
劳力士按斤卖
弹幕数量这么少？
？？？
哈哈哈
宝马和宾利更顺口点吧
下次一定
非洲结局
我们现在了笑不了非洲了
三天之内
八北
这个表情，灵性
下次一定
下次一定
应该开布加迪
辱非警告
不能出门就这么做视频，流批
来了！！
下次也不一定
下次一定
嗯？
这是官方吗
下次一定
下次一定
应该押宾利，尾调一致舒服一点
下次一定
6666666
？？？
？? ?
厉害咯
哈哈哈哈
卖去非洲？
泰坦尼克号？
改动画片了？
哈哈
下次一定
哈哈哈哈哈哈
2333333
哈哈哈哈哈哈哈哈哈哈哈
下下次也不一定。
哈哈
也有可能会是法拉利
？？？
下次一定
来啦来啦
CaO（氧化钙）
哈哈前辈
55555
哈哈哈哈哈
下次一定
？？？
押韵押韵
冥车
妙啊
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈
红富好评
下次一定
？！！
哈哈
哈哈哈
哈哈
绝了
非洲警告
上去了
哈哈哈哈哈
内八
劳力士按斤卖
做动画场面就大了奥，游轮都出来了
哈哈哈哈，在家隔离只能动画了
下次也不一定
666
下次一定
6
？？？？？？？？？
真表示
哈哈哈哈哈哈
哈哈哈哈
三天之内撒了你
下次一定
下次一定
下次一定
下次一定
枯燥
下次一定
哈哈，这是出不了门就画吗
摸哪呢
变成动画片了
下次一定
哈哈哈下次一定
下次一定
下次一定
要不起
skr~
劳力士按斤卖
竟然不是美刀
押韵
内八好评
支持！不出门做视频！！
下次一定
下次一定
下次一定
哈哈哈哈
哈哈哈哈哈哈哈哈
画风崩了啊
哈哈哈哈哈
下次一定
下次一定
经典小青年
小小万
请务必把我丢到海里，我还没有去过海边
表 示
skr
skr skr
skr~
？
是因为不能出门才这样拍的吗
绝活
下次一定
好活，赏
卧槽
厉害了
八北
果然出动画版了
下次一定
一面不准别人调侃中国疫情 一面自己调侃非洲瘟疫 这么双标的嘛？
哈哈哈哈
最大的囤货商是谁，全世界物资救不了
八北
老板，来三斤劳力士
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈，劳力士论斤卖
skr
好sj的剧情
投了投了别下次，，
三赖子
下次一定
?
说一定其实也不一定
朱总不愧是朱总！！！
skr
下次一定
下次一定
带着口罩再录音
该遭
不敢出门拍视频了……
邪魅一笑
下次一定
一亿津巴布韦币≈几毛钱人民币
哈哈哈哈哈
才罚十万？？？
下次一定
埃博拉比这个更加恐怖······
下次一定
2.29减肥23333
下次一定
下次一定
降维打击
埃博拉致死率50～90，接触空气传播，死法特别惨
八北！
真押韵
哈哈哈哈哈哈
哈哈非洲警告
要素过多
下次一定
员工都放假了 所以只能做动画了
粗糙了些，凑活看吧
下次也不一定
？？
八北
这不是女孩吗？？？
Skr
哈哈哈哈
哈哈哈哈哈哈
危
妙啊
不得了还有二维的
下次也不一定
a&f？？？？
哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
？？
哼哼唧唧
skr
后面换人画了吗
哈哈哈哈哈
妙啊
下次一定
下次一定
非洲警告
下次一定
下次一定
看我刷到了什么 
下次，也不一定
降维打击
哈哈哈哈
2月29日减肥？？？
居然不是八北！
硬核内八
酒肉朋友！！！
下次一定
危
以后还敢
下次一定
哈哈哈哈哈哈哈哈哈哈或或或或
？？？
津巴布韦币，哈哈
下次一定
你就喜欢用那非洲钱是吧（
下次一定
下次一定
画风突然鬼畜
下次一定
66666
啊哈哈哈哈哈哈哈哈哈哈
下次一定
下次一定
下次也不一定
吃屁！
冥路
下次一定
哈哈哈哈哈哈哈
下次一定
下次一定
下次一定
啊
下次一定
？？？
下次不一定
劳力越带 责任越带
朱老板，这次赊账
非常好
哈哈哈哈哈哈哈哈哈
下次一定
下次一定
下次一定
下次一定
红十字超市
下次一定
降维打击
下次一定
哈哈啊哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
这是在说那些因为疫情抄口罩的贩子吧
哈哈哈
漂亮
下次一定
艺术
skr
厉害了
我三连了啊！
哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈
酒肉朋友的瞪眼没有
有内味
来了来了
内八
下次一定
三天之内
?
???
2333333
下次一定。
为什么本是同根生相煎何太急把我siri喊出来了hhh
是没法出门，所以改动画了吗？
三天之内
三天之内，把你撒了
注入灵魂
Skrskr
埃博拉警告
灵魂内八
枯燥
下次也不一定
出不去哈哈
哈哈哈6666
下次一定
不是出殡就是周年
三癞子
哈哈哈哈
经典
下次一定！
不懂你的幽默
哈哈哈哈这是什么啊
下次一定
哈哈哈
666
枯燥
？？？？？？？
？？？这是啥
埃博拉哈哈哈
下次一定
八北
下次一定
下次一定
内八呢
祖传内八呢？
20一个？
八北
下次也不一定
哈哈哈哈哈哈哈哈哈哈啊哈哈哈哈哈哈啊哈哈哈哈
下次一定也不
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈
三赖子
二向泊
哈哈哈哈哈哈哈哈
下次一定
skrskr
哈哈哈哈
下次一定
妙啊
下次一定
哈哈哈哈哈哈哈变成动画版了
下次一定
？？？？？逐渐不入镜
哈哈哈哈哈哈哈哈
内八哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈
下次
下次一定
好湿好湿
不是八北？
下次一定
下次一定
红（十字）富药店亮了
二  次  元
没那味
我能游
......
？？？
下次一定
skr
下次一定
？？？？？
三癞子
哈哈哈哈
船长
下次也不一定
下次一定
男siri？
动画版真实哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈
？？？？？？？？
哈哈哈 笑了
发射去非洲
下次不一定
灵魂来了！！！！
三赖子哈哈哈哈
下次一定
硬币下次给吧，最近疫情紧张，投币容易传染！
红红火火恍恍惚惚
下次一定
下次一定
枯燥
我去
埃博拉
危
下次一定
妙啊
下次一定
去非洲吧
二维生活…………
？？？
666
哈哈哈哈哈
下次一定
非洲警告
非洲警告
三癞子
下次一定
哈哈哈哈
下次一定
？？？？？
这不是调侃他国灾难？搁中国又成歧视了
SKR
Siri被叫出来了？？
下次一定
下次一定
八北
枯燥
双押
弹幕？？
下次一定
下次一定
哈哈
枯燥
枯燥
这画风好几变了
下次一定
三天之后鲨了你
哈哈哈
下次一定
下次一定
下次一定
？？？？
？？？？？
110警告
癞总
下次一定
下次也不一定
下次一定
下次一定
哈哈哈哈
降维打击
哈哈哈哈哈哈哈哈哈哈哈哈哈不能上班就拍了
有画面了
下次一定
恐怖游轮
画质逐渐潦草
3万一个，罚款10万，这买卖干得过
下次一定
埃博拉
不戴口罩
下次一定
下次也不一定
下次一定
也可能是灵车漂移
红红火火恍恍惚惚h
hh
没有灵魂
哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
一旦号
下次一定
下次一定
下次一定
直接举报就行
800
哈哈哈哈哈
咋还压上韵了哈哈
5.5
竟然不是八北
下次一定
不是出殡就是头七
下次一定
哈哈哈哈哈
劳力士
哈哈 二维。。。
埃博拉警告
skr
？？？？？
一级小号，新人都是魔鬼
ming币吧
下次也不一定
？？？
下次一定
？？？？
没办法拍才这样？
6666
SKR
66666
哈哈哈
哈哈哈哈
居然不是内八
哈哈哈哈哈哈哈
下次也不一定
下次一定
三癞子
就会出人头地 skr
现在你都这么敷衍我们了，用动画
？？？
阴间开
？？？
下次一定
哈哈哈哈哈哈哈哈哈哈
安排了
下次一定
下次一定
三癞子
看
下次一定
下次不一定
有内味了
下次一定
下次一定
！？？？？？？？？？？？？？？？？？？？？？？？？
下次一定
下次一定
下次也不一定
非洲警告
二乔第一集的时候被警察这样过
？？？？
刚果？
动漫？
可以
下次一定
哈哈哈哈哈改成动画了
下次一定
skr
下次一定
降维打击
小小万
然后回来的是个骨灰盒
下次一定
降维打击？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
？？？
哈哈哈
哈哈哈哈哈
哈哈哈哈哈哈哈
下次一定，下次一定
？？？？？？
下次一定
降维打击
八杯
下次一定
下次一定
哈哈
下次一定
666
下次一定
哈哈哈哈不能出门哈哈哈
下次一定
下次一定
下次一定不白嫖
下次一定
hh
ygg
哈哈哈哈哈哈哈哈
下次一定
下次一定
朱
朱
下次一定
下次一定
我siri出来了woc
？？？？？？？？？？？？？？
2333333
下次一定
下次一定
降维打击？？？
朱总家族庞大
哈哈哈哈哈哈
想开benz不可以么
这次我白嫖定了
哈哈哈哈哈哈哈哈哈哈
下次一定
？？？？？？？？？？
哈哈哈
下次一定
还行
下次一定
哈哈哈哈哈
男神三癞子
降维打击？？？
下次一定
下次一定
下次一定
？？？？？？？？？？？？？
销售鬼才
草
下次一定
妙啊
？？？？
店名不错
？？？？
下次一定
下次一定
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
因为不能出去啊
下次一定
下次一定
下次一定
好湿，好湿
降维打击
下次一定
啊啊啊
感觉画面转换有点太快了
津巴布韦币哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
妙啊
下次一定
一旦牛逼，隔离还能如此枯燥
下次一定
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈
下次一定
