鄙人是其中之一............rlg
？？？？？？
浪漫我的白月光啊
我当时每周都买，然而班里的人一点兴趣都没有
《御狐之畔》就是这样！作者不服，所以该漫画遭到腰斩！
才知道知音是湖北的
少年jump救地球！
2010--2013高中时期，当时报刊C位必须知音漫客
484撒
哦！！！老板！
是我几天省下的早饭钱
哇j
开始后来大部分报刊亭都拆了
应该说是移动阅读漫画吧，正版越来越多
偷星九月天是真的经典
？？？？？？？？？
当年从11年，买到15年的漫客，每一期都不落
漫客后期感觉有吸引力的作品越来越少了，故事画风都感觉特别怪。
9981!
右边的泡沫之夏
我造这个事件！！！！直接弃了
阿衰！
停更了一个月
后来有了神漫画
暴走邻家
爷是没钱了
爷的青春是飒漫画
知道!我家这还有，不过我们在报刊亭买烤肠
都是青春啊
不不不，我认为就是因为好的作品都走了
我电脑桌上还有几本
确实，那两年后我基本就没再看过了
背景板是天行轶事！
好久没买了
原来是这样
刚好是我弃坑的那年……
←混沌少女，↓勇者是女孩，↑没看清
？？？？？？
唉 偷星九月天完结以后就没有看过了 
？？？？
9981前期画风太吊了
买一本全班接，回忆啊
斗罗漫画后面是真的不行了，剧情魔改lj
当年还在这些地方卖漫画  哇  阿衰
偷星无敌
小学五六年级的时候每期都买
土星文具店啊啊啊啊啊
哈哈哈
这个封面我手绘参加学校的美术比赛，获奖了，，，，
炎之十月 光之九月 暗之以太
屁，难道不是漫画质量下降，加上大多漫画完结，强行加上大量新人作品撑页数，不凉才怪
说的真对，腾讯靠小学生拿了多少年世界游戏收入第一，比第二名的暴雪还多两个数字
夏娜入宅！！
悲鸣之剑我也看了 可惜没人气 了了结局了
怪不得盗墓笔记没了
及时现在高中有了手机，还是感觉拿着杂志看更有感觉
暴走真的是我坚持下去的动力
薄荷之夏也好看！
并不是
这也真的狗
。。。。
9981赞啊
腾讯降维打击
好活
天行轶事！！！
这本我有
血族禁域不是飒漫乐画的吗？
鬼，上学党有手机的还是不多
？？？？
??????是因为漫客质量集体下跌吧。。
一周最好看
别说了偷星九月天后面越来越水
我买了这一本！！！
悲鸣之剑！
15年我上高一，就没买了
美食大战老鼠
知音漫客，飒漫画，读者，意林，我从出生起就喜欢了
是我嗑过的cp
御狐之畔记得吗
？？？？？？
左下角《天行轶事》我强推很好看
爱过
那时候也有电子版的
龙族
我们这里都没有了，杂志都买不到了
壹周我也买过几本
你们知道给鬼
血族禁域!
真实
哭了！偷星！！
勇者是女孩排面
夺回你的若见花
夏娜啊
想当初我就是因为漫客老漫画画完了突然飞出来一堆少女漫才不买漫客了的……
上16年高中就不买漫客了
当年买一本. 再到手里的时候都被翻皱了
？？？
小学入的坑，初中三年一册没断一直在追
可惜也没守住啊，像斗罗
暴走邻家
我才4岁。。。。
浪漫传说啊啊啊啊啊
03：27 猎人
血族！！！
童年
米二！！！！原来是他
偷星啊！！从小学追到初中
不只这个原因，如果质量好我还是会为了收藏支持它但知音不争气所以注定衰亡
这个知道
06-08那是个什么样的年代，什么神仙都有
九十王道
无敌的海贼王
一周刚出的时候还送周边
啊啊啊啊麻烦请静音！！！！
这个笑有点内味
我初中买了整整三年啊，当初冲着斗罗，后来又入的别的坑
这个笑有点内味
买了四年断了两年，后来路过报刊买了两期看，结果找不到当初的味道了，可能是我长大了吧
猫小乐，朵爷，还有好多好多。。。
我熏儿太美了
 我买了块上千本。
偷星我全套单行本和周边
布卡当时是真的厉害，不管是里的还是表的各种意义上的都有比如某性转类
没两周必去报亭买读者
唯一爱看的看完的漫画
浪漫传说！
高中学校里没有手机，靠杂志生活
当时专门去报刊亭买充值卡
？？？？
沧月女王！！！
？？
吹爆薄荷之夏！！！甜甜的高中恋爱真的是中国没有的！
难道没人知道乌龙派出所嘛
啊啊啊啊黑篮瞩目
Bgm是植物大战僵尸吗hhhh
？？？？？？？？？
火烧瞳
浪漫传说我吹爆！！！！！
童年啊
四月！
真的爱惨了偷星，哪怕结局不尽人意
玄月
薄荷之夏是好看的！
知音漫客的画风都是一个样的，还不好看
质量不行了，我一直买到400多期左右，可惜不行了，
血族
我有一衣柜
知音漫客后期真的都是些什么东西。完全看不下去
莫林的眼镜
现在十块
18年后就不买了
你不提我都忘了有过这么个东西
我买本偷星都要10
大人 时代变了
这什么电影
17212
高考完买从小学到高二的书卖了估计300本mk200本漫画世界
????
这是漫改电影  食梦者
好看啊
看
自从偷星完结就不怎么看了
爆炸式发展比这早的多，不过……你懂的
？？？
啊
？？？？？
人类迷惑行为
？？？
阿衰
500期 报道
情怀啊
夏娜吹爆
飒漫画也是这样，我现在还在坚持买，我希望他们还能撑住
飒飒也不行了啊
血族禁域明明是飒漫画
大爱暴走邻家
tx还是不错的
秀儿
镇魂歌
怪不得当时斗罗大陆跑到这个杂志上了，当时疑惑了好久
报刊亭现在基本都没有了
每次看龙族我都想打人
现在10块了
大学之后再也没看过
童年
哈哈哈好真实
长歌行
哈哈
陈岚的画风！！
长谷川（滑稽）
乌龙派出所
还是神满爽
神漫多爽
智能手机的普及才使它们没落了吧
挨雷劈的昊天
哈？
智能手机开始普及
青春啊
暴走必须有排面！我的梦想起点！
萌
我们县里唯一的报刊亭前几年就拆了
薄荷之夏
当时五块钱都买不起
难怪斗罗大陆换杂志社了
九琉天下第一
薄荷之夏
不是，有了作者才是漫画的基础，抢版权...迷惑行为
报刊亭早就取消了
JOJO
？？？
一手好牌就这样打烂了？
300多本漫客   小时候的回忆啊  泪目
谁还记得御狐之畔
报刊亭都没了
浪漫传说i了！
回忆
极度分裂
夏娜入宅
偷星九月天！
老板！
暴走邻家牛逼
沧月！
怀念，偷星
一周！！！！！
上大学就不买了
阿s专用!怀念!!!
漫画质量其实不好
阿sa专用！！！
很多城市都拆书报亭了
奏！
爱欧
05后表示报刊亭没了后很郁闷 买不到故事会了
背景抢眼
5年级开始买
太真实了
6666666
暗夜协奏曲
排球！
今年去高中时期的书店都没有了
作死
腾讯深知这个道理
里面还有龙族啊
星海！
暴走邻家
壹周漫画
←勇者是女孩（当初没看懂）
暴走邻家牛逼
右边jojo！！！！
凉宫！！
暴走邻家万岁！小菲一定要勇敢的走下去啊
我只有第7刊
沧月！
一人之下啊啊啊
青春啊
垃圾漫画也多
？？？？？？？？
从5元买到6元
偷星九月天!!!当时最喜欢十月
高中毕业之后就再也没买过了
？
沧月大人
最主要是，知音漫客里已经没有想看的了
十月！！！
因为我们毕业了
确实是没有了，只能在书店买到了
？？？
怪不得质量变差了
可惜狼族少年更新一言难尽
猫小乐
悲鸣之剑！
玄月！
？？？？？
因为偷星完结了
浪漫传说，暴走邻家天下第一
偷偷看
偷星九月天啊啊啊啊啊
回忆
时代变了
我买一本养活全班
记得绝世唐门开头就骂知音老猪
沧月和四月啊啊啊啊啊
玄月
因为我们都长大了
？？？？？？？？
高三后就没买了
天行
哪儿有那么夸张，深圳都还有很多地方有报刊亭
一人之下绝世精品！
他这么就是不动画化呢！
