学数学他们这样的发际线是真是存在的吗
数学，只是工具
♾
好皮啊哈哈哈
约翰纳什
哈哈哈哈哈
竟然有正鹅！
你那是喜欢数学吗？你那是馋他们的身子
不，你只是爱上了这些故事
数学是物理的工具
拜拜
这是美国往事的女演员吗
真實
封面美丽心灵不谢
啊啊啊啊啊啊啊啊啊嫌疑人
封面呢n
这是什么电影？
彩虹是圆形 谢谢
？？？？
曾几何时我也是个喜欢数学的女孩子，可是耐不住放弃
不愧是我，看到最后也没有喜欢上数学。
英语要比数学简单一点，数学太难了
名场面
天才基本法了解一下啊啊啊
看完有点想看电影了
美丽心灵
钢铁直男
史派西
我睡着了
心灵捕手！！
但是数学不发展到一定地步，物理也没办法发展下去
宇宙无限大？搞笑吧
康纳利太美了555
决胜21点
不可能
我女神詹妮花
数学是一切的基础
其实学数学的人都特别孤独
我爱化学
宇宙无界有限，但他那个时代还认为宇宙无限
一剪梅
？
虽然很热血很令人震撼但我还是爱不上数学
万能英语
所以我喜欢哲学啊
嫌疑人x的献身
更爱物理啊
哈哈哈哈
不对不对，搞错了不是推理笔记是模仿游戏
Frank！
少年班
有这种事？
这个是什么电影
买菜需要用函数嘛hhhhh
我一直爱数学就是数学不爱我
数学真的是天赋
再一次
尝试爱上数学
陆舟说，只有大一统才有点难度
啥电影
不可能
溜了溜了，一点兴趣没有
世界是建立在数学理论中的
天才基本法。    此生挚爱
哈哈哈哈
我爱物理！！！
？？
不可能不可能
红雷哥！
焉栩嘉啊啊啊
不可能
我连2+2等于几我都不知道  我走了
一贯以之的努力，不得懈怠的人生。
纳什
你在欺负我听不懂!!!!
对不起我爱物理
哇塞！可我已经不学数学了
我也爱数学但是他不一定爱我
我爱数学！
封面美丽心灵
我一直都喜歡數學嘻嘻，只是有時候她跟我鬧著玩
下辈子也不可能
是我单相思数学ಥ_ಥ
我爱物理
谢俞：这题我解了
不应该是最短的那一条吗？
论诺贝尔为什么被绿
tan90°
爱学习的我点了进来
一个物理规律的证明必须能用数学公式表现
心灵捕手！
一直很爱，就是它不爱我
嘉嘉！
我爱地理，我要解刨地球
化学牛逼
我挺喜欢数学可是数学不爱我
我也爱语文英语
这辈子不可能
8可能
我爱生物
真想只有一个，算错了一边切
我爱历史
真的。感觉光是看这些人探讨数学，就有种崇敬感
？？？
少年班
up失败 我们有请下一位追梦人
我曾经也热爱过数学
对不起我真的讨厌数学
邓老师加油，你会成为超级厉害的数学家
自然哲学的数学原理
历史我爱你
??
哈哈哈哈哈哈哈哈哈哈哈哈
我爱数学和物理，但是我不会
我大物理表示不服
不可能
数学菜的一批的物理生
我爱地理
我爱数学我爱数学 祝我考上
BGM：Against the World
我一直觉得数学是最酷的学科，充满魅力
？？？
万能的英语
好了 再见
哲学不美吗
这不是少年班嘛
数学只是工具，物理才是真理！
真实
嫌疑人X的献身
绝对不可能
爱上数学挑战失败，我甚至不想看这个视频
嗯？？
啊啊啊啊啊啊本尼
John·Nash
数学是物理的工具
很多人点赞
艾丽西亚
我爱了
不太喜欢数学
我进来了
我爱美术
你以为我听不懂英语么???
23333
又有憨批在这说什么1+1=2
？？？？？？
我爱心理
我爱数学，但是……
我爱我兄弟的妈妈
这是欺负我不懂外语吗？改得那么夸张！
？？？？？？？
史派西这不是什么
？？？？
天才基本法真的超好看
不可能的数学
标题你做梦
啊啊啊啊啊  我不听  告辞
对不起，我爱政治
