粉扑是？
就是明暗交界线的地方最黑嘛……
卧槽
就决定跟着你学化妆了
太形象了！我居然懂了！！！
厉害啊
牛哇牛哇！！
卧槽，魔法
好干货
好强
同款眉笔
美术生接受良好ww
放屁
真的诶！
我这是在学化妆吗？我踏马这是在学画画！！
素描老师都没讲清楚的东西被姐姐讲明白了
我去
哇塞收藏了
这是真的
我去 牛啊
太会了太会了
厉害
这仿佛是在上数学课
素描中间最暗是黑色 最外面才是灰色
哇哦
牛啊牛啊
我也喜欢先画毛流眉
打在颧骨和咬肌上（我是美术生
眉笔是什么啊？求同款
这个眉毛好牛
三连了!
有几个在其他博主那边看到过
啊我就是这样画阴影的
确实
太牛了
牛批了呀！！
钱包不允许再见
前面的，我觉得是在上素描课hhh
这不就是素描卡点嘛
有用！学到了！
从未设想的道路，我悟了
突然發現背景音樂yybs！
素描里面最暗的明暗交界线吧，在中间
好厉害
默默三连…
卧槽
一擦就卡粉哭了
天哪全是干货没有一句废话
我一个男的都看呆了
太牛了吧
为啥我一男的能看这么久
眉笔是花洛莉亚的
标题逆天
太牛了
我是女的么？ 我怎么感觉自己不是啊
我就是这样画的
嘴巴好好看
卧槽，好厉害！
细节
我靠。。学到了，但是又得买粉底了
这不就是……素描人像
第一次三连给你了
我也是男的 铁直 但我觉得好有意思
JOJO
因为不会夹 所以我去种了假睫毛
。这跟后期再加修容。。也没什么很大的区别吧
两个色号粉底麻了
同款眉笔！
那会用两个不同的粉扑吗
虽然我都懂可是我不想弄好麻烦啊
好的大家请求出体积
我一个男生居然全部看完了。。。。
我悟了
皮肤真好
这个好吃吗
诶，我就是这么夹的耶
看了五遍了，脑子知道了，不知道手知道吗
加深明暗交界线？
姐姐好漂亮！
我没有眼毛
学到了又好像没学到
这人能处
明暗交界线是吧!
牛逼
明暗交界线不是最黑的吗？
bgm给炸出来了，迷魂计
建议反复观看
都起痘痘了，别化妆了
哇真的
关注了
眉笔眉笔
哇靠好厉害
都是骗人的
花洛莉亚眉笔
那你这个素描老师也太次了，抓紧换老师吧
这不会一张脸几个颜色咩
太厉害了 你币有了
那是反光
我画速写眉毛就是这样画的哈哈哈
我愿称作《美术课》
我听的比上课还认真
我感觉我在上美术课
明暗交界线才最黑啵？
！！！！！我悟了！！！马上去画！
还是先收藏吧
好像没什么差别……
我自己基本上就是这个走向化的，不学美术
懂了
好棒！
一直这么给自己画的，问题是皮肤和五官….美女咋胡搞都好看
！！！谢谢姐姐
哇
哇！
學到了
但是一瓶粉底液比一盒阴影粉贵很多
牛
骗人的那个求求你学学学画画吧这踏马就是按素描来的，不然你要说我们画画的明暗也是假的吗
5566
可是我没有两个粉底
我进来以为是素描 你给我看这？？？
我进来以为是素描 你给我看这？？？
我点进来以为是素描，你就给我看这？？？
好厉害
！
那我只涂最亮的地方不是更省粉底液
美术生是吧，，
啥粉底液遮瑕好好
哇
美术生表示很熟悉
bgm爱了
遭了，我在上素描课
这不就是素描嘛……
最暗的是阴影，然后是明暗交界线灰面反光高光
卧槽这个牛
我的眉毛简直比蜡笔小新还蜡笔小新
啊啊啊啊啊万恶的明暗交界线啊啊啊
那是明暗交界线 素描学死了朋友 你得回归化妆看人脸
卧槽
一边看一边惊叹于姐姐的美貌
牛逼！！
真的有用
是我了
素描人DNA动了
我悟了
竟然能用的上美术
我缺的是知识吗！是手啊！
我就是这样打耶
yjsl
感觉你数学应该学的很好的样子
我在这里放个P
美术生表示以为是素描教程……
救命！我觉得好有道理！！
现实中真看不出来
皮肤很好
像没洗干净脸
这个不叫腮骨，那个叫下颌骨
型转色变
迷魂记
我一个男的全程看完了？？？
美术生来报个到
我上课都没这么认真
有诶
耳环好好看
美妆已经卷成这样了吗
nb
男生看傻了
测试
可是我的眼皮褶子会把睫毛压下去
原来我学的解剖这么有用
果然！我是学美术的！我就是这样画的！！
那你别看
因为这个姐姐太好看导致我一个男生也看完了
女神太优秀了
我立马收藏
好厉害
美术生DNA动了
逐渐jojo化
为什么我一个男也不化妆 就感觉看的很有意思
你不就刮大白真是可惜
我一从来不化妆的男的，竟然看完了，就感觉牛逼
学废了
素描的中间不是灰区好吧。。。起名也不能乱起
灰明明在明暗交界线和投影之间。。。还有就是亮部往边缘。。。
还带透视的
为什么我一个不化妆的邋遢男人有滋有味的看完了
姐姐是南京大学的思路真的好细啊
明暗交界线dna动了
美术生来了
我一个老爷们 居然看完了
精装修培训
一个男生 不光看完了 还收藏了
眉笔是什么牌子的呀
求眉笔
好热血
我男的，感觉很有用，但是又没办法实践
就我一个男的看吗
这些都是平面拍照有用吧 真人见面的话不行吧
一瓶都用不完还要多买几瓶不同色的。。
学到了学到了
不化妆还漂亮，那是真的漂亮
我就是这样
救…我以为是教素描的…
我靠
我悟了
哇
好有道理啊
woc
三连了
我的车需要补漆了，约一下？
你币有了
这都是当年学美术学过的面部结构
买一个阴影棒也是同样效果。。
收藏惊人
看完了！牛蛙牛蛙
良品铺子打钱
我也男的！！！哈哈哈
沉迷bgm
首先不是干皮才可，要不卡死
你确定？毛戈平？
特别认真的看两遍
省流，素描和速写
22W...
我一个男的看完了
183club
这不是素描啊
