芜湖
好早
好耶！！！
哟西
刚刚！
早！！
刚刚
耶！！！！！！
看到我你就不是第1个
哟吼
我的ma呀！
发歌啦啦啦
好听好听
美美下饭
呦呵！
小番茄好可爱！！！！！！！
嘞了嘞了
芜湖！
好烫啊 这个番茄
广告曲咋了？？？广告曲也比你写得好
是新歌 好耶
yeah
我lei了！
好耶！！！
刚刚！！
真实
哦豁！
看我发现了什么
啥也不干
===热的热的
我看你的头像个球（bushi
我不干净啦
昂~
好耶
我钟爱的那么多！一定要成为时代的记忆点啊，切切！
在？摄像头拆一下
哎呀我到底该学什么呀
太真实了哈哈哈哈
无人区
好早！！
@.@
真的好可爱！怎么会这么可爱！！！
过不去了哈哈哈哈
有被冒犯到
量子学习
啥也不干！！
《懒得学习》
懒 得 学 习指保研成功（doge
快发网易云呜呜呜呜呜呜
太可爱了哈哈哈哈哈哈
所以啥时候跟着拜去换个发型啊小西红柿
牛蛙
科目二过不去的梗了是吗
！
我超 茄
《开  摆  ！》
好耶
哈哈哈哈
懒 得 学 习指保研成功（doge
好耶！
科目二～～～～
哈哈哈哈哈哈哈哈哈
崩2
再来亿遍
storyman
纪实文学
某幻风哈哈哈哈哈哈哈哈
双厨狂喜
茄哥的歌总有一段跟不上
哈哈哈哈哈哈哈哈哈
物理很美丽，可是我的成绩不美丽。。。
听完啦！12:04
早！
听完了！
我在雾里学物理
如有雷同绝是巧合
第一个听完
《科目二》
小王？小王！
我亲眼见证2000+到3000+
哈哈哈哈哈哈哈哈哈哈夹带私活！
叫赤红的果子
哈哈哈哈哈哈哈哈哈哈
这个画风真的好可爱！！！！！！
我不爱物理，物理也不爱我
3000+了好家伙
啥也不干～∽
太真实了我靠
新歌！！
好喜欢这个let's go
草，刚才好帅
承包空屏！
科目二哈哈哈哈哈哈哈
第一个看完!!!!!!!
出现了！美声切切！
我爱物理，物理不爱我阿阿阿阿阿阿！
听完啦
复旦金融系：那我走？
好耶！
来自真实事件
你懒
真实真实
no！！！不要物理
承包空屏
科目二——一生之敌
好可爱
艺术源于生活属于是
好耶！！！
充满力量的再睡一会儿
茄茄好可爱！！！！
物理 浅探好奇 深究放弃
这个小表情好可爱，太细节啦
番茄馅的（doge）
哈哈哈哈哈哈
时间线收束（
这个let's go杀我呜呜呜呜
跟头发较起了劲，起劲，起劲
经典科目二
太真实了
刚刚！
这个双声道给我整傻了
太可爱了
主不在乎
我本人
太真实了
注意《天生愚钝》指的不是此人↓
hhh科目二过了六次
好——
好耶
《开摆》
刚
依旧闪着光
哇靠
牛牛牛！！！！
依旧闪着光
依旧闪着光
为什么为什么，这个番茄有两个五官
叫戴安娜（doge）
依旧闪着光
科目二哈哈哈哈哈哈哈哈哈哈
早
《 经 典 永 流 传 》
哈哈哈哈
哈哈哈哈哈哈哈
好耶！
刚刚！
依旧闪着光
可爱切切
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈科二
确实
太牛了!    !    !
hhhhhhhhhhhhh
这个let's go好帅！
哈哈哈哈哈哈哈哈哈
科目二哈哈哈哈哈
上面张着嘴的小番茄好可爱！
无人区
惊现某幻（
h'h'h'h'h
好！
量子学家
然后跳过驾照吊销环节，因为根本没拿到驾照，哈哈哈
《根据真实故事改编》
好耶！
？？？物理
美声切切
饺子里包的是番茄的币子（
哈哈哈哈哈哈哈哈哈
这次一定
一键三连！！！
早！
升华主题
好早
经典咏流传
科目二哈哈哈
超 半个月两首歌我何德何能
哈哈哈哈哈哈哈
这个hook也太好听太对胃口了！！！
好耶
好耶！
哈哈哈哈哈哈哈经典科二
这就是我！！！
耶
好耶！
科目二哈哈哈哈哈哈哈哈哈哈
看完啦！
根据真实事件改编（doge
好可爱！！
最早一次！！
哈哈哈哈哈哈哈哈哈
好可爱！！！
？
太喜欢这个画风了！！！
我这辈子不会爱物理的
5000+人，牛的
哈哈哈哈哈哈哈
草
哈哈哈哈哈哈哈这和声哈哈哈哈哈哈
来的最早的一次
我超，还有续集
番茄头上还有个小表情捏～
是我没错了
《复旦之光》——指三次科二
复旦之光竟然自称天生愚钝
学个球啊学！
烫的！！！！
不怕烈火的锤炼，依旧闪着光
好可爱！
懒得学习
真实
这个pv好可爱耶~
明示投币（）
物理是多么的美丽美丽
啥也不干！
不怕烈火的锤炼，依旧闪着光
好耶！！！
小王！
不怕烈火的锤炼，依旧闪着光
6000人。。。
不怕烈火的锤炼，依旧闪着光
哈哈哈哈哈哈哈哈哈
不怕烈火的锤炼，依旧闪着光
啊啊啊啊啊啊啊
啥 也 不 干
哈哈哈，好可爱，开摆！
哈哈哈哈哈哈官方玩梗最为致命
let's go
丁仪表示很赞
好可爱哈哈哈哈哈哈哈 科二挂科茄
