我出息了
我直接投币
热热热
我是第一个
英语好
yeah
哈哈
第一个弹幕？
垃圾hd的广告
第一吗
娥姐威风
芜湖
爷青回
来了来了
猝不及防
来啦来啦
哈哈哈
《你英语好》
危
哈哈哈哈哈
《我和我的祖国》
哇！来了来了
英语教学
就离谱，捉不到
芜湖
猎杀时刻
好家伙
哈哈哈哈哈
比利无米，哈哈哈哈哈哈哈哈
危
3333
鹅威胁
哈哈哈
疯狂明示
哈哈哈哈
RUSH B！！！
解锁新人物
小策从没让我失望
哈哈哈哈哈哈
三连再看
第一次这么早
哈哈哈哈哈哈
梗王
经典三舅[doge]
哈哈哈哈哈
这是广告吗？
666
经典三舅
带制作
。
三舅：你礼貌吗
我都害怕了
我替三舅谢谢你
1111
《梅开二度》
又是三舅哈哈哈
三舅:???
Der
高手过招
好家伙
三舅：等我告诉大鹅。。
被识破了
这小院真好
5min
致命一手 
无中生舅
将军走此小道
来了来了
请选择你的英雄
经典复现~
哈哈哈哈哈
凯三仙上号
来了
三舅：他又来干嘛
终于来了
hd是真的笑死，腾讯太逗了
哈哈哈哈哈
高考可太秀了
后哈哈哈哈哈哈或或或或或或或
妙啊
来太早了
剧场版
《日常迫害三舅》
哈哈哈
第一批弹幕已来
梅开二度
来了来了
剧场版
哈哈哈哈哈哈
Renne 
哈哈哈又是三舅
三舅：你礼貌吗
这个转场牛啊
放洋屁
三舅来生意了
没人现在
三舅老躺枪了
一搜就发现更新了
三舅：我TM谢谢你嗷
哈哈哈哈哈啊哈哈
空盒子太秀了
好外甥！！！
世界线收束
三舅真惨
三舅：请打开麦克风交流
惊人的相似
哈哈哈哈哈你不拿走啊
十三少
三舅：wdnmd，又是我
传统艺能
三舅：你礼貌吗
经典三舅
蚌埠住了
三舅：勿cue 老死不相往来吧
三舅：你礼貌吗
摸摸主机热不热
笑死
麻匪交流方式
来了来了
哈哈哈
日常迫害三舅
（根）
三舅：你礼貌吗？（doge
三舅这次不吃豆腐了
见 钱 眼 开
这么便宜
哈哈哈哈哈
哈哈哈哈哈哈
«孔乙己»排出九文大钱
哈哈哈哈哈哈哈哈哈哈哈哈
BGM很应景
好家伙，8000多人
8000+你们都住b站？
笑不活了家人们
恰tx的饭取关了
你礼帽？
薛定谔的爷孙
得加钱
三舅全场最佳辅助
十三少yyds
三舅倒血霉了摊上你这么个外甥
无人区
哈哈
石英钟牛
哈哈哈哈哈哈哈
两个表时间不一样？
十三少帅啊
三舅经典工具人
终于等到你
墙上的时钟
哈哈，三舅能动啊？怎么没抽三炮！
共创文明城市
好家伙
热
666
三舅:捏妈
是的，电脑还能打代码（哭）
三舅：两次了昂，太不礼貌了
哈哈哈哈哈哈，这膏药不白买，关键时候真管用呀！！！！
哈哈哈
哈哈哈哈
羊慢……
三乙己
哎呀，没的弹幕
危
背后的表是反的哈哈哈哈哈
666
大爷危
日常迫害三舅
先三连
论根讲究
好耶
三鞭药
三舅
翻新角色
哈哈哈哈哈哈
大片
墙上的钟表，感觉不对...
塌缩了
哈哈
礼貌三舅：你吗
三炮哥的孔乙己式排钱~
里跟楞
暗号？
小女孩这鼻梁
哈哈哈哈哈哈
时间回潮是吧
哈哈哈哈哈哈哈
哈哈哈哈哈
某慈善：我怀疑你在内涵我
还知道来啊
14分鐘
危险逼近了！
哈哈哈哈哈哈哈哈哈哈或或或
哈哈哈哈哈哈哈哈哈哈
这个发音哈哈哈哈
我都用雷神
我又来晚了？
烫嘴
三舅
这个小姑娘真好看
巧了，我也是北京奥运会弃游的
哈哈哈哈哈
xs
我们在细心品味
哈德门哈哈哈哈哈哈哈
销售单位：根
哈德门 五块钱一盒
哈哈哈
GOOD
烫嘴
三舅:？？？？？
时长感人
散装香烟最得劲
散装白酒
还行
就在今天！
哈哈哈
哈哈哈哈哈哈
十三少
三炮大爷，这可不兴捡啊。。。霸气呢？？？
老孔乙己了
哈哈哈哈德门五块一盒
家庭地位
来倩女幽魂手游，一键~
邪不压正
十三少
先三连再看
