真的棒
帅啊
牛批
还有配件就离谱卧槽
这么NB的视频，怎么可以没有弹幕
卧槽
还有替换件？！牛逼
这么好的视频怎么能不投币
牛批啊
离谱
我愿称之为最强
你为什么不火呢太强了(・◇・)
棒！
发生了啥
up，给我火！
牛皮
你的手不是手   我的手不是手
火钳刘明
确实nb
好耶ヾ(Ő∀Ő๑)ﾉ太好惹
这是叠了一遍后又拆开的，等于叠了两遍
666
终极帝皇铠甲
你币有了
6666666
我怀疑底座都是自己弄得
今日的三连就托付给你了
妈问跪系列。
666
投币比点赞多，我也贡献了俩！！
准备截屏当壁纸
ohhhhhhhhhhhh
卧槽
woc
居然是用纸糊的。
加亿点点细节
这头雕不必某特贵的手办精细多了(慕)
ohhhhhhhhhhhhhhhhhhh
牛逼
您？
666
ohhhhhhh
您？
您
爸爸请收下我的膝盖。
? ? ?
参见吾皇
战歌起
您
？
？？？？？？？？？？
还有各个部件替换等等。
这是人能做出来的？
卧槽
您
太帅了吧
这才是真正的帝皇侠
全体起立
您
倒放【doge】
这比例好好！
NB
不仔细看，还以为是花几百块钱买来的模型呢。
换我我估计多久都做不出来
不投币的好意思吗
帅啊
牛皮
牛逼
魔法
发生什么事了
您
牛逼
宁
？？？？？？？？？
?????
这BGM真牛逼
nbnb
这也太六了
空降4:20
？？？我错过了什么？？？
1000了
两千了
您
啊？
这才是真正的帝王之气
火钳刘明
反正不是你的纸
666
火钳刘明
nb
太强了
天啊，这个怎么做到的
这个还可动
投币比点赞多系列
牛批
所以说还是可动的？
感觉可以加个噱头分享给更多的人，比如某UP因为太穷而折起了纸
投币比点赞多
两千加的大哥们好啊
好牛
Nb
帅
我就是太阳
？？？？？
辛苦
无人区
2000+
给我三辈子也做不出来
我靠不可思议
不错
别拿原版骗我
手艺人
这特么让我召唤铠甲都比折这玩意简单吧
恐怖如斯
这一个可以卖多少
牛
帝皇铠甲  合体
3000+
太牛了
您
燃起来了
牛
管他什么做的，到最后帅就完事了
光之帝皇铠甲
我称其为神
手好巧啊
up厉害
神呐
纸：没想到有一天我会变铠甲
？
3000个兄弟在看诶
奈何老夫没文化
《某up太穷折起了纸》
您
3000+
我这边也是3000人看
加亿点点细节
三连了
卧槽
？？？
这可不可能是倒放
用纸就离谱
禁止在麻瓜前表演魔法
牛逼啊
牛逼
凭勇气将潜在的力量解封印
 嗯？我哪步没跟上
太帅了
真的流批啊
勇闯无人区
NB
帅
好想要
沉睡的沉睡的记忆即将苏醒
哇⊙∀⊙！
火钳刘明
几百钱你确定？
太阳光芒
［绯红之王］
我在静静的学
你的目光赐我力量
好吧我放弃了(눈_눈)
穿上铠甲
3000+
您
大佬
重返战场
妈问跪
我的风光 你的哀伤
火钳刘明
我是涅槃的凤凰
同款Jumpwind
tql
妈妈问我为什么跪着玩手机
纸模？
您
已经4000了
这是纸？
您？
骷髅马
 替换件（doge）
《折纸学》
我这里4000人
卧槽
帅气
小心被盗
小心被盗
投币比点赞多系列
小心被盗
小心被盗
替换手型还是指节可动？
nb
币比赞多！
400+
？？？？？？
狗头？？？
太牛了，不像我折个纸飞机都不像样
这像雕塑一样
这是特么折纸战士！
手：哥我不会 脑子：废话我也不会
woc
给我三年我都做不出来这样的
“纸”帝皇？？！
好好好
你几百买个我看看
卧槽
牛逼
这边三千
币比赞多系列
最纯粹的光——帝皇铠甲
终极帝皇铠甲
？？？
4000兄弟好
4000
BGM帝皇降临
这就是大佬的力量吗？
您？
我来组成头部
武器超帅
粉丝瞬间从9940到1w
您
大受震撼
白嫖失败
不好意思，问一下，为什么只能投一个币
胸甲和裙甲做磁吸会不会好点
这才是真正的无人区
太阳的力量
这特么才是帝皇
下午1：12的同志
承包空屏
神啊
记得上水印啊 up主
帝皇驹，童年啊
你太强了
卧槽
ohhhhhhhhhhhhhhhhhhhhhh
b站高质量视频
您
我是自己的帝王
我没跳啊
卧槽
四千个再看
请收下我的膝盖
下午1点21的同志
我要这一键三连有何用
看不起纸做的？看不起出门左转不送
牛壁
全体起立！！！！！！！
卧槽能懂动？
教练，我想学
握草，牛啊
？？？？？
太震撼了！艺术啊！
牛逼啊
弹起来燃起了xdm
还能装
爷青回
一
4000
这段BGM简直就应在DNA里面
别人的三个月
我不做人了！！！
4000个兄弟们好
1
3000人看
河里
4000
离谱了
发生甚么事了
ohhhhhhhhhh
下午1点36。
BGM光荣之征
燃起来了
1.37
up太强了
卧槽
来了
牛逼
i了i了
全体起立
3000+
卧槽
啥也不说了牛逼加点赞加投币加转发
这气质
6666
？？？？？？？？？
这东西，国宝级别。
牛逼
那么多人在看呢。你们好
感谢！野生字幕君。
币比赞多
您
1：45
太强了
牛逼
我是不是少看了一小时？
献上膝盖
专业
李在干神魔
发生甚么事了
nb
发生了什么？
我感觉我的手没用了。
就离谱
您
铠甲合体了
你好意思白嫖吗
一点四十九
你一步一步放出来是怕我学不会吗
大佬太强了
帝皇铠甲！合体
强啊
御 驾 亲 征
牛哇牛哇
您
御 驾 亲 征
御 驾 亲 征
特来捧场
特来捧场
离谱呀
1
这玩意有手就行   不对   我手呢
可拼装
1点59
DNA动了
1
好家伙，禁止使用魔法
火钳刘明
这敢白嫖
手办都没这样
可以买吗
离谱
这个歌怎么那么像神兽金刚
挥起你们的双手
5000@＋
5000+
这就是真正的终极帝皇铠甲的终极形态。
我擦，我错过了哪一步？
太牛了
5000+！
6666666
你币有了
omg
我来组成**
您
"nb,投币比点赞多系列"
？？？？？？
5000+
5000+
5000+！！！
亿点点细节，大家都淡定
5000
你就是折纸大师
5000+，爷青回
火钳刘明
心灵手巧
这特么是纸折出来的？
5000+正在看的兄弟们，发个弹幕啊
5000+
太牛逼了
5000+
？？？？？
5000+
这就离谱
禁止对麻瓜使用魔法！
离谱
您
牛啊牛啊
这已经完全看不出来是纸了
您
硬币飙升啊
5000十！
这咋折出来的
牛逼大佬
自信是成长最光荣的使命！！让世界苏醒！！！
1
恭喜你发现宝藏
您
火钳刘明
诶，燃起来啦！
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
我就是太阳
离谱
牛逼
下午两点十八兄弟们
5000
NB
量产
这是纸？
5000+
5000+
999
帅啊
这不三连对不起呀
帝王铠甲合体！！！
nb
5000+
出必买系列。
牛逼
看不见我
卧槽
投币比赞还多系列
哦，这次不能白嫖了
无奈本人没文化，全程都是“卧槽”
已关注
牛逼啊
up要不要考虑去干扎纸人的活doge
卧槽
牛逼！！！！！！！！！！！
"[0,""40"",""1-1"",4.5,""                                    :7.1:                    ..iiii                                 \n                                    ..i:2:                  ..:.:.u                                 \n"",0,0,0,""40"",500,0,1,""SimHei, \""Microsoft JhengHei\"""",1]"
up主！这是我最后的三连了！收下吧！
牛蛙牛哇
"[0,""80"",""1-1"",4.5,""                SPr                  ij7r:r:      .        :SDrYY.r:                 ..             \n                5qsv.               ..L:.i:i.   .u1ir     .ji::.i 7:                idI.            \n"",0,0,0,""80"",500,0,1,""SimHei, \""Microsoft JhengHei\"""",1]"
这个肝上甚至长了个人
"[0,""120"",""1-1"",4.5,""                iJr:isP7            .   :r7ri7vv7j  iLrr71j..Yi. rU             iQRv .u:            \n                iU:i::7g7               .:.rrv7r77   77.71. :vi. ri            vML..  5.            \n"",0,0,0,""120"",500,0,1,""SimHei, \""Microsoft JhengHei\"""",1]"
还能握着 太离谱了吧
5000+在看
大佬
1733
牛哇⊙∀⊙！
？？？？？？？
"[0,""200"",""1-1"",4.5,""                    .. YLr7u7.         :vr:5K7:..i  :  vgBMPir.:r       7RLv7vr. v7 v.              \n                       .27:L27.       7rsL.iZQPJKgUSBIgQBgKi.  iY7     igLrvjv:. v7i.               \n"",0,0,0,""200"",500,0,1,""SimHei, \""Microsoft JhengHei\"""",1]"
5000+就离谱
卧槽
"[0,""240"",""1-1"",4.5,""                          SJ  .su:      .iXqi:.:rKXvi:7u:L.:r7Js   .Ss7v:    :rS7                   \n                          LUL   i5       .rsXiiirir. .7LL. r1r.j:  vj7i.     L5:                    \n"",0,0,""1"",""240"",500,0,1,""SimHei, \""Microsoft JhengHei\"""",1]"
5000+
我这里5000+
"[0,""280"",""1-1"",4.5,""            .rvIX7:M5rv     rrrIi  i:s77 .  :d. uEX  :2Rr7v.iP: 7r.i:.     7Sviv7s.                 \n       .LKgQQRBRPiPB. 7s     77:v7:iirrdu:7 .7:.iSU :vi:i7Yir:  .:r5:     rj1117dDSPMEbsr.          \n"",0,0,""1"",""280"",500,0,1,""SimHei, \""Microsoft JhengHei\"""",1]"
azhe
"[0,""340"",""1-1"",4.5,""   Pbi2MKrivdKJ5PEEKqP2gD. 77.   ..Xd7   rrrsr..SBBMi .   7U  r .:.  .vi..:77J7rJv.        ..::r.i1s\n   77 :2Dq7sduIj7rLJu1PgM.  7Ur   .:.ri .i7i:.r:BQBd: 7:  5r        .Yr...7                    ..vX.\n"",0,0,""1"",""340"",500,0,1,""SimHei, \""Microsoft JhengHei\"""",1]"
世界！
"[0,""360"",""1-1"",4.5,""   .: :.rS  :.:qSI2PUi:1Ej  ..r:   i  ir:iii..:iLBBBBBX. .2.    .7j7v. . ::   .........  .   ii2Lu: \n    .:27       rgMQgDIr:ub:.i:.7. .v:  7srii7:.i.rPQgJ.  :7  .i7IsL7.    i: :7:  ..  ...7u::Pd:rDi  \n"",0,0,""1"",""360"",500,0,1,""SimHei, \""Microsoft JhengHei\"""",1]"
我正斗着地主 一低头 卧槽
nb
我是自己的帝王
还有地虎侠，他会召唤地虎铠甲
卧槽
5000+
您
好好看行吗，发人数有意思？
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
我要这币有何用
牛鼻
小心被盗
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
火钳刘明
配件都有？
高质量铠甲
好多细节！！！
妈妈问我为什么跪着看视频
66666
已经呆的说不出话了
5000+
卧槽
您
牛
您
？我看了看我手中的纸。
凭实力让我三连
5000之1
卧槽
6666
5000+
火钳刘明
这是纸？？？
牛批
ohhhhhhhhhh
5000＋
5000人
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhh
牛逼啊
6000+在看
6000+就更离谱
是不是理论上纸可以折处任何东西
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
两点41
恭候多时
我妈问我为什么跪着看视频
白嫖无效
666
1
完全看不出来是纸做的
Bgm太好评
您
6000+在看我丢
