欢迎军神！！！
哈哈哈哈哈哈哈哈哈哈哈哈不知道的以为跟教练拉架呢
这肌肉太牛了
十几吨……
我来承包弹幕
好像再练摔跤…
太强了
那个运动员不是磕药了嘛，金牌被收回去了
我教练！！！
鬼畜区素材预定（doge）
《摔跤》
减退？
那个人不是药检出问题了吗
在国内，你也是健身爱好者眼中的神！
哈哈哈哈哈哈
想看军神勇跳一米板（doge
beauty
军神 军神 我滴超人
切磋 指扛鼎
肯定是减退的，只是军神训练太刻苦了
哦哦哦军哥好
身体机能在减退(指破纪录)
只能说，太强了
好家伙，回家不忘训练
军神，太强了
卧槽
情不自禁的摔起跤来
想看军神跳水
来了来了
哈哈哈
翻译：以后会给小b友们分享一些生活训练内容
那个实锤兴奋剂了呀
药罐子
哈哈哈哈
说油焖大虾是小龙虾的得是多没见过世面
军神好
一般男的35以后身体确实下滑的比较快。
搁这做深蹲呢哈哈哈哈哈哈
来点教程吧
这肌肉无敌了，何止是完美，简直是完美
今年查出来有问题 那个人有可能被取消惩戒
哈哈哈哈哈哈哈哈哈
卧槽 真想和他切磋一下
十几吨 无敌的军神
想看于导训你
想要看你在家的温馨生活
懂了 想拿冠军就要吃虾
举重摔跤两门报
咦
赶上了，赶上了
哈哈哈哈
欢迎欢迎
突然鬼畜
承包空屏
名场面
《切磋》
军神流弊
地球上最帅的男人
加油！
油焖大虾怎么可能是小龙虾？？没吃过酒席吗？
果断关注
摔跤
军哥牛逼
！
军神
欢迎光临
军神！
我也承包了
神来了！
军神！
欢迎军神
欢迎军神！
军神这个衣领真的是这样立起来的吗
这次一定，下次也一定
那个人是作弊
来了来了
举重队真滴强
但是那个药检出问题了
实际上是蝉联了
ohhhhhh
军神yyds
欢迎
《一米跳台跳水冠军》
我迅速赶到
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
军神
里约的金牌正在补发的路上
加油
别了别了
哈哈，顺便练个摔跤
凡尔赛发言
摔跤
军神的热身=我的极限（手动狗头）
力量偶像，军神！YYDS
举床
全体起立！！
军神，可以平常给咱们科普科普就是举重吗，或者是日常，
训练视频
军神流弊
想看军神深蹲
军神不容易啊
杨倩：你说这我可就不困了嗷
众所周知，吨是训练单位
感谢你的付出！
那个石锤作弊了。
神
吨。。
太强
两只老虎爱跳舞
bgm好啊
欢迎！！！！！！！
军神的直男式拍摄，哈哈
（减退）指奥运周期内连破世界纪录
这次一定
《减退》
！？？？？？？？？
我们只能吃狗粮是吧军神
《减退》
高情商
哈哈，就离谱
军神yyds
我的神来了
《减退》
坚持！！
《一些》
哈哈哈哈哈哈鬼畜预订
《一些》爆发力
欢迎欢迎
军儿哥nb！
空屏
牛逼
我觉得三个人一起举都很轻松
里约金牌本应该也是你的
欢迎
好耶好耶，军神这种好男人是我的榜样
好正经啊  哈哈哈哈
哈哈哈
果然厉害的人都是在不断总结经验的
对方磕yao了，冠军还是军神！
《高情商》
先投币以示敬意
哈哈哈哈哈哈
军神军神
欢迎
太幸福啦
肌肉盔甲！
军神！！
背阔肌夹纸安排一下
下次可以换个自拍视角哈哈哈
满嘴狗粮
嫂子也好厉害哈哈哈哈
超级赛亚人啊，这肌肉
卧槽
赶紧关注
《摔跤》
《线下切磋》
来了来了
捧读现场哈哈哈
抱摔于导
前面药罐子，nmd过分了啊？！
哈哈哈哈哈摔跤
呜呜呜呜呜呜
油焖大虾说的是他老家潜江的小龙虾做法
摔跤
减退（指自己抢自己的金牌）
有这爹，以后女婿铁定是妻管严
神仙好
好清切的湖北口音哈哈哈哈
于导：我差点儿以为自己进八角笼了，孩怕(doge
湖北潜江的老乡
来单挑
BGM：level
欢迎欢迎！
两只老虎的那个别跑
军神能不能出个教程
560…
爸爸！
追回来的话，蝉联三届，什么概念？
卧槽
卧槽
哈哈，对方药检阳性了，金牌还是军神的！
woc这核心，我们高中平时训练顶多加根杆子
卧槽这什么练法
哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈
打起来了
减退之后也还是大力神一个
？？？训练按吨算吗？？？
留币何用！！！
穿吊带
对是的，我也想说军哥的背不宽但是贼厚
这是还在隔离吗？
哈哈哈哈哈哈哈哈哈，嫂子太强了吧，哈哈哈哈哈哈哈哈哈
三连了，吕神
欢迎军神
卧槽，军！
必须给军神三连！
跳水！（goje）
那我说一个吧，我想看你被于导骂
身材比例完美
核心训练
我想看军哥被于导骂
这俩人咋在举重台上摔跤呢
军神
没事，反正马上就是你的了
levels好评啊啊啊！军神的bgm都不一样！
我奉劝奥组委赶紧把16年的金牌还给军神！
小鲜肉请求出战
两只老虎爱跳舞。。。
于导：指中国男子举重队总教练于杰
太帅了
快说说，怎么能当上奥运冠军
？？？？？？？？
哦吼
老婆表示很满意
哈哈哈哈
我直接目瞪口呆
酸了
关注了
卧推教程来一下
拿了冠军之后和于导在台上摔跤
其实有举重级别调整的客观原因，77调整到81让军神获得了很大的调整空间
绝世美人
好！
国内健身器也是神
那家伙磕药了
没事，那个人兴奋剂了
一建三连必须的
有饮食么
下次也一定
好家伙，这胳膊怕不是比一般人头都大
欢迎军神！
这个拉四次都一吨了..........
军神！！！！！！！
跳水的 把我逗笑了
我要看训练！我要看肌肉！
这叫摔跤了
军神
军神
！！！
而且连续三年都有奖牌
levels！
没事还是蝉联
军神！
减退
嫂子好好看
让他吃！
里约裁判黑哨
一小时两万关注
《减 退》
军神！！！
扛床！
太可了！！！
哈哈哈哈
太强了！！！
那个b吃药了
军神！！！
金牌是你的了哈哈
军神牛皮
军神
里约的金牌也是你的
好家伙，摔教练。。。
哈哈哈哈哈哈
卧槽军！
硬核举高高
来了
军神yyds！
没想到对面磕药了
哈哈
抹一屁股粉
军神
这个世界好像没有单身狗的位置了
好可爱
高
《一些》
举重教程！
想和军神较量缠斗
求生欲很强
用军神家的健身器材锻炼的同时看军神的视频
摔跤
《切磋》
对面兴奋剂
12年我高二，好可惜看不成奥运
啥时候补发16年的金牌
来了来了来了
军神nb
卧槽
哈哈哈哈哈
潜江人骄傲！
五七油焖大虾！！！
这个真的没有训练累
卧槽
wocccccccc
太幸福了
吨。。。
肌肉太美了
军神
军哥
饮食习惯和肌肉
yyds
哈哈哈哈念稿
军神！！！
军神
嫂子也是举重奥运铜牌得主
这以后你女婿被你打一拳 你会哭好久吧
求生欲拉满
我人傻了。。。。十几吨
减退，指能把我一手提溜起来
对面磕药了，已经快实锤了
真男人
560斤硬拉？离谱
？？？？？
军神牛逼！
想看李大银
应该还要参加全运会吧
健身的都看不起健美的，健美的看不起健身的。
军神
大神
真·背负整个家庭
？??????????????
军神！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
可恶，给他圆回来了
欢迎
啪，大意了啊
欢迎！
军神
avicii   levels
三冠王
没有想到：指兴奋剂
再来一届
ohhhhhhhhhh!
确实不年轻了
军神驾到
军神
握草
哈哈哈
欢迎军神
神！
wocccccccccc
牛啊
体操！！
三连啊，兄弟们
哈哈哈哈
《举重吧！爸爸》
不敢白嫖
军神
祈愿军神耳环！！！！
军神！！
哈哈哈，感受到你的激动心情了
欢迎军神
我觉得你是故意的冠军，虐狗啊(>﹏<)
他吃药了
日 常 试 举
2h
哇
我一周的训练量连几十斤都没有
卧槽
好幸福呜呜呜呜呜
腰伤恢复训练
军嫂也好厉害
哥的领子没整理好 蜜汁拍照角度 我更喜欢了
算吨的啊
欢迎军神!
绝世美人吕小军
叮当猫上线
绝世美人吕小军
