我怀念的是十六班
老白好帅
也用鲲哥的书嘛？
准大一，怀念但不想再来一次
好真实！好美好！
这里好漂亮
与你三年青春，这币有何用
是无话不说~
是的
帅帅帅
好熟悉的氛围
这个校服是我初中时候的冬季校服啊啊啊啊啊
这些人都是陌生人  但给我们的感觉是无比真挚
天空好美
我之前眼镜度数更不上时也是这么戴的
好大
好可爱
剪刘海剪毁了被全班围观太真实了
同款希沃
同款天利38号
大三表示再也不想回去
决胜800
同款倒计时表
好喜欢这样的氛围啊...
你闻闻，你自己闻闻。doge
小比崽子嗷
我天！这个白卫衣的长的好像钦哥（周游）
塔图姆
太真实了，我们也是每天宣誓
好遗憾，我当时没有多照一点照片用来怀念
我也是
操场真实
淦，我也玩过这个
哈哈哈哈哈哈哈
看杯子，府谷中学
泪目了
逐梦的时光最美好，可惜那时候我们不懂
什么都没了唉╯﹏╰
哈哈哈哈哈哈哈哈哈哈
还能跑开的教室就没有体验过，桌面不让放东西挡住脸，都是蒙牛的箱子装的资料放在脚边
哎呦，这个抖肩可以
stay alive！
野兽先辈（幻视）
我高中班上48人  只有一个不戴眼镜
泪目
那些人，那时光
他这是穿上了的裙子吗
我们学校不允许打闹，主任天天抓
看着看着要哭了，回不去了
都带着小眼镜
虽然怀念，但不想再来！
卧槽这里效果好棒
这个好像野兽先辈
我不认识他们，但却无比熟悉
白日梦想家的BGM
我怀念的是一起做梦
前面是懒兔的球迷
打工人想回去读书呜呜呜
怀念
男孩们的游戏总简单而快乐
娇羞
真实
准大一 ： 怀念也确实不想再来一次
看哭了草
回到梦开始的地方
放学别走
校园的天空一直很美
全是眼睛仔 可怕
这群人里面应该有一个不爱说话的人 就是我了
不结婚，难收场啊
啊啊啊啊
准研一，怀念，但绝不再来
好怀念啊
准大一，怀念但不想再来一次
是一起做梦~
哈哈哈哈
好羡慕，想回到过去
真怀念高中
真的玩的最好的除了死党就是一群高中同学了。
"瞧瞧我看见了,什么三维设计！"
哈哈哈
确实
都太可爱了
也是我怀念的
可惜了我考不上高中
刘文钦
三维设计
准大三，非常怀念且想从头再来
趴着睡觉太真实了
怀念 还想再来一次
人均眼镜哈哈哈
怀念
回不去了
泪目了
九月开学准高三 从小到大一直心里对高三这个印象很可怕的
还有人是听讲看黑板时候才戴哦
刘闻钦！是你吗刘闻钦
陕西人加一
朱昊鲲有没有做过的
卧槽
我现在还是高三
怀念青春
我们班学习好的不戴眼镜的也挺多的
我期待的
我没经历过，也没有回去的余地
宣誓!
老白好帅
还没开始
泪目
校卡我甩飞过
塔图姆
毕业了买书给学弟学妹好真实
因为这可能是人生唯一一次斗志激昂的奋斗了 以后大多是一个人的人生了
我怀念的是无话不说
所以博主学校是手机自由吗 当时除了周日都要偷偷摸摸
我都没有机会记录下来......
这书我做过，一看颜色就知道
臣附议！！↑
这个我熟
现在高三了 还有两百多天挺累的
原来我离开的是天堂……
哈哈哈，寝室里的沙雕生活，哎～
准大三 怀念啊
什么歌啊
我不认识他们，我就是他们
我怀念的
我大学同款上下铺 哈哈
大一，复读一年，不怀念甚至做噩梦
我高中只有画室同学的照片 连毕业照都没去照
甩校牌是我了哈哈哈哈哈哈哈
校园的天空总是好美！
同款倒计时牌
胡郝？
我不认识他们，却无比熟悉
哭了
刘闻钦
握草这人和我长的好像
天利38套
bgm：在我成为井井有条的大人之前
同款
好可惜没能上高中...
毕业了才真的怀念
你好！我即将面对的高中生活
八十多的近视率是说着玩的嘛
我开始怀念高三生活，虽然很苦很拼但这不就是青春嘛？
陕西人+1
准高二加油  保我考本科
再也回不去的是那些人  那些事 
所有人都是怀念但不想再来一次，我也是
向前走吧，人生还很长，长到回头看恍如隔世
我曾是你们
破防了
刚刚那一看就像学霸
准高二，加油
来自中职生的渴望
好羡慕这种窗户，这种氛围啊
天呐，这里和我初中学校高度重合。同样是建在山顶。
卖书！！！全国统一
好怀念
准大二，怀念高中遇到的最好的他们
1000+
有什么好怀念的？没什么好怀念的
哈哈哈哈哈
这是小情侣吧
你别这样呀， 会哭哒
感觉很和谐  很美好
男人的快乐～
同款校服
还两年
我也是这样戴看的清楚些
我怀念的是深圳高级中学15级高三五班
求BGM
你们高三居然可以玩手机
准大一，真的很怀念刚刚逝去的高中生活
这冬季校服和我学校的好像
没校服就整挺好
大二，怀念，冰箱一直留在那一年
stay alive
虽然毕业之后挺怀念 但也不想再来一遍了 因为真的很累
准高一正在看
stay alive
我们也干过
理科班？
泪目
真是stay alive，我们活着就有无限可能，人生就是要滚烫！
准大一，会怀念，
已经创业很久了，很怀念当初无忧无虑的高中
居然也是三维设计(ಥ_ಥ)
害羞
三维设计！
太好哭了
2000+在看
已经高三毕业，现在要上大学，我怀念高中的生活，我后悔没有好好学习，现在要上大专了，大家好好努力学习啊
傍晚还是一样的美
不怀念，多苦啊
这个同学戴眼镜的方式和我同桌一样
我怀念的是努力奋斗的过程
全部都戴眼镜了
stay alive!!
刘文钦
怀念，但不想回去
是课间休息的我们了
唉马上就要回去复读了，又要经历一次了
问为什么怀念的，等你毕业才知道
2000+在看
我们老师下课就催我们趴一会
毕业几年了，还是一点不怀念
大学过后 你会怀念 步入社会你会更怀念
全国衡水模式吗哈哈哈哈哈我们学校也这样
希沃白板！！
求bgm
那个时候男生总喜欢欺负女生
我不认识他们，但又却似曾相识
我怀念的是无话不说
我怀念的是初中
还是想要爱你的冲动
2000+看
甩校牌好真实
回不去了
准高一！
前面的好甜
我们也有宣誓，就考前45天的时候，每天
真实
剑客!!!
三维设计！
西政见
我准高二居然哭了
2022高考加油
2000+
转笔
三维设计啊
白日梦想家
当时的目标只有一个
高一打架被开除了现在打零工在
别说了，真的快哭了
对的 很青春
2000+
三连了
我怀念的是争吵以后还是想要爱你的冲动
这是我想抓都抓不住的东西
是熟悉的，是回不去的
毕业了
记忆倒带了
我那时也这么拍过，好怀念
高三没努力，真的很后悔呀。
宿舍条件真好
不怀念不怀念不怀念，吓死我了
这文本写的不错
准大一，复读一年，爱惨了我的高四
泪目是因为我就是你们
班费哈哈哈我也这么玩过
我的高中生活一点都不团结
我也怀念莆田四中19届16班
三维设计yyds 
好憨
哇窗外好美
好怀念
再也不会有了
准研究生，好怀念
是真的
好像有点导游天赋
钦哥！！
我最大的遗憾就是没有在那个时候特别努力地拼一把，也没有谈一场注定会分手的恋爱
很苦确实真的快乐
我怀念的 是以那些人为载体的那段时光
男的好多 理科班吗
还有三年高考
（）
暂停看电路图
我靠我以为看到高中的自己了
高中真的不戴眼镜的很少
杨舒宇杨舒宇杨舒宇杨舒宇杨舒宇杨舒宇杨舒宇杨舒宇杨舒宇杨舒宇杨舒宇杨舒宇
不近视会被大家羡慕
府谷 陕北
啊我就是这么睡的
我发现我高中没有什么好的朋友同学
却看到这个视屏心里涨涨的有点难受
至死是少年
准高一学长指点
研究生毕业了，还想再来一次
我们班的方向就是这个
我生日哈哈哈
高三是最怀念的
我不怀念
30000+
简单的视频容易勾起人们的共鸣
博一，我太想回去了！！！
窗户没有防盗窗，真好
是的呀，象牙塔
我也是那么玩饭卡的
2022年6月7日，我迈入了高考考场，高考加油！！
果然最后一排都是体育生
看完了特意跑回来发个弹幕：这冬季校服跟我们学校一样一样的！！！！！
今年开学高三，正在上网卡，冲！
之前不怀念，现在怀念起来了
也是我怀念的
我不认识他们，但我曾是他们
寝室这么好？
准大一
高中的晚霞真的很美丽
研二，想回去
生命不息，奋斗不止。全力以赴，共铸辉煌！
生命不息，奋斗不止。全力以赴，共铸辉煌！
原来是陕西乡党呀！
生命不息，奋斗不止。全力以赴，共铸辉煌！
生命不息，奋斗不止。全力以赴，共铸辉煌！
好家伙好多男的
uzi
stay alive
大三考研党，后悔但不想再来，因为那样后来所做的一切都没有意义了
这怎么看着不太聪明的压子哈哈哈哈
陕西人，老乡！
不会吧同款棉袄
20个3年
刘闻钦！
我怀念的，是无言感动
我现在就在这个时候，看起来好有感触
羡慕你们有视频记录，我那时候除了记忆和毕业照什么都没有
看着我的高中生活，我满是感动
zzzz
我都能闻到班里面的味道
进度条才过半哦
想哭……
破防了
蚌埠住了
准大一表示是段痛苦的日子
每一段过去的时光，都是象牙塔。
销户！？
可惜百日的时候疫情在家
怀念延中那段时光了
青春真好
青春真好
真好
我怎么会刷到这个视频哇哦⊙∀⊙！！！！
这才是真实的高三
3000+
这个教题目像极了我和我同桌
3000+
近视也太多了吧
那时候觉得自己有无限可能 
哭了我以前都没相机
学校就是象牙塔啊
准高二又害怕又期待
这才是青春呀
我的高中？
我不认识他们，但却觉得无比熟悉
很美好
似成相识啊
倒下一大片
羽落凡尘，和我本人一样帅
同款倒计时表，乍一看到还以为是我学校，开始害怕了已经
同样怀念
我不是他们，但他们是我
后门不准关
圈子小的人那会有人顾及
挺遗憾的
陕西呐
如果可以回到初三暑假  那该有多好
找个时间会高中再看一遍晚霞
校园的晚霞永远是那么美
此时此刻，恰如
我寻思着跑个操怎么就衡水模式了？
长大了谁还敢这样欺负女生，都是被女生欺负
要是有人能记录下我们的高中日常多美好
我就不一样了，有同样的窗户，但是窗户外边是班主任的家…
明明刚毕业，但记忆真的开始模糊了
准高一看了心中一动，看见了未来的自己
bgm好评
高考必刷题
白日梦想家！
研二 怀念
复读了
从毕业的那一瞬间开始想念
我们在宿舍打乒乓球
兄弟这是在干啥
看不完了，刚刚结束两个月
太拥挤，太压抑了
啊啊啊这段时光才是最美好的
如果下雨，我们就不用跑了。
我怀远一中21三班的哈哈哈
3000+
大学再无集体学习
好帅
3000＋在看
必刷题
泪目
大学都快毕业了我还在怀念着高中
准研二 想回去
真的好美好啊
石狮八中我永远的家
定州一中15级四班我哭了
我的青春也不是没伤痕
想知道背景音乐
三维设计！
我生日
想念商水二高
怀念教室的晚霞
我笑得有点想哭
我怀念的的人
3000
我感觉他们都好像我的高中同学
大学毕业的老姐姐要看哭了 
其实这段岁月才是人生最好的
绝了哈哈哈
永远不会怀念高中时期
府谷中学！我去我是你隔壁榆中
好像刘闻钦
白日梦想家的bgm
三千五呜呜呜呜呜呜现在就在背
府中？
3000+再看
原来是我的学弟啊
刚刚那个男的女的？
stay alive
正要经历的
好怀念
这里是象牙塔
几乎全员戴眼镜啊
河南准高三来看看
府中哈哈哈哈哈
盲猜理科班……因为我们文科班讲题不是这个姿势
准初三啦
高二了
TIM你别回头
哈哈哈哈哈
以前晚自习做数学就喜欢揪头发
这不是我弟吗？？？
那个固原一中的，校友校友！
我怀念的，是无话不说，我怀念的，是一起做梦
高三人 好痛苦
卧槽，我学校
在别人的视频里怀念自己的青春
我好想你们啊
白日梦想家
黑板上的公式已经陌生了，这是什么？
大学的班级真的再也没有这种气氛了
团员档案袋太太太真实了  救命
怀念
侧脸 Tim？？？？
跑操不累，要的是方阵（纪律）不是速度
要开学了呜呜呜呜
衡水跑这样很不好真的
……
太真实了 我们也天天宣誓 而我就是那个苦逼领誓人
啊 是青春的味道
怀念，已经准备再战一年了
我的青春不是没伤痕
来个帅哥瞅瞅
3000+
太像了
没在这里上过一次课，却是从这里出来的人
高三了我会好好享受的
3000+
知识清单
应该是理科班吧
真好！
同款语文背记本
我没过过是因为我生日在暑假
青春活力
这个文案好
期待又紧张
王腾跃我是你bb
甩饭卡 真实了
诸君，山顶见
哈哈哈哈哈哈这两呆鹅
一生中最怀念的三年
哇这个班氛围真好
这窗户和我们班好像
高三的时候真的是我目标最清晰的一年，太怀念了
这个表好高级
zxs裙子yyds
好想哭
准高二了，和高一的去那个她再也回不去了
这个帅
三维设计！
我在上网了，怎么来这了
学校的晚霞永远是最好看的
并不怀念
我们班同学哈哈哈哈哈
三千五只是下限
看了很多遍了
跳蚤市场！！
少年可期，祝福你们
高中三年是我活着至今最黑暗的时候
泪目
音乐生
不不不   我怀念的是以那段时光为载体的那些人
永州一中高一新生，未来可期，我一定要上985
现在最常说没关系
19届前来报道
当我感到空虚
就去便利店买些吃的东西
3000+有南开中学二中四班的人吗
以前最常说怕什么
大学真的没啥朋友h h h h
研二了，记忆瞬间拉回
还好，我的青春还在
毕业之后，这样青涩单纯的人再也遇不到了
你不会一直年轻，但永远有人年轻
准高三，累且期待
刘闻钦？
就告诉自己深呼吸
up主拍摄手法真的不错
在我成为井井有条的大人之前
同款希沃
我期盼的
好帅
在我成为随遇而安的大人之前
怀念
3000+
我们大铁窗，像监狱一样
还好我的高中不用带口罩，我可以记住每个人的脸
莱一
让我再纯白一天
大学再也没班级的氛围，研究生就根本没班了
准大一
以前念着要快长大
up主男生嘛
3000+
现在好想返老还童
未曾珍惜过的天真
以前仗着时间还多
还没来得及好好爱过一个人
兰外高 想你了！
怀念！以前无知觉得高中只会刷题，但是有一群人为了一个明确的目标去努力的感觉太好了
就老去了
回不去了，但是又很怀念
今年刚毕业 怀念高三 回不去了
在我成为井井有条的大人之前
天柱民中一班的学生有吗
让我再潦草一遍
在我成为随遇而安的大人之前
不怀念
让我再偏执一遍
