太美了（*＾3＾）
好美(✪▽✪)
这个眉毛很灵魂哈哈哈哈
up主妈妈太漂亮了！！！！！！！
眼神绝了
哇
妈妈好美
妈妈好漂亮！
好美啊
点赞
好美啊
喜欢这个！
港风绝美！
好美
混搭小朵朵
声音好温柔
啊啊啊，好好好看
眼睛里面很悲伤，不安
哈哈哈
2020
魔幻手机
辛苦啦
多多好美
哇这个眼神戏有打到我
好漂亮！！
用心了呜呜
duoyaokx
好可爱啊
真的，到现在是什么美就穿什么
眉形开始有变化了
这裙子放到现在都特别流行！！
朵朵最美
爱死你了
我也喜欢哈哈哈哈哈哈哈哈哈
太太太太太可爱啦！
朵朵亲我啦！
可爱!
同款发箍
给币啦
2020必备单品口罩呢（x
起立！
耶！
——.——
90年装画淡了，那会还要在浓一点的
最爱这个
有意义的题材，必须三联
BGM是新裤子乐队
哈哈哈哈
好耶!
哈哈哈哈哈
封建你个大头鬼
骨子里自信起来
眼神再坚定点就好了
很好看！但是色厉内荏好像不是这么用的
虎躯一震
学史明理，学史增信，学史崇德，学史力行
好有感觉啊
好感动呜呜
不是服饰和发型变了吗，妆容还是很现代
这个真的好戳我
房猫！绝了
紧
贵族朵
亲亲朵朵
胡蝶
表情为什么这么苦闷？
有内味了
好美哦
我怎么哭了
演的太假
这眼神比好多女星演技好了
现在就是这样啊，主流就是白幼瘦
1930最喜欢
啊懂啦
神女
好好看啊，我要哭了
自信好看
敬礼！
太好看啦
我爱了！！！
妈妈好漂亮
这个时期最好看
90年代
他来了，天都亮了！
00
好美
我奶奶
最尖端的人才到最需要的地方去
苦闷因为那个时代很糟糕
白幼瘦时代
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
还是人长得好看穿什么无所谓
还是以前的有感觉
哈哈哈哈
受苦了
好漂亮好漂亮
姐姐好帅
不抹点灰
来个全身的鸭鸭
我家朵朵上热门啦
好好看啊啊啊
朵朵好美！！！创意也好！！！
我妈
这个好
眼睛好美
刻在DNA里的声音
太美了
我也
非主流
江疏影
加些尘土和血迹就更好了
太漂亮了
哭了
我出生了
90
这个小姐姐说话好温柔啊
双马尾永远滴神
欢迎来到90年代
怎么越来越嫩了，开始还比较有气势，后来就纯可爱青春风了
蚌埠住了
30年代绝了
翻译：在迎来千禧年曙光之际，成长于九零年的第一批弄潮儿
中华儿女多奇志，不爱红装爱武装
“女性拥有温柔和力量。”
我想看衣服啊
你币有了
10年哪有智能机，那时候才是非主流
90
00：40 3000+在看
这装扮百分百贵族女性。
经典升华
喜欢UP主
妖怪啊！美了100年
2010
3000+的盆友们好 大晚上的
最好的年代
求BGM！
啊啊啊啊救命好美
全体起立！
好看！
破放了
我也喜欢00年
00多好
好好看，东方之美
全体起立
那时候服饰还没这么花吧，主要以军绿，藏青为主要时尚
以前是女性的感觉，现在是女孩的感觉
广阔天地练红心
00
这么潮
朵朵是哪个年代的
都是同一个人？
ai你，朵朵
我爱非主流
两岁了
还是90好看
脸色有些苍白，可能是因为下乡劳累
俺也是！！
全体起立
1920
好飒！
这个造型真的美翻了
1949
美美美
心疼啊
真的太美了[打call]​
声音好小啊。。
好可爱
好耶！！！！
姐姐好会拍
起飞
正在观看的2000人你们好
火星文哈哈哈哈哈哈哈
2020
朵朵漂亮
快递的看得开02:30
结尾语好棒！明天一早，我猜阳光会好
6070年代反了吧，而且70年代应该分成两个
妆容没怎么变
且听龙吟
中国加油
对不起我以为是杀马特要来
天塌了
色厉内荏成语用错了
其实我想看衣服。。
那时候的人都是灰头土脸的了
那时候头发更卷
眼神开始变了诶
啊，没有2100年的吗，我这个穿越人还很期待的
哇塞！！！
你好美！！
港风爱了
好看
太绝了
都喜欢
女性的眼神越来越自信，女性地位越来越高
这个也喜欢啊
1930
DNA冻了
耶
牙齿真漂亮
港风好漂亮
还是90年代最好看
我只喜欢你
蜜月期
你这不太真实啊
两条大大的麻花辫
u大鸡腿
胡蝶飞走了 
有那味儿了
bgm好玉玉
好温柔i了i了
现在
鼻子在说话
龙吟
开始步入现代化
正片开始。
叶文洁，你知道你做了什么吗！
李焕英
这套可以出街了
爷青回
火钳刘明
期待下一期，加油
真港啊
当然，社会既希望女人“又纯又欲“，又希望这种漂亮是建立在服从可以依附的前提下
开始变土
上世纪二三十年代！
主要是人好看
我没他们那么多选择～我只喜欢你
救命
同志！
草哈哈哈别发这个啊，黑历史了都
眼里有光了
跟人有关系，
姐姐杀我
耶
90
70年代
好看
妈妈
姐姐
40年的超级好看
我是小雨
全喜欢
啊啊啊
这个可以
麻花辫太好看了
不来个男性的服装变迁
你这是要闪瞎谁
爷青回
文艺复兴
全世界的无产者联合起来
好漂亮
杀马特！
有没有2030
最真实的是不要滤镜
不知道为什么 在这里热泪盈眶
广阔天地，大有可为
果然
10
眼神越来越自信了
好温柔！！！！
好温柔啊
好像球球
最爱这个
她是一个演员
我觉得90年代这套最美
气质美人
色厉内荏？？？
危
这雷
我喜欢阮玲玉
优雅永不过时
杀马特来袭
布拉吉
港风
我的老天
看下衣服好吗姐姐
哈哈哈哈哈哈哈哈哈哈
好美！！！
眼神特别好
果然都是有基因的
《耶》
80 90
林志玲
演技不错
现在女的还是算了吧，不配和以前的先辈们比，恶臭女多
对味了
2020年已经是历史了
打扮的挺好看，但不普通
不爱红装爱武装
全都喜欢
这不比某妹好看多了？
致敬！
，90
有呐味儿了
90
好看
必须是现在呀
声音好乖好好听
好好看啊
5000兄弟们你们好
小孩子才做选择  我全都喜欢 嘿嘿
变得好
这个人100年都不变老吗?(狗头）
2021的小清心
白幼瘦
5000+的人你们好
你币有了！
进度条不对劲
有全身就好了
讲个鬼故事：进度条
我去太美了
审美倒退
80/90
她的眼睛会说话
哈哈哈哈哈哈
妈妈好美丽！！！！
眉头间有散不去的忧郁
逆生长
哇好美
全体起立
这代表不了全体女性，基层群众
哈哈哈哈没
1990
太美了
好美~
狠狠的爱了
演的真好，头皮发麻
5000+
现在不应该是白的发亮的脸吗
火星文哈哈哈哈
好美
好棒
哇妈妈好好看
彼时正处于审美意识的开发与建设阶段，他们也是社会主流消费群体
“清华美院”骂骂咧咧的退出了直播间
哇好美
好看
好漂亮
最好的年代
真好看
就这一套
开始震怒
up好小啊几乎就是零零后
港风！！！
衣服无所谓，问题是我喜欢你啊
没有涂得乌漆嘛黑的眼线！
哈哈哈哈哈哈哈哈哈
聚焦在脸上的画面，又是女性的容貌。。。部分代替整体，不如去玩暖暖
这个年代人民眼神里面充满希望，视频里面还差点
流行就是一个圈，又转回去了
三线建设，全民皆兵
哎这段文青真的好惨
h
果然好看的基因是会完美遗传的吗
林志玲！
声音好听
好美哦
这个好看
up很棒
我见犹怜
超好看！！
叶文洁
太好看了
哈哈哈哈
时尚是一个轮回
喜欢的不是服装，是你
你不想尝尝吗
三连爷给了
真美
芜湖
以后我们就是同志了
真的好美啊！
很用心
这个主题太好了，文案也特别好
你穿都喜欢
我也是
情感表现真实
好美
哈哈哈哈哈
美
希望男性博主也来一期
林云林云林云
关注了
在我姥姥家看到了跟我姥爷20岁左右走的照片，瞬间觉得我拉他们颜值后腿了
90富士
对，那个年代流行大个塑料耳环
好喜欢这一期，up加油
果然！和妈妈一个模子刻出来！
2000
美女一家
铭记历史
致敬
港风杀疯我！！！！！
这个！也太美了
卡密姐姐好漂亮
好难过....
太冲了6
这多少都是美釹
全体起立 
这都是上层社会少数人的衣服，没有太大代表性
666666
太美了吧！！！！姐姐好温柔！
做的太棒啦
火钳刘明
口罩没戴扣分/doge
好美
好喜欢这个造型！
喜欢红裙子还有港风！
离谱
港风好好看
有没有一个看起来精神的
好美
是一个人啊
真美
好美
好看好看！
这个好
哈哈哈哈哈
哇哇哇
你这妆容还是没衬托出当代
就拍个头咋看服装
好绝
那是四五计划引进所制造的
30
好温柔啊救命
最爱
好看
2020没黑丝啥的吗
三连！！！！！
声音好温柔哦
90绝了
我也是！！！
救命我死了
1940看着心疼
太可爱了
哈哈哈有内味了港风
这一幕有点像陈冲唉
山川异域，不共戴天！
厉害了
90年代！
这双泪眼 想到同胞的苦难 我想哭
知青
这眼睛真的我见犹怜
2020年不是网红年吗
港风永远都是
我喜欢1980年红裙子
Up98的
美
全体起立
好美
飒
我出生了
眉型也在变
妈
哇哇哇哇哇
空降00:00
眼神绝美
眼泪绝了
全体起立
火钳刘明
眼睛很亮
港风
2000
这都是有钱的女性
我想看衣服，，不是模特的脸。。
太干净了吧
