可人
？？？
来力
梦回三年前
电源键怎么不是红色?
《这个手机叫小帅》
一那米
（○-○）
卧槽，刘海
国产手机颜值天花板努比亚z40spro
刘海？
抽奖
66w也太没诚意了
有直屏就更好了
还搞曲面屏。看见曲面曲面反光都要吐了‘
突然就觉得好看了
Mate50pro的设计和苹果年轻化的设计不一样，太老旧了。
2.2万人呐
那些说听筒就是双扬声器的是要笑死我吗
这不是和mate40一样么
刘海屏哈哈
废纸
经典没卵用的添头
5g版mate40：没错说的就是我
梦回大唐，太好了
95
66
1纳米
是真的好看呀
微曲yyds
小米:塑料很廉价，敷衍消费者
快半斤了
后期莱卡只是华为的卖点了  而不是突破点了
这个比银色好看
上面的在听筒
边框硬朗一点就好了
双发？
不用遮挡，这玩意你手机激活自动就有
什么？我的是紫色
这也叫好看？
80
没耳机啦
4g?
好看啊
圆周率后十五位
卧槽?
不如我K30Pro
我要施法了，小米水军赶紧退散！急急如律令！
曲面屏看个人喜欢
一个外观说了快半个视频了
直屏才是神
半斤
一加
华为，加油
99那米
awsome
比银色好看
刘海屏不考虑
↑音画不同步卡顿换1080p就好了
不如40
1那米
90
双扬声器啊
太贵了 pro4799还差不多
好看强哥
这个背面看久了还挺顺的
充电器泪目
hw水军真的多，我还以为在看何同学
80
(●_●)
(●_●)
So我。
不是，这些还要钱？
100
可以啊
90分
要直屏去mate50
不会是单扬声器吧？
(●_●)
谁问的？谁问的0
真愁啊。。。。
0分
感觉骁龙8+阵营里，配置还比较好
黑色帅
70
会员制
比12su那个好看多了
66
黑色帅
曲面才是永远滴神
我说实话，黑色的真的好看
不得了
这好看在哪 现在手机不都这样
重返2018
没谷歌海外用户用个der
刘海劝退
说实话，我有点失望，我要小米旗舰配置加鸿蒙
真好看，说真的
65W是功耗性价比最好的了
2.27万人同时看就离谱了
某米，玩游戏必遮一个
555555
抽抽我
50
很多行家都说，mate40pro
听筒也是扬声器，，，和水果机一样的
怎么像s10
曲面还得是三桑
100
感觉没有mate40好看
0000
整个盒这卡最值钱！
这侧面怎么跟红米k30一样离谱
曲面屏其实挺鸡肋的功能影响使用感受
小米12su完爆
不如y90
不如40一根毛
不如小米
40颜值巅峰
比好看
树皮材质
太高级了
100
总结，不如40
啥单扬声器啊？听筒是另一个扬声器
2.2万人
感觉50更偏向商务风了，稳重的感觉，m40还有一种时尚潮流风
好看在
戴上保护壳怎么有冰墩墩的感觉
36
1那米
说没竞争力去看看还能订到吗
几个月没看，辣盐发型变杀马特了
质感绝绝子
不如mate40
我通常都丢掉doge
！
华为质感没的说
"woc,好好看"
0.1
手表是戴的oppo的
已经没杀竞争力了
居然有冲动器
贴纸你都能吹
抽我
啊我要我要我要！
海外有海外的店把
微曲是最后倔强
抽我
三星S10
代购有货吗？
某个弹幕用户是不是上头了
半斤机
嘿呀，隔壁Promax也才30w
听筒双扬声器就是假双扬
啊 这也能算好看?
曲面屏还是好看啊
这年头谁贴膜？
德凯是你吗德凯
质感绝了
徕卡没有了吗
不是单扬，听筒算扬声器
黑的好看啊
清水壳 
黑的好看
不环保你买菜拿草绳栓不就得了＊＊
不如苹果
顶部有扬声器啊，双扬声器
40是巅峰了
是听筒双扬！！！各位！你们去华为商城看看啊，别光说
双扬，另一个在刘海上，就是不知道是不是假双扬
高情商：不规则纹理  低情商：皱巴巴
这曲面，边框，还有底部排列和三星有啥区别啊
拉
这个40也有吧
双扬声器在刘海里！！！
热乎的
抢不到啊，加至少500
笑死了钠盐说了半天都不知道说什么
30
抢不到啊
不如mate40 倒退了
小米10S
mate原包都有这种500会员卡包
正面像mate 20p背面像mate 30p
手汗收集器
双扬声器，上面的是隐藏式设计，就比如小米mix4一样都是隐藏式设计
商务人士专用
抽老夫
没有3.5MM耳机接口
啊？
抽me
6
正面药丸挖孔就更好了
这个真不重啊，这还情商？
那爱撕
是双扬声器，发布会说了，体积更小，声音更大！
100
一那米
哈哈，华为的清水套怎么说？小米你？？？
本来想说比较差的机型，哈哈
好纠结
给充电器点个赞
抽我抽我
30后背，20pro前脸
真棒，我就喜欢曲面屏
还是不能只看照片，真机好看
听筒就是扬声器啊
颜值巅峰
这还好看啊。。。
华为的清水套怎么说？？？
保护壳包不住摄像头，还不如再买个
比小米质感上强了不知道多少倍
好tian
素皮是这样的啦，不错
刘海又回来了，淦
但扬声器
感觉弧度太大了
1那米
这个颜色好看
捅两下后背，扫码你不吹一下？
吹吧
红米note9pro既视感
K30华为特供版
80
60再卖
吹双扬声器的真没买过手机吧？双扬人机功效根本不行，外放震得手心发麻
没啥用系列
清水壳怎么了？？苹果充电器都没有呢
90
可惜我没抢到那个黄色版本
这一次的华为果然没失望，太漂亮了
不是单扬，顶部扬声器在刘海
昆仑玻璃？
7000的手机就送个清水套？（doge
6
听筒有扬声器的
荣耀play5t
依然会有人插错
黑色一体性最好，可是像荣耀magic？
比银色看着高级
mate20pro？
30
真漂亮
60
刘海？
瀑布屏真的很美
魔法4一模一样哈哈
曲面 那告辞了
右侧40薄纱
老惦记那曲面干什么
太帅了
狼人傻的杜海皇
很商务
非对称双扬声器
曲面屏无爱了
这是pro阿
海外是其他渠道经销商吧
没听说过听筒扬声器吗？
准备买昆仑版，太美了
真TM好看。
