前排前排
刚来的时候都说你命好 结果现在成院长了
截然不同的反应
一剑开天！
"md,hz好多，哦，我好像也是"
还第一次，忘了滔搏和皇族那场bo5，我差点休克
经典其他四个啥也不是
泪目
芜湖 
他到台上哭哈哈哈哈（我也哭了
陈晨加油！
罗杰这字幕有东西的
好激动好激动
假装大心脏
这个视角看选手比赛确实好不一样啊
世界赛加油呀
泪目
绷不住了
盖亚
哈哈哈哈哈cc真的我哭死
呼吸哥加油
cc  
激动激动激动激动
最好的坨子
释放出来就好多了
陈晨，我的超人！永远滴神！
坏女人这个眼神爱了爱了
在下面看都那么紧张，场上打的选手压力真的大
哈哈哈哈哈
世一翻老芬杂了
CC真的，我哭死泪目
原来采访的问题都是先对过的啊，还以为临场发挥hhh
CC收票！
CC NB！
最后还是蚌埠住的
CC值得
不是本人但我还是对那种来之不易深有体会，真滴泪目了
刘航也是我杂哈哈哈
坏女人
应该是呼吸流畅！
明明是阿乐拯救了这个家
给黄心激动地
看哭了
坏女人
哇，现场真好
加油啊
我爱你
感谢阿乐
你是最棒的，自信一点。
坏女人
CC值得！
加油加油
哈哈哈哈哈收票！
成分明显
被迫加班哈哈
在tes，大概一米七
想到 s7打we虎九万也是你采访
cc加油
lng粉丝心痛之余表示呼吸确实强
三个解说两种成分
春季赛的分不是我打的
驼子好好看啊
成 分 明 显
变成光守护最好的驼子
"成分暴露，夏安支持lng,刘航和驼子姐支持rng"
可爱捏
成 分 明 显
夏安
大黄鱼！
镜头里每一个人都成分明显
rng 冲！
般配
坏女人
点了
CC
加油啊
其实我只是假装坚强
CC终于还是情到深处
那你还是把人家弄哭了
坏女人一直暗示，叫别个哭
RNG加油！！！
天在滔搏（不是
你看前面那个说阿乐的又是不服气的笑死
回想过去 呼吸真的承受了太大的压力了
阿乐给了第五局，wei给了LNG第四局不然没有第五局
加油，比哈特！带着布雷泽的份，向前冲！
成分明显了
cc加油!
LNG推家，连忙摇头
这是柴西吗？
"解说是EDG,RNG粉丝很正常，老牌强队，他们入行的时候看的就是这俩队"
《看淡》
成分查询233
《看淡了》
驼子姐开始加大力度了
cc你做到啦
大师兄这个气氛组可以
《我爱你》
夏安 小天跟（妈妈）ta赞的粉
这么刺激
泪目
坏女人
坏女人
航哥休闲装还蛮帅的
