神！！！
一播放50赞，B站特色
爱你孤身走暗巷
eason永远的神！
都
感情太到位了
啊啊啊啊啊啊啊啊
天神下凡1锤4！！！
？？？
乘风破浪！！
再来亿遍
nice
神
就算不抛去那些烂炒的梗，这首歌一样是封神作
喜欢清唱
wuye
真的到位了
太稳了
跟我之前听到有点不一样。。。
想到自己的歌被各路xxs拿来乱用而痛苦不堪のeason
陈奕迅是神！！！！1
没人
神
杀疯了
清唱牛逼
清唱不要太牛逼
空屏我的了
二刷
cd机转世
啊啊啊啊
E神！！！
这唱功绝了和cd一个样
Eason！！！！
排面
这一句好绝
.....
神中神
这句好帅
真孤勇者
火钳刘明
不愧是原唱 
原唱就是最神的!!
人只有不完美值得歌颂
有之前翻唱最冷一天的感觉了
无敌
神！
为啥这么有感染力啊肥陈
来点大家想听的
热血沸腾
眼珠子好亮
谁说污泥满身的不算英雄
那就让我不可乘风
神
哈哈哈哈哈哈哈只有感情 没有技巧
又超越了
坚定的眼神
我滴神
清唱太强了
超，开头看成大号了​
这就是歌神吗
金广发是?
神！
这还没有技巧？！
受不了，广快三连
只有医神 唱出了孤勇的感觉
应该说又有感情又有技巧
吹吹永远的神好吧
真怕eason忘词哈哈哈哈
好棒啊
全体起立！！！
E神!
原唱就是原唱
这还没技巧？
爱你孤身走暗巷
yyds
太有感染力了
来啦来啦
太燃了
好听爆！
无敌清唱，缪莎所有翻唱
这个眼神
"wow, 清唱，勁！！"
Eason!!
臣！
强
yyds
什么时候开演唱会呜呜呜呜
E神！
神，你永远是我的神
牛壁
感动只是因为热爱。
神！！！！！！！
E神
哇，清唱哎
再来亿遍
陈奕迅nb
有泪光
啊啊啊啊啊啊啊啊
好稳
这才是孤勇的感觉
背景是ig吗
Eason永远的神
代入感很强 我侄子已经开始唱了
终于不是乱用bgm的味儿了
鸡皮疙瘩一身
谁说冠军就不能来自虚空
感情循序渐进，真的有鸡皮疙瘩
把聲好正
eason排面！！！
说没技巧的去听你家坤坤吧
We support Eason Chan
牛的
神
太强了
有演唱会的感觉了
清唱
原唱无敌
清唱太厉害了
无敌
呜哇哇哇哇哇哇
对味了
感情和声綫滿分
