新鲜出炉，热乎
？？
666
沙发
好快
佛爷vs佛哥
1分钟热乎的
我以为失踪了
100
6666
一分钟！
90
经典我杀了我自己
热乎
一分钟
10分，好看
佛爷佛哥笑死
我住b站
赢了赢了
哼哼哈哈哈
76
好家伙bug大赛
100
80
弹幕呢？
1000000
90
100很好看
69
刚刚，我出息了
黑哨！
1分钟
86
二分钟
三分钟！！！
3分钟
热乎的
90
 80
9
左右互搏
塞拉斯：我再也不配了吗
一分钟，热乎
3分钟
三分钟啊啊啊！！
刚刚牛批！
！
8分
哈哈哈哈哈哈哈哈哈哈夺笋啊
永失吾爱，举目破败
四分钟！
0
30就还好
3
66分
100
佛爷！！佛爷！！
50
假赛
60
666我给满分
10000
75
90
有点尬+
99
90
10分
85
哈哈哈哈
90
50
66
90
有个提莫一直笑
讲究
60
这是瞎子无延迟E的BUG吗
这不是同一个人吗？(老实人)
不愧是你，LPL没你解说我不看了
10000
哎～
卧槽
80
99.99
?
。。。
末日人机
哈哈哈哈哈哈哈哈
圣杯战争？
显卡：你礼貌吗？
1分，但是我的一分顶一伯分
1
100
哎
工具人
可以85
艺术就是爆炸
100
欸
哈哈哈哈哈哈哈哈
hhhc
88
1
94
杨戬劈山救母是吧
王多多骂骂咧咧的退出了直播间
666
80
50
好家伙，场地都搭歪来
好看
100
98
90
6分钟热乎！
100
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
100
黑幕！
70
5
88
100！
这就离谱
废品机械师？？
黑幕
0
30
85
99.99
7分钟
99
八分钟，烫烫烫
0
还真有点好看！
80
正片开始
来早了，没分
90
86
90
？
唉
100
100
0
60
60
90
卡bug比赛？那老佛爷赢定了
黑幕！黑幕啊！！
哈哈哈哈
先上必输
提莫快去死！
逆大天
100
100
90
好看
50
诶嘿
认贼作父
又打出个老bug哈哈哈
70
佛爷没赢？我并不是很认可
好家伙bug表演赛了属于是
0
99
90
101！
认石作父
认石作父
《无毒》
好家伙，竟然不是卖皮肤？
66
管你听没听懂，看就vans了
泪目泪目泪目
满天星
哈哈哈哈哈哈哈哈哈哈或或或或
离谱
6
我看过了，拿破败的赢了
鸭蛋
1.00！
右耳机现在有提莫的笑声2333
离谱
这个车是什么鬼！！
96
80
泪目
100
离谱
90
正片环节
95
90
99
99
0！
秀儿赢了
100
88/80
50
这个好看！
100
99
98
74.663
末日人机
哈哈哈哈哈哈哈哈哈哈或
85
正片开始
黑幕!
80
80
星星！星星！
40
14分钟还算热乎
85
哈哈哈，族谱
聪明的墨菲特
佛爷格赢了
请不要代表广大的峡谷青年，我们才不搞花里胡哨的（doge）
哈哈哈哈哈
70
100
66
直接蚌埠住了
出人意料的操作，满分
85
谁后手谁赢呗
帅
14分钟！
0
我要星星！星星！
85只有数量，怎么不用个皮肤？
99
美
泪目
我内叠
59
80 80 80
60 60 60
80
33
帅
黑幕
80
80
80
75
1111
我记得这个广告，很感人
广告才是重点
75
100
80
华丽大赛
滚烫
黑幕
100
88
100（艺术就是派大星）
好家伙 踩点
70
50
60
99
三星锤石
80
好活！！
十八分钟，热乎
80
40
凭什么你可以打两套，黑幕
90
18分钟，热乎
100
100
90
聪明墨菲特
980
正片开始
哈哈哈
19分钟
ohhhhhh！！hh我给100
80
50
90
100
99
1，原因是我相信后面的更好
90
95
99
70
100
80
好好看！
90
95
100
啦粑粑
90
搁这玩noita呢
23分钟，热乎
100
?
黑幕!
50
80
