第一个
刚刚
热乎，以至于烫嘴
好长
10
一分钟
报到证
刚刚
111111
哇20多分钟
热乎
哇，这次早了
哥谭：什么鬼？
终于
纽约：你再说一个试试！
2分钟
四个字——群魔乱舞
来的太早有才的弹幕还没来
来早了
哈哈哈虐狗事业
3分钟
科学家都比较疯狂
爆丸小子？
三分钟热乎
1
大仲马
好多伊
四分钟
不讲武德
4分钟
更新辣，好耶
4分钟
主要是劳马伤财
这就是科学的力量吗
大仲马：你礼貌嘛？
生了个神马
人才啊！
群魔乱舞
进度条狂喜
前五分钟
六分钟 热乎
。
颇  为  赏  识
大仲马：？？？？
举国的二十万人民币
狗:老熟人
我口腔的dna动了
高
六分钟，烫嘴！
六分钟
这实验……有点恐怖
7分钟
就我自己？
7分钟
真早
背景是马在运动么？狗头
来了
好家伙
这实验有点恐怖……
七分钟
七分钟
小刀刘哈哈哈
大仲马？小仲马？？
7分钟
外国科学家
八分钟
七分钟
大仲马：？？？？
8分钟
看到芳姐夫更新，我反手一个三连
挺好
？？？？
伊伊伊
大仲马表示很草
9分钟
九分钟热乎
热乎的
？？？？？？？？？？
来早了，还没有有趣的弹幕
9分钟
9分钟
九分钟
这是割裂吗
离谱子
这时伊万诺夫还是个“妇科圣手”
九分钟
名字太长了直接叫大伊万吧（doge）
一万懦夫？
十分钟！！
九分钟报道
现在疯狂科学家也不少
谐音梗要扣钱的
群魔乱舞
来一脚
十分钟
《多瑙河之波》
好家伙
我咋记得是小刀陈
黄金船：我觉得有用（不是）
卧槽这么反人类？
11分钟
六分钟，我出息了
嗯？？？？
出息了，10分钟
畜牧业+金融业，我看行
马和驴杂交得骡子
《  沉  浸  式  体  验  》
草
大仲马退出了直播间
人性沦丧
war
NB啊，，，这个名字瞬间就熟悉了起来
啊这
热乎劲儿
ai～
基因飞升是吧
咦咦咦
不讲武德
人妖王伊万科夫
这么刺激?
热乎
欢迎来到祖安
？
十三分钟热热还能吃
第一次这么早。
幸福的童年
送子观音？
徐波点了个赞。
哈尔科夫的飞行堡垒
这bgm是将军的荣耀里的
巴甫洛夫 看到这名字就想到烤鸭
将军的荣耀3bgm
巴氏杀菌？
创 业 转 型
妇科圣手
111
哈人
又是希格雷市
人不能，至少不应该……
医道圣手
不平衡，不充分
后面家族的姓太长了，我们就叫他的名字伊莉雅吧
民风淳朴哥谭市，安居乐业洛圣都
oh
小刀刘是给太监阉割的吧
好家伙
十六分钟
伊伊伊
夸张了，夸张了
虐狗狂人
这就是传说中的大佬亲自下手
只能
没卡利诺夫卡有名
热乎
深入研究的科学家都是偏执狂，变态级人物
黄金船：笑死，五秒对一个父亲还是太短了
因为有bear所以而来
李鸿章直呼内行
？
虐狗狂魔
开始流口水了。。。
热乎
十九分钟！
老熟人了
艾滋病起源传说
公马表示马生再无乐趣可言
太哈人了
太长了直接叫伊利亚吧
赛马娘
沙皇打钱…
17分，热乎
艾滋病起源外传
知道二刀流
勇闯无人区
夺笋啊
18分钟
世界征服者4
《人畜无害》
三押
↑bushi
还好没要求自然受惊
说这是英王乔治五世也行
俄国人 那就正常了
22分钟
血             统
热乎
眼神纯真
BGM太好听了，听出戏了
民风淳朴哥谭市，人杰地灵阿卡姆
用这技术去培养军马的话
"离谱嗷,不是说伦理吗"
好耶
阿布哈兹共和国？
巴普洛夫与狗
于老师的骨血
危
是冥风纯朴
提升一个数量级
好开
天才在左疯子在右
“只能”
太6了
卧槽这图好重口
前半个小时，热热还能吃
狗表示巴普洛夫老熟人了
？？？？？？
！！！！！！！！！！！！！
基因飞升
？
完全没有好不好
爱马人士
23分钟
说黄金船那个别跑
28分钟放到火山里还能吃
草
？
一下子提升了二十多倍
就冲这句，三连了
？？？？？？？
？？？？？
哈人
趁热www
哈喇子
最后个鬼啊
突然口水分泌变多了（捂脸）
伊莉雅的你站住
热乎
?????????????????
热哒
科学家有时候像魔术师
32分钟，大伊万热热还能吃
30min前
此人简称YYY
叫伊万诺夫的人都不是正常人
这是在造奇美拉么？
Run了
热乎
那个时代只要结果，不管过程吧
危什么危啊
好长！！舍不得看
热乎！！
就是被他们自己搞成这样的能看不出来？
34分钟热乎
p社玩家狂喜
人才广场（）
文明时代2
科学疯子
如果是优质马的选种就很重要了
37分钟
承包空屏
37分钟热乎的
什么...什么洛夫
大仲马:你礼貌吗
三十？？woc
草，前面那段是欧陆战争bgm
热乎的
这样好吗，这样不好
这名字很毛子
上世纪科学家有时候道德观念比较薄弱……
别想
？？？
下饭
弗兰肯斯坦
就是狗与巴甫洛夫的那个巴甫洛夫
人工受惊
时长够下饭
某种程度来说，最可能灭世的就是科学家了
疯狂
也是最适合科学发展的时代
血肉的飞升
还是农业呀
@黎明卿
科学家甚至从未如此
太哈人了
三 星 因 子
好变态 yue
哈人
哈人
承保空屏
变蝇人
年少得痣(doge)
你在不对劲
？不对劲
科学怪人 弗兰肯斯坦
沙俄黄金时代，艺术，科学，思想都出现了世界级巨匠
20万仅仅是个人赞助而已，还有更多科研经费呢
这就是那个给鹰喂小笼子的那个？
666
热乎
45分钟，3刻钟，3“伊”
？？
兄弟们，收藏3万催更啊
是的，就是阿布哈兹首府。。。
NB
千里马量产计划
只要轻轻踹一脚......
好家伙，一脉相承啊
哈哈
前机械化时代。马就是军队的核心装备
热乎热乎
爆丸小子哈哈哈哈
润了
巴氏杀菌是之前说的巴斯德
哈布斯堡家族:这我熟
6
绝对不能郑智体质丐隔，要坚持一百年不动摇
想点跨物种兼容是吧
每一匹都倾注了于老师的骨血233
