欢迎鸭 激动
阿阿阿阿阿阿，好激动啊
"就是这认识的,"
蝴蝶刀啊.
welcome to bilibili
哇
哇(σﾟ∀ﾟ)σ哇
多少年了，还是这部代表作啊。。。
哔哩哔哩 - ( ゜- ゜)つロ 乾杯~
666666
我第一次是看黑暗阴影粉上的
收藏 三联
welcome to BILIBILI！
好像碟中谍的那个男科技特工佩吉
omg！！！！my queen!!!!
welcome to BILIBILI！
welcome to BILIBILI！
welcom
love you
bingo
是我没错了
Welcome to BILIBILI♛
关注了！！！
welcome
表现得友善点把各位，，这样才能吸引更多很角色来。
bilibili
真的真的是本尊啊
哇⊙∀⊙！活捉超杀女
WELCOME BILIBILI
也就看了50遍吧
！！！
除了减肥我无话可说
好美啊！
她现在再拍《恶行》没错吧
我是从怦然心动认识的
Welcome
welcome to bilibili！
不敢相信！！！
前面弹幕好评
虽然我真的是从海扁王认识她的
Welcome to bilibili 
welcome to BILIBILI！
哇哦
？？？？
小屁孩日记认识的
纳尼？
喜欢喜欢喜欢喜欢
好好看！
you are so cute
welcome~
love you
(｡･∀･)ﾉﾞ嗨
omg
喔或   我是第187个粉丝- -
什么是超杀鸭
我简直不敢相信！！！！
i really really love you！！！！！！！！！！
welcome
哇！！！！
Welcome to bilibili~
我的天啊
颜值巅峰
hello
女神(≖‿≖)✧
妈耶！欢迎的你！！！
哇
女神ヽ(✿￫∀￩)ﾉ 啦啦啦♫
干杯！
1199
welcome to bilibili 
hi
cuuuuuuuute
开心
love you
公鸡大鱼怪的血量就是超杀
AWSL
hi
welcome
啊啊啊啊啊啊啊啊！！！！
Welcom
哇，关注了
啊啊啊啊啊
已关
妈妈咪呀
哇 把你的影片也一起带到b站来放啊
我爱你！！！！！
老婆你来啦
瘦了瘦了
公鸡大鱼怪
啊啊啊啊啊啊啊啊啊啊啊
很喜欢你，包括你演的伸冤人1
嘿嘿
！！
胖成球系列
明蒂
Welcome to bilibili ！！！！
我认为一个人给别人留下的印象主要是靠嘴型
攻击大于怪的血量就是超杀
啊啊啊啊啊
来了老婆
错，海扁王没有公映吧？
wow!!!???is this true！！！？？？so great!!!!
(500）Days of Summer
天呐～她来了～
真好没想到能在这看到你！
这个的话，b站是要给代言费得吧
看我发现了什么
生人勿近！
啊啊啊啊  我好激动啊
"you are beautiful,it's true"
love u
女神，你小的时候我就能梦到你了
第一季集比较美
激动无比
厉害了
welcome!
love ya
厉害了(ง •̀_•́)ง
我的鸡也动了
omg！！！
生人勿近
哇 长大了变得好美
太美了
Hey gays
i love u!!
hey gays
魔女嘉莉！！！
公鸡大鱼怪的血量手动滑稽
哈哈哈哈哈哈哈
真的假的
我喜欢你！！！！！
哇偶
欢迎
看我刷到了什么
welcome
哇女神
hi
杨幂
来了
wow
Hi
I am big daddy
关注了
我女神我女神
哇！！！
帅的不行！！
过段时间就能看到小姐姐的星期三啦！
童年回忆啊 喜欢你二十年了
真好
你你已经是成熟的超杀女了 要懂得自己打破自己
长大了
太好看啦！女神
哇哇哇
wow
美呢美呢
海
welcome！
干杯
OMG
看着她长大的。。。
必须的！
鬼哭神嚎+1
welcome！
很喜欢 超可爱
好美
喜欢你的烟嗓
人类史上最能打的女未成年人
超杀女
我40血老牧师你怎么超杀我啊？（滑稽）
OMG!
啊啊啊啊！！！！！！我超喜欢你！！！
天了噜
Dark Shadow
美美美美美美美美美美美美美美美美美美美美美美美美美美美美美美美美美美
hello!
啊啊啊啊最喜欢她
我狠。。很喜欢~
美美
love you so much~welcome~
因为你喜欢蝴蝶刀！因为蝴蝶刀我现在残疾。
love you
啊啊啊啊啊啊啊我死了！！！！
女神你来了！
拍出来的电影自己都不能看hhh
好漂亮啊
牛壁
才来
咯咯咯
omg woc
哇
Welcome
想看海扁王第三部
Love u!!!
美丽的小姐姐
天啊！！！hitgirl！！！爱你
耍个蝴蝶刀来看看
真的吗，开心
you are so sweet
oh♂yeah！
？？？？？
卧槽？真人？
大爱
干杯～
小天使来了!
长大了，但还是那么美
老婆！！！
老婆大人好
哇(⊙o⊙)哇，我发现了什么！！！尖叫！！！！
女神，没想到你会来b站
总算瘦了
长劣了
老了
女神
omg
哦哟
声音好好听呀
多发点与女友的日常啊啊啊
點點點
还有雨果
啊啊啊啊啊啊！！！
美美美
可爱呀
超美鸭呜呜呜
b站越来越棒啦
啊啊啊啊啊啊啊啊啊！！！！
love uuuuuuuuuuuu
cool
Yes!
真的是你！
女神来b站了哈哈
海扁王
虎摸虎摸
o m g !unbelievable!
哇！
我是从伸冤人那里认识的
科科啊啊啊啊啊啊啊，美炸啦
瘦下来了
好可爱啊
你太好看了吧
哔哩哔哩
会中文
超美
童年女神
哇喔
杨幂。。。。
I am Hit Girl
我的天哪
漂漂
老婆
天呐噜
卧槽
哇
欢迎欢迎 
欢迎欢迎！！！！！
It's so cool!
welcome
老婆啊啊啊
不，是血
第一时间关注
错误教育
"It is because of you that I bought a butterfly knife, and now my tongue typing to showinnocence"
i love you
看着长大的哈哈
我也很激动啊啊啊啊啊啊啊啊啊啊啊啊啊
我
喔，厉害了
哇 Lady God
welcome 
❤️
bilibili- ( ゜- ゜)つロ 乾杯~
卧槽，大爱
这个是真老婆
外国人老得好快
Welcome！！
awsl
bilibili gone by
超可爱的
海扁王
生人勿近认识的
干杯
有生之年！！！！！
老婆！！！！！
我爱b站_(:3」∠)_
炒鸡好看啊
哇哦，居然是本尊诶，小破站这么高级了么？
女神女神
我想看看你是不是那么胖
没那么多理由，就是喜欢你的嘴唇，相亲，fk比伯
welcome to bilibili
好美阿阿阿
啊啊啊啊科洛莫瑞兹啊
哇奥，还有《生人勿近》，看了超多遍的啊，喜欢喜欢
I m huge fans of you!
awsl
女神٩(๑òωó๑)۶好漂亮
"omg, i love you baby!!"
好爱
说来就来啊
我超喜欢她
小屁孩日记！！！！
hi guys
皮肤好棒真的很漂亮
哇!
这个杀手不太冷
挺可爱的萌妹子
66666
？？？？？？what?
哇哇哇哇(⊙o⊙)哇
哈哈哈哈
女神你来拉~
她的魔女印象深刻啊
妈耶
大爱生人勿近
wow  you come!
竟然是本尊啊！！！！！
大爱超杀女！
OMG，r u really? ❤️ u the most
大手！！
wwwww
海扁王…
我啊！！！！！
Holy shit 
最后一句听懂!我真厉害!
omg女神
老婆好看死了
love you sososososo much
卧槽
近看好漂亮
我更喜欢魔女嘉莉
妈妈！！！快看我老婆！！！
我的女神 等我娶你
我的天
哇塞
卧槽
啊啊啊啊啊 我喜欢你啊
减肥了啊
yes~
！！！爱您
Love u so much ！！！
断手刀
魔女嘉莉
哇喜欢了六年的女神！
啊啊啊啊啊i love yoi
小时候好看
what？
还有可爱的骨头
童年女神
HI
I love you so much
