刚刚  热乎
好美好美
你的手太神了
五分钟，我出息了
很像啊 
哇塞
真的好有那种感觉哇
新鲜的
这里太像了，目前看到最像的！！！好牛！！！
好用心，好漂亮
这也太像了！！！！
太像了吧！！！
给可爱的up主回回血
一模一样！！
投币啦！
真的很像啊！
给姐姐三连了！！！
美女姐姐贴贴
差不多可以算是贫穷版的塞壬了，超像的说
除了看上去比她穷点，基本一毛一样
好像啊！！！！
摄像头太清晰了啊哈哈哈
痛失网名
好像好像
好厉害
有内味了
感觉眼睛瞪得有点太大了，有点奇怪，不过很棒！！！真的很像！！！
痛失网名
喜欢
好牛
好美好美好美好美好美好美
姐姐手好巧！
打光也好还原！疯狂打call！！
好牛
已经像了
辛苦宝贝啦
辛苦了！
第一个衣服也做的！
真拼啊
姐姐好美的呢
好认真的小飞蛾～喜欢你！
好厉害！
！！！！！
！！！！！！美死了
呜呜飞蛾太牛了
小飞蛾是我见过最像的！！
一毛一样不能再多了（doge）
这不得一键三连
牛(ﾟOﾟ)
需要再有一点模糊 镜头过于高清导致不像
好可爱
有内味了！
姐姐好厉害
美爆了我去
气质太像了
自己做道具好厉害
感觉所有仿妆里就飞蛾观察的最细致
手好巧
姐姐的动手能力好强
已经很像了
真的好像
美女且牛
我的天
宝，这个头盔
我见过最认真的仿妆了
不像没那种感觉
真的像哦
太用心了！
这币不要也罢
像！！
好厉害！！！！！
太像了
真的很像啊啊啊啊啊
对不起哦，人家太漂亮了
姐姐好像蔡依林
懂了，三联了
一模一样！！
一毛一样好吗
确实，太精致就不像
卧槽真的像
神似
有内味了！
太认真了！！！太值得点赞
可能在水里泡着就把妆泡花了
水猴子上岸了
姐姐太强了
是我见过最像的
老8像
已经有那味了，好像
这个眼睛真的好像
愣着干嘛 投币啊啊啊
愣着干嘛 投币啊啊啊
这是熬夜的黑眼圈吧
好像啊……
这已经开始像了…！
开始了
真的很棒
赢在起跑线！本身就很像
像到怀疑是本人出演的程度！
你这已经很牛逼了
这眼神喔喔
牛
太像了
red virgin soil!
《不要太精致》
这个硬币我投了！
哇好厉害
长得太像了！这大眼睛
good
可能颧骨要更突出一点，不过已经很像了
感觉仿的这个好搞笑
这里！太像了！！！
已经开始像了
要喊出来~
眼睛细节了
全网最像
姐姐好厉害！！！
哇，太像了！！！！
完全一致
哈哈哈哈哈
哇
哇塞
感觉像甄嬛
神态真的绝了！！！
一模一样！
已经着魔了
真的好像！
不够金但是好好看 好像
吉巴罗一模一样
一摸一样啊就离谱
太像了我的天
好牛好牛
感觉很像了
已经开始，像了
你能仿一下被“扒皮”后的女妖吗！！！！！！！！！！！！！！！
同事网名
眼睛也太像了
本身眼镜就很大
已经开始像了
一模一样
好美55
姐姐好棒
太像了吧
精致！
这里开始就已经很像了！
好棒好棒
不像
好美！好美！！
不像
…………
为毛我觉得原版好诡异
已经像了
像
太像了，同时又感觉很可爱
已经有感觉了
暗示成功，已投币
目前最像最完整的
卧槽这个是最像的了
没有功底
应该戴个美瞳，眼白太多
恩，感觉确实认真！
UP主有点点像杨蓉诶
比原版好看
已经开始像了
已经很像了
感觉本人
大眼睛
低情商：残破
低情商：残破
低情商：残破；高情商：历史悠久
bgm吓死我了
这里好像
很有那味儿！
这个海妖看起来有点木
开始像了
珠宝！！
。。。。。。。。。
肝这么久，不得一键三连？
很像啊
好像
已经开始像了！
WOW！
真的厉害
地铁老人看手机了
野性残破反而更动人
up主的眼睛是最绝的
哇，好牛
一
已经开始有内味儿了
能看到剧么。。。
好漂亮
这是我今天看到的第4个和基罗巴相关的视频了。。。
这眼神不太聪明的样子
应该戴个眼珠子的哈哈
这根本就不像好吧
我刚刚在你出来的一瞬间浑身都炸开了！！！！
绝了 美死谁了我不说
全网最像
长得像，神情像，化妆风格还像
好厉害
画妆技术会不会加强不知道，手功能力绝对加强
好牛
吃点东西把舌头染红就更像了
吓我一跳
嘴唇很还原了，（确信
有一下子像杨蓉
夸夸夸
卧槽了
啊这
没眉毛，大佬
好像！
哦哦，你是最像的！
woc已经开始像了
她观察的好仔细
已经开始像了
吓到我了赔钱
本尊呀！
好像
估计网飞要拍真人版了
好牛
感觉可以找专业的拍，那样更能体现up的美
已经开始像了
嘴唇nb了
可惜没有那种诡异的感觉
up这个妆有点像杨蓉
跟你接吻，舌头会不会流血
这嘴其实吃个死亡辣椒就自然形成了
姨～哇塞
摸
毛哦哦～纸
卖螺肉～
真的好像
代入感很强，已经下水了
这哪里精致了难道你理解的不精致是在脸上抹面粉吗？呵呵少见多怪
怎么投币
爱死机
太强了
姐姐肝的连眼皮都黑了！！！
像极了anglebaby
已经开始像了
好厉害
不像
毫无感觉
细节
哇塞！
不像，鼻子的红色 其他地方的红色，妆还要在那个啥
不知道为什么想笑
表情太呆了
看得出来
为啥嘴唇要不一样颜色
你眼睛太大了。。。
o
一般
一毛一样震惊
up好用心！！！！
好酷！！！
还原度100%
这个眼妆！！！我满足了！
那你又能怎么办呢
这么大的眼睛真的存在嘛
这不嘚在脸上贴金箔
头发不像
摄像头模糊一点就完全是同一个人了
吉巴罗就有种壁画的感觉
太牛了555
太拼了
好像！（是不是因为up眼睛很大）
这个角色就是诡异的，所以很像
不像啊
你甚至都不舍得画得跟她一样脏...
好可怕（我是说妆
啊？这还是有差距的，但是还行
是本人出演吧？！
真的关注了，请继续下去
up长的好牛逼啊
太牛啦
哇 姐姐很有自己的想法诶！理解的好好
？？？？？？
缺个美瞳
好吓人卧槽
目前看到妆最好的
已经开始有了
吓人
第二吧  老八别第一
为什么感觉眼神很呆木
！！up好强，有那味了！
见过最像的！
姐姐好宠粉，爱了
太像了
两边头发有点长
一模一样
好棒！！！！！
不像
