飛踢需要紅色燃火特效！
帅
可以说是灰常biu准了
帅啊，雷欧奥特曼。
好帅
奥特之王：你小子想篡位？
gzz视角
你别劈我啊
劈我瓜是吧
雷欧大帝！！！
帅
你这一季大飞脚差点给我李宁踹开线喽
来个雷欧飞踢
酱紫蟀？
这也太帅了
大制作
这个飞踢！！！！
你tm劈我瓜是吧
给我宝宝表演半天怎么收费呢
这确实挺帅，但是这不是皮套嘛～
这一脚差点没给我李宁踹开线了
雷欧奥特里最帅的！！
卡内德拉斯视角
女生：哇⊙∀⊙！  男生：卧槽，卧槽～～
小伙子身材不错
动作还不错
卧槽
勇气可嘉
帅呆了
我的吉普车已经准备好了
奥特孤儿
卧槽 酱紫帅？
zio？？你说了zio对吧！
卧槽，牛逼
厉害啊
卧槽
牛逼克拉斯
建议加上特效
狮子王
你要篡位？
雷欧飞踢！
帅啊
哈哈哈哈哈弹幕乐死
牛逼
好帅啊
太还原了，这个胸太还原了！
你他喵劈摄像头是吧
不热吗
毕业季啊，不热吗
对于初高中生来说可能很幼稚，但对我30的我来说刚刚好
拜托雷欧超帅的
你他喵劈我摄像头是吧
我敲！！！！狮子！！！！
牛蛙牛蛙！！！！！！
卧槽，有操作的，啊这个人
帅
卧槽
没有特效
yysy，确实帅
卧槽 真飞踢
买到真的了
酷
有那味了
卧槽，你来真的啊
能不能来个飞踢
胸明显垫了（狗头）
啊，我死了
帅 帅 帅
你热不热呀？
雷欧大老粗，斗篷反穿！
太帅了
卧槽 这个好帅啊！！！
裆下视角坂本狂笑
胖了一点
nb啊
皮套太新了
你倒是给鞋泼上酒精点着啊
酱紫帅？
特效呢？
打我！给你一蛇心剑
吉普车呢
胸垫得有点多啊
呀！
卧槽
飞一个
银角大王
大伙说飞踢都是开玩笑，你咋还来真的啊？
社牛
令郎的胸肌，为何如此浮夸？
雷欧大结局拍摄现场
恰
leo那个一上一下的手势呢
回头率1000%
这太还原了，兄弟们
可以
随机踢没一个同学。
赔钱，给我李宁踹开线辣
动作真标准
卧槽，有操作的啊
。。。
热不热？
这发达的胸肌
帅得一匹
卧槽牛逼啊
卧槽
成都成就梦想
好像蛮帅的
眼睛没做好
动作强而有力！强而有力！口牙！
卧槽！
最最最喜欢雷欧了
你那拐杖是什么!你那耳光是什么!你那回旋镖又是什么?!你的吉普车可以打败怪兽吗?!能拯救这Mac吗!​
太帅了！
确实挺帅的
银角大王俺老孙叫你一声你敢答应吗
咿呀
你差点踹死了我的小梦
哈哈我现在才看明白是阿婆主特摄，不是圆谷特摄
卧槽！
危险的起手式
若干年后，同学:当年那个谁，雷欧
哦，这危险的起手式
这里有个细节，把披风甩了之后变成臂环了
这角度有那味了
卧槽！
小伙纸身材不错
身材可以啊
雷欧飞踢
标准啊
g儿太突出了
牛蛙……可是~~热吗？
这个嘴角有点怪怪的
最靓的仔
毕业照后面对应部分有名字的
？
卧槽这飞踢！
一脚盛夏
属实帅
有点搁楞眼？
好新的雷欧
皮套哪里买的
就差特效了，很帅！
wc
雷欧！
真滴帅啊
各方面标准的很啊
冲这个雷欧飞踢，你币有了
活在当下
帅啊卧槽
牛逼
雀食帅
帅帅帅帅帅
妈见打
动作太牛了
令郎的胸肌为何如此浮夸
帅
跳的有点高啊
雷欧
怪兽视角
我超
nb
雷欧睡觉有点累
你捡斗篷的样子很狼狈
太帅了
牛逼
这个起手式，危   学校    危
你为什么打劳资，呜呜呜
卧槽，这里惊到了
川剧变脸
帅就完了
牛逼
布莱克多姆视角
智慧的眼神
这堵会
眼睛。。。。。。
格斗之王雷欧
令郎胸肌为何如此浮夸
可以啊
上燃烧瓶特效啊
为什么肚子上写着  肥   手动狗头
吔！
拍的针不戳啊
动作满分
话说这一套多少钱
确实帅
md帅啊
太帅了
卧槽
多机位拍摄啊牛
有那种身高50多米的感觉了
校长是巴巴尔星人变得，所以你留级了
太帅了
厉害了
 小 潮 后 代
好大肌
帅炸了。
这毕业照不得搞个联动
完美还原！
太帅了！！！
好大的x啊
社交牛逼证
啊哒
雷欧——
哇，超还原！
社牛
照相机:????
太极吧帅了
雀食蟀
帅
帅帅帅
鹅滴圣剑！
这不是泰罗吗
这不是泰罗吗
什么蕾姆，这是泰罗
泰罗
这是泰罗
泰罗牛逼
冲这个飞踢你币有了
帅哭了
2222222
挨揍视角
你造反啦？
你那表情是怎么回事，你那眼泪又是怎么回事
牛
不热吗……
投币
可以，牛批
帅惨了
你已经赢其他同学太多了
帅
帅帅帅
逆天
手套和鞋子和衣服有色差
这壮硕的胸肌
卧槽！！这个飞踢牛
丧失择偶权
成都成就梦想！！！
挖槽
很有精神
这个镜头感很专业了
帅啊
斗鸡眼？
帅
外套都起褶子了
你tm劈我是吧(doge
好帅，好帅
雷欧
太帅了!
lion
标志大了些吧
这脸颜色不对啊
排面
好帅啊！！！！！！！！！！！！
卧槽太帅了
这是雷欧
卧槽这个飞踢帅！
882gzz视角
热不热啊
阿斯特拉呢
666
奥特曼格斗进化
帅啊
强啊强啊
吔！
哇，汗都从胸口流出来了
可是，你为什么是斗鸡眼（dogo）
太帅了吧
雷欧飞踢，还原度好高啊
我以为他肚子上写的是“肥”
卧槽标准！
太帅了，我什么时候能像你一样萧洒
好！！！
巴巴尔你个XXX
你tm劈我瓜是吧
西瓜视角
细节满分
Leo，Leo Leo
真的牛逼
迪迦！！！！！
泰罗牛逼
6！
帅啊
闪耀的狮子瞳
毕业一定哈哈哈哈哈
下期特摄你来拍
投币了！
6666
这眼神感觉不是很聪明的样子
你的眼泪是怎么回事
太帅了！！！！
卧槽，太帅了，投币投币
这胸部，说是女的我都信
牛牛牛
tui tui tui tui
帅啊
牛逼
对班主任使用雷欧飞踢吧
奥特第二帅的
这可太帅了
帅啊
雷欧
这胸填得多厚啊
羡慕
6！！！
有点东西！
雷欧师父！！！
咿呀！！！
奥王：你小子都不是m78的奥，老子早就怀疑你想篡位
为什么是斗鸡眼
隗泽
成都成就你的梦想
好帅的皮套
动作是真的帅
扔披风时有多帅，捡的时候就有多狼狈
g2满分～
你家炸了
666啊
卧槽
雷欧
牛哇
这么小声还想拍毕业照？
死狗一
说泰罗的就不要不懂装懂了
这动作标准啊
超帅的好吧
卧槽
帅炸了好吧
标准啊
雷欧飞踢！
好！再来一个！
奥特飞踢
有点功夫在身上
这个动作是赛罗外传里那个吧，在异空间打机械奥特兄弟的那个
卧槽！
你的灯会亮吗
哇，我的童年
这个挺壮的  还挺还原
华科出版社！！！
好热
真的太帅了啊啊啊啊啊
这是泰罗，你个假粉丝
这是雷欧的小弟，雪欧
成就梦想
你劈我瓜是吧
最爱雷欧
甲状腺肥大
卧槽
被校长打死
这个胸是怎么回事
666
专业
鞋子拉链好评
迪尼玛迦
注意安全，别掉下去了
令郎胸肌为何如此浮夸
酱紫帅？
智慧的黑睛
帅啊
你是男的女的
嘴是不是歪的
牛逼
女生（不是）
怎么这奥特曼还对眼。
奥特之父：劳资给你的披风你就这样对待？
谢谢你赛文
谢谢你黑龙江卫视
哈哈哈
牛p
有点那个味了
nibiyoule
这红皮鞋还是拉链的，讲究
我可是王者
这个视角好
披风是不是反了
好的阿斯特拉
雷欧尼桑
没特效差评
他会，卧槽
Woc牛啊
ohohohoh
牛的
谢谢你泰罗
哥哥们现在情况紧急，我们先把叛徒阿斯特拉杀了吧！
这胸肌
谢谢你！泰罗
有币有币！！！
鸿星尔克
但是毕业照呢
有亿点厉害
成都成就梦想
练过阿
雷欧你好大
太大了
帅啊
这个牛
成都成就梦想
不怕社死吗233333
雷欧（崭新出厂）
太帅啦！！！！
这是真帅啊
标准，相当标准。
我裂开了
牛阿
脚没发红
有一说一，你这个披风是不是披反了？
雷欧：该死，赛文还在追我
现世牛逼症
帅
卧槽，你这动作是真还原真有力量，一般的cos做不到
特摄被你玩明白了
谢谢你迪迦
你怕是体校毕业的
确实帅
卧槽帅哭我了好吧
卧槽
热不热
疑似皮套演员本人
1
披风反了吧
兄dei你的胸肌为何如此浮夸
卧槽
怎么斗鸡眼的哇
这不是个女的吧
这披风不就是奥王给雷欧的嘛
你拍了个寂寞
被他买到真的了
比我大
这个真牛逼！
身材真的很好
独臂少侠，雕在何处？
我超
宇宙拳法
帅啊
胸肌好大
《衣服》
叮咚叮咚叮咚~
如果是我 我就穿黄金圣斗士的衣服去
奥特国王：我披风呢？那个臭小子拿走了？
雷欧尼桑！(〃'▽'〃)
你敢打我
卧槽
令郎的胸肌为何如此之大
牛逼
来个雷欧飞踢
令郎的胸肌如此浮夸。
确实帅
rider kick
练过
胸有点大
狮子！
这一下 我是圆盘生物
关系户！
牛逼
令郎胸肌为何如此发达
能不能花五毛钱。。。？
身材不错
不还原啊，怎么比房子还小呢？哈哈
白鹤亮翅！
雷欧！
帅
确实帅
卧槽，这真的帅
一呀
大声喊出我的名字吧！!无乳脱浪漫……
桃
！！！！！？！？
对于这样的好活儿我一定会发点赞的弹幕
披风封边没褶子没内位
这个雷欧会飞踢吗？
直接投币
太牛了，社牛症重度患者
胸肌很发达
矮油，鞋真不错！
助力每一个社死的梦想
好帅
动作挺还原的
太帅了
雷欧披风就是这样
这皮套很贵吧
动作好标准
卧槽厉害
雷欧！
摄影牛逼
没有后空翻差评
卧槽，帅啊
卧槽还是披风版的
呱
我的圣剑
有胸！！！
雌雄不分了我已经
也太帅了吧
皮套稍微大了一点点
狮子王
就感觉皮套很服帖。很有那味。
雷欧！
视角孔有点大了
这头有点歪
皮套里面是维多利亚的秘密吗
胸肌很结实
这是真的帅
哇哇哇
咿呀
这么沙雕吗？
干脆去当演员吧
雷欧，你真棒！
这个真的牛逼
大狮子v5
我已经开始笑了
不热吗
你币有了
好大的胸肌
女的
好帅啊
此时一位不愿透露姓名的梦比优斯路过
啊啊啊我的角掉了！
宇宙拳法！！
牛逼啊
雷欧鼓大包
这飞踢，还原度真高呀
斗鸡眼
卧槽
牛逼。这弹跳。
拍戏拍的皮都皱了
