刚刚！
刚刚
哈哈哈哈你为什么不搞个拉链款
哈哈哈
笑死
哈哈哈迷糊八八
手工区博主
痛苦面具哈哈哈
外面天都黑了
太强啦！
"hhhh,好可爱"
老婆老婆老婆~~
哈哈哈哈哈哈
你试图教会我？
好用心！
这塑料普通话，哈哈哈
太棒了吧啊
真的好美！
火葬场女神
好喜欢这个妆容 很通透的感觉
太牛了
捌捌，俺滴超人
热乎的
太强了！！
这个帽子像那个民族风的
超越了超越了
天啦噜
湖南人哈哈哈哈哈哈
这还不火！！
人家那是金面具，好不好？
这必须得火啊！
更贵了好像
唯一一个化妆和我们修车差不多的
好好听！金属碰撞的声音！
穿衣服时扭曲的表情有内味了
像证人那个
叫一下叫一下
老八好厉害！！！
太厉害了
哈哈哈哈
好厉害好厉害
您
哈哈哈哈哈
打雷了！
？
已经开始像了
这是隔着个鱼缸吗
手太巧了
来过
有官方说是塞壬吗？？
老湖南人了
bgm好评
打雷姐
太贵了太贵了
当心聋骑士
怎么脱
掉才正常啊，爱死机原片里面不就是，边扭边掉
求BGM！
太厉害了
阿酸来学习化妆
你太瘦了
打雷姐双厨狂喜！
动手能力非同一般
太用心了天哪
自卖自夸（滑稽脸）
全是肝
打雷姐！！！
太牛了
这衣服卖了都比拍视频赚的钱多吧
倾家荡产做植发吗
姐姐你好美
高定级别了
好牛
爆率真的很高
脸上金属光泽再强一点就更棒啦！！！
爱死机没有说她是塞壬吧
弗兰人吗阿婆主
有人说吉巴罗展示了拉美的血腥殖民历史耶
吉巴罗(塑普版)
像哎！
太像了
牛牛牛
魔法开始了
八八真的很用心
说了哦 这个故事的导演在采访里说了是塞壬
官网简介里说了是siren
哈哈哈哈哈哈 费老鼻子劲了
中国能人真多
不简单
快点发YouTube
自己做的太厉害了
最像的
为什么只能投两个币
说超越的有点过于捧了吧
什么摄像头！
卧槽
套个塑料袋在头上就好了啊
好精致，还以为是3D建模
不是塞壬
面目狰狞。。。。
纯真的是你的眼神
湖南人
脸不像
天哪。。
河北朵拉高中生限定发型
扭
我直接老婆
币有了
官方有英文简介说过是海妖塞壬
哈哈哈哈
衣服太美了
牛牛牛
关键有氛围感
三连了
卧槽卧槽
曲对币投
是的啊
鱼缸？
开始怕怕了
爆金币
难为仙女了
这个表情很像塞壬被欺骗的愤怒
这个妆有点像花旦
艺术品！这是艺术品
我倾家荡产了！
好像
还好你瘦
联系到塞壬被扒皮有多疼了
就像CG合成的一样！
好像
弗兰人
你叫我去帮忙不就好了嘛
了不起的盖茨比
太美了！！！！
打雷姐！
优雅永不过时
原来我是缺手
我的天这要耗时多久啊
其实动画里是戴面具的
好绝啊啊啊
这个真的好还原啊
什么罗？
不够暗黑
我的天呐，666
相当于高定了欸
