弹幕1？
第四我擦
弹幕呢
弹幕呢
弹幕嘞
弹幕捏
弹幕呢？
弹幕呢
没有弹幕？？
同款锉刀
？
弹幕清了？
1
木直中绳，輮以为轮
1000+
没有弹幕吗
弹幕只有几个
怎么没有弹幕
。
来早了？
卡点
弹幕呢
看傻了呗
没有人发弹幕吗？？？
弹幕呢
同款自动铅笔
舒服
闭麦欣赏
弹幕呢？
都看得这么认真吗
弹幕呢
。
流批
芜湖！
我还以为是我屏蔽了弹幕。
弹幕不见了吗，那我就来充当弹幕
燃起来了
空瓶是我的啦！
这也算失踪人口了叭
弹幕呢？
为什么没有弹幕
承包空屏
爷青回
你这么久没碰这个，我都忘了他的名字了hhh
我来合成头部
牛牛牛
美白五件套
弹幕空屏？
抛光五件套
3000多人
？
这是什么材质？
第一次这么早
3000+
失踪人口回归
我来组成弹幕
终于等到你了
刀镡反了吧
3000+
老配方又出现了荧光粉混和胶
数据真的吗
脆脆鲨
3000多人，71条弹幕
今天这么早？
.
第83条弹幕！！！
懒，不想发弹幕
火钳刘明
我的空屏！！！
弹幕呢？
弹幕呢为什么没有弹幕？
这是什么材质？
卧槽，他要喷火
刀鞘里的打火石
拔刀的时候直接起火？
輮以为轮？
偷up是啥意思
这是大哥上身了吧（doge）
烈火拔刀?doge
烈火拔刀！
紫光檀yyds
爷爷，你关注的up更新了
组队偷up(114514)
装油  牛逼
9000+
要喷火？
九千加
打火石？
太原火焰刀
火钳刘明
视频内含有危险行为，请勿模仿
9000+芜湖
没反，我买了一把，又对比了动画
大哥没有输
我的空屏
卡点好评
好多好孙子啊 哎 爷爷知道了
他家一堆刀，我不敢偷他啊
bgm有点东西
他家一堆到
组团偷UP 114/514
真彳亍
红红火火恍恍惚惚
流刃若火吗？
还有三角形△加热符号
组队偷UP（1000/100）
牛牛牛牛牛
承包空屏
666
我是才浅楼下卖线锯的，现在开上柯尼塞格了
我竟然知道他要干嘛！
爷爷，你关注的up主更新了！
輮以为轮
卧槽！
爷爷，你关注的up主更新了！
哈哈刚来就整大活
三个名刀镡合成一个才浅特制刀镡
刀鞘打火？？？
他刀都不是钢的了其实就是高级道具刀鞘是不是凿的又不重要了
爷青回
赶上了，热乎的
英年露脸
是大哥！
不会真的要喷火吧
好了好了，爷爷知道了
坏了坏了
承包空屏
双热管
我再来，我是他家楼下卖铁的，现在北京114514套四合院了
h'k'h
我是他家楼下卖木头的现在我已经开拖拉机了
卧槽，他真的要喷火
大师，我悟了
脆脆鲨那个你够了
空瓶是我的
终于更了
才浅，锻刀村在呼唤你
木直中绳，輮以为…不好意思走错了
铜加热金属光泽消失，表面变黑
大哥没有死！！！
一万个兄弟们好
火钳刘明
火剑
这用来烤串一定很不错
輮以为轮
大哥没有输
Cocos 2dx
他不会要用煤气起火吧
火石刀？
没钱搞黄金了？
发生什么事了？
初三的来了~：2Cu+O2=2CuO
不对劲
这个方向削木头特别容易削到手。
组队偷up（∝/100）
反啦
刀镡刀啦
刀镡
錾丝工艺的捶打
好耶！！又是紫檀木！！！！
梦中情手
大型人口贩卖现场
火抗附魔
电镀附魔？
你们大哥输啦！
请勿模仿
好
这个好像有亿点点不对劲
失踪人口回归
我超，锡焊都来了
1.2w加？
玛莎拉
他可以一直卡点
逐渐离谱
輮以为轮
前面的，我是给才浅卖黄金锉的，现在开兰博基尼
刀镡
就开始做刀鞘了？
不是放弃教会我们，他觉得我们已经出师了
请勿模仿
终于回归正业了
《劝学》
爷爷，你关注的up主终于更新啦
大哥！！！
双厨狂喜!!!!
四小时十万赞？？？
不会真的喷火吧
爷爷，你关注的up猪更新了
2Cu+O2==加热==2CuO
大哥没有输！！！
一次性吗不会
三哥：你这多少有点不尊重我我的实力吧(bushi)
木直中绳，輮以为轮
2Cu+O2△=2CuO
要喷火
UP，你是刀匠村毕业的吧
刀鞘应该凿出来
刀鞘 之前那个是磁石
木头淬火
回归紫光檀制刀
组队偷up（11454/100）
组队偷up（6/100）
太原火焰刀
失踪人士回归
卡点区up主（bushi
还以为拔出来的时候可以划出火苗点火
天啊，你跟新啦
爷青回！
卧槽  想到了
这是什么东西 这么软
人口回归
组队偷up8
祖宗，你更新的up爷爷了（泪目）
2Cu+O2=2CuO
记住这个管子，后面要烤的
你们都知道了为什么我不知道
手艺人
要是用的那种水沉木就好
泡沫铜
太原火焰刀！
好，我知道他想干嘛了
輮起来
1.1w个兄弟，你们好
钢铁冢和铁穴森等人默默点了个赞并奉上了膝盖
只有铅笔是和大佬一样
爷爷，你关注都up主更新了
逐渐不理解
hhhhhhhhc
大号打火机？
卡可以一直点他的
4小时扔了吧
绝缘胶带
神锻国国王兼锻刀村村长
电阻
有生之年
这个视频能出个才浅哥舞刀拍摄的花絮放在2p嘛（有没有人和我同样的想法）
先到的小伙伴请把“卧槽”打在弹幕上！
大哥没有输
美缝
火石？打火机？
？为什么不是电焊？？？？
抢占空屏
组团偷up（100/100）
组团偷
各位兄弟要准备卧槽了吗？
我也抢到空屏了
爷爷，你关注的阿婆主更新了！
卧槽，我忽然猜到了，太卷了
现代锻造民用刀剑
泡沫铜
不，是打火石
紫光檀又是我
铁皮 | 表面淬火
.
失踪人口回归
我懂了
你们都不说话是吧？那我也不说
妈妈！他中午更新了！
有人吗？
哇
淬火（）
已三连
这不会是一次性的吧？
大哥没有输！
我也来
炭治郎，请带着这个刀镡有一路勇敢的走下去！
泡沫铜。评论区有大佬说明
这个音乐一响，我还以为我耳朵边有蚊子
爷青回！！！！！！！！！！！！！
组队偷up15/100
美工刀:这...辈子...值了!!!
刀肖
大哥没有输！！
你别想，空瓶是我的
真·火钳刘明
小钢棍儿：我感觉到了一股浓浓的杀气
其实边角料可以给我的。。。
我以为加灯光
温馨提示：那个胶带是电工修电用的胶带
2倍速好带感
话不多说直接三连
tnnd
承包空瓶
导热管
煅刀人
他还是那么喜欢给刀配个鞘
1.3万
大哥没有输！！
2Cu+O2=2CuO
传统刀鞘
1.3w
呵呵哈哈哈，更新了，哈哈哈哈哈哈哈哈哈
组队偷UP(100/100)
桌子：为了这刀我也付出了很多
同款铅笔
组队偷up（10086/100）
1.3万
火钳刘明
1.4万人
爷爷，你关注的up主更新了！！！
荧光粉老搭档了
伊之助既视感。（？）
打火机
家用小型喷火器
第二遍
才浅做刀鞘已经很熟练了
老本行
虽有槁暴，不复挺者，輮使之然也
大哥没有输！！！
原来使用这种方式办到的吗？
再来一遍
木直中绳，輮以为轮，其曲中规。虽有槁暴，不复挺者，輮使之然也
不懂就问，紫光檀不怕火吗？
岩柱动画都没出呢
火 焰 附 加  Ⅴ
宝刀三千口，用法各不同
woc我好像知道了
woc我好像知道了
视频内含有危险行为，请勿模仿
组队偷up（100/100）
卧槽居然是这种点火方式，妙啊
马萨卡？！
组队偷up（9/100）
锻刀村篇（确信）
1.2w
条不对劲
打火刀
感觉要喷火了
条过半
1.2w+
注入灵魂
空屏是我的啦
大哥啊！！！
火之高兴
模仿?  您真是高看我了
诶，他不是木工嘛
锻刀村
牛
这个人到底在干嘛 
BGM有点意思
1
士力架
你以为他是乱锯的，他可不是乱锯的
这题我会，略！
该不会要放火吧
我大概明白他想干啥了
大哥:你们不会不知道他就是给我锻刀的师傅吧？
火钳才浅
我是他楼下卖木头的，最近忙着管理我在火星上的一个国家
大哥没有输！！
赶上了
逐渐离谱
马……马萨卡……！？
一定是锯子
不对劲
平平无奇的学浅
好耶！！！！！！！
輮以为轮啊这是
喷火用的
消逝的光芒
已经开始牛壁了
1.1w
组团偷才浅(4/100)
组队偷up  (8/100)
老朋友
他在提前纪念锻刀村篇里的各位
我不李姐，但是我大受震撼
1.1w
1，1万
一次性炎之呼吸
哦哦我懂了（坏笑）
剑圣的烧火棍？
疑似锻刀村篇片段流出
还有刀鞘？！！
其实你就是当时给大哥锻造刀的师傅吧 ！！！
铜板?
组队偷up（56/100）
才浅上回是什么时候被央妈发现的
先投为敬
已三连
蒸汽朋克
好耶
化学方程式：2Cu+O2＝2CuO
哎呀哎呀，好舒服呀~（绵羊音）
表面淬火
通用人泪目
逐渐不对劲
节省材料好评
这是……手工钎焊！
好家伙 是真的火
让你模仿没让你超越啊喂
这是要喷火么？
11000+
up在做文物的路上越走越远，总算回归老本行
今天
快把刀镡给我！！（doge）
不怕的，刚点着的时候氧气不够，只有温度够，抽出去才会燃烧
爷关更爷关更
我以为马来狗呢
又开始了干起了老本行
“啪！——”
进度条暴露了一切
越做越离谱
大哥没有输
打火石？
，，，，，，，，，，，，，，，，，，，，，，，，
1.1万+
好漂亮啊
真火属实牛壁了
这个背景的人怎么这么像老千呢？
原来是这样做的，哦脑子学会了手还不会
真·炎之呼吸
真牛批
不对劲！
1.1w+
才浅牛逼
不对劲！
一小时！
泡沫铜
进度条不简单啊……
组团偷up（11/100）
大哥没有输
燃烧杆模组
哇哇哇
红刀？
66666
我在想，这是不是打火机？
真就炎柱的刀呗喷火？
插回去的时候不会燃吗
刀鄂是不是装反了？
三连区up主
终于回锻刀村了
1.1万＋
1.1w
卧槽大哥！
回归老本行
刀镡
有一种高能的预感
视频内含有危险行为，请勿模仿
喷油？
不对劲！！
1.1万人？！
那一天，才浅终于想起来自己是个木工。
《暗器》
打上花火
点可以一直卡他的
我决定了，高考就用它！
爷爷，你关注的up主更新了
太厉害了吧
爷爷你关注的up主更新了
1.1w
锻刀村去你那吗
up主，你关注的爷爷终于更新了
铜板(表面淬火)
确实危险动作
这是玩真火啊
很难点着的，，倒是把手缠的东西非常容易着，木头烧一会不容易起火
表面淬火
刑啊
喷火
爷青回
组队偷up（25/100）
66666
我人傻了1.1万人
等一手注入灵魂！！
好像还能喷火
你以为这就完了？
弹幕数少的离谱
这太牛了
这是要喷火啊
