还以为我没开弹幕呢，原来我第一啊
海盗旗飘得反向不太对
心想事成：就想有这么一双手
666
nb
老篾匠
白胡子？
up的手工很厉害了！！
我出1爽，up把手工卖给我吧
来了
转发抽奖
细节
够细节
想学
看到这没办法不投币啊
完美
拖鞋完成
这船舱里面看不见不是白做了吗？
万里阳光号
莫比迪克号做过了
牛逼大发了！
我去看了UP的店！材料包简直了！但是没时间拼！等有钱有空了再买哭哭
提前666
白胡子的船吧
好看，但是放久了应该会脱落吧
66666666
好漂亮
黏上去的？
亿点点细节
把观众送了可还行
白胡子
一双拖鞋就做好了
这里又重新做了一次？
厉害
up主手买吗？
莫比迪克吧
牛逼
白胡子的船 莫比迪克号
船好了，现在就差儿子们了-.-
牛的
秀啊
古人造船是怎么拼上去的
666
这需要的是脑
这和机械表一个道理看不见打磨干什么
我给还不行吗？
我的下巴掉了
凉席终结者
服气
白胡子的船之前做过了吧
太细了
要是在喷涂就更棒了
像极了我建模的结构图
你就是弗兰奇？
莫比迪克
龙骨
太牛逼了
太顶了
NB
你学不会的
不能下水，差评
我就是那只苍蝇
白胡子海盗船
古人没有红牛怎么办
还音乐阴间？你怕不是阴间人听不得阳间的音乐吧？
nb
好家伙
牛皮
不会是只鞋吧
白鲸号
牛逼
来我的船上做我的儿子吧～
我特么三连了
高手
习惯
习惯
做了多久？
卧槽，牛逼
郑和宝船
提前点赞
这细节就很UP
好看  都给我把三连点起来
今天谁也别想走
这个UP还有店？
我正想问胶水是个啥胶水
到处都是细节 
是不是还要上漆
不是吧  这应该是他做的第一个  然后他又同比例出材料包
船坚炮利
船舱那个看不见也要做  因为是支撑用的
果然要上漆欧
再请人做涂装啊
辛苦了up
哪里买
要是能下水更好哈哈哈哈哈哈
风来炮
下水
华夫饼
我卡了？
莫比迪克号吧
借您吉言
md，你抢我硬币
三桅横帆
翻船
这是吃了多少冰棍啊
好家伙，我直接三弟打印
船帆
6666啊
6666666
卖吗 我想要 但是我手残 呜呜呜
跪着看完
啥时候造个航母
有没有跪了的？
白胡子船
天啊！这精准度
船头有点像白胡子的船
水密隔舱
精美
前方萨拉托加出没
厉害了！！！
太有耐心了
时间久了胶水会老化
果然是白鲸号
我要这币有何用?
黄金梅丽号求做
要是再放个红发，白胡子交锋的手办在上面，更有趣了
我也同意上一位建议抽一位观众送了的观点
今天的币给你了
白胡子的，现在能看差不多了
以为在锯手纸
人家那叫帆船
火力不足恐惧症
太细了
大头皮鞋
汤姆先生就是你？
你咋这么牛逼呢
细节多亿点
高天亮怎么来做手工了
真好
这up是真的细
哇哦好厉害
太牛逼了
你说这是真的船我都信
做艘航母吧
冲着这句心想事成必须投币
yyds
神特喵翻船
不粘难道是焊的？
这动手能力！
好了下水吧
做仙三那个船呀
好强啊
这可不便宜啊，但是不兴戴啊！
Q
WC~~
好精致
造船教程
UP主我觉得你可以蹭一波天宫的热度
您的手是艺术，我的手是爪子
ohhhhhhhhhhhhhhhhhh
nb
卖成品吗
502不便宜啊
看进度条惊呆
牛逼啊
白胡子的船!
法国海盗船？
up主，手卖不卖
把席子拆了
太厉害了
这得做多久呀，太厉害了
前面的，老爹的船没风来炮吧…
UP要火啊
下水看看
红牛打钱
袜
我们不一样
还有灯
萨拉托加那个是魔鬼吗
这个时代名为白胡子！
什么胶水这么好用
这不比万代的强？
怎么会白做呢？都说了细节溢出来了
火力挺猛啊
有你这手艺，郑和不仅是下西洋了
ohhhhhhhhhhh
老爹的船
看出来了，是白胡子海贼团
没门
横舱壁
白胡子海贼团的船工是雷利副团长来着？
拖鞋
搞完放在水里试试
能下水不？
这满手的胶水好真实
你得支棱起来
泰坦尼克号
6666
期待你的黑珍珠号
好像拖孩
三宝太监
ohhhhhhhhhhhhhhhhhhhhhhhhhh
666
看着好舒服
狠人
6666
真的是船？
这枕头看起来不错
好活
这就很绝。
莫比迪克号？
能不能按照教程造一艘真正的船
牛逼哄哄
不做拖鞋可惜了
黑珍珠？
魔兽世界里的运输船
这船怎么前进吧
浑身是肝
为什么我的502什么的粘不住除了我的手
《核     舟     记》
能下水吗
搁这里阵列呢
白胡子+1我也觉得像
学废了，这双手卖不卖
谢谢(*°∀°)=3
自然选择号
莫比迪号克号
是个狠人
这会看着好像足浴盆。。
