不愧是我
好家伙 第一
刚刚
来了
来了
沙发
这么快
OMG sofast
笑死
wa
来太早了
来啦
来了来了
第一耶！！
你以为我不在等；
来力来力
我好早啊
前排前排
催更催更
来了
真就日更呗
终于更了 啊，等了一天
刚刚
刚刚！
来了来了
54
热乎的
先点赞再看
刚刚呀
沙发
来啦
抢个第一
来了来了
热乎的？
先投币+赞 再看
1
刚刚，热乎的
千呼万唤始出来
前排占位
我直接投币
11111111
刚看完剧来重温
b站买房
刚刚，赶上了
好
54
我来了啊～
一分钟
早啊
来了
一分钟！！有生之年系列
1分钟
冲啊
见证历史了！！！
来早了，什么都没有
来了来了
来了
一分钟
此时此刻就是彼时彼刻
1分钟！！
来了
我偏要点赞，就是玩
来了
热乎的
一分钟一分钟！
1分钟！
来了来了
一分钟！！
来辽
一分钟
这应该是第一个弹幕吧
热乎
来了
来了！
我的超人！！
你不让我点，我岂不是很没面子
一分钟！
妈妈我出息了！！！！！！！！！1
第一第一
来了来了
前排前排前排
来啦
热乎的！！！！
来了来了
一分钟
1min前
应景啊， 5.4
就等这个了
一分钟
那段屈辱的历史
一分钟
终于来了
一分钟一分钟！！！！！！
最早的一次
第一次这么前排！！
愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一分热，发一分光。就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。​
我的1919
我来啦！！！
热乎 安静看
来了
好耶
来了！
人数徒增
热乎乎！
一夜白头
唉，那时候太难了
2分鐘！！！
出息了~~
好耶！
终于等到你
1919！
振奋，感动！
预测到了
来了来了
沉痛啊
来了来了，等了一天
热乎
值得纪念的5月4日！
现在19：19
来了
1111
2分钟
我本来想说是都是惨白的没想到这样还真实
两分钟！
二分钟
真是1919
太难受了
2分钟打卡
来了
热乎热乎！！！
就等这个了
终于等到你
2分钟
铭记
终于等到你
来了来了！！！
刚刚好
2分钟
102年了
热乎！
来了
这不光是面子问题，是切切实实的国家利益问题，山东人民吃苦头了
6
来了
来了
来了来了
泪目了
哭了
一夜白头
唉
难受
看的真的很心酸
太难了
铭记历史 前辈们 我们没有输
日期精准啊
心刚啊！！
至少我们来了
三分钟大前排
有被震撼到
怎么没人了
更新了
一夜白头
一夜白头
终于来了
这是愤慨到了极点！
希望先辈在天之灵能对中国今日之成就
历史不会忘记！人民不会忘记！
三分钟！！
先赞后看
19:19妙呀
瞧谁不起，20w，速更下期
云飞兄
憋屈啊
新鲜的！！
一夜白头
精神压力极大的情况下，是会一夜白头的
一夜白头啊……
啊啊啊啊啊啊3分钟我出息了
我们永远不会输！
我等了一天了
这是何等刚烈的心性
心疼心刚
3min
三分钟
终于来了
三分钟！！！！
1919
终于等到你
耻辱啊！
青岛是个美丽的城市
你不是
心疼，心在滴血，一夜白头
三分钟
这期的目标是五十四万点赞好不好兄弟们
太难受了
来啦来啦
心刚啊。。。
一夜白头……
终于等到你
唉不是国人的错啊，是落后的错啊
四分钟？
吾辈自强！！
陆游
一夜白了头
来了来了
眼泪刷地下来了
1657是我哎
热乎
永远铭记
徐敏老师演技一流啊
4401
来了
哇 来啦来啦
三分钟
好家伙我出息了，这么前
nbnb
啊啊啊啊啊啊啊
占领前排
一夜白头
我还是等弹幕养肥了再来把
来了来了，终于来了
来了来了等了一天
我靠，突然代入感很强，泪目了
唉╯﹏╰
浮夸？？？一夜白头可是典故啊
承包空屏
真的泪目
热乎的
天哪！这得多难过啊！！！
4分钟！
我们不能再让悲剧重演了，不光只是我国还有所有第三世界，中国必须维护世界的公平正义！
4分钟！！
ohhhhh
