哇！我出息了！
我是不是在做梦，居然第一
好的 多来小破站
啊啊啊啊啊
干杯
许老师！
热乎
我好爱啊啊啊啊
乌鸦超好听
来厦门开演唱会！！！！！
还热乎呢
啊啊啊啊
呀呀呀
终于等到你！
来了来了
Vlog!!!!!!!!   乌鸦超级好听
再来一次又能怎么样呢
哟西～小嵩嵩
三分钟热乎
啊啊啊啊啊啊啊啊啊啊
！！！！！前排预定
来了
你终于来了嵩嵩！
好啊
不知道是你等我还是我等你
啊啊啊啊啊许嵩！
热乎的！
终于等到你
好！
欢迎！
啊啊啊啊啊啊啊啊啊！
好帅
嵩哥好乖巧哦
四分钟还热乎
我来了我来了
期待MV！我都喜欢！
用了心就会被看到
多营业
啊啊啊啊啊啊啊啊啊啊啊啊！！！！
无敌
66666666
爷青回
排面
乌鸦给我感动坏了，
老许！
哇嵩哥啊
好啊好啊
冲冲冲哥
奶奶奶奶许嵩出来啦!，
嵩哥发创作花絮吧，想看看乌鸦的制作@许嵩
嵩哥！
芜湖，梦开始地方
想看你到美食区做阿婆主
乌鸦好好听
为小八接生
我想看拍摄花絮哈哈哈！！
新鮮
你币有了
！！！！！！！！
干杯
我呢一起听
音乐纯粹爱V绝对
再来一次又能怎么样呢
干杯
欢迎许先生
嵩哥yyds
许嵩os：我看到也不一定会更新的（狗头
不用吃饭了
许嵩真的来了，爷青回!
来了来了
热乎的
ohhhh！
我们合肥的大才子，欢迎你
好听
来了
卧槽！！！！！
男粉：老公
不想合群 但我要和你成群
老公好帅！！！！！
好瘦啊，好好吃饭
阿巴阿巴
终于等到你！！八分钟
好的老公！
终于等到你
啊啊啊啊啊啊老公！！！！！
热乎
期待
嵩哥！！！！
你会成为鸽手嘛
老公来B站了啊啊啊啊啊，我好兴奋呐~
啊啊啊
你什么时候直播啊
想让你陪我们唠嗑
年更博主预定
MV拍摄花絮也可以啊
你就是我的奇迹
网络演唱会能安排吗555555
我想看你发狗粮
来啦
有生之年！！！
直播直播
音乐纯粹，爱V绝对！！！
预祝嵩哥第八张专辑大卖
三年了，你知道我们这三年是怎么过的嘛
热乎的11分钟
欢迎哥
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
你又瘦了
武汉 等你巡演
握草握草
松鼠报道
许甜甜，你来了。
好的呀，哈哈哈
等你
好的老公！
啊啊啊啊啊啊啊啊
但想到你，就不会勉强合群
爱您！！！
哥哥，
惊鸿一面！！
乾杯 []~（￣▽￣）~*
啊我死了
乌鸦都和我听失眠了，根本停不下来
太猛了
来了来了老公
来啦来啦
爷青回
好耶！！
嵩嵩我爱你！！！！
想看许嵩跳舞
啊啊啊啊啊啊啊
跳舞
知道你是许嵩。哈哈哈哈哈哈
十一分钟，趁人少快欺负他！
你终于还是没有忍住发动态了
好温柔好温柔好温柔
我太喜欢乌鸦了
