恭喜恭喜！！！
热乎的！！！！！！
第一次这么前排！
本来就了不起
哈哈哈哈哈哈哈哈
CC你也太棒了吧！
恭喜
憨憨cc哈哈哈哈哈哈哈哈
不 就 是
恭喜恭喜！
cc真的好厉害！！！
草
哈哈哈哈哈哈哈
好家伙一个建筑
《小  有》
和圆脸是同学吗
我出息了！三分钟！
我也想二硕一下
太厉害啦！
加油，CC
不就是被剑桥录取了吗 有什么了不起的（已跪下）
991人正在看。。。。
卧槽
草哈哈哈哈哈
太厉害了真的！！！超棒
别人家的老板
家 庭 煮 妇
这个真的太好了
我老板只会说：干活就好好干活 别想那些有的没的
突然发现猫猫
了不起！
这么好的老板……
学霸的人生
恭喜
我的天。。。那么努力跟自律
猫猫！
后面的猫在干啥哈哈哈哈
恭喜恭喜恭喜恭喜恭喜恭喜恭喜恭喜啊
猫猫
那么真实吗哈哈哈哈哈
牛皮
好优秀啊真的……
茶叔排面
好厉害哦
好厉害哦
還能這樣!?
线代微积分全a大佬
天哪你到底是什么神仙
我去
后面的是只猫耶
猹！！！！
转了三个专业啊
蛮好
啊啊啊啊茶叔出现在了这里！！
c君一路上遇到的都是贵人啊
好棒的老师和c君！！！
不就是被剑桥录取了吗 有什么了不起的！！！
老板大气（对人生无欲无求的老板）
强的人 在哪个领域都厉害
油漆很伤身体的呀。。。
运气太好了吧
哇哦！
好自由
哈哈哈哈哈哈哈哈哈哈哈哈
牛批
生  化  环  材
好可爱哈哈哈哈哈哈
草哈哈哈，醒来还是一场梦，怀疑人生
猫猫！！
恭喜恭喜！！
卧槽我也是
wow这是蛮好？？？
哇
草 化学与材料学
辛苦啦
后面猫动了吗
续弹幕！
你可太厉害了
那C菌现在不得30了？
They would be lucky to have you.
恭喜！！！！！！！！
除了卧槽我不知道说什么了
绝辣
哇呜
我的妈c菌太太太优秀了救命
猫猫！！！
牛哇牛哇cc
30？
我的妈！！！！
草
恭喜！
承包cc
真的好强！
一直以为是个布偶。。
牛牛牛！
恭喜！！！！！！
手手好可爱哈哈哈哈哈
卷起来了
你超优秀！！！
小灰
辛苦了！
卧槽
我的妈真的
蛮。蛮好
cc也太棒了
wa
《小有成绩》
《蛮好》
起草贪黑
厉害，从西走到东
66666666
哇！！！！！原来是这样吗
好棒
蛮好:全A
？？？？？这都行
你咕咕啥我没听懂？
大学能到美国留学家庭情况还用问吗？没钱拿什么留学（虽然不止是钱 ）
好强
？！
班里最卷的同学
为什么c菌学过这么多专业哈哈哈
cc好棒！！
《小有成绩》
你值得
恭喜！！！？？
您就是卷王
恭喜！！！
老师太棒了
硬卷
cc不会像读到博士吧
真的没有什么一学就会，有的都是拼命了就学会
虎虎！
哈哈哈哈哈哈
太肝了
建筑生：懂得都懂哈哈哈哈
这也太牛了吧
hhhhhhhh
太卷了
哈哈哈哈哈哈哈哈
66666
c菌做好每一件事，所以别人才愿意帮她
你值得cc加油！！！
啊，我现在高中都是问题啊。。
太厉害了c君
不愧是你
恭喜
哇……
恭喜！
那得有30了吧
恭喜恭喜
woc
全能学霸
好优秀！
17年初关注的cc！
恭喜
大佬的适合
遇到贵人的原因主要应该还是因为她够努力，她值得
天呐 cc真的是又优秀又努力 全能up
哈哈哈哈哈哈哈哈哈
《好几倍》
简称，学霸
因为c菌有想向前的努力，才能有机会，也才是运气好
好耶，我是斧王
我帮我侄女搞的就是这个线路 其实钱不会花很多 有梦想的可以去实践一下
cc太辛苦了呜呜呜
好努力 呜呜呜
这就是比你优秀的人比你更努力啊
哈哈哈哈哈哈哈哈哈哈哈
太牛了叭
好努力的cc
恭喜恭喜！
太厉害c，我的人生都活到狗身上了
太牛逼了
牛逼！！
恭喜恭喜
茶叔！
太厉害了
卧槽
恭喜！！！
不愧是你
真-时间管理大师
人家的选择是真的自由，啥都能商量
辛苦了！
《小有成绩》
恭喜cc！！
真小有成绩
贝尔
恭喜恭喜
真蛮好
恭喜恭喜恭喜
C菌不是一直都在英国吗?
这就是大佬的世界吗？
428我生日
ccnb！！！！！
卷了
LSE不行（）
c君好优秀啊
自律很重要
二硕是什么意思
社恐本人
哇
感动
天呐cc真的太厉害了！看你的视频一直没断更还以为你是全职的up！！
cc牛了
关注点完全被带偏啦
cc好厉害！
哈哈哈哈哈
恭喜！！！！！！
恭喜cc啊！！！
后面的猫，原来是真猫
不愧是我看上的up（狗头）爱了爱了
完全没有感觉你在读研啊啊啊
油漆那种五彩斑斓的黑
真的NB
超多金
好家伙同建筑设计
热乎
ucla！！这学校世界排名和清华在同一梯队
恭喜下
恭喜！！！！！
恭喜！！
在胶水厂调胶水的时候也是这样崩溃的
有钱，没钱哪能这么读。
恭喜恭喜！！
这叫蛮好，那我可能彻底废了
恭喜啊啊啊啊啊啊啊啊
第一期可是寂静岭啊！！！
nb！
建筑学？
cc等我！！！！！！
偶像偶像！！
啊这，以前不是谈过没，笑
太牛批了，可以
我才看到后面的猫猫
这还了不起？
cc太厉害了
牛逼
表面上是幸运，实际上是努力
好厉害。。。。
后面那只猫
恭喜cc
没事别念建筑设计
恭喜！！
真棒 果然有的人在哪儿都能发光
太厉害了！！
太强了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
妈妈，你看那肝上长了个人耶！
恭喜鸭，作为粉丝我也要向c菌学习！！！
后面不会是村长的猫猫吧？
太厉害了呀
厉害
恭喜
我学材料的
也是因为足够自己厉害，才能遇到这一群优秀的人啊
恭喜恭喜
大家好，我是北京某大学材料科学的博士，我一想到我的未来，我就眼前发黑
成功的背后啊
吉 姆  哈 克
这么猛的吗？天哪，好厉害！！！！！！！！！！！！！
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈
恭喜
学神啊
历史第一人
哈哈哈哈哈哈哈哈
想起我实习时候那个老板就。。。。
看看人家的人生
学霸
恭喜恭喜！
沾沾喜气
主管了厉害
牛哇
恭喜！！
英本的我也是....动不动就4-5k words
我还以为CC一直在读书呢，原来工作过
辛苦了
那是 剑桥啊啊啊啊啊
！活的 我趣
猫猫又被你念睡了
宁就是卷王
哇
后面的是真猫猫！不是玩偶！
一个小时还能吃吗？
天啊CC当时在我这个年纪就当上技术主管了
哈哈哈哈哈哈哈哈哈
C菌牛逼
UCLA已经很厉害啦！
离谱
没有A+确实只能算蛮好(狗头)
辛苦啦
《突然想学》
不，c菌值得遇见贵人
茶叔啊！
《机缘巧合》
女生？？
这不只是幸运啊，自己努力过
猫是真的？？
弯路？
恭喜啊！
墙
没有断更过？
？？
热乎！恭喜恭喜 ！！！
什么是二硕
主管看你这手滑都不想录你了
沾沾喜气！LSE!
牛蛙！！！
好老板
恭喜c君！
老卷了
工艺品公司技术主管！！！！
二硕。。为什么不弄个phd
cc真的好优秀，一直在坚持努力
辽宁人民发来贺电
村长喊你吃饭了
卷
技术主管 牛逼
c君好优秀啊！！！
沾沾喜气
截屏成功
恭喜！
真的内卷王哈哈哈
《弯路》
不愧是lse哈哈哈哈哈哈哈哈
都是G5啊啊啊啊
成功的背后是猫咪
卧槽卧槽卧槽！
老卷王了
恭喜学霸C
太充实了，向你学习
是虎子吗？好耶！
白嫖失败
别卷了
恭喜恭喜！
离谱
热乎的
？？？？差点做校友！
伯   纳   德      伍   利
恭喜！！
幸运只是强者的谦词
中毒了
哇 有实力有运气 真好
哈哈哈哈哈哈哈哈哈哈哈哈哈
这老师太好了
一个量词都分不清的丈育
恭喜！！！！！！！
哈哈哈卷王吧这就是
几年后我可以说很早就关注了这个中国小岛秀夫吗？
听听那个L有夺里面啊hhhhh
前面的那味，别人的努力可不是你一句辛运能概括的。。。。
学霸啊啊啊啊啊
学霸啊
区区剑桥录取书（）
牛逼
猫猫！
cc好强！
真他妈牛逼
cc你太厉害啦！ 啊啊啊我也要向你看齐
？？？
这是把能量放到外部，没有给周围人带来压力，不卷。
好老板啊
对外国人的人生无法理解
贵族专业啊，好像烧钱
？？？建筑设计！
不就是被剑桥录取了吗，有什么了不起的
老卷王了
恭喜！！！
Congratulations!!!!
恭喜恭喜
双厨狂喜
恭喜！！！！！！！
恭喜
泪目
烫手烫手
良心老板，一般都直接结工资走人
《我这一生》
卷啊
太牛了
化学导论1，微积分2，微分方程，线性代数，光&热&波，意大利语1，微积分3，全是A
《幸运》
社区大学？？
好厉害
竟然是社区大学转的
太好啦
关注cc这么久，真的看你越来越优秀啊
原来不是假猫猫嘛
老板太好了吧
about me！
好厉害啊
"这要花多少钱,商学院更贵吧"
《两千一八》
 内卷
哈哈哈哈老卷王了
卷 都可以卷
越努力的人越幸运
居然是从材化转专业的
太牛了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
恭喜恭喜！
小有
哈哈哈哈哈哈哈哈
卷怪。。。
？？
？？？
真好
卷王了
这么好啊
没有白走的路，点赞
《小有成绩》
去当厨子了（不）
你太优秀了
硕士，nb
太优秀了！
ohhhhhhhhhhhhh
安利：茶理理的歌（镜像倒过来）
发黑（物理）
好机缘巧合
cc超棒啊啊啊！！
好厉害啊
zbc
这个公司相当牛逼
哈哈哈哈哈
学费可贵了
其实真的了不起
有些人他就是希望能把事情万无一失的做好，所以他会做得充分，一天天说别人卷
MC钻石斧？↓
卧槽我也是建筑设计
政经学院？
厉害厉害厉害厉害！
这不叫卷，这叫肝
太强了
恭喜CC！！！
提桶跑路了
哇
卷
化学与材料
女的
你就是内卷
恭喜恭喜！！！！！！
真有钱啊
宝 原来我已经关注你至少5年了
恭喜恭喜
(时间)
恭喜CC！！
哈哈哈饿虎
这。。。家境真好
太强了
英语讲多了哈哈
恭喜！！！！！！！！！
几千英文字，不多啊
我嘞个去
因为cc很努力 他值得
我是某双非学校材料专业的研究生，一想到我的未来我也眼前发黑
泪目
好家伙，卷起来了
自传
贝尔实验室
i quit thank you
沾沾喜气
恭喜cc
恭喜恭喜
竟然还有意大利语
恭喜，恭喜
恭喜c君
恭喜
恭喜恭喜！太厉害了！
233
《小有成绩》
好棒！
这学校这么好？入学一推再推都还要？
山东人民发来贺电
怪不得是肾透支C菌
我看到现在才发现后面有一只猫猫........
卷
hhhhhhhhhhh
恭喜恭喜!!
材料学生表示也干过这个，是真的累
材料学生表示也干过这个，是真的累
哈哈哈哈哈哈哈哈哈哈哈哈
卷起来了
牛牛牛
确实还是挺了不起的
大家！不要羡慕cc！快去学习！你也一定可以的！！！
后面的猫。原来是活的！
哈哈哈哈我的世界
“偶像包袱”
太强了吧
果然牛逼的人干啥都牛逼
恭喜
社区学院
老卷王了
人要是行干一行行一行
学校都有后缀，要是没有就更优秀了
真他妈牛逼
难道你们的建筑设计不是理科嘛？？？？？
卷王之王
恭喜！！
后面的猫竟然是真的
up主性别女
技术主管666
恭喜恭喜
茶叔牛逼
哈哈哈哈哈哈哈哈
牛逼！！！！
天啊又是建筑设计  建筑全转行了
吸欧气
恭喜
就是了不起啊啊！！！！
沾沾喜气
！！！！
恭喜CC！
恭喜
恭喜恭喜！！
恭喜
别瞎说，这是一个油漆调配实验室，跟bell laboratory挂不上钩
一生就只读书...家景真好
生化环材
厉害！！！！！
