鹰院学子报道
你父亲年轻时确实不是个好人
眼神暗了
i beg you
致敬斯内普教授
鹰院致敬
蛇院报道
不得爱却一直爱
斯莱特林报到
always
太棒了
狮院来啦
他没有了自己的守护神，让我们来守护他
哭傻了
这里他想起了当年被詹姆用这个斗篷戏弄过
这个视频在钻心剜骨
只有你没资格指责他，波特
卧槽卧槽救命心痛死了
说这句话的时候院长是真心的！波特我求你信他
有的时候最在意你的人，并不会轻易表现出来
always
唯有莉莉的眼睛是连隐身衣都无效的
一位最勇敢的懦夫
斯内普的喜欢不是for the match而是for the quality
“最近，只有那些我无力相救的人。”
我的意难平
泪目
哭死我了又治愈又虐
给老子落泪
哭
最爱的混血王子
蛇院女孩报到
拉文克劳向斯内普教授致敬。
泪目
最令人感动的人物
always
回来吧，教授
永恒的always
永远的always
大爱斯内普
ALWAYSALWAYSALWAYSALWAYSALWAYSALWAYSALWAYSALWAYSALWAYSALWAYSALWAYSALWAYSALWAYSALWAYSALWAYSALWAYS
ALWAYS
斯内普万岁
#来哭的第八天
晚安教授
我的一切都一切都是为了你，我无怨无悔
我付出了一切付出了一生但我不需要回报为了你我愿意行走于黑暗之间不顾一切甚至是生命
鹰院围观
贡献的人
修复画质i了i了
哦才是真正的君子
还记得死亡圣器里最后面波特最小的儿子问哈利，万一被分到斯莱特林怎么办？
格兰芬多纯血统巫师向西弗勒斯.斯内普教授表示最崇高的敬意
曾经我最恨的就是教授，现在成最爱的
啊啊啊全世界最好的斯教
泪目了啊啊啊
白嫖失败
斯内普一直都是在保护他们啊
汪峰那个哈哈哈哈哈哈哈
斯内普永远的神
泪目
他从未还过手，只是在保护你啊
四 连
斯内普一直都是
呜呜呜
刀傻
这个超棒 爱了
哭了
那我的灵魂呢？
滚
他是我知道的最勇敢的人
呜呜呜
我真的好喜欢斯教
他一直在保护你呀
格林芬多致敬斯内普校长！
哭傻了 我的眼泪不值钱
格兰芬多报道
不行要哭了(＞＜)
我不行了，哭了
狮院哭泣
斯内普啊啊啊啊啊啊，最伟大的战士啊啊啊啊！！！！
他俩好有夫妻像
狮院报道
我不白嫖了
这时斯教是食死徒，所以邓布利多对斯教出手
每天亿遍
我对你哎，也恨
斯内普教授，晚安。明天见［笑］
啊？？这个不是最佳人物塑造？
为什么这个没有最佳情感表达！
斯教！斯教！蛇院的骄傲！
刀傻了啊
已投币，两个
这里真的 太好哭了
鹰院表示致敬
斯莱特林 一代天骄 我们院长 长发及腰
21人正在看
蛇院报道
泪目
反手三连这次一定
这个视频太好了
anything
鹰院致敬
鹰院报道
他那样勇敢的把他们护在身后
虽然我来自狮院但我对斯教致以诚挚的敬意
他是我所知道最勇敢的人
狮院报道
这就是忍辱负重吧
斯内普小时候好康！
刀片…
anything
强
狮院致敬斯内普教授
鹰院报道
反手俩币
哭了
最佳感情表达啊
靓仔落泪
你父亲确实是个坏蛋
狮院报道
需要细品的男人
宇智波鼬般的角色
Please
Anything
请问这个为什么没有入围
斯内普为了救那个正义的世界牺牲了自己
