看的我都忘记发弹幕……
太漂亮了…
曲尽星河稀
这个太美了
感冒快点好起来啊
驴大爷真棒，。
云的节奏跟着小提琴的节奏
火钳刘明，太强了！！！
头皮发麻
火前刘明
辛苦了
这得三连
漂亮漂亮
喜欢
太壮观啦
爱了爱了
三连！
银河真漂亮
太美了，这个，up很厉害啊
bgm真的舒服了
bgm
壮丽
哇哦
蔚蓝星球哪里美，自有星空泛银河
火钳刘明
天狼星？
云海如涛，山峦作岸。
火钳刘明
好看到哭
真美
爱了爱了
原来能转
哇⊙∀⊙！
没有弹幕
渺小的人类
星色真美
爱了
赞
安静看，别发弹幕
新年第一个视频
好看
太漂亮
太美了
火钳刘明
都别发了，好好看。
帅啊
Beauty of this is awesome.
"With time flowing in the river of history,everything is seemed like a dream."
我家。。。
一个四川人竟不知道家乡有这么美的地方
哇喔
无论是否被云层遮挡，星空一直都在
四六分成
真美
大家新年大吉大利
绝美啊
弹幕护体
美啊！
太美了吧
俺也一样
云南人在这
云南人在此
慢慢的佩服
看入迷了啊
很美
你币有了
太漂亮了
真的是漫天繁星
awsl
我爱了
龙王
下次一定
太美了吧
怎么拍出来的
废话
爱死这小破站了，爱死这个up主了！
新的一年的第一个视频，带来好运吧
截图干嘛，愣着啊
这个好好看！！！
好漂亮
我浦江的怎么没有看到过呢？
美
哇⊙∀⊙！
哇
太美了叭
中卫人路过
良辰美景
您辛苦了
太美了
太美了！
啊啊啊啊啊啊啊太震撼了
不是天在转，是地球，我感觉到了她的生命
美
哇
震惊到发不出来
四川真美
内蒙的～
星空延时
看！地球再转~
同新年第一个视频
美极了
我爱星空
绝美啊啊啊
哇哇哇美哭了
愿你所求皆如愿，所行化坦途，多喜乐常安宁
i了i了
什么叫星河滚烫
顶
好美(✪▽✪)
你币有了
太美了！真的好震惊！
星空不爱你
每一帧都是屏保
祝马小朋友天天开心！
它永远都在那，静静的看着你
好好看！
我又回来了
美得让我颤栗
愿自己心想事成
美
我也想去了
有一颗星好亮啊
我愿拥抱这篇星空
但是怎么肉眼看不到这么多星星呢
美的哭
星辰大海
没见过这样的星空，我看的都是黑色的
来了来了
大家新年快乐！
很美！
星空
星空太美了！！！
海南，低纬度地区能观测到更多的星空
太美了
爱了
帅！
太美了
自然地理必过！概率论必过！
我一定要亲眼目睹！
新年快乐，2020又是充满繁星的一年呢
延时摄影
真就云海了
云层之上
up辛苦了
爱了
天地之大美 在于誠
好美
新年第一个啊
这个肉眼也能直接看见，还是非要用设备才能达到这种效果
天空长满了头屑
期末免挂！！
美
模电 信号 过过过！
好看
我们这里看不到
这个起鸡皮疙瘩了
三连了
小时候，天天看。长大后再也看不到群星闪耀
要用设备的吧
