刚刚发布，还没有弹幕
来了来了
我是第一！！！
趁现在子柒不注意，偷偷抱走
新年快乐！！！
梅菜扣肉？
我不管，我承包
新年快乐
哇
通宵党的胜利
新年快乐大家
是屏不是瓶
757
大家新年快乐!
烤肉呀
兔兔好可爱    一定很香
花菜这么小么···
早！
好多空屏，全是我的
好想吃(✪▽✪)
新年快乐
啊啊啊啊好馋
大家新年快乐啊哈哈
新年快乐新年快乐
这画面切得有点快不自然
和我家兔兔一样诶，黑色的
元旦快乐！
哈哈哈哈哈哈
感觉很着急的样子
熬夜党报到
1746
好可爱
2020年，身体健康学业有成家人平安
梅干扣肉丸？
啊这个是晒酱油的那口缸吗。。
这烤肉，我爱了
5点50分。。。
流口水了。
还阔以这样吃666
不是急，人家麻利还不行哦
通宵的这么多，大家新年快乐哈~
饿了
新年快乐！
这集能把老外看傻了
新年好呀！
一个通宵现在正饿了，我是在虐我自己啊
盲猜梅菜扣肉拼
不是扣肉
我还没睡
烧饼
梅干菜饼
空屏?
明显锅盔馅
新年好
急？自己做过饭吗，知道做饭多费时间吗
莉莉吃不成火锅看仙女吃这个解馋吧~！
新年快乐
先投币
你没必要是中国，但你就是你自己
好利索
这烙锅有点厉害啊！我馋了
好不容易逮到空屏
承包空频
忽然想吃饺子
家里什么都有
通宵党
新年快乐
我没睡觉
这个辣子南昌人表示没事没事
缙云烧饼的馅儿
土豪啊
这么大的排骨
看着好辣啊
大家新年快乐
元旦快乐柒
惊现我缙云烧饼！
西兰花吧2333
双刀子柒……
我的最爱
吃这么多？
46分钟
等很久了，终于更新了1
缙云！
哇，好冰手的
新年的第一个弹幕就给柒柒啦
毕节活油烙锅
在浙江的时候真的好喜欢缙云烧饼
深夜放毒
饿了
妈呀我好想吃
霍了一碗j海椒
胭脂萝卜？
脍炙人口！ 脍（鱼鲜）+炙（烤肉），老祖宗玩了不下2000多年！
凉拌牛肉
佛手瓜
吾遇子柒吾之福，国遇之柒国之幸。民有之柒同勤勉，世知子柒慕华夏。
新年第一天
新年快乐！
真利索
6点40
新年快乐77
新年快乐
吊菜！
好久不见
片鸡肉够牛X
新年快乐
元旦快乐，小伙伴们~
画面有油画的效果
新年快乐
新年快乐
双刀李子柒
杀鸡取卵
新年快乐
元旦好
梅菜扣肉没跑
真好，一起床就有好吃的，，，看
这个锅子真不错 嗲
这块空屏归我了
哈哈，空屏
四川真是富饶阿
2020平安喜乐，万事胜意。逢考必过
空屏我来！
这生活太美好了吧
新年快乐
想回家啊
哇哦
新年快乐呀！
弹吉他
起来带孩子喽
新年快乐！
新年快乐
好久没吃排骨了
好久没吃排骨了
说急的，人家也不是杠吧，何必戾气那么大
梅菜烧饼
永远快乐 幸福安康
胡萝北！
肉不贵了吗？它香
2020我的第一条弹幕
这剥皮术真厉害
一个人做多少人的饭
专业菜谱
有创意，好漂亮
太会摆盘了！
好喜欢子柒的视频
新年快乐  新年第一个视频
火锅！
终于有新的了，小姐姐加油，新年快乐
兔纸
这个锅太棒了啊
火锅
新年快乐
小妹子真早啊黑兔好吃，杀了吧
小助理
2020年祝我的家人和小朋友们平安喜乐万事胜意
这个蛋黄很好吃
新年快乐
过年了
助理一顿小跑
魔鬼吧，上桌更可爱
现在人好少呀
新年快乐
新年快乐
我要考上南京艺术学院!!!!!!!!
哇看起来好好吃
地方小的家里别养兔子，那味道太冲了
元旦快乐！
羡慕姐姐那边下雪了，一年四季见不到雪的我表示酸了
一大早起来就看到小姐姐在做菜好想吃
柒姐终于更新了
每次扭包菜我都好疼
爱了爱了
朋友们新年快乐
大家这么晚起
2020一切顺利
我来了
新年快乐
水城烙锅诶～
七点起来连个末班车都赶不上了么
新年快乐
有点过年的感觉
三黄鸡
砍柴的弯刀，2333
新年快乐！
好好看～
好会摆盘
新年快乐
元旦快乐
天哪看上去好好吃
新年快乐。心想事成ヾ ^_^♪
2020心想事成
这句居然听懂了
新年第一幕
新年快乐
新年好
这真的是两人份么
元旦快乐呀子柒
鸡你太美
～
最早一次，2.9万观看。大家元旦快乐
住手，他还是个孩子
这是什么火锅？
想吃
烙锅不是火锅
单手打蛋很简单的，5个鸡蛋肯定能练会。
好久整尖椒兔？
元旦快乐
真香
二刷
喝点鸡汤不错
可以
对，是公鸡
鸡汤不错
2020一切都好，脱贫脱单不脱发～
梅菜蒸猪肉？
单手打蛋很简单啊，我只捏碎了一个就学会了
新年快乐嗷
昨天老公买了排骨炖，六十多，这物价惊人
吃的太好了吧
哈哈哈哈哈哈哈哈哈哈
烤火安逸
缙云烧饼，缙云人
新年大餐
兔兔以后是一道菜！！，，！
大家新年快乐!
2020元旦快乐
新年快乐
啦啦
没有一只兔兔能活着离开四川
口水～～
新年快乐
子柒元旦快乐呀！
哇
新年快乐
终于更了，新年快乐
新年快乐
冬天有蔬菜吗
树上是啥？
新年快乐！
元旦快乐
刚买的锅
2020年了，子柒又小了一岁
俺不说话，就是不说话
双刀火鸡
我柒！
新年快乐！！！
元旦快乐
所以啥时候吃兔兔？？
今年还没吃过饭，好饿
缙云人的我来审核烧饼做的怎么样了
新的一年就是子柒真好
感觉空气都宁静了
今年还没吃过饭，好饿
下期食材
空屏是我的
麻辣兔头
新年快乐
元旦快乐
新年快乐
土鸡的油好少，这种鸡比超市里卖的好吃一万倍
糊辣椒面
饿了
太强了
新年快乐
新年快乐
2020脱贫脱单不脱发
新年快乐
这个咸鸭蛋黄颜色也太正了吧
新年快乐
柚子！
新年快乐
新年快乐，重新开始
兔兔那么可爱
不能吃兔兔
大家新年快乐
