岔气了
好听哦
前面说模仿的，你能模仿？
云点评出现了，柠檬精
好听！！
好强
太好听了吧
还可以
唱的超级棒呀
真好，我超想唱这个歌
我词都不会2333虽然很喜欢
没人吗
反正起鸡皮疙瘩了是真的
这嗓音真的给跪了啊
麦克风声音小了
很好
牛逼敖~
不错
好厉害
把身子挺直就好 自信点 唱的好听就不要弱了气势
好听
音色不错
天呐，第一句唱的我就有点心酸
中岛美嘉
好听
强
66666666
这声线好好！！加油！！！！
棒
发个友善的弹幕见证当下，这句话没看到？？尊重别人可以吗
五音不全的我就不指望唱歌了
厉害
起鸡皮了
好听
跟原唱好像
好厉害！
好好听！！！！
少了点挣扎
唱真好听牛牪犇逼了兄弟
感觉声音都很棒！就是高潮唱不起来有点，但是真的很像了！
6666666666666
承认别人唱得好有那么难？
杠精出现了
键盘侠又来了
小建议  小姐姐走路不要驼背哦
啊啊啊啊我爱你小姐姐
厉害！
太强了吧
棒棒棒
唐吉可德
那些说模仿的出来约架。
??????
麻烦你行你上，小姐姐很棒！不要随便评价好吗……
给个赞，小姐姐棒棒哒
好听！
up加油(ง •̀_•́)ง
我最喜欢女神的歌
情绪完全没出来啊，太平淡了
高音也不够稳，标题这是捧杀？
感觉不错
厉害呀
西政的？
还是有感情的，我觉得挺好
厉害
后面不行了
挖槽
不错的
这歌很难的，好吧。说不行的，你第一句就跑调信不信
踩一捧一，劝你善良。你行你上，不行别bb
听歌就听歌，不要随便评价别人
我觉得小姐姐可能有似曾相识的感觉，或许也是在被抑郁困扰，所以想唱出自己的心声
小老板下盘并不是很稳
有一说一，气息不稳
好大的肌肉
自己捧自己不太好
真的很棒了
我恰柠檬了
都说了法学生为什么还要杠？
承认别人优秀很难吗
模仿美嘉的声音 不过唱的还行
中岛美嘉 曾经我也想一了百了
不好意思。杠精们我有起鸡皮疙瘩。 人家唱的好酸什么
要多运动，锻炼肺活量
666666
唱的不错也不算胖，健康身材比排骨精耐看
可爱的up呀~
很有感觉
开口跪啊。。。
我能啊
秀
求你们能不能看个评论=_=
小姐姐好棒！！！好听(ง •̀_•́)ง
弹幕有病是不是？
旁边的人在叽叽喳喳说啥
加油，upup~
你投稿拿出来看看啊
这种人真是个呵呵呵
很棒！
千岛美嘉好评
很棒！
唱得很好
这首歌的难度是很大的，真的唱的很好听
没有原唱的颤音感觉少了点什么
666
日语
自己都不捧自己了还指望谁来捧你
？？？胖的有病吧
是不是西政！！！
Bgm声音太大了，听不清。哈哈
这这这，太像了！！！！！好听
很好听啊
我五十音图都背不下来
我糙
听不清前面唱的啥呀，是不是声音太小了？
小姐姐贼棒!别管杠精瞎bb
声音很好啊
胖？有病吧
声线太棒了吧！
法学好评
好听啊啊啊
说人胖是不是有病
BGM是有点小，但还是能听见
好像唱的有点急
真的很好听了，我鸡皮疙瘩都起来了
弹幕里承认别人好就那么难吗？总有几个人喜欢挑三拣四
很强
我也想要一了百了
好厉害
承认别人唱的好不难，可是问题是人家唱的真不好，这完全就没有音乐基础
唱的很好，高潮听得差一点哭了，小姐姐加油，这个世界虽然充满恶意，但是也有很多很美好的事物，对于那些无来由的恶意，无视就好。
这个歌不好唱的
为啥你还没出道
出道吧
胖不胖咋了吃你家大米了？用你在这bb
说模仿的你自己唱个试试，这是别人的努力成果，是你可以乱bb的？
你能就能，别人也能，所以你在这里酸什么，有什么脸去说别，你自己不知道去唱给别人听吗
模不模仿的唱的好听不吧，好听就行啦
超好听
曾经我也想过一了百了
很棒！
开口跪
我要哭了...
这歌好难唱的
说唱的不好的自己去唱
b站有些人是真的看不得别人好
套词
同款小裙子哈哈哈
伴奏声音盖的都听不到了。。
这造型...
很棒了呀，真的已经很棒了呀
真的很好听！！！
好听！
原唱？
别和垃圾计较了，费神
鸡皮疙瘩掉一地
很厉害呀
酸子们你们自己去试试？
说人家胖的有本事你去当面告诉她，别在这瞎bb
感觉真的唱得很不错
不错啊
都是法学生，为何她辣么优秀
恰柠檬
模仿又怎么样？更何况不是啊
哭了！！！！
胖瘦是你定义的？
胖瘦是你定义出来的？
进入角色了，美嘉附体
胖瘦是你能定义的吗？有点礼貌行不行
看到弹幕有人说胖不胖的 人家唱歌跟身材怎么样有什么关系
录的声音太小了
妹妹好棒
怎么拍的。不懂拿近点吗 我都听不到了
nb
太快了
歌唱的确实不错
公主切？？？
气息不稳
好听
哇，好听啊
啊好棒啊
这里有感觉
小姐姐好看，不会胖丫
太好听了！！！！
好厉害 好听
哇
比我好听无数倍
好听
好听~
西政的吧哈哈哈哈哈
胖有什么关系，唱歌好听就是好听啊
太好听了
唱的很棒，up加油
厉害了
逐渐入戏
已经很不错了，各位评委老师
好听
说模仿不好的酸什么。承认别人好有那么难吗。柠檬精
像就是模仿？
超级美了
我觉得超好听！！！
鸡皮疙瘩掉一地
？？？听不到
可以可以，早日走出阴影
哇，好听啊
让你听歌，随意评论别人身材的是不是有病啊
Awsl
唱的很好，但是没有中岛的那种沧桑感，
不是我们学校吗
这是法学实习讲堂
牛批牛批
不错阿
唱的很棒！
哇哇
真的很好，很有感情吖！
