来啦瓶子
1
瓶子更新了！！！
终于来了
主要是前一集叶腐太压抑
比较前
第一次第一啊！
来了。
葛叶？？？
888
来啦
我是第一
泪目
终于来了
两分钟前！！！！
这集的确搞笑，经常找出来看
叶腐
满岛光
叶腐！
无敌爹可还行2333333
终于有人好好讲MAX了？
姑苏慕容啊
科普一下，新创华给的翻译这招叫马库修姆加农
叶腐！！
你自己不是也玩过这梗吗
40年前香烟摧残人们，40年后智能机摧毁人类
看过这集
3673
好可爱
叶腐
叶腐nb
3637
BUG兽叶腐
叶腐！
NB啊
5分钟前
来啦！
玛德好有意思
座头市一般的表情
带哲学家
怀念大师
泪目
泪目
6
我小时候印象最深的就是这集
第一第一
8分鐘前
这是明示啊
你对世界报以恶意，世界亦对你报以恶意
秀气
和我一起看的人，你们是魔鬼吗，这么靠前
泪目了怎么回事！
最快最强毁于16
说白了就是条懒狗
超前啊 放现在
想起来艾克斯里面出了纯肉的麦克斯23333
喜欢戴拿
雷欧
泪目
大佬
是啊……
看过！！！！
害怕母铁鸡
叶腐！！
什么？苏联亡了？
牛批
7044
p
这货简直是因果律武器
别人都挺猛的
10分钟前
？？
卡卡西
哭了
小姑娘眼睛看不见
欧布里也有对这一段的致敬啊~
快斗?
都是超好看的集数
你为什么说可爱，我都看不清楚脸
这个大叔好像园咲家的那个老头啊
哲学家
因为叶腐的撕逼大战至今还在继续
瞬间泪目
666
满满的情怀
奥特曼其实挺有深度和教育意义的
当年他弟被艾斯劈成两半
走了还行
天坑了23333
缝好了可还行..
用钱攻击啊！
美菲拉斯星人一个样子
雪媚娘
复读机宇宙第一！
可爱是看脸的吗？
老麦是奥神作的门槛，比老麦好的才算神作其余的最多佳作而已
好棒
另一个结尾就比较沙雕了
哇
？？？？？？
怪兽戏曲确实牛壁
和平！
woc666
说苏联的，阿富汗给你这小机灵鬼点了个赞
机器人小姐姐好看
这bgm……
啊啊花和梦真的超级喜欢
这不就是我吗？现在的我一边走路一边玩手机
1.6
otto！
厉害厉害
这标题。。。太强了
都是经典
你叶大哥
真的全都是非常有深意的剧集
和生活一样
叶腐！！！！！
没字幕哈哈哈哈哈
走好
蛤？
同意
麦克斯做的是真的不错
真理永不过时是吗
落泪
纳尼？
不好意思 地球的无人车都登陆火星了 你们日本都能发火箭了
bnb
nb
笛子强不上色！
挖槽，内容深度感人
印象最深的一集！！！
那像极了爱情
一定是爱情吧
记得这一集，因为外星人说过一句话：人类还用得着我们来毁灭吗？
菲利普和小陆他爹
宇宙人：这跟破烂一样的垃圾站，谁爱要谁要！
突然想起来这集看过
朝仓锤和园咲琉兵卫
整部奥特曼唯一的一个无解bug
我天，强啊
这是和七爷打时的跑步动作
……奈克瑟斯：惨……
蝴蝶梦！！
……队服这个头盔莫名喜感……
音乐拯救世界
短短短
最快最强麦克斯
前面的大清亡了。
叶腐！
溜了溜了
这招本来的名字就叫马库修姆加农 看过麦克斯的都知道
最无解的怪兽
这个演员是菲利普爸爸？
@Trump
卡卡西
光妹！！！！！！！！！
但我是被这一集吸引去看的……
叶腐多强这个撕到现在都没撕出个结果
挺好的啊
没啥设定和逻辑错误啊
!!!
准强者
所以就不动他是最好的
失去理智
为啥这期bgM这么悲伤
小时候就看过这15 16这两集
这个伤口是缝合起来的？
懒才是世界第一生产力
别人都挺猛的，咋到你福岛就拉了跨了呢
ELS
莫得理智
对
 太强了，老爷子
不瞎J*折腾，就是最好的折腾人类迟早把自己玩死
没错，当初自己就是在夕阳下被冰斧劈成两半的
报以良善
这集意义重大
这集重看过好几遍
花和梦说实话小时候都没看懂，长大了才看懂
反科技是这样的
赛文的传统
变成卷毛狒狒
你教啥，我学啥
a包括b，a不等于b
无敌的叶腐
狩猎笛，强无敌
这个告诉我们，一切事物的本质都是复读机
复读机存乎万物之间
蝴蝶梦看不懂
华为？
被人类毁掉的地球 那你要火星不一样
害怕母铁鸡
大地破坏者
这集我吹爆
本该去B站的小姑娘？？？
3.3万
点赞
突然失忆↓
这可是零几年的剧啊编剧看的很远
哭了哭了
叶腐集吹爆
这集的怪兽基本无敌
字幕没写出来啊，够隐蔽的
这深度nb啊！
我从没想过奥特曼能拍的这么文艺
园咲老爷爷拿记忆体变得美特龙星人
瞬间泪目啊qwq
qwq哭了啊
最快最强是真的好看。。。
这人这么文艺的吗
无敌爹
吓得我赶紧扔掉了手机【滑稽】
自奏圣乐link4
最绿你大爷？又刷这种恶心的梗？
原来在这里哈哈哈
大佬啊
妈呀！！
很有感触的一集
不还意思 我想起来各种动画里的怪怪的老太婆的形象
猴氏减智法
喂！出来！
不错的故事
不能打架，不能打架
不是南极融化问题更大吗？
麦克斯童年超喜欢
没事，毕竟地球水多
其实后来高达00的ELS和这个有那么点相似
这一集也被无脑吹爆了……
卷毛狒狒？带王冠被爆头的那个？
除开16集，max的表现可以说是非常好的，毕竟是能挨老贝两棍子的男人
平成猛汉！
讲道理，麦克斯就算是搞笑的那几集也是有深意的啊。16集也是
懒是人类的第一生产力
奥特曼
这个印象深刻
兔子我的！
16集风评被害的麦克斯
辞之于人物，亦得之物，尚有善，才可抱换之善
这两集其实表达的挺简单，但是创意很好。不过麦克斯更厉害的剧集也有啊。
如果人类一开始给予的是美好的事物，那它也一定会成为最美的生物吧。。。有点讽刺
我想起了欧布里，外星人的一句，这颗星球还有侵略的价值吗
有点像柯正恶
