不是应该刚收到电脑吗，怎么会用了几天
哈哈哈哈哈哈哈哈哈
对啊草草草草草草草草草草草草草草草草草草草，屏幕大大的指纹就算了，还那么没礼貌cccccccc
哈哈哈哈哈哈
老外视频聊天/会议是硬需求吧
hhhh
发不了弹幕么
为啥弹幕这么少
笑死我了
64gb统一存储
哈哈哈
达芬奇转fcpx？
可能有个傻d发明了触摸屏这个没啥用的东西吧
弹幕
人
对！！！
hh
弹幕
？？
在这
？？
人
没有刘海将绝杀，可惜换不得
？
touch吧超好用
弹幕呢
去掉了摄像头放哪？放下面照鼻孔？受不了装个插件隐藏不就行了
没有弹幕吗？
弹幕呢
...
没有弹幕？
没有弹幕吗 
？
没人吗
1
drop it！（错乱）
为什么是用了几天？媒体评测机？正式发售应该是今天才对
免费送你的还不乐意
666
唯一的专业需求 剪视频
缺点嘛 贵算不算
搞视频几十秒就能导出几个G用8tb正常
直接劝退
哈哈哈哈哈
反复鞭尸
甲方种族天赋，不接受反驳
对不起下次不会了哈哈哈哈哈
主要领导也爱戳，你还没法阻止而且mbp的镀膜真的很难擦干净
等下一代一出又是这段话术
？？？？？
amazing
抽了吧
贫穷使我可以
哈哈哈哈哈哈哈
喂喂喂，人不受嗟来之食
哈哈霸气的价格，霸气的性价比
新air只要6000块你以为苹果会给你更好？
哇
啊？影视飓风不就是做视频编辑吗？你在厨房嘲讽厨师高评价一把菜刀？
分辨率没有4k但是ppi已经远远超越市面上的4k屏了
醉了
这个刘海真的有毒
那以后m6出来，现在这个m1
ni
真实
Mac已经从外观又转向实用性了
别纠结了，直接快递给我抽了吧
正常人不会买这个的 相信我
丑是真的丑
光晕严重吗
功能决定形式
哈哈哈哈哈
卡萨？哈哈哈哈
丑的一笔
张子良
别说了别说了！已经在生气了！
也只能用来剪辑视频了
哈哈哈哈
啊美景
神tm聪明绝顶屏
刘海屏真的好难看
买它！
所以我买m1 air
抽了吧
卡萨？
后浪
总结：不是臭剪视频的 意义不大
燕双鹰是你吗，你不去手撕鬼子啦
有没有盗版先
处理刺
哈哈哈哈哈哈
原来不是预算限制了你
用惯了360hz的外星人，看别的都好卡
我开始戒烟了
工作软
甲方，一定是甲方
M1出来的当周我就把上一代pro出了
高刷不是苹果专利！！！
我也是
普通笔记本300nits
8T买不起啊
毕竟上一代没有刘海
500解君愁
好蠢
等新air
我也是
因为我自己用触摸屏电脑，习惯了呀
何同学：你说的对
+1
surface用户可能还不习惯~ 
他用surface用习惯了吧 
他可能用的surface~ 全系列支持触摸
有可能他用的surface用习惯了！
理性消费，切勿头脑发热
1
我还以为是钱呢，天真了。。。。。，
+10086   每次都要翻脸
吹上天了
+1
能给我送不要的苹果吗？
144普及，但是自适应有多续航你知道吗
我也是
库克：明白了，明年就加...
先忽悠我们买RED 后忽悠大疆  现在终于开始mac了 0.0
有钱人
送给大家吧
配置党
大门牙
为什么要有刘海
对！
这监听音箱，死亡摆位
确实
牛逼了哥哥
可我买了触屏，我自己都戳（doge）
+1
“没有更换电脑”，实则买了个遍！
165都是标配的情况下，来吹这台只能只能120HZ的屏幕是不是有点过？
、、、、、、、、、、、、、、、、、、
棒
pycharm 很卡啊
老公！
怎么感觉哥们嘴唇有点短啊。
我确实服了
你们那么说 外星人都360hz了 
这分辨率这亮度配上120还不吊啊
我也用不到
心痛
 amazing
顶级屏幕参数拉菏
我真的喜欢搓别人的屏幕
有钱真好
hhhhhhhh
哈哈哈哈
对！
不能打CSGO（晕）
好丑这一代
浪费 一般人完全用不上那么高配
50包邮，解君愁
雀食
大问题一句带过  小问题死里说  这方法不错
猝不及防
恰钱 好啊！
真有人在专门用笔记本剪辑视频吗？
居然不是钱
airpods做工一代不如一代 3代不要买
新款像个油腻的墩子 HDMI接口的下场是下一个touch bar
50包邮解君愁
龅牙屏
牙膏挤爆啦！！！太对啦！！！
才120hz？我电脑240hz屏，打游戏也稳定160hz左右，你这不太行阿
才64GB
用了高刷频率，就用不了60HZ屏幕了
尼特nit不是单位吗？为什么还有复数
50解君愁
主要是擦不干净，不然无所谓
前面的，你确定刘海劝退你的？  
抽了吧
统一内存吧
太丑了
同学们 理性消费
苹果肯定还有IMAC PRO 再来一个M1PRO MAX PLUS
口齿是真的不清
抽了吧
？？？？？？？8t
华为matebook不必这香？
23333333
你到底在笑还是正常表情。
血亏
说话不清楚啊
公摊面积小了，很值了
=
"120hz不用不会觉得有什么,一用上是真的就回不去了"
创造需求。极为可耻，必遭人唾弃。
50包邮
应该的
是不是很流畅啊
这叫祖传刘海
我也只有一个，就是穷
我也是同款19款pro，现在已经气死了
《副作用》
大家了解下xcode再回来
同款
刘海*2
很难不认同
摸过16寸真的好重，平时放在包包里会重死
太丑了，所以我不买
对对
哈哈哈哈哈哈
众所周知，视频剪辑等于生产力
同感
50包邮解君愁
顺丰到付解君愁
对对对
hdr显示器还蛮便宜的，相比这电脑来说
+1  艾斯比甲方经常做 想打爆他的头
外星人240hz更夸张，我现在低于120
对！
？？
卧槽
牛炸天了
我的是触摸屏，，，，
哈哈哈哈哈已经开始难受了
新品出来你居然没哭~
