芜湖！！！！！
卧槽卧槽
我好早！！！
芜湖
刚刚
直接空屏  好爽
哇，刚刚
刚刚看见
踩点
后期有毒
这个电视真的不错
第一次这么早
霸占弹幕哈哈哈
第一次啊啊啊！
他又开始了
我出息了，第一次这么早
这怕不是看了鱿鱼游戏
哈哈哈哈贺儿笑死我了
还得是贺儿
严浩翔
刚刚
还得看你张哥
芜湖
这不是公园里大爷大妈在比赛时候加油的方式迈
哈哈哈哈哈哈哈哈严浩翔你好可爱
亚轩
张哥好乖！！！！！
刘文刘文@
亚轩呢呜呜呜
笑死我了，崽崽们
丁程鑫:军训我熟
哈哈哈哈哈哈哈哈哈哈，贺儿
没人吗哈哈哈哈哈哈哈哈哈
时代少年团
赶上了
马哥，这不有手就行嘛，你举手啊
贺峻霖真喜剧人
哇哦哇哦哇哦
怪 力 甜 鑫
马嘉祺马嘉祺马嘉祺
素材过新哈哈哈
张哥这就是理科生思维吗 力的作用
刘文：我刚看完《鱿鱼游戏》/doge
肌肉甜鑫官方认证
贺峻霖不愧是你
传下去，浩翔傍大款了【狗头
轩儿！
文文么么哒
张张好可爱
哈哈
嘻嘻等到啦
打卡
马嘉祺请多多唱歌爸
有肉
浩翔
天啦
娃大了
张哥差点吃p（bushi
哈哈哈哈哈哈哈哈哈哈哈
哈哈哈，就没这么早过
第一次来这么早
这后期属实是爱了
深得我心
hhhhhhhhhhhhh
提前发了
哈哈哈哈哈哈哈
哇哦
轩儿晚上好呀
爆拳张无敌
这种事情就没有贺儿了
又是你们仨 恐怖烧麦组
哈哈哈哈哈哈哈哈哈，节目组：你礼貌吗
甜鑫
文哥超帅的
张真源
后期真懂我们
角落里的大下小君开始偷偷练功了
张真源张真源
张哥怎么还跪下了呢
哈哈哈哈哈哈
后期好懂我
后期留下！！！
好突然
啊啊啊啊
严浩翔真会哈哈哈
欺负小孩～
太短了
张哥:真秀
哇！蹲到了
后期太秀了吧
有手就行
张哥：真秀～
大下小君重现江湖
真秀，晚饭又一集！！！
小张张天将降大任于斯人也
鱿鱼游戏！！！！
马嘉祺马嘉祺马嘉祺
小耀广东话啊
还得是贺！
山东大汉上场？
元气满满
刚好下班啊
哈哈哈哈 笑死我了张哥
霖霖笑死我了
哈哈哈《鱿鱼游戏》对吧，我也看了！！
小炸们:危险危险危险
来自轩哥的哈哈哈牌嘲笑
哈哈哈哈鑫鑫不屑
马哥好惨
来的太早了，开着弹幕以为没开(⋟﹏⋞)
TNT美好的肉体啊啊啊啊啊肉体！
靠靠靠！！
马嘉祺
香香好可爱
后期给我留下！
小马 我在屏幕外给你加油
怎么这后期每次打码都换仨表情啊哈哈哈哈哈
张真源力量担当
