太美了！
好厉害
太厉害了吧
太强了
牛蛙牛蛙
好厉害
好厉害啊
太厉害了
好细节
太厉害了
本来说我也来学学算了吧
只能感叹好厉害
小姐姐好厉害！可以参加张艺兴工作室的活动哟
无中生眉！！！
发生了什么
我说怎么有虚影，原来是对着镜子拍。
牛娃
我要是这个姿势时间长了我会变成对眼
太牛了
真的太厉害了
牛逼啊，我最多会在纸上电脑上画画，还能在眼皮上画画的？
逐渐离谱
您
卧槽
牛
牛逼
手好稳啊
手好稳！
加亿点点细节
镜像 太厉害了
太厉害了
手好稳
牛到家了！
太神了
这是拿显微镜看这画的吗 怎么会这么稳啊！！！
牛逼
对 加亿点点细节
美
666
太厉害了 
？？这手稳的不科学
我整个大震惊
太好看了
这是我能xuhui
太好看了
厉害厉害
这是一般人的手吗？
这不科学
新的角度
眼皮上作画，还是自己给自己画，好牛哦
的确是描摹想象了
太牛了
？？？？发生甚么事了
太厉害！！！！
太牛了
好漂亮啊
眉毛太牛了
绝 真绝
牛蛙牛蛙
我靠好牛
强者
天哎，太牛掰了
离谱
神仙
？？？我就低了个头？
神了
太美了
笑死，纸上我都画不成这样
？？？？？？这是化妆吗？？？？这是画妆吧
发生了什么？
respect
哇太牛了
这个金色太牛了 感觉立马出来了
天哪太强了
这是人的手么？？
牛！
牛逼
这要是手抖画错一笔maya
神灯（不是）
太牛了
火速赶来
不得不说太绝了
牛币啊
现在贝壳都要这种水准吗
我靠
太牛了
左手！
这也太厉害了吧
我有一支差不多的眉笔，但我没up这个技术
up的手跟外科医生一样稳啊
太美了
这手不去手术缝合可惜了
我眼线和眉毛都画不好，羡慕up的手
太传神了
哇好细的笔
woc手真稳
好细节
好牛哦
卧槽好好看
唯有投币
太牛掰了
我觉得眼睛也很稳。
这是一般人类的手吗？
太好看了
膜拜。。
手也太稳了吧！
您
这个眉毛就够我学的了
小姐姐皮肤也好好
您
哇！
绝了
卧槽
这歌真的无语。。
我就回复了一个评论，发生了什么
姐姐，我截屏了
真的好美啊
好看死了！
太厉害了！这个技能我一辈子都学不会了
大佬你的手好稳，太厉害了！
up是敦煌壁画中走出来的仙娥嘛？
其实可以投二创呀
眼睛都不眨的 太厉害了
woc~是个高手啊
你的这哪是手啊，是精密仪器啊
这个眼妆可以半永久吗？就像杨贵妃的眉心那个花
好家伙
我去！太牛了吧！
这我真学不来 告辞
太牛了！！
您完全不手抖是吗
好牛啊
我相信中国离盛唐不远了，文化多样包容万象人民奋进
您
特意点进来膜拜就是说
手不酸么？！
发生了什么
这可太牛了
这是我这种手残党永远跨不到的高度吧
投dy让张艺兴看到吧
好厉害
牛
厉害
天啊噜
太厉害了
太稳了
厉害
我画个眼线都费劲
您
wo就看了眼评论怎么就这样了
卧槽
眼皮居然不抖！！！
太绝了
up太强了
太厉害了，崇拜！
牛啊，我眼影都涂不好
眼睛也稳
来啦
这个细节处理，救命，太绝了
这个眉也是能画的吗
神仙下凡辛苦了
这怎么舍得卸妆啊
太厉害了
您
太牛掰了
一般人应该早就眼歪口斜了
这是一般人类的手吗
我只是眨了眨眼
太美了
我缺的是手
卧槽，绝了
起飞
手稳不稳先不说，但这眼神是真的犀利～
牛逼
卧槽我才发现是自己画的
这怎么舍得卸呜呜呜
加亿点点细节
徒手画！
《您？》
这眼妆 太NB了
太厉害了
突然加了亿点点细节
牛逼
？？？？？
太可怕了。。。
大佬
我的天哪
好厉害
哇！
太牛了。。
！！！！！！！突然
牛逼
太厉害了吧
？？？？？
不是一般的6
我的个天
？？？发生了啥
小姐姐专业是画鼻烟壶的吧
好像是自己画的，照着镜子画的？
不眨眼啊！
太震惊了，这是一般人类吗？
小姐姐好漂亮啊！
手稳到这种程度是真实的吗
我天
牛蛙
眼神好 手稳
这是一般人类的手吗！！！！
我的妈呀
真是漂亮！
卧槽，牛掰
好稳的手！
太厉害了
这眉笔到底是什么？
牛
哇啊啊啊啊啊
666
厉害!绝了
太岛了呜呜呜呜
全程张着嘴看完
牛
我才意识到！事情没有那么简单
牛蛙牛蛙
好厉害！！
太好看啦！
高光绝美！
厉害了，手好稳
？？？？？？？？？？？
这......？？？？？？？
妈呀，这都舍不得卸呀
除了点赞投币 我什么也做不了
我嘴就能闭上！！！
没
厉害
眼睛不用眨一下吗
我缺的是笔吗，我缺的是手
太牛了吧！
您
您
画出了薄如蝉翼的美感
