up主经历了什么
牛逼！
泪目
哭了
那我泪目
哈哈哈
牛掰
踩点nb
看的好爽
10个泪目9个笑还有一个在狂笑
泪目
泪目
为什么，，我真的哭了
六
又想哭又想笑
哈哈哈哈哈哈
火钳刘明
假如我年少有为不自卑
这歌写得还可以
都没人嘛？
年老了就是不一样，看啥都容易落泪。
有人
没有我汤姆弹不出来的曲子
枯啦T﹏T
加油，堅持下去
这是毒汤
忍不住发一个DAU
沙子里面进眼睛了
喜欢！我的童年
up绝了
牛逼
三连走起
知道了三连
汤姆琴魔出现了
倒放人才
这个炸毛绝了
笑中带泪
我哭了
没有我Tom弹不了的曲子
再来亿遍
好心疼好心疼
我也哭了
那碗粥笑哭我了
你币有了
火钳刘明
这粥。。。。。
各种踩点
心声
没有重复好评
666666
人才强国战略在up主身上体现得淋漓尽致。
在听年少有为给我推年少有为？
泪目
哭，都给我哭
up主神人
生动形象
毁在那碗热粥
为自己哭了
火钳刘明
哭了
假如我年少有为不自卑
经验+3
火钳刘明
云想衣裳花想容
假如我年少有为不自卑
母猫肯定一大堆
热的粥到这里笑死我了
厉害厉害
你币有了
三连走起
三连三连
泪目
做的太棒啦，火钳刘明
三年来第一个把我感动的又哭又笑的视频，用心了
太强了
卧槽
除了抓杰克什么都会的汤姆
厉害了
你币有了
感人！！
火钳刘明
6666
厉害
想哭
二币给你
踩点？？？
要不是我看过这些所有，我都要被你骗了
哭了
三连有了
泪目
666
泪目
666
火钳刘明
你家66的大洋芋，爱上66的猫咪
投了 天秀
哭了
币有了 秀秀秀
火钳刘明
疯狂踩点
666
新人都是怪物
剪的真棒
秀
母猫流弊
三连
三连
致哈
火钳刘明
我要这币有何用
提前泪目
你币有了
假如我年少有为不肾亏
再也不舔了
这个热的粥  哈哈哈黄哈哈哈
这个真的牛皮
它们俩太虐了，我哭了
绝了
哭了
有杰瑞在就有色彩
提前泪目
泪目泪目泪目泪目泪目泪目
泪目泪目泪目泪目泪目泪目泪目泪目泪目
真要哭了。……
火钳刘明
神tm天秀
真•眼睛会红
火钳刘明
守夜冠军
感动了
火钳刘明
处女币投了
哈哈哈哈哈
太棒了
直接三连
plnn
泪目
弹幕呢
胳膊腿都卖了
好厉害
爱啦啦
火钳刘明
眼睛过敏了
硬币拿走
牛
厉害
一跳胳膊
一条腿
真没给你
太秀了
三连有了，兄弟
Tom总是让我哭
第一次给你了
这段好可爱啊啊啊
泪目
这里是杰瑞扳动轨道救了汤姆
三连走起up加油
春风拂槛露华浓
泪目
火钳刘明
NB
6
这也太秀了吧
牛逼
什么都会的汤姆都在爱上那么吃力，我们难一点不是很正常么
嘎嘎嘎！
火钳刘明
泪目
泪目
哈哈哈哈
火钳刘明
都还好
我要这硬币有何用
哈哈哈
太可爱了？？
火钳刘明
【郭德纲】进入直播间
我币没了
火钳刘明
守夜冠军
火钳刘明
？？？
直接哭还是
【蔡徐坤】进入了直播间
哭了
+3
火钳刘明
真努力
低音高音反了
留名
火钳刘明
火钳刘明
都给我哭
倒放太秀了
踩点踩的好
标准结局
泪目大军人呢？
哈哈
..
哭了
哭了
眼睛里进克洛克达尔了
第一词
小时候 电视点播台 天天放 还有小鬼当家 憨豆先生  一眨眼 点播台没了 十几年过去了
一眨眼 从小学 到大学毕业 好快 时间 你怎么可以这么快？？？
你币有了
我叫JERRY 
不是汤姆和杰瑞老了，而是我们已经成熟到看懂他们的时候了。
泪目
【王一博】进入直播间
泪目
少拿mv骗我
6666666
牛批牛批
火钳刘明
666
真是个人才
有点儿好笑哈哈
实属牛皮啊
傲娇
单身冠军
哈哈哈哈哈
牛批
泪目
泪目
给老子哭
好活
感人 泪目了
这就不用走流程了吧
火钳刘明
火钳刘明
原本不懂得歌现在懂了，真的很悲伤，很悲哀
有钱不自卑
火前留名
哦
提前泪目
泪目
泪
？？？
眼睛里进砖头了
RGB
大提琴出电吉他的声音哈哈哈
弹幕？？
泪目
守夜冠军
自学成才
泪目
眼睛进拖拉机了
新人厉害
大火钳刘明
泪目
冠军
眼里进大伊万了
泪目
火钳刘明
类目
这是对猫和老鼠有多熟啊
走流程
【杨丞琳】进入直播间
没有我汤姆不会弹的曲子！
下次一定
泪目
给大佬献上处女币
人生若只如初见，何事秋风悲画扇
真的哭了
l李荣浩眨了眨眼
泪目
泪
哭了
我喜欢过你，qy
小时候喜欢杰瑞长大后我特别喜欢汤姆了
经验＋3
很好很强大
泪目
爱上你之后，我知道从此没有好朋友
是真的牛批
硬核solo
泪目
春风拂面露华浓
加油
我要开始了
等闲变却故人心却道故人心易变
春风拂槛露华浓
厉害啊
汝何秀
新人都是魔鬼吧，难道又是哪个带佬的小号？
经验+3
猫才
眼睛里进克洛克达尔了
哪里致郁
说白了 感情就是不发消息就没有的东西
有字幕好评
假如我年少有为不自卑
假如我年少有为不自卑
假如我年少有为不自卑
假如我年少有为不自卑
假如我年少有为不自卑
眼睛进飞机了
假如我年少有为不自卑
假如我年少有为不自卑
假如我年少有为不自卑
汤姆不是抓不到老鼠 他只是舍不得
假如我年少有为不自卑
火钳刘明
三连有了
杰克？杰瑞？
？？？？？
泪目
我酸了
第一次给你了
第一次给你了
第一次给你了
看出了爱居然
泪目
集结
归位
我很少聽華語歌 但我被感動了
天哪
我那时候不懂
治颈椎
假如我年少有为治颈椎
很棒！
现在感觉这个场景Tom有点傲娇
有点泪目的赶脚了
假如我年少有为不自卑
为什么我感觉看过
我处女币就是被骗走的就和处女一样
我没哭，只是想她了
我处女币是被骗走的就和处女一样
好适配
什么新人  他就是单纯的号没了
三连走起
毫无违和感
泪目
火钳刘明
泪目
泪目
泪目
你币有了
这一位哈哈哈哈哈哈哈
流逝的是我的童年，猫和老鼠，汤姆和杰瑞，我想你们啦
流泪加1
哭（绿）了
走心了
666
守夜冠军出处
我要这膝盖有何用？
深海鱼biss
就没有汤姆不会弹的曲子
火钳刘明
三连走起
火钳刘明
已三连
你不在了之后有这些也没用
看着总觉的好笑(想起剧情)
伯牙进入直播间
优秀啊
假如我年少轻狂不自卑
假如我年少轻狂不自卑
