来了第一
哇塞！！！来啦
来啦！
第一吗？
来了
!!!
好早
1
来了来了
来啦！
11111
没人吗
准时报到
11
1
1
1
一分钟！
第一次没有弹幕
前排...
？
来了来了
很快
好早
想想想
来了来了，前排
来了
刚刚
早啊
666
111
霸屏兄弟
刚刚
 大泉洋
来了
1
刚刚
来了
来了
第一个
你们怕不是住在b站
来了
滴滴吧
真的第一哦
真实
前几天还看见你吃饭的
今天的凉风是糊的
11
1分钟
第一嗷
我来了
刚刚
？
来了！
来了老弟
。。
不想
来了。
只要东电还在播动漫世界就不会毁灭
，，，，
我giao
来了
来啦来啦
你输了
66666
好呀好呀
来了来了。
名侦探柯南
来了来了
"是你,田中！"
哈哈哈哈哈哈
反手就给你一巴掌
3584
好早
你表情都能成表情包了
4443
噗嗤
播放1
4444
前面那位你好啊
和我的猫好像！！
不想你
凉风nb
奥特曼好评
来啦
来了来了
来了
牛啤
6666
没有弹幕，等会再过来看
来了
！
太强了，阿凉
来了来了
小埋吧
来早了没弹幕啊
果然是硬核 东京
逮虾户
我靠，牛逼
awsl
这里的空屏是我的
黑菜
还是种田适合老子
来了
来了
兰
请叫我英雄。。。
。。。怎么找到的
tql，这也行
天皇即位那天东电还是老实了一回的
恰饭嫌疑，确信了
tql
我来了
电影名字 我是英雄 打僵尸的 日本电影
awsl
耶
你是7099我也是7099？？？？
金时是你吗？！
happy sugar life！
来了
……
来了
5分钟阿
我来啦
我也看出来了
牛逼
6
魔鬼
这么秀
凉风NB
早啊
小兰惨遭美颜
又名黄金男孩
来啦
nb
666
→头像千矢！！！！！
太早了，没弹幕
牛啊
？？？
那你输了
砂糖砂糖砂糖~
？？？
太强了吧阿凉
左边cl？
人呢
¿¿¿¿¿¿¿¿¿¿
人呢
?
香菜配音。
？
666
有村架纯！我可以
摔死的鹦鹉？
工具人辛苦了！！！
骑今时
我是第一啊
扑杀天使？
111
我粗，这图……魔鬼
毛利兰……吧
cl一生推
没人吗
lei了lei了
？？
砂糖！
我是白色
臣卜木曹，未闻花名，真的没认出来
23333333
零境里也有这孩子
没弹幕吗
不愧是你
香菜到底做错了什么
牛皮
刚刚
这个播的也是人质挟持事件
来了
好的，追了
不应该是光头吗
追了
 第二个巨人艾伦的妈妈，第四个东京喰种，雏实的妈妈
牛批！
猫：莫挨老子
突然没有声音
快投币啊！
扑杀天使
1万多人？
累了累了
你真的好猥琐啊
A386好评
牛批啊
恋爱的酸臭味
越看越猥琐
喂，110吗，对还是那个变态
香菜
kono 波鲁那雷夫哒
牛逼
nb
此处应@铁道游击队
ohhhhhhhhh
牛逼
Clannad赛高！！（）
逮虾户
摇曳百合！！
我永远喜欢砂糖和盐！
你币有了
九分钟！！
○○到底是什么
慎勇？
弹幕呢！！！！！？？？？
看过，真装逼大佬
砂糖？她能把人变成玩偶吗？滑稽
Clannad天下第一！！！
没人是咋地
awsl
砂糖酱！
大姨妈也是这个头型吧
nb啊 阿凉
追了！
老凉nb
2333
你炸任你炸，我只放动画。
23333
woc卡这了
卧槽
今年老实了
笔视
来了来了
我只知道一个终结的炽天使
仁太:？？？？
这都找得到？
前一卡的手握笔？我没看过
天使之尾？
不应该是琦玉老师的光头么
波波龟？
你币没了
你币没了
叫什么？
凉风
哈哈哈
来了来了
老想你了
这个好像是香菜
砂糖   力道
此处应该配上柯南断案音乐~
草
コナン
草
都死啦
什么叫什么？
鼻血也不得了啊
你币有了
nb
新机子某一字某已投次
断句鬼才
V？
86上天了
只认出来三个……
来了
弹幕呢？
？？？？
凉风真的很棒（
第一张很明显
还好吧
不应该是光头吗
各种人妻，各种危险发型
nb
桃太郎?
天使的尾巴
awsl
银魂？
哈哈哈哈
哈哈哈哈哈
不愧是你
我最爱的摇曳百合
厉害了
最安全的是秃头
这个炒鸡好看!!
不是该报仇么？
这个我就站起来了
哈哈哈哈哈哈哈哈东电
怎么感觉看过
来了来了
盲猜毛利兰？
盲猜小兰
GAY伦舞！
???什么~~~~我也要看
来了
下次一定
波波?
或者新出的电影也说不定哦
小姨子
未确认进行式
來了
我永远喜欢砂糖和盐
凉风大大nb
动画的这段bgm吹爆
不，应该是秃头
6厉害啊
最萌小姑
现在看不到啦
来了来了
黄金男孩
独角兽！
逮虾户
砂糖
卧槽
砂糖
这是个黑暗番╭(°A°`)╮，我想起来了我看过漫画
来了来了
来了来了
奇诺
我竟然看过……而且还是个……
真相只有一个
好前
钢铁的魔女
AWSL
??????????
香菜陪的
柯南啊，这是小兰姐姐
这怎么有点像游戏王一代那个女的
银魂那集也是人质劫持诶
不想
找番工具人阿凉
主要是这个电视台是真的穷
是我了
北斗神拳里光头死了不少啊
来了来了
真有你的啊东电
ohhhhhhhhhhhh
2333333
国木田花丸幼稚园
砂糖   砂糖
因为是路人没有
车车，好快的车车
扑杀天使
牛皮！！！你币有了
真准啊
还在写作业
工口日语
分时复用
银tm
扑杀天使
不应该报仇吗
不是故意扮成男主女友吗
只要东电还在放动画，就说明问题不大
砂糖啊
我的什么时候说呢
 吹爆未确认进行式
牛逼啊666
啊啊啊
我来啦
来了来了
前排支持
来啦
6666666
来了来了
来了来了
扑杀天使
炉石传说囚徒
狗子
恰烂钱？
请叫我英雄！
awsl
是jojo
来了
花泽黑菜
来了
小兰......
来了来了来了
6666
弹幕？
哈哈哈哈哈哈哈哈哈哈哈
你真的是魔鬼
画我的手拿着老虚的笔！
第一个死了吗？
这你都能知道？
艾伦妈妈卡露拉，雏实妈妈凉子
赤坂龙之介？
挺秃然的
赤坂龙之介
赤坂龙之介？
奥特曼也确实是首相讲话
银行也是另外一种新闻播放
666
接近5万。
毕奥-萨伐尔的肯定
砂糖酱
第一个出场的时候就是去世的
想想，超想你的
CL一生推！
芽衣？我老婆吗不是
宫本武藏
这个B站有
安产型好评
我想看这个！
happy sugar life
哈哈哈哈哈哈哈哈哈哈哈哈哈
好番，追了
天使物理超度
未确定进行时啊
来了来了
27分钟，播放量就七万了
请叫我英雄？
awsl
这不是逮虾户吗
来了
66666666
不是ky啊，Elsa应该也贴上吧
欢迎回来
看完上头。再来一遍。
牛逼
想你
666
邪神与厨二病少女？
LIL?
为什么凉风越看越帅
爱德华妈妈特丽夏真的好看
砂糖爱盐
