let's go justin
？？？？？？？？？？？？？？？？？？？？？？？？？？？？
哈哈哈哈
仙剑的看点是人妖恋
店长，记得贩卖假期了
我被炸不来了
我被炸出来了
柳梦璃
最好别，中国刺客是可以进正史的
无惨
中国妞
BGM：裳裳者华
电狗
爱妻韩菱纱
BGM：夏恋
小红小白
她是dva的妈妈
ruby的那个你等等我
我裂开
哈哈哈哈哈
经验+3，岂不美哉？
3a国内还没有吧
不如。。。。。就选阿奴吧？
可......真三国无双所有妹子都是中国人啊。。。。。。
扫把头
李红兰！
我管本田叫搓澡
王元姬毕竟晋朝开国皇后
宪英好漂亮啊啊啊
游戏的话肯定是月茹党啊
邵云！
ruby
我全要
把我出来了 月如！！！！！
生与死
awsl
上单一姐 剑姬啊
最后的友情把我看哭了真的
三笠·阿克曼
我老婆
怎么没有弹幕呢~
邵云！
温柔岁月和惊艳时光的对比，我很想选惊艳时光，但我的内心却对伴我温柔岁月的人无法拒绝
暂停成功
？？？
我们叫白狗，红狗
成龙来啦
??????????????????
awsl
啊啊啊啊啊！！月如！
牛逼
？？？？？？？？？？？？？？？？？？？/
我能对着FC版的春丽撸一发
盗跖
封面coser:成龙
神乐！
泪目仙剑QAQ
累目仙剑QAQ
韩菱纱我的意难平
赵灵儿！！！！！
韩菱纱我的意难平
仙剑
暗示投币
别给我四川甩锅，这听起来一点都不像！
云姐好帅wsl
！！！！
mi6小爱
春丽
为什么我的小爱出来了？
真三国无双年度爱用老婆
Misaki1
云南话吧哈哈哈
BGM？
hhhhhhhhhhhhhhhhhhh
我大浮华上仙
bgm好评
好像dota女王的声音
FF15最后看照片的时候，真的想哭
哈哈哈哈
bgm，卧槽
没有这么傻的四川话
是魔鬼吗，无参的
李维嘉:我当时害怕极了
高分少女好评
前面说这就刷屏的晚上关好窗
米法那个，戳到我了
哇哦，bgm裳裳者华，老子最爱的纯电音
还哈哈哈哈哈哈哈哈
BGM好评！
BGM好评！
上香，下辈子注意一点
魔兽世界
哈哈哈哈哈哈哈
？？？？？？？？？？？？？？？？
嗯苏联怎么了
无惨好吧
我只记得成龙
成龙算一个
现在想起来很像雷姆
23333
cl?
你币有了
仙四是韩菱纱
王朗
四川人表示这是四川话啊哈哈
邵云！
牛逼
自古弹幕出人才
突然发车，措不及防
丑比房事龙  拉吉
66666
我邪恶小法师惹你了
龙叔……你……呕
嗯！？.......................
红小子，白小子，俄罗斯，大兵，印度……
胖子
awsl
我先在这里种一棵桃树
苏联大汉
中国的侠客更类似于西方的游侠，要说刺客的话，中国也有刺客呀，只不过日本的叫忍者。
我，塞尔达有话说
bgm：Hop
不要说了，我只爱吕玲绮
林克和米法
？？？？？？？？？？？？？？？？春丽居然才10？？？？？？？？？？？？？？？？？
话说中国刺客不就是侠客吗
仙剑三是龙葵继承的
叫老腿
这怕是日语+四川话的合体
厚颜无耻之人
我有ben
不是生化6的ada吗
春丽=cl=成龙
老姐你来辣
来辣老姐
.0
awsl！！！！！
皮好薄啊
这tm说的什么
233333
！！！！！！！！
四川话
出了我买爆
璃儿
。。。
。。。
？？？？？？
简称毛肥
无双大小乔
好像诺澜……
ruby是你吗！！
维嘉不就是她亲爹吗
？？？？？？？？
小神乐？！！！！！！
求生欲满满
只有小孩子才会选择！我全都要！！！！
林月如此时已死，李逍遥最终也没选择她
邵云！！！！！！！！
有叫电猫的吗？
三国杀里面王元姬BT一个（狗头保命）
当然是月如
小法 ？？？
老祖？
仙剑三才是最腊鸡的游改电视剧，除了人名啥斗不对
成龙大哥
awsl
都不错配音那啥
白疯，红疯
 我全都要
神乐小可爱！
长臂猴，相扑
第一章就是（滑稽）
苏联大个儿
NB
@不知火舞
春麗！！！！！
肯定是灵儿
？？？
主要是刘亦菲版太绝了
李维嘉
魔鬼吧说无惨的
无惨666
嘿嘿嘿嘿嘿
还是更喜欢灵儿
前面雪见的那位，乾坤一掷仙三里是龙葵的
魔鬼
王元姬无惨
貌似伤害最高技能
awsl
李逍遥自攻自受不香吗
awsl
风花雪月？
鬼普
阿伟死了
仙剑系列最喜欢的女主角是菱纱
菱纱也又
无惨
除了腿肌肉太多啥都好
春      丽
街霸？？？？
听起来像郭语
?
无惨的魔鬼们！
哈哈哈哈哈哈哈哈哈哈哈，你还不如说外语
露娜
小金刚狼？
上下篇
红浪白浪
我就知道肯定有一帮绅士刷无惨23333
很像李冰冰
灵儿有梦蛇，月如有乾坤一掷
乾坤一掷！高伤害！
白皮，红疯子，扫把头，中国妞，电狮子……
居然没呀我梦璃
？？？？？？
那我的柳梦璃么
王子和露娜都在小说和回忆里了
哈哈哈哈哈哈
红枫白枫
上单老祖？
连鼻子都是刺客的形状
？？？？？？？？？
为什么我小爱出来了
X24……
卧槽是ruby
？？？？？？？？？？？？？？？？？？？？？？？？？？
无惨是魔鬼吧
无惨是魔鬼吧
三笠
我会罩你，但别忘了罩我
川普
哈哈哈
狗才摸鱼
白风，红风
四川不背这锅
哇；王元姬无惨
阿伟乱葬岗
邵云！！！
王元姬无惨了解下
BGM让我想到了夏哥
洗澡房，苏联大坐，狮子，警察，扫把头，阿三，女人
?为什么我的小爱同学被呼出来了
可爱
？？？？
高分少女
邵君
邵芸！！
邵云!
我当时叫他恰雷姆，因为刚好看了神奇宝贝
刺客信条枭雄里可以玩到邵云
？？？？
王元姬无惨
awsl
我的天惊艳到了
哈哈哈哈哈哈哈哈哈
我用psp玩的，好怀念
无惨
感觉好像re
王元姬无惨
有些人看着看着就不见了
？？？
苏联膀汉
他在狂笑！
狮子
印度儿
背景音乐；geisai（艺伎）
李维嘉？？
哈哈哈
颜表立
互罩兄弟.jpg
这妹儿怕是四川来的吧
哈哈哈
神州平板
啊啊啊啊啊啊啊啊啊
无惨的太狠了
哈哈哈哈哈哈
空气头发牛逼
灵遥党
BGM：Geisha
这个川音
我四川不背这个锅
笑死我了
？？？？？？？？？？？
jio剑
jio剑
邵云
哇王元姬
小鬼
魔兽
貂蝉不香么
？？？？？这是汉语？
上单老姐举手
笑场了哈哈哈
哈哈哈哈哈哈哈哈
我罩你，你也要罩我
邵云啊啊啊啊 我的
王异……
bgm是啥
俄罗斯大坐
无惨。。
无惨
哈哈哈哈哈哈哈哈哈
无惨
哈哈哈哈哈哈
多好的大腿
坚定的月如党！
无惨
绅士MOD？
红兰!!!!
喜欢灵儿，爱月如
我艾泽拉斯熊猫人不香吗。
我感觉好漂亮。。。。。
我阿尔托莉雅党！
……
我转正了。。。。。啊啊啊啊啊
扫清六合席卷八荒
住口！！！
灵儿啊
就是因为成龙我才知道春丽
她的叫秀剑
我们叫俄罗斯大坐
awsl
仙剑仙剑！！！
我选择菱纱
小爱同学？？？
双枪老太婆必须有姓名
成龙
王元姬无惨
无惨
王元姬无惨
可惜我们这叫中国小妞
我喜欢的类型
为刺客加弹幕！
邵云姐姐～！！！！
春丽
哈哈成龙
?
23333
一堆老绅士
厚颜无耻之人
邵云！
geisha
吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼
封面选的好，绅士少不了
awsl
不是阿杜king吗？
恍恍惚惚哈哈哈
你把我米6小爱喊出来了
龙叔您让俺裂开了？？！！！
被月如炸出来！
就她你们就刷屏了？啊！邵云老婆！！！！！！！！
月如！！！
无惨
我全都要
日本人不会翘舌和卷舌
看到月如我就出来了
无惨
我全都要！
瞬间出戏。
祖父太惨
周星驰贝鳌拜捏着领子捏拳头。董
王朗啊
无惨
邵云啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
云妹啊啊啊啊啊啊啊啊
哈哈哈哈哈哈哈哈哈这汉语要笑死我
bgm好评
啧啧啧
bgm：给杀
艾达王
小爱：诶！
hhhh
桃屋猫
经典呀
王元姬无惨哈哈哈
无惨.......
三笠是你吗
哇，高分少女又来了
云哥！
神乐！！！！
小法：？
我喜欢灵儿
无惨？？
当然是选好梦璃了
高分少女
深情不如久伴
我三爷
这波几层博弈?
这波几层博弈?
我的灵儿呢！！
反牛顿头发
xswl
三笠我大哥
我爱蒋维嘉
抱歉，我是从一本书上了解的她
我喜欢王元姬
啊啊啊啊啊啊啊啊啊啊
啊啊啊啊啊啊
awsl
为我灵儿发弹幕
邵云！
对不起我喜欢张春华
我的电脑桌面
元姬无惨
韩菱纱呢
龙叔真的你变了
成龙
bgm交出来
三笠
哈哈哈哈哈哈哈
灵儿太仙气
王真的漂亮，最喜欢的
大小乔
阿伟快跑
哈哈哈哈
成龙大哥
他们哭了你币有了
司徒唧唧
awsl
艾达.王
哈哈哈哈哈哈哈哈哈哈
我我我我
无惨
啊啊啊啊啊月如 灵儿！！
？？？？？？？？？？？？
常凯申口音
这可真太熟了
龙叔！！！！！！！！！！！
司马昭也很帅啊嘿嘿嘿
怒  拳  为  谁  握
邵云小姐姐！
怀念啊
月如啊～～～
邵云小姐姐
人家是李春
我选无双大蛇里的女娲
邵云小姐姐！
WDNMD
GTA5路人塑料普通话
辛宪英
阿伟准备了！！！！！
承包这双腿
玩什么？
卧槽，我的小爱同学
方言hhhh
王朗哈哈哈
三笠?
666
awsl
你墙头草
哈哈哈哈哈哈，无惨系列
暂停成功
哈哈哈哈哈
我是通过无惨系列认识王元姬这个人物的
小被子？
老婆！
阿丽莎万岁
龙叔~
万物皆虚，万事皆允
哈哈哈
？？？？？？？？？？？？？？？
？？？？？？？？？？？？
来啦
我小爱怎么出来了？？
来啦
小孩才做选择肯定是全都要。
geisha
BGM：geisha
认同最后更喜欢三基友
怎么有种长沙话的韵味
关卡琳应援
