这手爱了爱了
牛逼啊
绝了
李荣浩？
李荣浩？
马晓龙？
李荣浩？
我承包了这片弹幕吗？
卧槽
这频闪好吓人
不不不，这是另一个popper
这质感
杜坤
终于看见脸了
啊啊啊啊啊
我开的是60帧啊
啊
相当可以
我以为是李荣浩
厉害
卧槽
好活当赏，投币了
好活当赏，投币了
李荣浩……
太牛逼了
牛逼
魔幻～
李荣浩
这是真掉帧了吗
这手看起来非常q弹啊（doge）
李荣浩
首页通知书
wc绝了
胃溃疡
有点东西的
你好，李荣浩
6666
nb
好看
跳街舞的李荣浩
李荣浩
666
这种情况持续多久了？
太酷了
牛批
厉害啊
三连了
好绝
figner tut
广东富婆进入直播间
厉害
好帅！
李荣浩tut
ohhhhhhhhhh
我靠真的好牛
好活当俩币
我靠我靠
恶之花
这鼻子有点意思
per mia famiglia
牛的啊
我先来说一个，抱脸虫
这是魔法吧！
有手就行（doge）
我来证明你开了弹幕
不就是三连么，给我拿走！！！
手艺人！
tql，硬币藏不住了
这都不火吗
这个不能白嫖。
点起来。快
带pop好评
好活当赏
看傻了
我的妈
牛人
链接发一下，谢谢
你币有了
必须硬币
三连三连
这个我也可以！好强我要开始学了！
假手哪家店的，链接发一下蟹蟹up了
66666
看傻了，忘了发弹幕
真的很形象哎
李荣浩？
一定要坚持看到51秒！
直接一建三联直接一键三联
手是德芙做的
关注了，没币了，留着给你
哇哦
这个咦咦咦绝了
woc
卧槽卧槽
这里直接投币好吧woc
可以放生吗
厉害厉害
像定格一样
好牛逼的tut
这个视频我觉得戴个无面面具更震撼
宝藏up
厉害啊
火钳刘明
好有力量感
好活当赏
就像水母一样好看
背景更加纯黑一点震撼感会更强
手艺人，三连了
我长的是个什么玩意。。。
厉害！！！
眼睛好像李荣浩
汗毛直竖。。。
我的币留不住了（泪目）
handjob？
你管这叫不太灵活???
我的手应该是个摆设的爪子
首页通知书
好牛
给个手链接谢谢
我的币淡定看完你的表演
他会右手画圆，左手画方吗？
吃吃吃
我卡了
看会了，请问手在哪里领
黑帮结印
哇
卡点舒爽 交币体验
手艺人
你好  把眼睛睁开
玩手指的李荣浩
李荣浩？
有内味了，好厉害，这个风格好好。
我感觉我们的不是用一样的材料做的
变成了我不会的样子
nb!!!!
科普一下  以父之名
打野的人有罪 犯着不同的罪 电棍决定谁对 谁的马要沉睡
国家队阿。
有点诡异
卧槽
6666
这个棒
womom
都快赶上青你的选手了
可以啊，兄弟，很酷
太帅了
牛逼
woc
强
艺术造诣好高
人类驯服手珍贵视频
技术活儿！赏！
八爪鱼
李荣浩？
李荣浩哎
强
请问手在哪里领？
绝活
这手累啊累
感觉戴上兜帽和面具效果更好
美术生表示光影强烈想画
背景弄全黑比较好，看到人比较跳
马晓龙
会不会忍术结印
首页通知书
教练我想学这个
666好看
正片开始
正片开始
我也觉得戴个酷酷的面具会更帅
你好，请把眼睛睁开
帅帅帅帅帅帅
手指累不累啊
会不会
666
第一眼，李荣浩，就是你了
哇哇哇！
好家伙定格动画
 领 域 展 开 
牛逼啊
绝了
脑子:我会了
脑子:我会了       手:会尼玛
wow
这也太帅啦
三连了！
描声？
这样的手在哪里可以买到
真的像。。。
手指好长
进来就看见李荣浩在搞手活儿
这手不拿来写作业可惜了。
必须投俩硬币
看呆了
才看完信条的我
酷酷
这么灵活的手不来一起写作业可惜了。
这手指灵活度变魔术的吧
这手在哪里买的啊
骨节分明
我掉帧了
我手也可以
好灵活
酷！！
厉害
动作像定格动画一样，帅
酷！！！
这个应该加过后期吧
卧槽
抱脸虫
千年杀
牛牛牛！！
看困了哈哈哈哈哈哈哈
这么灵活的手不用来画速写可惜了
晓组织成员
火钳刘明
快打断他的施法
手指这么灵活 脑子一定很聪明
李荣浩
好活，当赏
好家伙手艺人
挺厉害的
禁咒前法决
这不是有手就行？-四脚兽
好牛逼
这手不学手语白瞎了。。。。
太牛逼啦
投了
别打小提琴
woc好顺滑
我手没废时也是这么玩的
手技
你有币了
可以用脚做不？
李荣浩是你吗
异型趴脸虫
我要这币有何用
异形抱脸虫
Gold finger 
超棒
看后面还有奖牌
眼看会了，请问手在哪里领
牛牛牛
像水母和某种植物一样
不四指揉弦可惜了
这就牛逼了
李荣浩？
shy哥你怎么在玩手
李荣浩
好厉害
首页通知
这不是有手就行呢
哇 好牛皮
李荣浩
ohhhhh
你币有了
鬼片
卧槽，这太酷了
好活当赏~
李荣浩街舞分浩
n b
好像手在跳街舞那样
tql
好活，当赏
6666666
好酷好酷
怕
有手就行
抱脸虫来了
李荣浩？
视频后期调速度了感觉？
厉害
手太绝了，哪里领
李荣浩，是你吗？
hif
卧槽！
每个动作都很有心思
卖力
这么灵活的手不去拉钩可惜了
疯狂顶舌头
卧槽
古老的咒术
手是本体？
卧槽帅
666
帅！！！
得亏盐巴
这不是李荣浩？？
朱振亿诶
kao我的手就不是手
卧槽
李荣浩
李荣浩
李荣浩？？
给跪了
李荣浩
我主要来听歌的
？？？？？？？卧槽？
卧槽
不玩指弹可惜了
n b
牛
好家伙，我真的以为是李荣浩
羡慕杨晨琳
抱脸虫
李荣浩吗哈哈
啊 看的我手酸
像特效视觉一样
这手这么灵活
李荣浩
天呐！！！！
眨眼补帧
66666666太强了
请问是寄生兽嘛？
真的好棒啊
nb
头皮发麻
有手了脑子哪里领
他要结印了
太厉害了三连
牛
好厉害
不错 不错 
我币没了
再看看自己的手，不，只能称为猪蹄
动得像定格动画一样
前面练小提琴的，有难度了吗？
卧槽
李荣浩...？
累不累
手好像跳双人舞
太牛逼了我靠
有对歌词
这个视频让我觉得我的手不是手
这手不搬砖可惜了
去学手语不错
这里的动作好像珊瑚啊
好高级
确认过了，是假手，写好编程的那种
这么灵活的手不学变魔术可惜了
李荣浩是你吗
是不是可以加入点手语元素
卧槽
李荣浩
真手艺人
好像李荣浩
李荣浩
一开始觉得平平无奇，副歌一出来就？？？
李荣浩新技能
你把眼睛睁开玩手
教练我要学这个
手艺人
一般般
牛批
强强强强
好灵活
好吓人呐
你真的不是李荣浩吗
前方高能
你币有了
好有节奏感
这是在干嘛？
好多年没看过手指舞了
牛逼
天
李荣浩
建议把眼睛睁开录视频
？！
敢不敢睁开眼睛
好活当赏
干嘛呢李荣浩
胃溃疡
像音浪特效
啊?卧槽?
别拦着我，这是寄生兽！！！
一定要看完
我靠
再来一遍
ohhhhhhh
确定不是李荣浩？
omg
卧槽
三联了
震撼李荣浩一整年
耐心看完后面有惊喜
手好长啊
真手艺人
拉勾那个别走
三联已投
？？？？？？？？？
厉害
忍者结印
手艺人
新闻联播手语老师
首页通知书
卧槽
这手不去写作业可惜了
我手呢？？？？
那么灵活 的手不去编程可惜了
太牛了吧
这个动作让我想起了蜘蛛
李荣浩你好
我真看不出来剪辑过
妈耶好厉害
卧槽
真：手艺人
我给出彩
哪里买的假手
为啥让我想起了苍蝇搓手
李荣浩你好
这个没手还真不行
来了来了来了！！
有种看PV的感觉
真正的手艺人！
这才是手指舞
快去学钢琴
牛比
可柔可刚
哇哦
卧槽
这不有手就行吗
链接发一下 谢谢
