第一哈哈
自学的话还有个老师前辈什么的带的话最好
牛逼
赞
1
太有心了
2
真香
良心up
真香
支持
1
23333
2
111   333
可以可以
1
进不去
1
1
真香
真香
非常哇塞
真香
男菩萨
真香
欧克欧克
发个弹幕
真香
我觉得都可以，看自己选择
果然是进不去
立一个flag
然后打脸
真香
1
三连 真香
花了5000多了！
香
真香
香
才发出来2小时我说人怎么这么少
真香
芜湖
1
真香
1
真香
1
OK
2
关注了
真香！
3
2
投币了
不用https就怪怪的
感谢
1111
1
1
6
真香
太香了吧
牛
真香
赞
真香
3
真香
真香
真香
2
没声音了
1
感谢
有心了
下次一定
真香
牛逼
真香
1
牛逼
333333
真香
刚进了网站，已经挤爆了
反正不是1。。。自学难入门，有人带会好些
2
1
真香
2
一定白嫖
这次一定！
真香
男菩萨男菩萨
真香
真香
真香
真香啊
真臭
2
ohhhhhhhhhhhhhhhhhh
真香
真香
真香真香
9
"赞！！！！！！！！！！！！"
真香
2222
真香
4
弹幕
门槛太高 完全不知道在讲什么
2
上干货
良心
三连了
优秀
优秀
好人一生平安
真香
真香
被骗了
666
了不起
关注了，牛
良心啊
优秀！
1
真香
666明天就看
2
感谢老师
太棒了如果能坚持做下去的话
123
up好有心
感谢
真香
真香
投币了
1
666
谢谢菩萨
BG
嗷呜~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
太香了
感谢
三连是什么 怎么连
Up主，牛批
2
好人一生平安
1
赞赞赞
感谢
感谢老师
加油！快快更新
天正建筑
11111
感谢
真香
安排
真香
真香
针不戳
中学生能学习么
真香
谢谢老师，已三连
真香
2
不想让别人在自学进it了，就业压力太大了
牛逼牛逼
打不开这网站啊
真香
感谢
okok
666
真香
啥
哇
支持
真香
1
已三连交学费
真香
投币比点赞还多
太香了
IT难
真香
1
感谢
辛苦了
那你做这么长
真香
真香
真香
这位同学的毕业设计不错
真实
好耶
nbnb
3
真香
谢谢大哥
爱了
真的太优秀了，点赞点赞
感谢
做到了我一直想做却做不到的事
安排
三连了绝了
1
哈哈
阿猪没有没有考虑那些机构带刀来威胁你？
真香
感谢
IT难累死
2
爱了爱了
2
真香
2
感谢这位男菩萨
虽然我也不学，还是投俩硬币支持一下
111
真香
真香
良心阿婆主
真香
真香
已连
马云账号？！哈哈哈哈
活佛
下次一定
111
给大佬弯腰
爱了爱了
这次一定
感谢老师
1
666
4完全学不会的
谢谢
学费交了，学不学我不一定
三连
好的
三连送上
2
2
没有c吗
真的吗
崩溃的
关注了 ！
真香
1
真香
三连你有了
1111
真香
真香
进不去了
真香
真香
一键三连！
1
真相
真香
有网络吗
不安全
感谢up
22222
1
zxiazxiangng真香
三连了
真香
好人一生平安
真香
真香
不说了开头就爱了
1
阿婆主良心了，果断三连
2
爱啦爱啦
2222
冲冲冲
神仙！
进我的收藏夹吃灰
下
真香
真相
nb
无私奉献
已三联
真香
2
2
六六六
111
来人上硬币等什么呢
2
个弹幕
币有了
我直接快进，帮你完成完播率吧
这就很香了
感谢老师 真好啊
投币了，谢谢大佬
已白嫖
就一个币了给你给你～
真香
123
2
nb
ffffff
zzzzzzzzz
感谢
真香
慷慨大方！人见人爱！
真香
信你
1
进不去
666
对机构的降维打击
牛牛牛牛
真香
码云
6666
22
1
谢谢大佬
牛逼
真香
良心的哭
活菩萨
活菩萨
推顺鬼
谢谢
111
真香
厉害
活菩萨
进不去
2
2
4.从入门到放弃，又不太想放弃，又回来，又放弃又回来了⊙▽⊙
谢谢老师
真香
它男老师
真香
打不开啊
牛逼的
我要去白嫖了
真香
1
已三连
真香
！！！！我要
333
1
22
进不去
看评论
2
提前谢谢
个弹幕
给你投币叭
三连
能不能教C++啊
1111
1
下次一定
活菩萨
真香
好人一生平安
好人一生平安！！！
感谢up
硬币给了
真香
