画面好暗啊
献出心脏！！！
6666
火钳刘明
三连了，太强了
！！！！！！！
鸡皮疙瘩掉一地
12.7号第四季，好期待啊
火钳刘明
前方高能！
爱了，爱了
卧槽
假如活下来的是团长还会面临那样的困境吗
upnb
剪辑好棒
火钳刘明
巨人nb
火钳刘明
剪的真棒
nb
nnnnbbbbb
再叫亿声兵长老公
太牛了
牛
巨人nb
up辛苦了真是太棒了
NB!
巨人nb
好看不火
剪的太帅了!火钳刘明
画面不暗过不了审
献出心脏！
献出心脏
泪目
献出心脏
前方高能
注意  前方高能！！！！
注意  前方高能！！！！！
前方高能！前方高能！！！！！！
我早已献出心脏
这么好看竟然才这点播放量
卧槽
冲冲冲冲冲冲冲冲冲
兵长！！！
为了人类的胜利
承包
你币有了
剪辑牛逼
太牛逼了
剪的真好棒棒棒棒棒！
剪的这么好怎么没人呐！
剪的这么好怎么没人呐！
up主辛苦了，做的很好
牛的
燃起来了啊啊啊啊啊啊
牛逼牛逼牛逼
zhmlll
震撼
剪辑nb
3天
恭喜你发现宝藏!
这个混剪太牛逼了，二刷
火钳刘明
首页
团长nb
前方高能！
nb
太强了
炸掉了诶
鸡皮疙瘩起来了
人类仅存的黄昏？
挺起胸膛活下去
NB！
厉害！
！
献出心脏
我鸡皮疙瘩都起来了!我的天……这么好的动漫叫禁了，烦!
为兵长献出心脏
巨人永远滴神
起鸡皮了！
已三连
献出心脏
是敌人
奉献心脏
你币有了
海的那边 是敌人
顶上去，兄弟们
为兵长献出心脏
进度条好评
看爽了
十几岁追到二十几岁
我们生而自由
献出心藏
两天
我直接火钳刘明
太强了 吹爆这剪辑
up巨！！！！！
up辛苦了
火钳刘明
爷青回
马上最终季要开始更新了
萊纳二五仔
火钳刘明
莱纳，要做吗，就现在？
UP牛逼
这次一定
火钳刘明
献出心脏
是敌人
剪得好棒 看哭
火钳刘明
下次一定（白嫖）
三毛！
为团长献出心脏！
鸡皮疙瘩起来了
团长老公！
剪的很好啊，帅炸了
我TM鸡皮疙瘩起来了
鸡皮疙瘩都出来了
剪得真好
亚妮 雷恩哈特
献出心脏
赞了赞了
爱了
心脏子撒哈给有
愚公移山的精神
啥时候播最终章啊
爷就是枭
献出心脏！！！
太顺滑了
太牛了啊啊
艾伦，活下去
艾伦活下去，发现世界的真相
为中华民族伟大复兴献出心脏
叔叔！！
那天，人类终于回想起被巨人支配的恐惧了
太燃了
啊啊啊啊啊啊啊啊燃起来了
你币有了！
团长气了，谁来做指挥啊？女巨人吗？
艾尔文团长死的确实可惜
牛逼
巨人牛逼
战曲 放!
火钳刘明
反击神曲
巨人nb！
前进，不择手段地前进！
热血
牛的牛的
这次一定
只要你发巨人，我们就是朋友
为三爷献出心脏
为了人类的胜利
为了人类的胜利
为了人类的胜利
我们从出生开始就是特别的
我们从出生开始就是特别的
期待，哔哩哔哩要是拿到版权 我愿意买一年的会员反复看
我们从出生开始就是特别的
特别火，但是被禁
为了艾尔迪亚的荣光
好燃
火钳刘明
海的那边，是敌人
海的那边，是敌人
每天一遍
牛壁！！！！！！！！
一定要为巨人去一次环球影城
有生之年
二年级的时候被父亲拉去看了
兵长单杀猴子，牛逼。
你一定要挺着胸膛活下去
看完我决定复习一遍
为了人类的胜利
用三连献出我们的心脏
把巨人全部驱逐出去，一个不剩！
把巨人全部驱逐出去，一个不剩！
把巨人全部驱逐出去，一个不剩！
xianchuxin
追了7年啊
兵长啊
你币有了
鸡皮疙瘩起来了
币有了
热血沸腾，巨人永远滴神
鸡皮疙瘩起来了
燃
你们已经不是人类了！
你们已经不是人类了！
火钳刘明
战斗吧
战斗吧
团长永远的神！！！
已三连
支えよう支えよ
巨人nb
火钳刘明
里维
自由之翼
献出心脏
神作我来了
鸡皮疙瘩掉一地
啊啊啊啊啊老婆
高昂的自由之翼，进击的巨人之心。
为利威尔兵长献出心脏！
前方神仙转场，高能预警
我早已宣誓，为了人类复兴献出生命的士兵。
好
nb
我早已宣誓，为了人类复兴献出生命的士兵。
献出心脏！！！
火钳刘明
我们从出生开始就是特别的，都是自由的
海的那边 是敌人
倒叙永远滴神
真的好
夺回艾尔的迪亚荣耀
海的那边 是敌人
我也从高中追到现在，7年了
你币有了
为了人类的胜利
棒
无情
三天！！！！
好看
剪的是真的燃
啊啊啊啊啊啊啊啊啊间的太好了
心臓を捧げろ
团长无敌
太强了
鸡皮疙瘩一身
首页
三连就完事了 巨人 冲！
前两天刚把第三季S补完，就等它更新了
从初中到大学
牛逼
这次一定
献出我们的心脏吧
再来一遍！
剪辑可以啊
白嫖失败
牛逼牛逼
上啊！!！!前进！!！
牛逼
谁要灭亡
我未曾明白
自始至终
还没有输!
送你上去
死得其所
战斗吧 进击的巨人
原声带感人
泪目了
燃爆鸟
为利威尔兵长献出心脏！
把巨人全部驱逐出去，一个不剩！
火钳刘明
我们要死在这里，让下一批生者决定我们的意义
为兵长献出心脏
oohhhhhhhhhhhhhh
你们已经不是人类了！
你们已经不是人类了！
为了人类的胜利
前面去环球影城的那个，估计没戏了，那个是限时的，早没了
3连了
埃尔文团长！永远的精神领袖！！！
战斗吧
战斗吧
六年级看到大一
好像苏沐橙
为了艾尔迪亚的荣光
为了艾尔迪亚的荣光
为了艾尔迪亚的荣光
最燃动画，没有之一
这就是反抗这残酷世界的唯一方法
这就是反抗这残酷世界的唯一方法
燃起来了
吟唱开始，这鸡皮疙瘩的警报声
三笠都笑了
鸡皮疙瘩掉一地
为巨人献上弹幕！！！
火钳刘明
直接起立
666
海的那边 是敌人
海的那边 是敌人
兵长的斩杀，心脏蹦出来...那一次
啊啊啊啊啊
妙
太热血了
为无名的牺牲者献上无上荣光
为无名牺牲者献上无上的荣光
为无名牺牲者献上无上的荣光
为无名牺牲者献上无上的荣光
放弃了战斗，才会迎来真正的败北！
放弃了战斗，才会迎来真正的败北！
放弃了战斗，才会迎来真正的败北！
很好，你成功骗到了我的币
动画在哪看啊
三连了
谏山牛逼
前方高能！
全场起立！
你币有了
献出心脏
海的那边，是敌人
献出心脏
献出心脏
·---------------------*+
献出心脏
献出心脏
为巨人献出心脏
为什么今年还不更新
埃尔文大骗子
燃起来了—
什么都无法舍弃的人，什么都无法做到
什么都无法舍弃的人，什么都无法做到
什么都无法舍弃的人，什么都无法做到
超级喜欢
三连了，不多解释
爱了爱了
卧槽阿婆主牛逼！！！！鸡皮疙瘩一阵儿一阵儿的
前进！！
啊啊啊啊啊泪目
三笠，你的头发怎么变长了
我们是坦克（滑稽）
塌塌卡e！
献出心脏
速速me
燃炸了
白嫖失败
献出心脏
牛逼
为无名牺牲者献上无上的荣光
鸡皮疙瘩
两天了
什么都无法舍弃的人，什么都无法做到
nb
前进！！
献出心脏!
しんぞうを捧げよ
不是被禁了吗？
！！！？？
！！！！！！牛批
nb
献出我的三连
一个人
为团长献出心脏！！
白嫖失败
剪的真好，泪目了
为了人类的胜利
第四季有25级
献出心脏
这是什么bgm
啊啊啊啊啊
冲冲冲冲冲
你币有了
起立
反击开始
剪辑好牛！！！
鸡皮疙瘩起来了
你币有了
我去二刷
太强了
这片子没有一点作为禁番的自觉)
兵长单杀的时候太帅了
牛壁剪辑，这币给了
全体起立
nb
剪的真好
三连了！
献上心脏
初中追到大学
鸡皮疙瘩啊
你们知道这动漫讲的什么吗？
白嫖失败
直击
为利威尔兵长献出心脏！
必须首页
哦哦哦
头皮发麻
你赢了
献出心脏
巨人nb！！！！！
献出心脏
从二十几岁追到三十几岁
背叛神曲
萨沙
啊啊啊啊啊啊
为团长献出心脏！
啊啊啊啊啊啊
泽野yyds
太厉害了吧
啊啊啊啊啊牛逼
剪辑牛逼
献出心脏!
为韩吉打call
海的那边，是敌人
献出心脏吧
塔塔卡！艾伦
兵长回归
坐等
海的那边是敌人
分镜又被爽到
觉得血腥暴力的可以去看花园宝宝了
燃起来了
看的浑身发麻
巨人就是最牛逼的
太棒了超级喜欢的动漫
吃妈巨
献出心脏
只爱三笠
啊啊啊啊啊啊啊
人在人在这啊
巨人nb
白嫖失败
神作
泪目了
献出心脏
nb！
牛批
白嫖失败
说血腥暴力的只看了第一集？
进击的巨人
战斗吧
13  59
好厉害的剪辑！
up主用心了  牛牛牛牛
好燃！！！
我靠，神了
三连了
再看一遍
献出心脏！
海的那边，是敌人
从十几岁陪伴到二十几岁
三毛死的太惨了
放弃你的梦想
，神作
反击神曲牛逼
团长牛逼！！
啊啊啊啊啊啊啊啊啊啊
献出心脏
献出心脏！
杀死全部巨人，献出心脏。
斯巴拉西
泪目
杀光他们！
莴苣永远滴神！！！
这弹幕少了点吧！我都激动哭了
巨人和东京食尸鬼不敢看，看了觉得心里憋闷得慌
鱼从海里上来的那一刻就已经不是鱼了
太燃了！！！！
弗爵爷
已三连啊啊啊
献出心脏！！！
反击！！！
就是和谐了，b站排名还是第一  牛逼
你没有媳妇
献出心脏！
致两千年后的你
首页通知书
大制作
海的那边，是敌人
意志的觉醒
浑身鸡皮疙瘩
全体起立
漫画追到他们去墙外就不太想看了
鸡皮疙瘩掉一地啊啊啊啊
第3季到这边我就看不太懂了，没看过漫画
芜湖！
疯了疯了，太期待了啊啊啊啊啊
献出心脏
献出心脏!!!
一起去看海
为了人类的胜利
明天就来了
这应该不是我卡了吧
利威尔！
太牛了
我用新冠时期的寒假中的三天看完了三季
燃起来了
自始至终
太帅啦
海的那边，是敌人
致全体尤弥尔子民我名为艾伦耶格尔
三连了
进击的巨人
