大哥！
24观看
1播放
1！
34
大哥nb
哇
养肥再来
1分钟前！！！
skr
刚刚
我是第一？
抱走幻
关上151的大门
。
6666666
3000
笑死了哥用自己的鬼畜可还行
我是11111111
大哥的鼻音有点好听！！！
6666
大哥是什么神仙男孩
4分钟！！
skrrrrr！！！
四分钟前 哈哈哈我第一次这么前
牛批！！
四分钟前
马了顶大showtime 
出道吧大哥！专辑我给你买爆!
哈哈哈哈哈哈哈哈
battle king
幻姐姐
五分钟前！
上海动物园哈哈哈哈哈哈哈哈哈
哈哈哈哈
这个素材好久远
6分钟前
六分钟前
我鬼畜我自己
哈哈哈哈哈哈哈哈哈
十分钟前，哈哈哈
skrhhhhhhh
太real了233333
哈哈哈哈哈哈哈哈哈哈或
这verse，马哥你去下届中国新说唱吧
哈哈
来啦
人家确实唱得好啊
哈哈哈
我就说怎么这么熟悉是大哥鬼畜视频！
七分钟！
哈哈哈哈哈
66666
好久不见马了腚大
比我想的好听
woc
6666666
被游戏耽误的rap
厉害厉害
终于自己翻唱鬼畜了
大哥牛批
我弹幕咋没了
火钳刘明
我的幻幻
xswl
哈哈哈哈感觉说着说着要吐了
八分钟前
厉害了
大哥牛逼
合影留恋
大哥牛逼
卧槽感觉有点法老的感觉
偶像的哈哈哈哈哈
好听！
5分钟前！
居然没有嘴瓢
6666
牛逼哄哄
？？、
哈哈哈哈哈哈哈
battle村子battle镇子哈哈哈哈哈
666666
我震惊了，马哥
牛逼啊，嘴炮归你了
好听好听好听
哈哈哈哈哈哈
马哥！！！
哈哈哈哈哈哈
6666666
18岁拿了21年头衔
哈哈哈哈
哈哈哈哈
12分钟
好棒啊skr
哥哥好棒 
zoo可还行哈哈哈哈哈哈
承包我哥
哈哈哈哈哈哈哈哈
太帅了吧
马马马还行hhhh
6666666
skr～
牛逼！
啊啊啊啊，我爱了哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
8分钟前
真实
skr
ttl
哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈怎么又是你
啊啊啊啊啊啊啊啊太帅啦
牛皮
66666
哈哈哈哈哈哈哈
牛逼！！！
66666666
投币了
15分钟前
哈哈哈哈
skr
大哥就是大哥 哈哈哈
熟悉的剧本
6666
..6666666
skr
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈笑死
猛汉牛批
66666666
太强了马哥哥
马马马
大哥出道吧
哈哈哈哈好好听
大哥你是什么鬼才
意外地有点好听
某幻出道吧！
勾芡哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了
来啦来啦
nb
哈哈哈哈哈哈哈哈哈哈灵魂翻唱
哇哇
哈哈哈哈哈哈哈哈哈哈
牛逼啊啊啊啊
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
或或或
正在图书馆学习的我
旗鼓相当的烂哈哈哈哈哈哈哈哈
某幻人才
真实~
好强啊
这么强
Hhhhhh
大哥nb！！！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈
真实
在现场
skr
我自己骂自己
？？？
大哥太强了
哈哈哈哈哈哈哈哈哈
大哥牛批哈哈哈哈
ohhhhhhhhhhhhhhhhhhhhhhhhhhhh
这名字起的
大哥感冒惹
OHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
哈哈哈哈哈哈哈哈哈哈哈哈憨憨
大哥这么厉害的吗
上海动物园？？哈哈哈哈哈哈哈哈
yoyo
哈哈哈哈哈哈哈哈哈
理智diss哈哈哈哈哈哈哈哈哈哈
哟嚯哟嚯
来了！！！
有点好听
skr~
马了顶大 恭喜晋级
666666
牛壁！
不要脸哦
出道吧
大哥牛逼
66666666
@倒悬的橘子
我是麦克雷打不动
红红火火恍恍惚惚哈哈哈哈哈哈
秧歌star
来了
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
弹幕？不能断
skr~
想让我马哥哥上热搜
前方高能
太强了
skr！！
太好听了吧
虽然拿到了勾芡
这个视频要火
太厉害了吧~哥哥~
哈哈哈哈哈
哈哈哈哈我翻唱布利哆迪布利多啾啾的
好听！
哈哈哈哈哈哈哈哈
马哥牛逼！！
哈哈哈
上海zoo！
哈哈哈哈哈哈哈
前方高能
真的是很把握到了精髓
哈哈哈哈哈哈哈
喔 有、、东西哦
马了顶大
牛批啊啊啊啊
大哥牛批！
听出了Vinida的感觉
再来亿遍
牛皮！？
马姐姐好
上海动物园!
我回来了
跪了跪了skr
nb啊马了顶大
哈哈哈哈哈哈哈哈哈哈
真实
666
前方高能预警
哈哈哈哈哈哈哈哈哈哈
Ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
哈哈哈哈哈哈哈哈哈哈哈哈
大哥牛逼
哈哈哈哈哈哈哈哈哈哈
好燃啊！！！！
和哈哈哈哈哈哈哈哈哈哈哈哈哈哈
某幻某幻某幻某幻某幻某幻某幻某幻某幻某幻某幻某幻
再来亿遍!
哈哈哈哈哈哈哈哈可以的马哥
太有才华了哥 我真的respect
哈哈哈哈哈哈哈
还是行
挖槽牛批
31分钟前
我放下了复习资料来了
黑不拉几先生路过了
去年夏天的远古素材
时隔一年！！！！
白背心真的好严格，比我想象要还要严格
哈哈哈
马哥哥有趣的灵魂呀
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈
666666
啊啊啊啊啊
哈哈哈
马马最厉害！！
哈哈哈哈哈哈哈哈
尚先生的beat能随便用吗？
大哥到底是什么宝藏
马哥哥你简直是宝藏
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈帅爆！
？？？哈哈哈哈哈哈
幻姐姐很厉害
哈哈哈哈哈哈哈哈哈哈哈哈
牛逼啊！！
我骂我自己
怎么感觉你在笑？
第二遍
大哥牛逼
牛啊
幻幻好厉害
再来亿遍！！！
哈哈哈哈哈哈哈
怎么又是你马了顶大
skr
ycy？
Skr skr skr skr skr
青岛啤酒吹爆！！！
39分钟前
胖吃赖
哈哈哈哈哈哈哈哈哈哈哈666
嘎哈哈哈哈哈哈哈哈哈哈
动物园hhhhhh
666666
是真的强啊
哈哈哈哈哈哈哈哈哈哈或或或或或或或或或或
好早！
牛
大哥我爱你
马了顶大又是你哈哈哈
哈哈哈哈哈哈哈哈h妈耶 牛批牛批
马哥牛啊
哈哈哈哈哈哈哈哈旗鼓相当可还行
43分钟前！
我刚补完这期录屏！
大哥:我粉我自己
大哥出道吧
i辽
再来亿遍
hhhhh又是你
我们玩这个的diss点没啥
skr
哈哈哈哈或或或或或或或或或或或或或或
boy哈哈哈哈哈哈
哈哈哈哈
哈哈哈哈哈哈哈哈哈哈或或或
哈好听\^O^/
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
要么出音频，要么别唱！！
你是不是准备进驻唱见区啊
哈哈哈哈哈哈哈哈哈哈哈
太牛了吧大哥
哇哇哇
幻姐姐！！
哈哈哈哈哈哈哈取名鬼才
开幕雷击
法老的节奏
哈哈哈哈哈哈
太牛逼了
求BGM
这个马了顶大是调侃老番茄吗ahhhh
skrskrskr马哥超帅！！
6666
好帅啊啊啊啊爱了爱了
大哥好强
蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤蛤最强取名王
前方高能
wow！！
哈哈哈哈哈哈哈哈哈哈
马哥哥
哈哈哈哈哈哈哈哈哈哈哈
18岁拿了23届2333
skr
这一集真的全程高能
哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈某幻太强了
哈哈哈哈哈哈哈
前方高能
好厉害哈哈哈
啊啊啊啊啊啊官本尊为致命
来自动物园可还行
哈哈哈哈哈哈哈哈哈牛啊
噫噫噫
大哥太厉害了吧
好听！！！
请出道
呵呵红红火火恍恍惚惚哈哈哈哈哈哈哈哈哈哈哈哈
出道
玛丽莲曼森~
勾芡哈哈哈
看成了 某幻: 中国有嘻哈但我有神经病 ??
哈哈哈哈哈哈哈哈
