！
OKok
两分钟前
辛苦了！
前排表白
辛苦了
你们住站吗
才浅qnq
红石音乐？
都在认真看吧
六分钟前
大佬般的画图
辛苦啦
tql
辛苦了！！！三连以表敬意
心疼才浅qwq
不投币真的对不起up
17分钟
心疼啊
静音食用更加ｸﾞｯ!(๑•̀ㅂ•́)و✧
''Adams
紫光檀的莫氏硬度是多少啊
真嘤
辛苦啦
辛苦啦
辛苦啦
辛苦啦
辛苦啦
???
中招考试都结束了
Up主牛啤
小说里的刀匠也用废了好多磨刀石，upNB，是真的还原了，辛苦辛苦
这个是真的费时费事还费手
流批浅大爷
工具变多了
都给我去三连！！
记得以前也干过类似的，然后发现正反不一样
up辛苦了
233333
紫光檀貌似4.5到6左右，铁的硬度是4.5
手上的伤口好像又多了？
up好有耐心啊
差点破产
开口脆
老了老弟
才浅太棒了
这是葫芦娃头顶的叶子吗
版权规避
黑家伙
又不带手套
来了
辛苦了
惊了！
终于等到你
来了
手套呀！又没带
用这个得带好手套哦
不会还是鬼畜版吧hhhcaicqian
对不起我忍不住笑了
辛苦了
终于！！！
手酸死
金坷垃？
你要刨的不好就废了
完全无法反驳
终于更了
红石版？
辛苦啦
币比赞多
5小时前
应该要大一点的锤子
钳工厉害啊
Up辛苦了
哈哈哈哈哈2333333
一袋能顶两袋啦~
BGM？？？
啊~肥料一定要吃金坷垃~
只有我看成大沙逼了吗
这都是钱阿
下方红字是魔鬼吗
？？？
看看
牛逼
辛苦了辛苦了
开口跪，久违的金坷垃
辛苦了辛苦了
有生之年
黄金锉
辛苦了，才浅
辛苦了
辛苦了
辛苦了
选哪个
辛苦了
辛苦了
三张……和小说里说的三块石头一样……
bgm是？
哦~刀剑里面的bgm
ohhhhhhh
辛苦啦，up好厉害的说
大♂家伙
辛苦了
6时前
做个大傻子
40
开口跪
别扔，留着擦屁股
金坷垃的bgm是？？？
良心up主
手上是受到伤吗
神tm刀三，刀二的后部分
我我我想买
看评论
你也吃益达
七小时前
才浅辛苦了
辛苦了
来了来了
电转不是更方便些吗？
UP主威武
nb
辛苦了
三连了三连了
强到不行 6666
我刚刚好像看到手砸出淤血了。。。
那个，木头不实用莫氏硬度来衡量的
我感觉可以卖30万金条
这BGM……
这个BGM我爱了
Lias
花了好几天的原因：哎呀好累，休息下，第二天：哎呀好累喝点水
先三连再看
辛苦了
辛苦
强者是不需要别人的怜悯的
牛批
伴奏版
居然真做了。。。牛
辛苦了!!!
辛苦了!!!
金坷垃，金坷垃
没人吐槽形状吗（手动滑稽）
辛苦了
三连已完
太厉害了
这，有点奇怪！
锯木头用钢锯？
80
80
辛苦了
辛苦了
up牛批
你买贵了
刀2的你连看都没看过吧
小说中的夜空之剑和动漫中的不一样，感觉小说里面的好看多了
磨刀沙
感受一下莉兹的工作强度
葫芦娃的魔鬼
这个是木工铅笔，可以在木头上画线的
手工不借助电动，都不懂吗？
辛苦了
辛苦了
失踪人口回归。
这要锯的累死人
辛苦了
开口跪
辛苦了UP，三连去了
太厉害了
2倍速新天地
擦屁股得那个是魔鬼嘛
鸭子翻跟头
辛苦了
辛苦啊
辛苦了。
你也吃益达~
辛苦了
首先先感谢袁隆平教授
辛苦了
辛苦了
辛苦了
已经三连辛苦了，阿婆主。
辛苦啦
线锯我用过，超难用，还搞断刀片一次
小钳台便宜
666
你也吃益达
用斩龙台来磨啊
我没穿秋裤
辛苦了
666666
小说没记错的话是平头的直剑
辛苦了
金坷垃
天锁斩月
你这铅笔好像很吊的样子
万能砂纸
辛苦了
卧槽，真的牛批
我怎么了
我觉得优吉欧砍恶魔之树的斧子最硬 砍那么多下都不坏
up主，成品卖吗？
全损音质
当年B站的风采《金坷垃》系列
辛苦了
辛苦了
啊~软妹币的手感
你也吃益达
我没穿秋裤
都软了
NB
辛苦了
线切割走几刀再打磨啊
我们都要金坷垃
辛苦了
爷关更
66666牛逼牛逼
要做好这个还要画画好，我感觉人生无望了……
Nb啊
黄金挫黄金做的吗？
想想着
BGM是魔鬼？
废=费？
刀2的那个你出来我给你个buff
大刀剑牛B
磨刀石，莫得拉
辛苦了
金坷垃好评，求AV号
big♂ boy
全坷垃的厉害了
梅花A
辛苦了
紫光檀不贵
就这样直接手工凿，也是人才。。。不先开两个孔嘛
9小时
辛苦了
六块斩龙台
辛苦了
浪费…………
就是刀三，op1，有点脑子好吧
用黄金挫没带手套？
肥料必须要掺金坷垃
是k大的
二倍快乐
辛苦了
辛苦啦
是传说中的线切割
金坷垃？
辛苦了
等等，为什么他不先锯下来再凿？
word妈真做了！爱了爱了！！
卧槽吓我一跳
给up主跪了。
辛苦了
三连了，辛苦了up!\^O^/
用钻头先打孔
才浅辛苦啦，必须充电
up辛苦了！！！
op1吧
我要这硬币有何用？
这是刀剑三的曲子？前面刀剑2的是云观众？
辛苦了
让八级木匠孙哥没有饭吃的人
金坷拉
up厉害
辛苦了
齐嗨啦～～
我手残
开  幕  雷  击
这个就是木工笔
熟能生巧(*￣m￣)
辛苦了
辛苦了
.
别扔，留给邻居小孩擦屁股
妈妈问我为什么跪着看视频
太厉害了叭
辛苦了
辛苦了
金坷垃
-5块
-5块
-5块
-5块
我记得这是钢丝锯不是木工锯啊..
-5块
硬核
手持角磨机无所畏惧
辛苦了
abcde
素质三连
这是钢锯吗……
666
wow
这砂纸不是打磨木头的嘛
三连 三连
鸭子组准备
磨刀石不够可以用茄子代替
沐浴春风
辛苦了
比萨拉托加好用
这叫才疏学浅?应该叫我是神仙（滑稽）！
战歌
纯手工制作
这可以用砂轮打磨吗
辛苦了
辛苦辛苦。
什么bgm
世界在颤抖
辛苦了
辛苦了
辛苦了      辛苦了
再来一遍
3连了
辛苦了阿婆主
大佬大佬
刀光组准备!
 你们舰b号没了
大神
黄金锉是专门用来锉木头的锉刀，并不是黄金做的哦
前面的纯铁质软
前方高能预警
三连
6666666
一袋能顶两袋撒
你也吃益达
剑的成品请空降至14：30，剑的成品请空降至14：30！
100目磨成1000目
真·磨鬼
能带上火车吧
辛苦了
不会比钢难切吧应该
想    入    非    非
辛苦了
这木头硬的一批
三连
看了一下进度条我惊了
剑来
辛苦啦
辛苦了辛苦了
木头不错哎，
10万币7万赞。
快把剩下的偷了！都是钱！人民币！
魔鬼们，施工啦
削钱
你有锉啊，那刚刚为啥拿砂纸磨，自己魔鬼自己吗，锉打一遍再砂纸细磨要省劲不少
喔准备好了
喔准备好了
辛苦了
刀光如……怎么没人
你也吃益达～
干他爷爷
能给个木料的链接吗？我也想自己搞一个。
up拿个不用的小木块用三秒胶粘上砂纸们体验更佳哦
up辛苦了啊啊啊
你也吃益达
嘎嘎鸭给
真的好硬啊
梅花A
辛苦了
注入灵魂
圣雄肝帝！
我没穿秋裤
up牛逼
牛逼
金坷垃金坷垃
6666
辛苦了
shiny sword my diamond
大黑家伙
哈哈哈哈哈
真的辛苦了
手一直在抖很明显是不会画画的人吧
辛苦了
投币了投币了
bgm好评
线锯好难用的q wq
大宝贝
11小时12w硬币
磨鬼
在画屁股
辛苦了
up辛苦啦
服了这tm是刀三的主题曲
肥料一定要掺金坷垃
辛苦了
厉害，辛苦了
感觉用紫光檀做把逐暗者也行
？？？
bgm
没有凿子的同学可以拿金坷垃替代
看了一下进度条30多分钟
去查设定书啊
我静音了
G北了
辛苦了
辛苦了
666666
厉害了我的哥
辛苦了
紫光檀磨到让你怀疑人生
用废的砂纸可以用来擦屁股
辛苦了
辛苦了
up辛苦啦！
可以
辛苦
jo等了
辛苦了
这木头越看越像巧克力。
这两个币子我先给了
吃金坷垃
想买～～～
我做过一枚紫光檀的戒指累死
说到做到
葫芦娃？
紫光檀的硬度赶得上合金了，up也是有毅力
辛苦了
这是我凿课桌的样子
一....
辛苦了
辛苦了
辛苦了
金坷垃~金坷垃~
磨鬼
辛苦了
终于用刨子了，心疼黄金锉和up的手555
upnbup厉害
泪目
二倍新世界
辛苦了
我看呆了，3连3连
啥都不说，先来个666
辛苦了
辛苦了
可以换个BGM嘛。。。
辛苦了
黑檀。。。是个狼人
up辛苦了
辛苦了
辛苦了
疯狂暗示
辛苦了
辛苦了
辛苦了
刀身宽多少
overfly
这线锯哪里搞得求链接
也就…
鸡美辣
辛苦了
辛 苦 了
老哥手真硬
我需要看一个月吗
真魔鬼
啦啦啦
辛苦了
辛苦了
辛苦啦
辛苦了
求BGM
我以为快做完了，直到我看了下进度条
辛苦了
斩龙台那一位等等我
刨一下几块钱的是魔鬼吗
比铁硬个屁
混入其中
来了来了
这个钢琴曲什么
棒
吓
bgm好评
辛苦了
表示这是的钳工日常，真的累
辛苦了
不容易呀
激光切割是可以，但是up的经济实力可能撑不住吧
kylexian!
这鬼木头，这么硬
辛苦了
男人的浪漫
你也吃益达～
k大k大!
钻孔可以
用手磨？NB
做成110警告
呼叫空耳君
666
金坷垃好评
使用黄金锉要带手套，还是你上期说的呢
糟糕的bgm
我爷也是木匠，光刨子就有好几个，最大的应该有半米吧。
BGM是魔鬼
卖给我吧
疯狂敲手
这个锉刀就是逊拉
辛苦了
金坷垃，金坷垃
辛苦了
1万硬币出锋   兄弟们给他20万，女装，出两个锋
BGM:overfly
NB
还真有人看刀剑23
辛苦了
做个大傻子
帅
这bgm真的过分了
辛苦了
bgm有点牛逼
咂了几次手
辛苦了
你也吃益达
辛苦了
黄金挫还行
辛苦了
金坷垃，金坷垃
我去
辛苦了
刀剑神域第一季已经买回b站！
666
辛苦了
线切割只能割导电材料吧
架铣床上两刀就好了
up我出一千
你们这些弹幕在下边挡字幕的够了。
桃木试过没（滑稽）
比萨拉托加好用多了
休
辛苦了NB
直接用电钻啊……
上钻床啊
－50
想起来金工实习
1:1牛逼，，，
up主辛苦了
up十分NB呀
不做阐释者吗？
哦那个二次元拼接钢琴师
辛苦了
upNB！辛苦了
辛苦了
辛苦了
辛苦了
的
辛苦了
牛逼啊
你也吃益达～
大脑：哦，我会了      手：滚！
辛苦辛苦
我的overfly啊
辛苦了
你也吃益达
辛苦了
辛苦啦
萨拉锉刀？
辛苦了
辛苦了
开幕雷击
辛苦了
电钻钻的可能不好万一偏了。。。
NB啊
无情铁手
你也吃益达
辛苦了(≧∇≦)/
辛苦了！
厉害
牛啊
辛苦了
辛苦了
又不带手套
建材市场有一米宽，长度非常长的砂纸带
辛苦了
用线切啊
shining sword my diamond
辛苦了
BGM……
为什么不用磨石？
面筋个鬼啊 这是金坷垃
看了一下進度條
同款尺子
同款尺子
锉刀＝小加加
辛苦了
葫芦娃
紫光檀从哪里买啊？大家能不能给个路子？
纯手工.
要卖的话要个百万吧
up主牛逼
小心哦，里面是不是可以垫点粘土什么的，外行好怕修外形的时候断掉
牛逼up主
Nb
看到“纯铁”真是笑死了
家有女友？
辛苦了
电钻啊…
磨鬼
用小刻刀慢慢抠
辛苦了
辛苦了
好贵的木屑
14小时前
辛苦了
我永远喜欢LiSA小改改
??? Shining soul
钳工。
辛苦了
???? shining soul my diamond
辛苦了
辛苦了
辛苦了
必须投币
是我小佳佳哒
辛苦啦
开口跪
辛苦了
砂纸！
辛苦了
用线切割的，你告诉我木头怎么割？
流批
辛苦了
金坷垃好处都有啥
辛苦了
淘宝有
一万块你逗我
用转床就行
老哥可以
辛苦了
坷垃炸出
666
金克拉。
好厉害
自己人别开腔
没有刀光啊
辛苦
心疼
辛苦了
不要扔给我放厕所里
刀光组准备
辛苦了(≧∇≦)/
比萨拉托加好用多了
2.0
20.
赶上合金还行
辛苦了
紫檀木，家里油矿
金坷垃
金坷垃～金坷垃～
太细了
B站有卖周边
好狠
进度条的谢谢你，我直接跳了
你也吃益达
辛苦了
2倍带感
辛苦了
刀剑三主题曲
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈hhhhhh
光速涨粉
翻译那
歌词歌词歌词
问一下？这双手从哪里买？
前面的
md我还以为我手机铃响了
