好快你们
少爷好
刚刚
来了来了
刚刚
第一个弹幕
刚刚
来了
？
来了来了
来了
几句话
刚刚
少爷好
一分钟！
消灭0弹幕
刚刚！
一分钟前
哈哈哈哈哈
刚刚
霸屏
第一观看！
刚刚
第一次这么靠前
1分钟
但能吃
哦吼
11111
承包少爷
我现在去结尾不是第一个看完？
一分钟前
1分钟前
播放一，我终于有一次播放一了
一分钟前
真香警告
我是一个看不到弹幕的观众
吃壳
开始掐饭了可以
一分钟前
住b站的吗
一分钟
一分钟前
瞬间去世
1分钟前
哈哈哈哈哈哈哈
2分钟前
没有弹幕？
我来了！
两分钟前
！
人呢？
11111
刚刚
一分钟前！！
今天我也太早了吧！
翻车预告
瞬间去世
早知道高考前吃一只文综就不会这么差了
2分钟前
咳咳
好
我来早了?
我说怎么没弹幕
两分钟前
2分钟
3分钟前
贵但是买不起啊(っ╥╯﹏╰╥c)
两分钟前！
字幕太可爱了吧
魔鬼
吃着泡面看
三分钟前
可可爱爱
1
灵魂~
可以可以
但是还是喝了一口
2分钟
1
喝一次倒半罐
没人？
战歌
1分钟前
要恰蟹的嘛
战歌起
居然是前排
感觉怪帅的
食尻兽
战歌起
不像螃蟹的亚子
看起来很好 我已经买了一百箱了
但好吃
少爷好
哈哈  泄气了
4分钟前
广告满分
是垃圾
4分钟前
战歌起
战术闭眼
4分钟前这么多人
前
承包少爷
啊
1分钟前
战歌漏气了哈哈哈哈
战歌！
四分钟前
4分钟前
战歌起
承包
豪做友
蟹特吧
666666
战歌起
柠檬法王
战歌又起
这也太爽了吧
在厕所
空弹幕不习惯呀
哈哈哈哈哈哈哈哈哈
占戈  哥欠    走已
战歌
战歌起
我去买两罐
战歌起
5分钟
战术闭眼
哈哈哈哈哈哈哈
耶我来咯
占戈哥欠走已
战歌
 是我来的太早了
战歌
6分钟前
6分钟而已
噬臀魔
五分钟前
支持
承包
战歌呢
战歌q r
六分钟前
还以为你要冲老干妈喝
绿汁螃蟹，哈哈
战歌起！
占戈 哥欠 走已
战歌起（二度）
关上2191的大门
少爷，你这一盒也就吃个两三次吧。
6分钟前
战歌起
wbl你会看嘛
注入灵魂
这样吃莫得灵魂
弹幕护体
战歌熄
你在想p吃哈哈哈哈
暂停看字幕
战歌起
战歌起
传说中的第一个大米
七分钟前
又来
第一次这么前
你在想peach
想屁吃
注入灵魂
明天一定买
怪物
哈哈哈哈
买买买，买还不行吗？
没有酱，没有灵魂
但是没有战歌
占戈哥欠走己
味儿
战歌起！！
霸屏
扽出来
算个起！
战歌起
战歌再起
注意手
战歌……唉？没人，那我过会儿再来
我选择肥仔快乐水
馋死了
注入灵魂
战术闭眼
好爽啊
承包空屏
娴熟的手法
没有战歌
77
战歌起早了
㨤
战歌起
挤上柠檬酸不拉几真的好吃吗
终于来了！！！
第一次这么早看祥哥的视频
擓
感觉没开弹幕
占戈哥欠再走己
注入灵魂
昨天去餐厅第一次吃了三文鱼片，芥末是真的恐怖，以后比敢再尝试了
无处安放的爪子
想嫁。那就不愁没有螃蟹吃了hhh
我喝着粥看
111
3分钟前
擓
战歌起
看着都想吃
蟹肉当饭吃
擓
注入灵魂
偷偷拿走旁边两罐
承包空屏
9分钟
注入灵魂
那么是蟹肉搁冰块还是饮料搁呢？
战歌起
9分钟前……
克罗心嗷
致死量
wdnmd舒服了
大♂屁♂股
占戈 哥欠
9分钟钱
9分钟
擓
战歌哑火了
去世
对，没人
绿色的
已经把他店里的百香果茶都买完了
注入灵魂
战术伸手
九分钟前
10分钟前
占戈哥欠再走己
ㅤ
看着口水直流
说词呀
擓
有耐心
椰子蟹什么时候来
看的我好饿....
十分钟前
9分钟前
螃蟹：我可谢谢您了
承包
少爷好
注入灵魂
10分钟前
这哧溜哧溜的声音，啊啊好饿
承包
馋
没弹幕了？？
看着太爽了
少爷好
在王菠萝那买的
占戈                            哥欠                            走己
承包空屏～
我一直想问，这盘多少，我们是不是也买不起
好次的眼都大了
买了寿司和维他来看少爷
战歌起
这糟糕的台词
这片弹幕我承包了
赶上更新
ass we can
chicken wei?
战术闭眼
注入灵魂
眼一睁我就知道，好吃
战歌起！
不行了
战术闭眼
12分钟前
拌饭吃应该挺爽的
12min前
没弹幕？
注入灵魂
12分钟
肉眼可见的涨粉
12分钟前！
这片弹幕是我的了
擓擓擓擓擓擓擓擓
张手闭眼怪
大祥哥被我承包了！
先给我来一吨
走得很安详
战歌起
终极享受
这个我上次买了真的好喝，我买了好几百箱，房子都快装不下了
好想吃。
擓
擓
沙发
八分钟
这个壳全什么垃圾！
一套春节套了
话筒含嘴里了
没人吗
14分钟前
五分钟
刚来
逐渐脱离主题
眼睛都放光了
没人？
买买买 。 （过几天就买）
15分钟前！
封开员别看了，我帮你看完了
战术闭眼
擓
下次吧
十万
战歌
战歌起
15分钟前
牛瘪
黄油蟹什么时候补啊
㨤
战歌起
duang~duang~duang~
16min！最早的一次
越硬的壳 下面的肉越嫩
没有芥末
我要马上去买！
前17分
战歌收
注入灵魂哈哈哈哈
2分钟前
少爷好！
17分钟前
17分钟前
睁眼了！
战歌起
来了！少爷好！
18分钟
18分钟前
擓
18分钟
19分钟前
大翔哥带我们看螃蟹的所有种类
好香
5分钟前
战歌起
19
良心啊
早
战歌起
咋还有个茶叶蛋
