加油up！
投两个币
宝藏
原来是您！
。。。。。。。。。。。。.b
谢谢您
写作文的时候知道的，没想到会在B站相遇
星星小人并不是他们，而是你
谢谢温暖的阿婆主（亲吻）
bgm 是什么
可
可以画一个抱着一只泰迪狗的小女孩吗？
谢谢您
谢谢 up主 
去！去往善良的人身边！
我觉得说这句话很不太合理，但是愿你一生幸福
所有人陌生人啊，祝你幸福！
希望我们幸福
可以出版了
原来是您啊
画册出吗
是78G吗
丶
all鹿突突突                
别发中间弹幕好咩……都看不到原话了
是你！！温暖的up主！！！
愿世间所有的美好都在你们的生活中如期而至
他拥有1830个故事和星星
我想说高手id
温暖的评论区
好酷呜呜呜呜
可以画一个跳民族的小姑娘吗？我姐姐因为生活放弃了热爱的舞蹈
他们藏在星星里
火后刘明
高手ID
之前看见他第一千个星星的纪念！他还在坚持！
音乐名是什么？(觉得有点不要脸
我希望一定要画一个一跑就吐的男孩儿。
我要这币何用！！！
哇
能画一个老爷爷脚底下一群小狗吗？我想他了
所有陌生人，请一定幸福
我找到了啊啊啊
请您继续
每一个星星，意味着一个人的离开？
每个逝去的人都化成了星星继续陪伴着我们。
我要这币有何用
我甚至以为有这样一本书淘宝可以买
好看！！！！！
想到了《人生大戏》 up是一个种星星的人！
一定要幸福啊
我们终会相见的
终于让我刷到了
还可以继续留言画星仔吗？
bjm是什么？
我先来 高手ID 
已经完成了好多人的梦想
也许这个画以后可以挂在博物馆
爷爷想您了
天空上的每颗星星都是曾经爱过我们的人。
人生海海繁星点点，在过去的岁月照耀你，在漫长的前方等待你
您会画猪神吗？还是已经画了
种星星
是画星星的人！！
能画techno吗，我最爱的MCYT前几天去世了……
出版踢我一脚
太厉害了！！
求BGM
曲对币有
高手…走错片场了抱歉
哦哦哦哦！要原来是您！！！
哭了
求背景音乐
你是我的神！！！！！！！
你是否画了technoblade？
谢谢
评论区都是刀啊
我的天这个UP涨粉好快
这浪漫的星空，就是芸芸众生
晚安
呜呜呜呜呜～～～～
助力每一个梦想
加油！一定会顺顺利利的
猪神并没有离开我们，只是开了旁观者模式，对吧？Technoblade never dies！！！（传下去）
猪神并没有离开我们，只是开了旁观者模式，对吧？Technoblade never dies！！！（传下去）
种星星的人
猪神！
猪神看到的复制！
你能画一个右手毛笔左手抱星星的人吗？   那是我爷爷  他去年给上帝写字去了   我很想念我爷爷
厉害
加油
求bgm
陌生人祝你幸福
投币了
这并不是一件很伟大的事情，但他却一直坚持，也变成了一件很伟大的事情
求BGM
 有音乐？
你能不能画一个两个小孩举着一个星星吗？求你了！
bgm是什么？
我要这币有何用
时光飞逝，愿你们与最重要之人重逢
这是来自1900个人的思念
太有愛了
求bgm
我要这币有何用？
震惊，我买的荧光笔。竟然不会发光，我明天一定把老板的店砸了。
想哭
我先来，高手id
画一个爷爷削水果给我吃的，那是我童年最美好的回忆
好浪漫5555
致我们所爱的人
他会魔法吧
我后来：高手ID(跑错龙套)
你值得我的三连
请问在哪里买的呀
等一下你们把弹幕关了看看上面的字
看《人生大事》的时候一下子就想到老师画的小人了
up可以画一位老爷爷坐在椅子上微笑着打招呼吗，因为他是一个不会说话但乐观的人。我每次去姥姥家都会和他打招呼，而且会笑着给我回一个招呼！到后来…就没有人给我笑着回招呼……(半夜发是因为又想他了)
让星星照亮他们回家的路
让我想到种星星的人
“我们所朝思暮想之人都化成满天繁星”​
我想拥有这样一本书
所以的陌生人，愿生活对你我善良
求bgm
知道bgm的赞我一下好吗
曲对币有
呜哇哇我最喜欢的歌
BGM是啥
加油。
bgm有人知道吗
可是在城市的夜晚很少看到星星
@给我赵日天一个面子v5
天哪，，，感觉就像大家化作了天上的一颗星星
我非常想念我的姥姥或者姥姥在2020年就死了，我现在非常的想念她
星星区up
现在就怕突然来了个熊孩子给撕了
每一个星星都载着人的愿望，为你的坚持震惊
你是我的神！
所有的点点星光，终会成为照亮绝望者的光明
或许我们会失去重要的东西
但我们需要的，是保持希望
我留着币有什么用
捏吗评论区有点破防了.....
那才是银光笔 
好好看
收下就是我最后的三连
祝所有人都幸福呀
我的币呢？
我们会与繁星相遇，不曾分别
哇塞
我是老粉！
出版吧
