ohhhhhhhhhhhhhhhhhhhhhhhhh
左耳:？？？？
芜湖
这是假的 大号的穿天猴
见证历史
你这字有股水泥味儿
啊 爷青回
直播去晚了来这补
Ohhhhh 
祖传BGM
祖传bgm
激动
好美
2020这样的日子有这样的消息实在是有点感动
保密画质
壮观
真漂亮！
全损画质
大呲花
祖传卡顿没了
芜湖！
太美了
快看 国旗
冲！！！！！！！！！！！！！！！
五星出东方利中国
起飞
科罗廖夫十字
五星出东方利中国
太帅了！！！
假的，cg合成（狗头）
用火星文跟火星人交流
好看
七个月后见
一路平安！
ohhhhhhhhhh
祖传卡顿
一路顺风！
组成了五星
时代变了！
我龙了 你呢
三日凌空
BMG
祖传bgm
愿高考圆梦，愿祖国强盛
熟悉的音乐，泪目
五星出东方
火星人：哎哎哎，空手来的？
胖五加油
positive outlook
火星见
我们的目标是
散落在银河里的五颗星星
左耳一点声都木有
跳动的整流罩→
五星！！！
飞回来了？
出发，去火星
三体
感觉好有年代感
绝了
真好看
瞬间泪目
祖传
火星见
我们的征途是星辰大海！
保密画质
起飞~~~~~~~~
杀头画质（
帧率十分舒服。
星辰大海！！！
三 日 凌 空
加油！！！一定成功
五星出东方利中国
中国人的浪漫
一路平安 我们火星再见
这个CG做的有点粗糙
positive outlook
一路平安 我们火星再见吧
中国nb！！！！！！！
树——
CHINA！
我们的目标是星辰大海！！！
注入灵魂
芜湖
视频跟踪正常
我们要4K画质
照顾好自己
紫色火焰好漂亮
这是故意压制了画质，我看直播比这个清楚
老葬爱家族了
脱水
要飞七个月呢
祖传保密画质
画质感人
五星红旗
啥时候抛的整流罩
粉红色的火
这次一定成功！
不卡，再次清洁
脱水！！！
火星话，我们来了
泪目
祝贺祝贺
接近完美的发射
一路平安
保密画质
一路顺风！
起飞
再会啦
保密画质
火星:感谢老铁送的火箭
人类早期征服火星的珍贵画面
氢气，火焰这个颜色？
凤凰
助推器分离卡了一二级没卡，爷青到底无没无？
越看越像电脑合成的模型哈哈哈哈哈
一路平安
B站目测正常
要飞多少年才能到啊
绝密画质
芜湖，起飞！！！
OHHHHHHHH
祖传卡顿，爷青回
一路平安
祖传
破音障了
战歌起
没有直播
好酷
星辰大海，我们来了
B站跟踪的笑死我了
星辰大海！
祖传卡顿没了
脱什么水！现在浸——泡——
关键时刻
起飞！
positive Outlook
一路平安
好好照顾自己啊！我们火星见！
兄弟，借个火
芜湖，起飞～
有点感动
载人登火星也快了
火      凤       凰
浸泡！
一路顺风
星辰大海
沙雕网友跟踪正常
星辰大海
太美了
一路平安
正常
爷青回
科罗廖夫十字太美了
B站跟踪正常
凤凰于飞
保密画质
目标！
cg?
200天
全体起立！
五星出东方利中国
火星再见
祖传bgm
五星诶
哇！！！
哇，好帅啊
B站跟踪正常
一路顺风
西沙
胖五大个的。
祖传BGM
历史书又多了一段
飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞
星辰大海才是我们的方向！
祖传BGM 有内味
bilibili跟踪正常
飞吧～冲破一切阻挡～
这跟的好稳啊
耳机正常
我免费啦
芜湖
B站遥测跟踪正常
起飞
星辰大海
祖传BGM
占戈哥欠走己
飞飞飞飞飞飞
我耳机坏了？
bilibili跟踪正常
星辰大海！
地球人求个火星翻译
明年见
一路顺风
祖传BGM
加油！！
保密音质
国6排放
B站广东站跟踪正常
五星出东方利中国
再见
中国早在登陆火星前就发明了火星文
再见…挥手…
三～日～凌～空
你们有病吗天天刷三体
五星啊
梦茹，我喜欢你
一切正常！
还差一颗心组成国旗了
你手机能拍到这？？？
千里眼跟踪正常
助推器能回收就好了呀
梦茹，我喜欢你
起飞
我来了
冲冲冲
OHHHHHHHHHHHHHHHHHHHHHHHHHH 
一次性的助推器
感动
一路平安
五星
五星红旗
芜湖起飞
我在bilibili 见证历史
画质绝了
一路平安！
前方祖传刚能
我们的目标是星辰大海
鼓掌！！！！！！！！
现在面对的是地球
一路平安
质璧分离
一路平安！
冲冲冲
开花！开花！
N2H4
文昌光学雷达跟踪正常    遥测信号正常
起飞
哦吼起飞
想知道这画面咋拍的
明年2月看你表演
我耳机坏了？
哔哩哔哩跟踪正常
从这个角度看月球爱了爱了
牛牛牛
左耳正常
我们的目标是星辰大海！
一路顺风！
祖传bgm
明年见
b站跟踪正常
星辰大海！
OHHHHHHHHHH
飞飞飞飞
高考上岸
我们的目标是星辰大海！！！
低重力 尾焰扩散了
我们的目标是星辰大海
绝密画质
B站信号跟踪正常！
耳机正常
星辰大海
祖传画质，有内味了
等我考上研咱们都要成功！
这个画面可以哈
蓝蓝的天空银河里
在有一个助推器就像五星红旗了
芜湖~
一二级分离
火星：嗷，外星人入侵ＱＡＱ
航空事业是全人类共同的事业
一路平安
明年见吧
一路平安
泪目
飞飞飞
就爱听这个
左耳
冲鸭
浸泡
