我觉得这个才是原皮肤
唐僧自己来哈哈哈，后头就来了
可以
帅炸了
就是86版的配音老师最早的猴哥声音
打击好惨。。。。
童年杀
这是第一个孙悟空配音。
帅呆了！
太喜欢了！
太棒了这个风格，我喜欢经典
泪目
我靠，这段鸡皮疙瘩都起来了
斗战胜佛
梦 回 斗 战 神
多少钱啊
都这年头了，还有nt六学家么？
人老了声音不行很正常
大杀四方
大杀四方
大杀四方！
大杀四方！
哇哇哇哇
爷青回
玛玛哈哈友情出演
峡谷有上难？
给版权费了吗@王者荣耀
买爆
牵强你就别买，多个嘴么，无tm语
妲己哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
救命我心动了
这死了几个妲己了…
虽是史诗，质量超越传说
为啥不是打杨戬
好啊
玉面狐狸 现出原形！
这个棍子A着真爽
活灵活现啊 非常还原帅
很像大圣的样子 帅
叫你一声 你敢答应吗？
帅！！
开花
律师函警告
没有，西游记前几集的配音和后面的不是同一个人，这次cv就是配前几集的那个
这他妈才是典藏
冲
真.狐狸精
路在jio下
李杨老师能不能也配下啊
爷童回！！！
这里刷文体两开花的脑子有毛病吧？
坐等唐僧 金蝉
我靠猴哥美猴王!
好酷炫
没人吗？
再出个皮肤，弼马温（Doge）
声音还是那味
长回原来的样子去了
帅啊牛批
爷青回
刚才那个鹰是大鹏吧！
爷青回！！！！！
帅啊！！！！
猴哥啊！！！
买了地狱火的……表示:什么是星传说?
后悔买地狱火……
黑六小龄童的看看这个BV1d5411N7f3
戏说不是胡说，改变不是乱编
《原皮》
最有价值之物，给最珍贵之猴
大圣来了！
拔了裴擒虎做的衣服吗
帅的呀
怎么把那可露露的大偷来了
这才是原皮
草，走！忽略
感觉这个可能是传说降下来的
八戒八戒
特效真的不够看
！！！！！
我直接谢罪
出已买
比荣耀典藏的还牛比
哭了，要是没买至尊宝我就买这个了，
太帅了
大圣！大圣！大圣！
这个腰啊啊啊啊！我沦陷了xdm
开花
最好的联动皮
没有版权？你以为王者就授权了《西游记》三个字？
这建模材质不行啊，太新了
开花开花
相比cg出场动画太腊鸡了
右下角有个沙僧，是不是也准备出了?
我482点券入手
开始情怀了
啊啊啊啊啊啊啊阿啊啊啊啊啊！就是这个味！！！我直接买爆
啊啊啊啊啊啊啊啊啊！猴哥啊！！！！！
注意小细节  强化的普攻有三种  
1
1
什么时候出唐僧?
这还有猪八戒和金蝉呢
妲己:你礼貌么
哦哦哦哦哦哦哦哦哦噢噢噢噢哦哦噢噢噢哦
这是原皮！原皮！
开花
好帅
配音是电视剧原声优，只是年纪大了
woc
玛玛哈哈
【王者荣耀】参加王者宝藏活动，输入王者密语拿限时点券，免费兑换高级皮肤！复制这段王者密语：李白3OENFH
爱不释手
三打狐狸精
nb
金箍棒贼帅
老了
无缝衔接
和西游记联名，不给猴子给谁啊
用个通用优惠券就只是48
狐狸精
镜S1QE19
开花
自带BGM
太还原了吧
直接开花
全体起立！86版猴哥YYDS！！！！
全体起立！86版猴哥YYDS！！！！
全体起立！86版猴哥YYDS！！！！
肯定必买
在这里刷开花的脑子开花
绝
原画建模原地结婚！！！！！！
坐等沙僧，五师徒开黑
妲己头要被锤爆了
这个衔接好帅！！！！！！！
这里有沙僧
美猴王出的早不然也是史诗品质
除了金箍棒（doge）
巨还原！
大招自带bgm
这才是原皮doge
泪目了
爷青回
悟空的筋斗云
比dota2好就算成功（
三位真火
这攻击范围圈的圆圈是紧箍咒的形状啊
卧槽
配音都是原配，但老了，见谅（泪目）
什么是国际巨星啊？
买了算我输
侯非侯，王非王，年年皮肤美猴王
这个挺好用
求回城！！！
达摩沙僧
我的妈呀
史上最强
大圣！
一直被模仿从未被超越
致敬
美猴王！
猴哥好帅！
大圣齐天！
猴哥！
为师父出场做铺垫呢
482点券 
有点泪目
泪目
李扬老师配音应该可以
李扬老师配的好听，李世宏老师的感觉不好
好帅
牛逼
村长泪目
。
还是李扬配孙悟空比较经典
我辈楷模
看打
你礼貌嘛？
还是习惯李扬老师那一版 【这行者形象】毕竟听得最久【李世宏老师这版还是大闹天宫吧  桀骜不驯】
这声音没內味
讲道理，没內味
nb
刚买
开花
明年出者行孙，后年出行者孙
这皮肤的意义就是 什么才是孙悟空
配音请的是原配，但配音老师也老了，理解一下
A出去是杂碎的炼丹炉！！
我的大圣
卧槽！！
大圣！！
尬黑脑子有泡么
身高有些高了
wc
买
这。。。。
原皮
有点意思
猴哥排面！！！！！！！！！
这才是孙悟空原皮
六老师说他们给的太多了
直接开花
就硬杠，刚出来还没穿衣服呢，你怎么不说
【王者荣耀】参加王者宝藏活动，输入王者密语拿限时点券，免费兑换高级皮肤！复制这段王者密语：星夜王子MCMA4P
这就是原声啊，只不过配音演员老了
开花开花
卧槽？
仔细听，声音老了
这个模型比例好别扭
定海神针
自带bgm
不错不错
头一次看到这么好的建模
悟空从电视里跑出来了!
好好好好好好！
爷青回
卧槽有bgm
手里的至尊宝不香了
大圣！！！！
可怜的老村长
这个皮肤方便被唐僧念咒
帅！
技能打击声音和神威的差不多
快优化美猴王吧
？？？？？？
原皮
成吉思汗投来羡慕的眼神
你出任你出我买算我输
这才是真正的原皮
这才是真正的原皮
好像啊救命
开花
每敲一棒世界上就多了一个火焰山
谢罪警告
又是猴子
美猴王皮肤不是有了吗？
终于不是老亚瑟挨打了
妖精竟是我自己
每次搞个那么美的cg再搞个那么拉胯的出场意欲何为？
这出场和cg真是差太多了
不明白每次cg这么好出场动画却这么拉胯
拿这个做出场动画吧特写也行！我不介意时间长！
！！！
谢罪
482
这皮肤比原皮还像原皮
狐狸叫精哈哈哈哈哈哈
请的86版老师，人家年纪大了
说吧孙悟空有多少个皮肤了？
卖情怀么
我默默拿出13888金币买了一个盘古doge
王德发
根本没那么清楚
打白精精
白嫖联盟的QB和红包然后充王者里面
卷起来吧最好送个荣耀水晶，我可以一直洗
妲己还真是妖精
荧幕形象类似李小龙
传奇皮肤
稀饭大招
一定下手
这不得俩开花？
原皮
谢谢你英雄联盟
卷起来了
离谱啊
离谱
离谱
cg这么大气出场动画这么小家子气
爷青回
大招自带音效
配音就是电视剧的李世宏老师
爷童回
这普攻特效你说是典藏我都信
强化A，A到了炼丹炉
这个眼皮上的金片太细了！！！
没有买卖就没有伤害，老虎泪目！！！！！
后面就是李扬老师了。
妹的，出了个原皮还要钱
两开花
太帅啊！
改变不是乱编
传说级皮肤吧
沙僧
比原皮还原皮
这猴子手感不错
坐等墨子钢铁侠皮肤
两开花
暴打小朋友
泪目!!!!
这就是最强史诗了
讲真这建模没必要喷，做的很好了
哎 师傅年纪大了 声线都低了
六小龄童
自带BGM的猴王
开了一局杀疯了
因为李扬老师不搞配音了，说实话很多人估计都不知道西游记配音
一身正气马上
为了我大圣刚下了王者充点卷买的
卧槽
厉害了
王者最经典的皮肤没有之一啊
配音yyds
三大狐狸精
人家都已经老了 配不出当初的感觉了 
这个配音是原版孙悟空的第一代 李世宏配的
这简直太还原了 86版 西游记 就是这个样子 
救命，太帅了
爷青回
这皮肤好绝！！！！！
X86还以为端游出来了
这不给打碎了…
我靠这也太好看了
棒子是用来吃的?
弹幕
狐狸精太惨了
猴哥yyds
话说师父什么时候来啊？
戏说不是胡说 改编不是乱编
有点帅
给爷冲！！！！！！
全体起立
泪目了泪目了
买了
爷青回
妲己:被发现了
出场动画这个云朵不够厚没有天宫的感觉很现代
为什么没有筋斗云
出场动画里要是也有厚厚的云朵就好啦
妲己：？？？
本90后看到鸡皮疙瘩都起来了！！
我想问一下沙僧 考虑一下不 ！
希望 猪八戒的也出！
青蛇的二技能
史诗品质传说特效 ！
好帅呀
其他都不错但这个天空和云朵看着好假
筋斗云呢
应该有厚厚的云朵还有筋斗云而不是这种假假的天空
感动
