现在好棒
帅！第一！
出息了
舔
好像易烊千玺有没有！11
这个好累啊
累 ，，
天。。。
怎么我觉得之前更萌更帅啊doge
适合女生吗？
我还以为吐了口烟
当然是一头肌
老公呲柪我！
泥奏凯
声效拉满了
这个可以
干啥不累
还能这么操作？
老公亲我了嘿嘿
肩膀咯
你要撑哪里
这要是蹦到背上得很疼吧
恭喜帅肩膀恢复!
你……你试图在教会我这个动作？
11分钟我来了
我觉得练胸也挺显壮的
今天正好练中束
好男人不包二奶！
亲我
那是有多划水啊哈哈哈
不不不女生就不需要宽了
这个难
伟大拉伸
这个角度是最舒服的角度
我就老是这样。。。
19min
这个动作之前跟帅学着做过，差点把门干下来
哈哈哈，以前好可爱
这个姿势感觉腰撑不住
老公！
热乎的
我摊牌了，我是斜板
不建议用这个姿势 可能还没练出来 你肩膀就废了
疼
看起来很刺激核心
功能性弹响警告
不用练肚子能自行撑起来
这个青筋暴起，爱了爱了
这动作已经很简单了。说难的建议天天躺床上不动
女生多练上胸肌可以更挺更好看
这个理论看过啦
？？
买oversize的衣服解决问题
侧平举的重量一般都很轻的（对比卧推）应该不会受不了
向内收哑铃碰到怎么办？需要加内旋避免碰撞吗？
疼翻了
强调细节满分
吃灰吃灰
支持一波
这是肌肉锻炼，没有适合或不适合的说法吧？
腰不行
这变化应该是训练强度的问题吧
笑死对不起
这个镜头犯规了啊
想摸
鬼啊
姐几个又来学健身了
吃灰去吧
截屏表示学了
变丑了
以前长得帅，现在不行了
女生也要宽宽
这个动作我一做练得就是斜方
哇真好看
害羞
肩峰撞击
前面的斜板你好呀
"subs"""
女生肩宽也很好看呀 需要背一起练
帅在Keep有账号吗？
想嗦
飞鸟嘛？
时长不对劲呀
胸和肩膀吧
天生肩宽
我能死这信不信
妈耶亲了我一口
我肩不行，疼
妈呀
馋
帅啊
老公
卧推凳有点高级的
戴马力前几天也刚说过这个
猩猩boy
好像易烊千玺！
肩背，三角肌吧
肚子的毛怎么没得
????
这里太帅了
然而这周都只能练肩膀了……
奥哟
坏男人！
这动作太奇怪了
你们可能没注意，我躺地上呢，我隐身了
脖子疼 做不了
真实
这不就是折刀俯卧撑
我就是喜欢危险刺激（狗头）
可调健身椅很便宜的，桃饱不到200
你想肩膀宽就练喽，哪有适不适合
但是有发量
好可爱啊！！！！
帅是我健身从小白到入门到现在有点痕迹的精神能量（女粉）^_^
被弹力带抽红过
一条红印在上面
我觉得不要用太沉的然后缓缓抬起沉肩缓缓的下放中束有感觉，不然都是斜方肌酸痛
总结 练7年
女生窄也不好看，显得又怂又土
我做过，女生瑜伽
太棒啦 新的姿势
施瓦辛格
侧平举啊
啪！抽到后脑勺（doge）
剃过毛|•'-'•)و✧
前面的 三角啥？(Doge 
磕。。。磕头
收藏等于练过
大哥大姐过年好
这会练到斜方肌么
我看你做这都费劲，你还想让我们做?
一年半好清秀
断头台 听上去就非常不吉利jpg
大哥大嫂过年好
阿诺
大爷大婶过年好
老公我来啦
新手侧平举太难了  斜方肌代偿很难避免
随时随地
收藏夹锻炼法
做完要要断了
做多腰酸
好家伙，练到脱毛了
以头抢地尔哈哈哈
Muuuua
丝毫不慌，我是毛巾
练背吧
关键头大的得要宽肩才好看，头小的都还行
断头推会把肘关节干废
拿自己做图解可以
这对于我来说是练全身练所有
喜提宽肩一对
这以前也有点底子呀
看过就闭嘴
40kg。。。。
？？？？
我是裤子
断头台不是想做就能做的，得专门训练6个月以后才能在教练在场配合指导的情况下尝试
在上解剖课.
路易十六狂喜
雀氏
肩背胸
我可以
哇这背
进我收藏吃灰吧~
我反复去世
我又可以
胳膊勒的应该很疼吧
这个必须投，有些内容的
变强变秃
身材绝了
热乎
打卡
就是我啊
没有光滑的墙面怎么办？
天生宽肩
阿姨好评
笑死我了，哈哈哈
真帅爆了
第一次看到这个动作，有意思
女生好容易练到斜方肌，呜呜
我在地上躺着…
疼穿衣服啊
我有60
前两天弹力带崩了……疼
举不起来……
冲多了会吗
笑死，我是那件垫着的T恤
乖乖，太好了吧
收藏夹吃灰去
以前多好呀，少年感还嫩嫩的
我只想要背后的一条线
我没有这个困扰（狗头）
斜板中间还有衣服
动画好评
重量如何选择
哇
我是墙面，我被顶着
有点高估我了
我是毛巾
我是地板
好大
我是弹力绳
感觉这种不用器械的弹力绳有点鸡肋
我就是因为内旋肩峰撞击了
我承认我馋了
没肌肉肩宽都56
天生没办法
救命好馋啊
飞鸟呀
肚子
好难啊
卧槽，连眼睛都练大了
我是地板
这个我太需要了！最近一直在困惑这个因为有人说要高一点有人说要低一点
练下面
找不到发力点
收藏夹吃灰走你
帕梅拉的视频里有这个动作
你是我的爷，我是你的儿(2333)
吓我一跳，我还以为我死了
背
从来不发弹幕的我…真的好想上手啊……
我也摊牌了，我放弃了
偏瘦？
有点 易烊千玺
这个哑铃凳11000
那用史密斯机可以吗
好吧看到这里我承认我沉迷在帅的肉体而不是训练内容了
医学生表示自己学的肌肉解剖都没讲这么细
跟戴马力说的不一样
收藏量比点赞还多
van样进入了直播间
40磅不是40公斤
山峰俯卧撑
男生表示羡慕
救命我好馋
哇，好想
想，怎么办
重新定义瘦
是我了
帅的视频都可以发论文了
这个每天都在做
体质太低脸真的会绷
侧平举
ohhhhhhhhhhhhh
州长的肌肉太美了
哇这个解剖爱了
这样做腰酸。。。。
还是喜欢上斜杠铃推举
别走过来啊啊啊啊啊啊
手痛
胸和肩
但我超爱你的腿
没有光滑的墙面呢
啊啊啊啊啊啊好帅
好可爱啊
腰受得了吗
哲学
加入我的收藏吃灰吧
肌肉线条也太好看了吧
这个斜板大于60度 狗头保命
手上骨头搁着疼
当然是胸肩背
大哥大姐新年好
屁屁
马力也讲了！
太大了
没错
腰不好，哭了
]\\\
三头，上胸，肩，腰，
刚练完肩就看到帅的教程
我是裤子
问卡卡在吗的那个 你在逗我吧
拜年健身
c？
我是斜板中间的洞洞
聪明
墙秃噜皮了
断头台怕真的会断头
首先，手臂得有一定的力量
这是谁？
拿两瓶水
压得弟不舒服
这个静脉，牛逼啊
看着就疼
撑住就耗费了我全部力气
尝试一下？？？
折刀？
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
兄弟，这叫肌腱，不叫韧带
好高的样子
欢迎来吃灰
说腰的，你得收核心啊
还是老实买哑铃去
帅炸了
下斜俯卧撑怎么样？
侧平举yyds
这个可以，哑铃钱又省下来了
断头弹力绳
断头台哑铃
←等等我，鸡笼马上到
师炸
刺溜刺溜！
飞鸟
很痛的
我要是这样，就是咔咔弹响。。。
这个动作太吃核心了
看过就看过呗。
出息了→_→
mua
我嗦
这视频做的太牛逼了吧
颈椎有问题的做不了
感受最重要
?
天生肩宽
偏胖的怎么办
砍脖子后面！
MDPI
女生也需要
拉丝的肌肉
这背哇
穷版健身草
我可以
练这个一定要让弹力绳被绝对牢靠的固定
戴玛丽先发了
哈登？
天生肩宽+1
有点像折刀俯卧撑
飞鸟
我最近有在健身哦，感觉你也变很勇嘛，要不要让我看看哪
妈呀练了这么久
哑铃我白嫖的
好看
卡卡看了几遍了？
解剖谁来着？
徒手动作都好难
热乎
点赞收藏一条线
每天对着镜子给自己磕头的男人。
增肌 增体脂 没了就这么简单
这要痛死
这个好
我块本来就很大咋办
我记得小柯说30度，也是研究表明
三连再看
前面的，我已经感受过了，别问我咋知道的
这个超难
侧平举
我都不用练，天生的
肩峰撞击受不了
这个和之前那个侧平举细节戴马力也说过
你就挺瘦弱的
？
腋毛好少
你为什么没有腋毛
弹力带可以
不错
这弹幕好多gay溜了溜了  绝绝子
好帅
易烊千玺？
好难
天生肩宽+2
前面的，后脑勺已经飞走了
哑铃飞燕
我的妈
好乖呀
举不动
好乖呀
做一个休息十分钟
飞鸟
斜方肌之王
像有伤疤一样
感觉更危险
天啊，我感觉弹幕好多女生在看？
手上容易出汗怎么整。。
啊这
牛逼？？ 40公斤一边？？？
好想摸
帅哥188
能说2014更好看吗
天生肩太宽
脸型也变了？
这个动作小伙伴们一定要用垫子 不然尺神经容易受伤 
首先是练肩膀的啦。可以让人看上去背更宽一些。会更帅的啦。
刚刚那一下敲帅的啦
我去年被弹力带打断门牙，现在看着这玩意就怕
哈斯哈斯
头发少了
好多鸡
老公老公
prprprpr
进收藏夹吃灰
居然热搜第二了 出息了狗子
手一滑，重开。
最
变瘦的我，最爱你了
侧平举？
怎么有股针味
好奇那些说斜板中段是自己的人是男的还是女的？
天生肩宽
没看过～表示刚被帅帅科普啦
腰酸是因为没有屈髋，压力都用腰承担了
部位
我摊牌了 我是地板
肩膀吧
这个咪咪不好看
肩胛骨受不了啊
这个身材也太好了，好爱好爱
路易十六xswl
解刨他
不是吧，感觉快流口水了
做这个我腰部代偿好严重
练双杠比这效果明显的多
那就不要穿（狗头）
hshshshs
无语，帅死啦你
对、买哑铃实在 这个做两个就想死
穿西装，肩宽就很重要
这里剪辑好帅
流口水
学到了
馋
这个超难
我是男的，我流口水了
腰受不了
这看起来好吃啊
你居然会以为是女生
腰突  彻底告别这个姿势
这个线条真好看
一边是40磅（18kg）还是40kg？
我想吃奶
这个方案就是买小一号的衣服哈哈哈哈
这个核心不稳像我这样刚健身的真的很难
哎呀！他亲我
对不起，健身不是为了让自己身体更健康吗？为什么说要看起来更壮？
这张照片比较帅
keep里有这个动作
我就伤了，休了一年多才康复
整个肩袖都伤了
40磅 40kg的那个你是美队吧
我都练斜方肌上了，不过也不错
断头？
戴马力好箱是说虎口朝前刺激最大
引体向上啊
拿个桶提水
这是水刊
不光滑我也给他磨光滑了
脸型越练越丑了，不如之前的颜值，哈哈哈
我在吃炸鸡翅呢
好可爱啊
来晚了 靠
