很新鲜啊
刚刚
第一！芜湖
ohhhhhhhhh
多捞啊
冲
韩厅
这衣服好看
韩先森
刚刚
马老师我爱你＾3＾
韩厅你好
韩厅
马局长是吧
韩厅！
想马老师
多捞哦
3分钟  还不算晚
排面
师母重锤
好呀
肌肉金轮
李在赣神魔
帅！
我的金轮 我的金轮
第一怎么说，第一。
速度
这个握手太有内味了
上当了
燃起来了
嘿嘿
这肌肉可以
哈哈哈哈哈哈哈哈哈
我不信！
期待
多帅哦
老马别吃槟榔了
瓜皮
什么老师？
流水的刺客，铁打的鹰
这个表情包真的可爱～
起飞
欢迎回来
芜湖
瓜皮
气派
厨！
多帅哦
小老板搞得不丑
让我来
公款吃喝了属于是
经典歪门炮
一千个小老板
小厨娘呢
老马：我们来搞点恐怖游戏植物大战僵尸
没有弹幕吗
你在赣神魔呢
芜湖起飞！
干我
呆头鹅
翻译：旅游去了
吓得我点开斗鱼，搜索了一下。
请经营好大食堂
老马之前在直播里说会做这个俯卧撑给大家看，宠粉一级了属于是
哈哈哈
窝巢
可爱
入口即化
热乎乎的
力不从心（doge
哈哈哈哈哈
woc，这个旗子
裤子都没穿好
经典厅长发言
酒糟鼻
期待！
把你的嘴变得软一点
你吃饱了我们吃什么
单手66
纯！！！
飞飞
歪比歪比歪比巴卜
有关部门请去视察
30伯人看
3000人
那我吃啥啊
哈哈哈哈哈哈
发病棉袄！
经典咬牙切齿，有素材了
芜湖
并不是
男人，离我的金轮远一点
我是每期必看的上海男彤周晗杰
不见不散
高原血统
怎么没有了
芜湖~
30伯人
谁问的
李在赣神魔
1165
金轮
多捞哦这人
虽然是照稿子念的 但我可以接受
\
瓜皮哈哈哈
多帅哦
排面
厨？
3000+
红皮鸭子
状态不好＝并不是很下饭
食黏王者
所以吃了一个疗程的肾宝片
高原好美啊
9衣韩先生
厨宝排面
山南市是安徽省对口援藏的兄弟市，所以会安排去山南市旅游（家父援藏刚回来）
金轮停播我挺勃了
高原血统
韩厅计划
漂亮的嘛不谈
逆天
瓜皮
23333
万年老衬衫
老公好帅啊
游戏厅厅长
决定以后都不播了，摸鱼它不香吗（doge）
老郭一会一起联盟手游吗
要来了 我感受到了
歪比巴卜
你知道啊
在现场，我是手套
吸氧怎么说吸氧
甲级战犯名单
3000个小老板 
nb
肾透支了属于是
韩厅长
食堂菜不好吃那就没法活了
视察
甲级战犯名单
韩厅
韩厅！！！
兰博红温
有一说一，健身可以改变一个人的精神面貌，加油马老师
不抱一下怎么感受
和你状态没关系，把你那迟到早退旷工不补时长的陋习改改吧
起飞了
韩厅长 韩厅长 韩厅长
我也停勃了
芜湖话听着真的亲切
回归厨师本行
高原血统离谱
韩厅
逆天
下面请韩厅发言
都是部门，太牛了
斜方肌代偿
PDD:老马违约了，现在正在谈
多帅哦 就不谈
黑布林大李子甜不甜啊
厨宝 李在赣神魔
《真  芜湖起飞》
这个肌肉真可以了
植物大战僵尸（X）折磨僵司（√）
韩厅被双规了一个月
索白了:有病了
韩厅长气质这一块拿捏得杠杠滴
韩厅好
韩厅
这不来个肉蛋葱鸡
芜湖起飞！
党旗卧槽
飞飞飞飞飞飞飞
哈哈哈哈哈
正片开始
厨！
厨？
马老吸
鸭子！！
吸铁石睡觉，李在干神魔
韩厅长
恐怖游戏
状态不好=不太下饭
NB
信仰之跃
马老师牛逼！
这发力练啥呢
大司马好高啊
韩厅
别摆烂就行
折磨司机
韩厅
白银局力不从心
好帅！
飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞
woc！！这里我暑假刚去过！！
单杀飞科
嘴都紫了
帅不谈
这个单手俯卧撑我不能接受！
你是谁？为什么这么说
真的有肌肉了
李在赣神魔
爹！
韩厅长也太有排面了吧
/
健身效果不错，脸上的痘痘都不见了
以后直播健身吧
厅长这气质属实拿捏了
？？？？？？
27min前
呆头鹅
李在赣神魔
槟榔别吃了
你是谁？你为什么这么说？
高原血统i笑死我了
你是谁?你不是我的金轮
把健身的吃回来！
得劲
纯
发病棉袄
公款旅行举报了
芜湖
韩先森
还就那个高原血统
韩厅好
西天取经是吧
我超
马不吸
四十伯人 就离谱
厨子偷吃
大厨司
咬牙切齿
李在赣神魔
含先生
40伯人大食堂
发病小棉袄
啊 我好热
彳亍
不上當了
实现我的理想
芜湖
相信你有这个毅力的！身体好不仅是为自己更为家人
起飞！
韩厅
海拔46伯
比如被你的直播洗脑以为你真的是王者
李在赣神魔
吸铁石睡觉
发病棉袄！
微服私访
含shi表情逆天
韩庭长！
开启高原血统，准备收割
最爱的人声后摇。罗马三！ 老马可以
还就那个四十伯人吃饭
韩厅！
笑死了回来做饭
高原血统
韩厅好
你在赣神魔！哈哈哈哈！（大声）
想喝
起飞
哇还真是
四十伯
兰博单杀奥恩
别嚼槟榔了
你在赣神魔
高压血统
韩厅长好欢迎欢迎
卧槽哈哈哈哈哈
同款耳机
帅的不谈
别嚼槟榔了
点名了属于是
sg了
韩厅长
大司
西装配牛仔，捞的不谈
韩厅计划
芜湖
你消失了一个月，都在干些什么捏?
穿上小棉袄就好了
嘴怎么肿了
中年人发型
这就是你去西藏旅游的借口？
韩厅计划
加油！
《湖》
《消失的爱人》
金轮我被你骗走了呜呜呜
还就那个高原血统怎么说
这个照镜子好帅
高原血统开启
血怒！
韩厅长太帅了
5000人大食堂
师母重锤
韩厅
一手高原血统怎么说
那个b槟榔是真别吃了
行
飞飞飞飞飞飞
搞得不丑
芜湖电视台
哈哈哈哈哈
高原蟹桶！
韩局
正能量
高原血统哈哈哈蚌埠住了
bgm是后摇啊
饥饿营销是吧
厨子偷吃
红温控制的并不是很好
学习厨艺去了
韩厅好
韩厅
确实壮了一圈
这不单杀丁真
韩厅长！
有播报天气预报内味了
50伯人就离谱
帅啊帅啊
韩厅
偷，偷果子！
厨宝，我的厨宝!
mnz原地爆炸
哈哈
开一手高原血统
多捞啊
肾虚
《韩先生》
瓜皮哈哈哈哈
哟，单手俯卧撑秀的呀 
或少或少
健身白练了（
芜湖，5000人
搞得不丑，老马速来击剑
厅长下乡考察
维德！
红温是吧
仓央嘉措
哈哈哈哈哈哈哈哈哈
红瘟预警
恰冰狼
这不起飞一波
韩厅
高原血统一开，跳一波防空盾怎么说
5000+
哈密瓜
求你戒了槟榔
海拔四千多，还追还追！
帅哦 我的哥
炸湖
温度好高
在赶我
哈哈
排面，厨司
发病棉袄如果今年还穿的话是不是穿了六年了
真皮网咖
全新的肌肉金轮
这气质！这派头！你不说这不是个领导我都不信！
缺鬼畜素材了
歪比巴卜
老马这气质真有领导范儿啊！
瓜皮
nb
很纯真，有种野性的美
李在赣神魔
格局大了
老马看起来好瘦
中山桥干饭厅厅长
你终于知道了
当然是干了我啊
《芜湖》
跟丁真会晤了
公款旅游，举报了
可爱
我超有点帅
哇
吸氧怎么说，吸氧
发病棉袄
经典马大叔
芜湖话好亲切
摘了眼镜很像王迅
成熟男人的气质，老马举手投足之间尽显稳重之态
温度控制并不是很好
韩厅长韩厅长
被隔离了吧哈哈啊哈哈
我并不认识你啊，你多捞啊
通过化妆
高 原 饭 桶 一 开
韩厅
5000
马老师和我度蜜月去了
味道重
高原饭桶
马厅
吸铁石睡觉
逆天
不是三个月单杀飞可儿？
厨子偷吃
厨子偷吃
这个回答我并不是很认可
哈哈哈哈，笑死我了
吸氧怎么说，吸氧
欢迎安徽省司马大餐厅 厅长韩金龙先生
每天都和我一起击剑
韩厅长前往西藏调研相关影像
烤全羊啊嗯
好帅
5000+
多捞哦
芜湖！
可是金轮诈骗走了我的心
这波就起飞
哈哈哈这个大搪瓷杯子上边的字
牛逼牛逼
兰博红温咯
十年亡者
歪  门  炮
高原血统
曼？
是的，陷入了金轮的爱情漩涡
多帅哦！
嘴硬开始
去那个我也不知道什么湖
住进布达拉宫 我是雪域最大的王
瓜皮
向厅长敬礼
彳亍
哈哈哈哈哈哈哈
流浪在拉萨街头 我是世间最美的情郎
不要吃槟榔了！！！
走进科学了属于是
肌肉金轮
十年王者的王者号呢
-8000
李在淦什么
好帅
这道菜的温度并不是很好
整的好尬，像CCTV
马先生
确实像视察 听报告的领导 
逆天
拔老马的腋毛做牙刷刷牙
韩厅长！
正式改名芜湖
？？？
那就戒槟榔啊
是的，我有一个女儿
卧槽
瓜皮
他上当了，他还不知道
指队友上当受骗
老马犯错误了
兰博红温了
我去过
彳亍
那其实没有什么坏习惯是坚持不下来的
大厨师
多帅哦
不在状态吃肾宝片
哇！单手！
变纯真了
湖？芜湖！！！
抖欲韩先生
把棉袄穿回来就好了8？
可以，支持老马
整的有模有样的
你终于悟了
成年高山兀鹫
高原血统hhhh
民以食为天
韩厅长
好帅
笑死哈哈哈
oh～夜色
得劲儿
芜湖杯快打起来
可爱
肾虚马
也许这就是差距吧
4000＋！！！
好帅哦
懂了以后直播间不刷礼物了
公开处刑了属于是
有点儿还在活在虚拟世界中“哎你好菜啊”，人家早已经成为现实中的能人了
还就内个芜湖
起飞！！
帅啊
炸胡怎么说 炸胡
这个二头肌真的可以了
王姐归来
高原血压
卧槽，我不能接受单手
格局打开
格局
党旗瞩目
你好韩厅长
接下来，一并超
槟郎别吃了
欧卡丽
韩厅长好
我去过
木马
感觉浑身充满了力量
卧槽，单手俯卧撑
你老惦记着你那爵士表情干啥呢
飞飞飞飞飞
帅的嘛不谈哦
韩厅
韩厅长
四十伯
这些ID也不行啊 没那个味儿
韩厅
6
韩厅
神头鬼碾
捞的不谈
有点帅嗷
高原血统
肌肉金轮
是不是以后看不到龟丞相了
芜湖起飞！
韩厅长
韩厅
芜湖
肾宝你好我也好
必须点赞
槟榔
野性美
红温了
小老板多捞啊
南通军团瑟瑟发抖
这办公大楼超标了吧
越来越有范了 我的金轮
槟榔
韩厅
正能量嗷
韩局长
战术握手
哈哈哈哈歪门炮
公款旅行举报了
这肌肉一拳都能打死一个黑子
韩厅好
好耶
卧槽，我做不到这个
哈哈哈
马老师好帅啊
芜湖丈育了属于是
哈哈哈
鹰：我现在就起飞了
多帅哦
先赞后看，已成习惯
50伯人一起看
旅游去了
发病小棉袄
肌肉金轮
比如手活！
芜湖
厨！
《 红 温 兰 博 》
帅的
一并超
有才有德
韩厅开着高原血统来调研
加油！
BGM  Yoaki  -   Shuhari
《发病袄！永远无法超越的神！》
芜湖！！！！
飞飞飞
经典厨子偷吃
哈哈哈哈
前方高能预警
《以上笔录我已看过，和我说的相符》
心静自然娘
马老师好帅 我好爱啊
传说皮肤上线
韩厅
四千人大食堂
吃点大力
韩局
III
导管
别吃槟榔
湖里雅
发病还就那个小棉袄
起飞
领导视察是把
起飞
飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞飞
你穷？骗你贷款怎么说
凯特琳是吧
芜湖
只要我够穷，就没人能骗走我的钱
芜湖！
愣头小青年
厨！
公费旅游
帅啊
韩厅
我上当了
下饭
韩厅！
厨子偷吃怎么说
重做了属于
不用惊讶，萨兵在什么年龄都有，但是的确离我很远
邀请韩厅视察
力不从心
吸铁石在睡觉
老公我爱你
经典胡言乱语
师母替大家感受就好了
起飞
韩厅到了
瓜皮哈哈哈哈哈哈哈哈哈
鸹貔！蚌埠住了
－5200
他上当了
红温了这蓝博
捞的不谈
歪比巴卜
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
老马的腋
