哈
。。。
我亲爱的木鱼
分好高，好看吗？收藏了，但还没看
？？？
物是第一个吗
弹幕呢？
哇偶
来啦来啦
？
博士？？？
danmone
博士
111
不过现在最古老的皇室好像是日本
悠着点
国王的演讲
怎么就12条弹幕？四十万的播放？？？？？
小十一？
为什么没有弹幕
弹幕呢？
23
。。。
为啥43万播放没有弹幕
菲利普你个大渣男
?
跟了
可以看看，很不错
格林摩根伯爵？
弹幕被清了
两个都是熟面孔啊
弹幕呢
小十二！
ka血
忘恩负义之人
为什么没有弹幕啊
。
弹幕呢
来咯！
+
丘吉尔的贡献就是没学法国一样举手投降
弹幕呢
日本王室没有存在感，影响范围太小
反正希腊也没君主立宪了，不亏好吧
和谈之神，张伯伦
结巴国王
查尔斯震怒
科林费斯
赘婿
老国王帅炸
这一段的BGM叫什么名字呀
好看
好家伙
赘婿
节选的都是什么男权选段
特别好
战地5
winston~~
小十一！！！！！！！
好耶
软饭硬吃，一堆情人
侮辱别人适度就够了，别没完了一群小屁孩，装什么评论家
doctor
难道不是埃及艳后吗
赘婿吗
见证一个帝国的衰落
昆凌笑了
英国王室：此片涉及内容如有雷同纯属虚构
权游不服最烧钱
这话说的，先赞后看！
还有诗人角
女王年轻时候也是很漂亮的
换了演员之后 就没看了
友善地简直是个笑话
僭越
菲利普光情人就多少了。
醒醒
值得尊贵
我们国家女的就不用男的姓啊，包括孩子
8
赘婿啊
权力的游戏直呼内行
口吃细节
跪了
在哪可以看？找不到片源
为有色人种做的更多
确实
无耻大不列颠
殖民地人的苦难
小11啊
我去
这个真的好好看！！推荐看原剧！
、
苏联国父
烟囱上撒尿~丘吉尔
就这？
好瘦的丘吉尔
战地V的bgm
来了
伊丽莎白
哈哈哈我跑去围着牛顿的墓转了好多圈
来了
能待过那个位置的人 都不简单
第一次听
疑犯追踪评分更高
伦敦公爵嘛，当然一副听调不听宣的样
后来又当了一届，对于英国人来说丘吉尔很伟大
好脏的马桶
毕竟老佛爷还活着，拍不好可是要被问责的
你不是切尔诺黑利里的教授吗？
好耶，不用花时间看正片了
超级喜欢the crown
最古老？？？
好王冠!好头颅!当砍之!——克伦威尔
周公姬旦王族后世前来报到
中堂大人到了
好王冠!当砍之!——克伦威尔
？？？？？？？？？？？？？
皮卡丘登场
I vow to thee my country
《国王的演讲》
瞧不起谁呢？10w毛毛雨
你这不就是想更新吗哈哈哈哈
好耶ヾ(✿ﾟ▽ﾟ)ノ！！
doctor！！！
好耶
先赞为敬
战地五有这个歌
专门回来投币
简单来说：不要杠
冲
33分钟
世界最大赘婿
我的爱
丘吉尔的夫人还是这么美
行星组曲木星
.
111
是！女王
天下岂有七十年之太子乎？？？
国父还行
可以呀，我对英文不感冒，不然我会看的更起劲
这个莱卡很出名
法师给博士授勋，哈哈哈哈
很早以前就看过了
还有博士没搞过的英国女王吗？
汉弗莱这时候应该在签那个造成4000万损失的订单
木星
|
这个不叫历史剧
wsfk
最大败家仔
真最强赘婿
这不是切尔诺贝利里那个人吗
biu
卧槽
大阴帝国最大的败家子
懂了。这就去掀牛顿的棺材板
这不是莫利亚提教授吗？
从装逼猿那里知道up
博士真的娶了伊丽莎白
我是来看十一的
丘吉尔也能粉圈？绝了，爷笑了
非常棒的一部剧啊
从胶卷用到iPhone的笑死我了
刺客信条枭雄
此时的首相克莱门德·艾德礼一直做到朝战时期
霍金？
英国皇室可以大地主，每年收入不少
好耶！
查尔斯王子：wdnmd
这不比博人传燃?
桓温点了个赞
是十一
英国赘婿牛逼
活该大选被偷家
草，是doctor！是小十一
知道去哪里掀牛顿的棺材板了
西敏寺就是威斯敏斯特 一个意译一个音译而已
1
飞利浦必须研究刮胡刀才能结婚
温莎家族也就是英国韦廷家族，只不过1战和德国开战了，皇室觉得继续用德国姓不好 才改性温莎而已。
英国人民用完就甩的首相
啊，小十一啊
口吃
格拉摩根伯爵
画面太美，服装太精致
但他配得起
小十一！
老贼
牛顿的棺材板就在这啊～
伦敦公爵及夫人觐见
爱了爱了
先投币在看，哈哈哈哈哈哈
软饭多香啊
这比冰火烧钱吗
双厨狂喜
好诶
一日为国王 终身为国王
来了！！！！！！！
血友病家族
温斯顿.教堂生病（迫真翻译）
好看吗
这是在讽刺他的傲慢啊
哈布斯堡笑而不语
博士啊啊啊啊啊啊啊啊
丘吉尔的确n
来了
至暗时刻的丘吉尔演员？
11啊！
赘婿
你们可别瞎吹
小十一！
合唱的似乎是行星组曲：木星的旋律
国王的演讲
居然是小11
只不过以前叫萨克森—科堡—哥达王朝
西敏寺
说皇室只是象征的，真的一点都不懂别人
我在其面前路过，排了好长好长的队伍，就没进去
我真的好想亲临一场皇家婚礼，感觉像童话一样
卧槽，居然是王冠！！！！
禁止禁止好耶
\终于来了
日本悠久个p，两千恰
这个bgm好像是平原绫香改编的《木星》啊
？？？？？？？？
丘吉尔伟大就伟大在把大英帝国搞解体了
来了
王室其实是一个品牌
不是日本吗
支扩肺结核肺癌那个老医学生了呜呜呜
前面的，丘吉尔要是为了儿子根本没必要自己放弃，他儿子放弃继承一样没影响，他只是为了自己
首相在外参加首脑会议，然后老家被偷了哈哈哈哈
炫彩皮肤哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
来了
战地5的BGM
霍金特别不想被埋在这儿，结果还是被埋在这儿了
毕竟三巨头之一
肺癌
国内凌晨4点多 1790人观看
doctor
丘吉尔，帝国梦的坚持者与葬送者，现代历史上最杰出的古代人物
丘吉尔，帝国梦的坚持者与葬送者，现代历史上最杰出的古代人物
我想念皇帝
封建啊
超 长 待 机
耍大牌
这会发量就不是很浓密了
丘爵爷
唐顿庄园比他要早，是在乔治五世时期（他爸爸）
英国王室没有权利，但伊丽莎白她有
拯救菊花可太强了
凌晨四点有2000多人一起看就离谱
这个教堂还有另一个名字，西敏寺
母系婚姻，按我们的说法就是入赘
日不过帝国
美国间谍吧
这货哪儿里好
国王的演讲
赘婿
戏说
人是要全面看的，他的弊病是一方面，他的贡献是另一方面，而且那个年代的他是有滤镜的
世上岂有七十年太子呼？！
大婴帝国
这部拍摄确实是电影级，当时看完会觉得有点枯燥，大部分非常佳
一件在中国很多的事，在这个被女权赞誉的国家却是唯一
当人们谈起丘吉尔的时候首先会想到温斯顿 而不再是他的祖先
没事的后来还去了切尔诺贝利当专家
西敏寺
好家伙 这都2021了丘吉尔还能被如此吹捧我是没想到的
最近才知道丘吉尔一生患有抑郁症
他有这个资格
菲利普的皇室顺位排在很后好吗，根本继承不到王位的
脸上笑嘻嘻，心里……
赘婿
赘婿
最后一个出席全场关注
h
切尔诺贝利主角
丘吉尔配得上
马特这造型真太帅了 和小十一不同的帅
好耶
苏 联 国 父
赘婿？
坎特伯雷大教堂震怒
三小时4.4万
赘婿
英国王室自1948年以后已经失去印度皇帝头衔，不再称为皇室
丘吉尔的家族也是英国大贵族，只是19世纪末有点没落了
居然！
日本天皇确实比英国王室悠久的多，温莎家族是1901年才取得英国王位的
软饭硬吃
伊丽莎白：还是iphone拍着香
战地五的祖国在召唤
哈苏打钱
可惜没有成为vlogger
就是个种族主义者
蒙巴顿是德国姓哦
神秘博士！！！
腐朽的封建王室
牛 顿 的 棺 材 板
赘婿
改（mei）编（hua）
还有个墓碑 刻着一段话 当我年轻的时候，我的想象力从没有受到过限制......
唐顿庄园的时间背景就是他在位吧
小11！
秃了
排面
丘吉尔代表着欧洲最后的尊严，他值得拥有这样的礼遇
木鱼这么专业的电影解说必须的点赞投币
执剑人
世界第一赘婿
拜见女王
给老佛爷修修园子吧
周杰伦？？那个教堂只要有钱谁都可以租的 
日常上身哈克的丘胖子
wowowowowo
就是残余残余残余，保皇党你急了你急了
什么时候我们也能出一部任何角度都无可挑剔的经典历史剧呢（不是清宫古偶那种）
但丘胖之后又上台了
哈苏吗
.
guan是一声？
最牛逼的英剧来了
英国最知名品牌：王室
英国王室可不是封建残余就能形容的，他们在英国和国际的地位可比日本皇室高太多了
这个称号我在黑暗物质三部曲也看到过
觉得名字熟熟的不过不记得谁解说过
封建残余
木鱼是哪里人啊，声音很好听
罗马不服……
牛顿，达尔文都葬在这儿吧
管风琴
佩服他种族主义？老掉牙的保守观念？
切尔诺贝利的列加索夫
最后一个的梗hhhh
英国王室
剑履上殿 入朝不趋
可以算是被提走的2333
我大清自有国情！！！
赘婿
求BGM
因为这部剧入坑的凡妮莎科尔比，玛格丽特公主美炸了
就是国王的演讲的英国国王
但确实配得上
这不极地恶灵里面的船长吗
神秘博士小十？
丘吉尔就是给大英盖棺变为大嘤的人
来了来了
明天直接更新
战地五里有这个BGM
这部剧真的好好看
风骚律师也是每季9分以上~
丘吉尔直接让英国当美国小弟
木鱼还是那个满身是肝的木鱼
好耶
口吃好了？
老娘来了
注意时长3333
汉弗莱在哪儿呢
权游:？？？？？
白左咋不喊环保了
为什么要问是不是最后一个
doctor真的和女王结过婚【doge】
呃呃
哈哈哈哈最后一个吗
前面的他的继承顺序很靠后
誒說好的西遊記呢
乔治六世年轻时候帅的！
英国赘婿啊
小十一的大下巴哈哈哈哈哈哈
双厨狂喜！！！！！！！！！！
大英败家子，英国国力败光
大爱王冠！
人在英国，刚下飞机
好早
能修改金融法，想想吧。
《皇上无话儿》
我竟然去过
啊啊啊啊啊啊啊来啦
我们自己的政治历史都没搞不清，还去评价国外的政治领袖干嘛
十一？
热乎的
国外都是神剧，
我们曾经战斗过的地方
朕封你为格拉摩根公爵！！！
等等，希腊不是共和国吗
该BGM之最佳版本： LIBERA
+1
"BGM: I Vow to Thee, My Country. "
小十一
原始暴怒充能完毕
热乎 我来了
丘吉尔？
博士！
皇上无话儿
因为他是个烟鬼
弹幕真的多读点书吧
赘婿？
国王的演讲
大丈夫当如是
登陆鬼才
这字只能猜着看我擦勒
呵呵呵
丘吉尔是拿英国的霸权跟美国做的交易，打赢的战争。讲道理真讲和了，英国霸权还能多维持几年
这是个大坑啊
3W了
丘吉尔60年代好像又当过一次首相
拯救菊花可还行
哟哟哟，这不是维多利亚的老公吗
哇哇哇瘦我看过的耶
小十一！
做人恶心 但确实不得不敬佩
背景音是王冠剧里的
柯基是法国人送的吧
不是倒插门，人家也没改姓，而且他的儿子和孙子也没改姓还
虽然很多人恶心他但确实不得不敬佩
屁嘞，希腊王室顺位根本就轮不到他，他自己就是和他妈坐轮船底仓去的英国投靠他舅
无敌
同时毁掉大英
这剧我好喜欢
丘吉尔的评价过誉了
英国王室在二战因为德国的敌对改姓温莎
强啊霸哥
那你就别高攀
来啦来啦
丘吉尔是个种族主义者和战争狂
哈苏
疯眼汉穆迪吗
我的天 这也太富贵了
英国王室是德国人后裔
从此皇室秃头
是你，小十一
最古老的不是日本吗
支气管扩张 肺结核 肺癌
我准备好使用原始暴怒了
丘吉尔坑死中国了
一个小时2.7w了
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
女王在年轻时候真的很漂亮
时间3333
好耶
要的就是台面
切尔诺贝利后遗症？
好耶
丘吉尔要是活在维多利亚时代，他的成就会更大，他汁是处于世界两股巨流中的古人罢了
铁幕
肺结核
超喜欢老国王！！！
高处不胜寒
嗯，这我熟（
这是霍尔斯特的行星组曲里的《木星-欢乐使者》
一小时2w多赞
我就听口音是十一
谢邀，人在英国，刚批完奏折
至暗时刻
好喜欢男主和女主
天下岂有x年的太子
中堂大人到了
来了来了来了来了
病情不算不体面，但是会让人民担心，是个不稳定信息
又是58？保罗骂骂咧咧退出了视频
猛一看以为是约翰逊
瞧谁不起呢
小十一！
好耶
看到有人bb我11的颜值了 难受
他对不列颠唯一的贡献就是撑住了没投降
十一！
卑不动尊
s1mple?
英王没有实际权力但有影响力，而影响力可以转变成权力
莫里亚蒂
英国的历史就是不断有外国人成为英王的历史
像企鹅人呀
丘胖胖登场
科普，乔治六世国王因小时候左手换右手写字导致了严重的口吃，详情可看国王的演讲
唉，只可惜日不落这时候已经药丸了
周杰伦有啥资格呀。。
女王好漂亮
战地5有个童声版本，超级好听，建议各位去试试，就这个歌名
这部剧计划要出六季，每季十集，看来木鱼有的讲了
11
盖革计数器那个核工同行？
哇啊啊啊啊 我一直想看的
待机大赛
邱胖子
最爱的doctor！
oh，我的小艾米
剧中查尔斯王子跟他爹菲利普亲王一样也是个不省心的货
日本史读过吗英国皇室多多少少还有血缘关系日本一开始的天皇存不存在还不知道呢
小十一这个表情太经典了，我都不知道见到了多少次
好棒
功高盖主
王室不是负责给英国赚钱的吉祥物嘛
新电脑用着就是爽吧，哈哈哈哈
丘吉尔没几集就赢大选了
好耶
切尔诺贝利的辐射造成的
炫彩皮肤
神秘博士第11任
桂冠诗人
一小时两万
这特效框高端极了！！！
是网飞投资，英国剧组拍的
看完了
1万多在线的。。。
耍大牌
丘吉尔提出铁幕演说，给美苏矛盾火上浇油，然后英国自己躺了
还有霍金
牛顿，yyds
木鱼终于讲这个了，我都看完第四季了
发布54分钟点赞就两万了………………我的妈，佩服
6分钟！！
我还想念木鱼说呢
超喜欢列加索夫
切尔诺贝利后遗症
日本天皇确实古老，但是跟今天话题无关
周杰伦不是这 是英格兰北边的一个小教堂
微操大师
莫里亚蒂
神秘博士
不是吉祥物吗
烫手
国王的演讲
热乎
我还在这和教堂刺杀过人（滑稽）
张伯伦哈哈哈
莫里亚蒂教授
每天上学都路过.....
有不臣之心
超好看！！！！
赘婿
不是倒插门哦，他本来可以成为丹麦的王
好耶
霍金是不是也在呢
新电脑
小十一
抽烟肺癌
封为格拉摩根伯爵
病情不算不体面的那个，要是现在英女王兵种，没准第二天就一票英联邦国家要退出了
他们不是没什么权利吗（）真诚发问
我还以为是威廉二世（doge）
确实帅
不是丘吉尔英国也不一定混的像现在这么差，只是这世界也不一定有现在这么好
赘婿
冠希点赞
胡乱给他国加标签，我们与他们何异？
已经1.7万咯
3
好耶
确实剧荒了、
蒙巴顿公爵？分治印度和巴基斯坦那个么？
这个剧只追了前两季
说人家是蛀虫的，多读书，不要随便乱说话。
英国王室对于现在的英国来说，有足够的影响力，也有相当的价值。
结巴国王
赘婿
伊丽莎白 玛格丽特
1
my doctor！
